ICD9_code	ICD9_label	ICD9_simpleLabel	phecode1.2_codeList	phecodeX_codeList
362.71	Retinal dystrophy in systemic or cerebroretinal lipidoses	retinal dystrophy in systemic or cerebroretinal lipidoses	['362', '362.7']	['374', '374.7']
362.72	Retinal dystrophy in other systemic disorders and syndromes	retinal dystrophy in other systemic disorders and syndromes	['362', '362.7']	['374', '374.7']
362.73	Vitreoretinal dystrophies	vitreoretinal dystrophies	['362', '362.7']	['374', '374.7']
362.74	Pigmentary retinal dystrophy	pigmentary retinal dystrophy	['362', '362.7']	['374', '374.7', '374.71']
362.75	Other dystrophies primarily involving the sensory retina	other dystrophies primarily involving the sensory retina	['362', '362.7']	['374', '374.7']
362.76	Dystrophies primarily involving the retinal pigment epithelium	dystrophies primarily involving the retinal pigment epithelium	['362', '362.7']	['374', '374.7']
362.77	Dystrophies primarily involving Bruch's membrane	dystrophies primarily involving bruchs membrane	['362', '362.7']	['374', '374.7']
362.8	Other retinal disorders	other retinal disorders	['362']	['374']
362.81	Retinal hemorrhage	retinal hemorrhage	['362', '362.8']	['377', '377.4']
362.82	Retinal exudates and deposits	retinal exudates and deposits	['362']	['374', '374.3']
362.83	Retinal edema	retinal edema	['362', '362.9']	['374', '374.8']
362.84	Retinal ischemia	retinal ischemia	['362', '362.8']	['374', '374.3', '374.36']
362.85	Retinal nerve fiber bundle defects	retinal nerve fiber bundle defects	['362']	['374']
362.89	Other retinal disorders	other retinal disorders	['362']	['374']
362.9	Unspecified retinal disorder	retinal disorder	['362']	['374']
363	Chorioretinal inflammations, scars, and other disorders of choroid	chorioretinal inflammations scars and other disorders of choroid	['363']	['373']
363.0	Focal chorioretinitis and focal retinochoroiditis	focal chorioretinitis and focal retinochoroiditis	['371']	['367', '367.9']
363.00	Focal chorioretinitis, unspecified	focal chorioretinitis	['371']	['367', '367.9']
363.01	Focal choroiditis and chorioretinitis, juxtapapillary	focal choroiditis and chorioretinitis juxtapapillary	['371', '371.1']	['367', '367.9']
363.03	Focal choroiditis and chorioretinitis of other posterior pole	focal choroiditis and chorioretinitis of other posterior pole	['371', '371.1']	['367', '367.9']
363.04	Focal choroiditis and chorioretinitis, peripheral	focal choroiditis and chorioretinitis peripheral	['371', '371.1']	['367', '367.9']
363.05	Focal retinitis and retinochoroiditis, juxtapapillary	focal retinitis and retinochoroiditis juxtapapillary	['371', '371.1']	['367', '367.9']
363.06	Focal retinitis and retinochoroiditis, macular or paramacular	focal retinitis and retinochoroiditis macular or paramacular	['371', '371.1']	['367', '367.9']
363.07	Focal retinitis and retinochoroiditis of other posterior pole	focal retinitis and retinochoroiditis of other posterior pole	['371', '371.1']	['367', '367.9']
363.08	Focal retinitis and retinochoroiditis, peripheral	focal retinitis and retinochoroiditis peripheral	['371', '371.1']	['367', '367.9']
363.1	Disseminated chorioretinitis and disseminated retinochoroiditis	disseminated chorioretinitis and disseminated retinochoroiditis	['371', '371.1']	['367', '367.9']
363.10	Disseminated chorioretinitis, unspecified	disseminated chorioretinitis	['371', '371.1']	['367', '367.9']
363.11	Disseminated choroiditis and chorioretinitis, posterior pole	disseminated choroiditis and chorioretinitis posterior pole	['371', '371.1']	['367', '367.9']
363.12	Disseminated choroiditis and chorioretinitis, peripheral	disseminated choroiditis and chorioretinitis peripheral	['371', '371.1']	['367', '367.9']
363.13	Disseminated choroiditis and chorioretinitis, generalized	disseminated choroiditis and chorioretinitis generalized	['371', '371.1']	['367', '367.9']
363.14	Disseminated retinitis and retinochoroiditis, metastatic	disseminated retinitis and retinochoroiditis metastatic	['371', '371.1']	['367', '367.9']
363.15	Disseminated retinitis and retinochoroiditis, pigment epitheliopathy	disseminated retinitis and retinochoroiditis pigment epitheliopathy	['371', '371.1']	['367', '367.9']
363.2	Other and unspecified forms of chorioretinitis and retinochoroiditis	other andforms of chorioretinitis and retinochoroiditis	['371', '371.1']	['367', '367.9']
363.20	Chorioretinitis, unspecified	chorioretinitis	['371', '371.1']	['367', '367.5', '367.53']
363.21	Pars planitis	pars planitis	['371', '371.1']	['367', '367.5']
363.22	Harada's disease	haradas disease	['371', '371.1']	['367', '367.5', '367.56']
363.3	Chorioretinal scars	chorioretinal scars	['363', '363.3']	['373', '373.1']
363.30	Chorioretinal scar, unspecified	chorioretinal scar	['363', '363.3']	['373', '373.1']
363.31	Solar retinopathy	solar retinopathy	['363', '363.3']	['373', '373.1', '373.11']
363.32	Other macular scars	other macular scars	['363', '363.3']	['373', '373.1']
363.33	Other scars of posterior pole	other scars of posterior pole	['363', '363.3']	['373', '373.1']
363.34	Peripheral scars	peripheral scars	['363', '363.3']	['373', '373.1']
363.35	Disseminated scars	disseminated scars	['363', '363.3']	['373', '373.1']
363.4	Choroidal degenerations	choroidal degenerations	['363', '363.4']	['373', '373.2']
363.40	Choroidal degeneration, unspecified	choroidal degeneration	['363', '363.4']	['373', '373.2']
363.41	Senile atrophy of choroid	senile atrophy of choroid	['363', '363.4']	['373', '373.2']
363.42	Diffuse secondary atrophy of choroid	diffuse secondary atrophy of choroid	['363', '363.4']	['373', '373.2']
363.43	Angioid streaks of choroid	angioid streaks of choroid	['363', '363.4']	['374', '374.5', '374.57']
363.5	Hereditary choroidal dystrophies	hereditary choroidal dystrophies	['363', '363.4']	['373', '373.3']
363.50	Hereditary choroidal dystrophy or atrophy, unspecified	hereditary choroidal dystrophy or atrophy	['363', '363.4']	['373', '373.3']
363.51	Circumpapillary dystrophy of choroid, partial	circumpapillary dystrophy of choroid partial	['363', '363.4']	['373', '373.3']
363.52	Circumpapillary dystrophy of choroid, total	circumpapillary dystrophy of choroid total	['363', '363.4']	['373', '373.3']
363.53	Central dystrophy of choroid, partial	central dystrophy of choroid partial	['363', '363.4']	['373', '373.3']
363.54	Central choroidal atrophy, total	central choroidal atrophy total	['363', '363.4']	['373', '373.3']
363.55	Choroideremia	choroideremia	['363', '363.4']	['373', '373.3', '373.31']
363.56	Other diffuse or generalized dystrophy of choroid, partial	other diffuse or generalized dystrophy of choroid partial	['363', '363.4']	['373', '373.3']
363.57	Other diffuse or generalized dystrophy of choroid, total	other diffuse or generalized dystrophy of choroid total	['363', '363.4']	['373', '373.3']
363.6	Choroidal hemorrhage and rupture	choroidal hemorrhage and rupture	['363']	['377', '377.3']
363.61	Choroidal hemorrhage, unspecified	choroidal hemorrhage	['363']	['377', '377.3']
363.62	Expulsive choroidal hemorrhage	expulsive choroidal hemorrhage	['363']	['377', '377.3']
363.63	Choroidal rupture	choroidal rupture	['363']	['377', '377.3']
363.7	Choroidal detachment	choroidal detachment	['363']	['373', '373.5']
363.70	Choroidal detachment, unspecified	choroidal detachment	['363']	['373', '373.5']
363.71	Serous choroidal detachment	serous choroidal detachment	['363']	['373', '373.5']
363.72	Hemorrhagic choroidal detachment	hemorrhagic choroidal detachment	['363']	['377', '377.3']
363.8	Other disorders of choroid	other disorders of choroid	['363']	['373']
363.9	Unspecified disorder of choroid	disorder of choroid	['363']	['373']
364	Disorders of iris and ciliary body	disorders of iris and ciliary body	['379', '379.5']	['370']
364.0	Acute and subacute iridocyclitis	acute and subacute iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.00	Acute and subacute iridocyclitis, unspecified	acute and subacute iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.01	Primary iridocyclitis	primary iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.02	Recurrent iridocyclitis	recurrent iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.03	Secondary iridocyclitis, infectious	secondary iridocyclitis infectious	['369']	['367', '367.5', '367.52']
364.04	Secondary iridocyclitis, noninfectious	secondary iridocyclitis noninfectious	['371', '371.1']	['367', '367.5', '367.52']
364.05	Hypopyon	hypopyon	['371', '371.1']	['367', '367.8']
364.1	Chronic iridocyclitis	chronic iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.10	Chronic iridocyclitis, unspecified	chronic iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.11	Chronic iridocyclitis in diseases classified elsewhere	chronic iridocyclitis in diseases classified elsewhere	['371', '371.1']	['367', '367.5', '367.52']
364.2	Certain types of iridocyclitis	certain types of iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.21	Fuchs' heterochromic cyclitis	fuchs heterochromic cyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.22	Glaucomatocyclitic crises	glaucomatocyclitic crises	['371', '371.1']	['375', '375.6']
364.23	Lens-induced iridocyclitis	lens-induced iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.24	Vogt-koyanagi syndrome	vogt-koyanagi syndrome	['371', '371.1']	['367', '367.5', '367.52']
364.3	Unspecified iridocyclitis	iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']
364.4	Vascular disorders of iris and ciliary body	vascular disorders of iris and ciliary body	['379', '379.5']	['370']
364.41	Hyphema of iris and ciliary body	hyphema of iris and ciliary body	['379', '379.5']	['377', '377.8']
364.42	Rubeosis iridis	rubeosis iridis	['379', '379.5']	['370', '370.3']
364.5	Degenerations of iris and ciliary body	degenerations of iris and ciliary body	['379', '379.5']	['370', '370.1']
364.51	Essential or progressive iris atrophy	essential or progressive iris atrophy	['379', '379.5']	['370', '370.1']
364.52	Iridoschisis	iridoschisis	['379', '379.5']	['370', '370.1']
364.53	Pigmentary iris degeneration	pigmentary iris degeneration	['379', '379.5', '379.51']	['370', '370.1']
364.54	Degeneration of pupillary margin	degeneration of pupillary margin	['379', '379.5']	['370', '370.1']
364.55	Miotic cysts of pupillary margin	miotic cysts of pupillary margin	['379', '379.5']	['370', '370.1']
364.56	Degenerative changes of chamber angle	degenerative changes of chamber angle	['379', '379.5']	['370', '370.1']
364.57	Degenerative changes of ciliary body	degenerative changes of ciliary body	['379', '379.5']	['370', '370.1']
364.59	Other iris atrophy	other iris atrophy	['379', '379.5']	['370', '370.1']
364.6	Cysts of iris, ciliary body, and anterior chamber	cysts of iris ciliary body and anterior chamber	['379', '379.5']	['370', '370.2']
364.60	Idiopathic cysts of iris, ciliary body, and anterior chamber	idiopathic cysts of iris ciliary body and anterior chamber	['379', '379.5']	['370', '370.2']
364.61	Implantation cysts of iris, ciliary body, and anterior chamber	implantation cysts of iris ciliary body and anterior chamber	['379', '379.5']	['370', '370.2']
364.62	Exudative cysts of iris or anterior chamber	exudative cysts of iris or anterior chamber	['379', '379.5']	['370', '370.2']
364.63	Primary cyst of pars plana	primary cyst of pars plana	['379', '379.5']	['370', '370.2']
364.64	Exudative cyst of pars plana	exudative cyst of pars plana	['379', '379.5']	['370', '370.2']
364.7	Adhesions and disruptions of iris and ciliary body	adhesions and disruptions of iris and ciliary body	['379', '379.5']	['370', '370.4']
364.70	Adhesions of iris, unspecified	adhesions of iris	['379', '379.5']	['370', '370.4']
364.71	Posterior synechiae of iris	posterior synechiae of iris	['379', '379.5']	['370', '370.4', '370.42']
364.72	Anterior synechiae of iris	anterior synechiae of iris	['379', '379.5']	['370', '370.4']
364.73	Goniosynechiae	goniosynechiae	['379', '379.5']	['370', '370.4']
364.74	Adhesions and disruptions of pupillary membranes	adhesions and disruptions of pupillary membranes	['379', '379.5']	['370', '370.4']
364.75	Pupillary abnormalities	pupillary abnormalities	['379', '379.5']	['370', '370.4', '370.41']
364.76	Iridodialysis	iridodialysis	['379', '379.5']	['370']
364.77	Recession of chamber angle of eye	recession of chamber angle of eye	['379', '379.5']	['370']
364.8	Other disorders of iris and ciliary body	other disorders of iris and ciliary body	['379', '379.5']	['370']
364.81	Floppy iris syndrome	floppy iris syndrome	['379', '379.5']	['370', '370.6']
364.82	Plateau iris syndrome	plateau iris syndrome	['379', '379.5']	['370']
364.89	Other disorders of iris and ciliary body	other disorders of iris and ciliary body	['379', '379.5']	['370']
364.9	Unspecified disorder of iris and ciliary body	disorder of iris and ciliary body	['379', '379.5']	['370']
365	Glaucoma	glaucoma	['365']	['375']
365.0	Borderline glaucoma [glaucoma suspect]	borderline glaucoma glaucoma suspect	['365']	['375']
365.00	Preglaucoma, unspecified	preglaucoma	['365']	['375']
365.01	Open angle with borderline findings, low risk	open angle with borderline findings low risk	['365', '365.1']	['375']
365.02	Anatomical narrow angle borderline glaucoma	anatomical narrow angle borderline glaucoma	['365', '365.2']	['375']
365.03	Steroid responders borderline glaucoma	steroid responders borderline glaucoma	['365']	['375']
365.04	Ocular hypertension	ocular hypertension	['365']	['375', '375.6']
365.05	Open angle with borderline findings, high risk	open angle with borderline findings high risk	['365']	['375']
365.06	Primary angle closure without glaucoma damage	primary angle closure without glaucoma damage	['365']	['375', '375.1', '375.12']
365.1	Open-angle glaucoma	open-angle glaucoma	['365', '365.1']	['375', '375.1', '375.11']
365.10	Open-angle glaucoma, unspecified	open-angle glaucoma	['365', '365.1']	['375', '375.1', '375.11']
365.11	Primary open angle glaucoma	primary open angle glaucoma	['365', '365.1', '365.11']	['375', '375.1', '375.11', '375.113']
365.12	Low tension open-angle glaucoma	low tension open-angle glaucoma	['365', '365.1']	['375', '375.1', '375.14']
365.13	Pigmentary open-angle glaucoma	pigmentary open-angle glaucoma	['365', '365.1']	['375', '375.1', '375.11', '375.112']
365.14	Glaucoma of childhood	glaucoma of childhood	['365', '365.1']	['375', '375.1', '753', '753.9']
365.15	Residual stage of open angle glaucoma	residual stage of open angle glaucoma	['365', '365.1']	['375', '375.1', '375.11']
365.2	Primary angle-closure glaucoma	primary angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.20	Primary angle-closure glaucoma, unspecified	primary angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.21	Intermittent angle-closure glaucoma	intermittent angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.22	Acute angle-closure glaucoma	acute angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.23	Chronic angle-closure glaucoma	chronic angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.24	Residual stage of angle-closure glaucoma	residual stage of angle-closure glaucoma	['365', '365.2']	['375', '375.1', '375.12']
365.3	Corticosteroid-induced glaucoma	corticosteroid-induced glaucoma	['365']	['375', '375.8']
365.31	Corticosteroid-induced glaucoma, glaucomatous stage	corticosteroid-induced glaucoma glaucomatous stage	['365']	['375', '375.8']
365.32	Corticosteroid-induced glaucoma, residual stage	corticosteroid-induced glaucoma residual stage	['365']	['375', '375.8']
365.4	Glaucoma associated with congenital anomalies, dystrophies, and systemic syndromes	glaucoma associated with congenital anomalies dystrophies and systemic syndromes	['365']	['375', '375.1']
365.41	Glaucoma associated with chamber angle anomalies	glaucoma associated with chamber angle anomalies	['365']	['375', '375.1']
365.42	Glaucoma associated with anomalies of iris	glaucoma associated with anomalies of iris	['365']	['375', '375.1']
365.43	Glaucoma associated with other anterior segment anomalies	glaucoma associated with other anterior segment anomalies	['365']	['375', '375.1']
365.44	Glaucoma associated with systemic syndromes	glaucoma associated with systemic syndromes	['365']	['375', '375.1']
365.5	Glaucoma associated with disorders of the lens	glaucoma associated with disorders of the lens	['365']	['375', '375.1']
365.51	Phacolytic glaucoma	phacolytic glaucoma	['365']	['375', '375.1', '375.11']
365.52	Pseudoexfoliation glaucoma	pseudoexfoliation glaucoma	['365', '365.5']	['375', '375.1', '375.13']
365.59	Glaucoma associated with other lens disorders	glaucoma associated with other lens disorders	['365']	['375', '375.1']
365.6	Glaucoma associated with other ocular disorders	glaucoma associated with other ocular disorders	['365']	['375', '375.1']
365.60	Glaucoma associated with unspecified ocular disorder	glaucoma associated withocular disorder	['365']	['375', '375.1']
365.61	Glaucoma associated with pupillary block	glaucoma associated with pupillary block	['365']	['375', '375.1']
365.62	Glaucoma associated with ocular inflammations	glaucoma associated with ocular inflammations	['365']	['375', '375.1']
365.63	Glaucoma associated with vascular disorders	glaucoma associated with vascular disorders	['365']	['375', '375.1']
365.64	Glaucoma associated with tumors or cysts	glaucoma associated with tumors or cysts	['365']	['375', '375.1']
365.65	Glaucoma associated with ocular trauma	glaucoma associated with ocular trauma	['365']	['375', '375.8']
365.7	Glaucoma stage	glaucoma stage	['365']	['375', '375.1']
365.70	Glaucoma stage, unspecified	glaucoma stage	['365']	['375', '375.1']
365.71	Mild stage glaucoma	mild stage glaucoma	['365']	['375', '375.1']
365.72	Moderate stage glaucoma	moderate stage glaucoma	['365']	['375', '375.1']
365.73	Severe stage glaucoma	severe stage glaucoma	['365']	['375', '375.1']
365.74	Indeterminate stage glaucoma	indeterminate stage glaucoma	['365']	['375', '375.1']
365.8	Other specified forms of glaucoma	other specified forms of glaucoma	['365']	['375', '375.1']
365.81	Hypersecretion glaucoma	hypersecretion glaucoma	['365']	['375', '375.1', '375.11']
365.82	Glaucoma with increased episcleral venous pressure	glaucoma with increased episcleral venous pressure	['365']	['375', '375.1']
365.83	Aqueous misdirection	aqueous misdirection	['365']	['375', '375.1', '375.12', '375.121']
365.89	Other specified glaucoma	other specified glaucoma	['365']	['375', '375.1']
365.9	Unspecified glaucoma	glaucoma	['365']	['375', '375.1']
366	Cataract	cataract	['366']	['371']
366.0	Infantile, juvenile, and presenile cataract	infantile juvenile and presenile cataract	['366', '366.1']	['371']
366.00	Nonsenile cataract, unspecified	nonsenile cataract	['366', '366.1']	['371']
366.01	Anterior subcapsular polar cataract	anterior subcapsular polar cataract	['366', '366.1']	['371', '371.2', '371.21']
366.02	Posterior subcapsular polar cataract	posterior subcapsular polar cataract	['366', '366.1']	['371', '371.2']
366.03	Cortical, lamellar, or zonular cataract	cortical lamellar or zonular cataract	['366', '366.1']	['371', '371.4']
366.04	Nuclear cataract	nuclear cataract	['366', '366.1']	['371', '371.3', '371.32']
366.09	Other and combined forms of nonsenile cataract	other and combined forms of nonsenile cataract	['366', '366.1']	['371']
366.1	Senile cataract	senile cataract	['366', '366.2']	['371']
366.10	Senile cataract, unspecified	senile cataract	['366', '366.2']	['371']
366.11	Pseudoexfoliation of lens capsule	pseudoexfoliation of lens capsule	['366', '366.2']	['371']
366.12	Incipient senile cataract	incipient senile cataract	['366', '366.2']	['371']
366.13	Anterior subcapsular polar senile cataract	anterior subcapsular polar senile cataract	['366', '366.2']	['371', '371.2', '371.21']
366.14	Posterior subcapsular polar senile cataract	posterior subcapsular polar senile cataract	['366', '366.2']	['371', '371.2', '371.22']
366.15	Cortical senile cataract	cortical senile cataract	['366', '366.2']	['371', '371.1']
366.16	Senile nuclear sclerosis	senile nuclear sclerosis	['366', '366.2']	['371', '371.3', '371.31']
366.17	Total or mature cataract	total or mature cataract	['366', '366.2']	['371']
366.18	Hypermature cataract	hypermature cataract	['366', '366.2']	['371']
366.19	Other and combined forms of senile cataract	other and combined forms of senile cataract	['366', '366.2']	['371']
366.2	Traumatic cataract	traumatic cataract	['366', '366.3']	['371']
366.20	Traumatic cataract, unspecified	traumatic cataract	['366', '366.3']	['371']
366.21	Localized traumatic opacities	localized traumatic opacities	['366', '366.3']	['T883']
366.22	Total traumatic cataract	total traumatic cataract	['366', '366.3']	['371']
366.23	Partially resolved traumatic cataract	partially resolved traumatic cataract	['366', '366.3']	['371']
366.3	Cataract secondary to ocular disorders	cataract secondary to ocular disorders	['366']	['371']
366.30	Cataracta complicata, unspecified	cataracta complicata	['366']	['371']
366.31	Glaucomatous flecks (subcapsular)	glaucomatous flecks subcapsular	['366']	['371', '371.2']
366.32	Cataract in inflammatory ocular disorders	cataract in inflammatory ocular disorders	['366']	['371']
366.33	Cataract with neovascularization	cataract with neovascularization	['366']	['371']
366.34	Cataract in degenerative ocular disorders	cataract in degenerative ocular disorders	['366']	['371']
366.4	Cataract associated with other disorders	cataract associated with other disorders	['366']	['371']
366.41	Diabetic cataract	diabetic cataract	['366']	['371']
366.42	Tetanic cataract	tetanic cataract	['366']	['371']
366.43	Myotonic cataract	myotonic cataract	['366']	['371']
366.44	Cataract associated with other syndromes	cataract associated with other syndromes	['366']	['371']
366.45	Toxic cataract	toxic cataract	['366']	['371']
366.46	Cataract associated with radiation and other physical influences	cataract associated with radiation and other physical influences	['366']	['371']
366.5	After-cataract	after-cataract	['366']	['371']
366.50	After-cataract, unspecified	after-cataract	['366']	['371']
366.51	Soemmering's ring	soemmerings ring	['366']	['371']
366.52	Other after-cataract, not obscuring vision	other after-cataract not obscuring vision	['366']	['371']
366.53	After-cataract, obscuring vision	after-cataract obscuring vision	['366']	['371']
366.8	Other cataract	other cataract	['366']	['371']
366.9	Unspecified cataract	cataract	['366']	['371']
367	Disorders of refraction and accommodation	disorders of refraction and accommodation	['367']	['387']
367.0	Hypermetropia	hypermetropia	['367', '367.8']	['387', '387.1']
367.1	Myopia	myopia	['367', '367.1']	['387', '387.2']
367.2	Astigmatism	astigmatism	['367', '367.2']	['387', '387.3']
367.20	Astigmatism, unspecified	astigmatism	['367', '367.2']	['387', '387.3']
367.21	Regular astigmatism	regular astigmatism	['367', '367.2']	['387', '387.3']
367.22	Irregular astigmatism	irregular astigmatism	['367', '367.2']	['387', '387.3', '387.31']
367.3	Anisometropia and aniseikonia	anisometropia and aniseikonia	['368', '368.3']	['387']
367.31	Anisometropia	anisometropia	['368', '368.3']	['387', '387.5']
367.32	Aniseikonia	aniseikonia	['368', '368.3']	['387', '387.6']
367.4	Presbyopia	presbyopia	['367.4']	['387', '387.4']
367.5	Disorders of accommodation	disorders of accommodation	['368', '368.7']	['387', '387.8']
367.51	Paresis of accommodation	paresis of accommodation	['368', '368.7']	['387', '387.8']
367.52	Total or complete internal ophthalmoplegia	total or complete internal ophthalmoplegia	['368', '368.7']	['381', '381.1', '381.11']
367.53	Spasm of accommodation	spasm of accommodation	['368', '368.7']	['387', '387.8']
367.8	Other disorders of refraction and accommodation	other disorders of refraction and accommodation	['367']	['387']
367.81	Transient refractive change	transient refractive change	['368']	['386']
367.89	Other disorders of refraction and accommodation	other disorders of refraction and accommodation	['367']	['387']
367.9	Unspecified disorder of refraction and accommodation	disorder of refraction and accommodation	['367']	['387']
368	Visual disturbances	visual disturbances	['368']	['386']
368.0	Amblyopia ex anopsia	amblyopia ex anopsia	['368', '368.1']	['386', '386.1']
368.00	Amblyopia, unspecified	amblyopia	['368', '368.1']	['386', '386.1']
368.01	Strabismic amblyopia	strabismic amblyopia	['368', '368.1']	['381', '386', '386.1']
368.02	Deprivation amblyopia	deprivation amblyopia	['368', '368.1']	['386', '386.1']
368.03	Refractive amblyopia	refractive amblyopia	['368', '368.1']	['386', '386.1']
368.1	Subjective visual disturbances	subjective visual disturbances	['368', '368.9']	['386']
368.10	Subjective visual disturbance, unspecified	subjective visual disturbance	['368', '368.9']	['386']
368.11	Sudden visual loss	sudden visual loss	['368', '368.9']	['386', '386.8']
368.12	Transient visual loss	transient visual loss	['368', '368.9']	['386', '386.8']
368.13	Visual discomfort	visual discomfort	['368', '368.9']	['386', '386.3']
368.14	Visual distortions of shape and size	visual distortions of shape and size	['368', '368.9']	['386', '386.9']
368.15	Other visual distortions and entoptic phenomena	other visual distortions and entoptic phenomena	['368', '368.9']	['386', '386.9']
368.16	Psychophysical visual disturbances	psychophysical visual disturbances	['368', '368.9', '368.91']	['353', '353.1', '353.12']
368.2	Diplopia	diplopia	['368', '368.2']	['386', '386.2']
368.3	Other disorders of binocular vision	other disorders of binocular vision	['368', '368.2']	['386']
368.30	Binocular vision disorder, unspecified	binocular vision disorder	['368', '368.2']	['386']
368.31	Suppression of binocular vision	suppression of binocular vision	['368', '368.2']	['386']
368.32	Simultaneous visual perception without fusion	simultaneous visual perception without fusion	['368', '368.2']	['386']
368.33	Fusion with defective stereopsis	fusion with defective stereopsis	['368', '368.2']	['386']
368.34	Abnormal retinal correspondence	abnormal retinal correspondence	['368', '368.2']	['386']
368.4	Visual field defects	visual field defects	['368.4']	['386', '386.4']
368.40	Visual field defect, unspecified	visual field defect	['368.4']	['386', '386.4']
368.41	Scotoma involving central area	scotoma involving central area	['368.4']	['386', '386.4', '386.41']
368.42	Scotoma of blind spot area	scotoma of blind spot area	['368.4']	['386', '386.4', '386.41']
368.43	Sector or arcuate visual field defects	sector or arcuate visual field defects	['368.4']	['386', '386.4']
368.44	Other localized visual field defect	other localized visual field defect	['368.4']	['386', '386.4']
368.45	Generalized visual field contraction or constriction	generalized visual field contraction or constriction	['368.4']	['386', '386.4', '386.43']
368.46	Homonymous bilateral field defects	homonymous bilateral field defects	['368.4']	['386', '386.4', '386.42']
368.47	Heteronymous bilateral field defects	heteronymous bilateral field defects	['368.4']	['386', '386.4', '386.42']
368.5	Color vision deficiencies	color vision deficiencies	['368.5']	['386', '386.5']
368.51	Protan defect	protan defect	['368.5']	['386', '386.5']
368.52	Deutan defect	deutan defect	['368.5']	['386', '386.5']
368.53	Tritan defect	tritan defect	['368.5']	['386', '386.5']
368.54	Achromatopsia	achromatopsia	['368.5']	['386', '386.5']
368.55	Acquired color vision deficiencies	acquired color vision deficiencies	['368.5']	['386', '386.5']
368.59	Other color vision deficiencies	other color vision deficiencies	['368.5']	['386', '386.5']
368.6	Night blindness	night blindness	['368']	['386', '386.6']
368.60	Night blindness, unspecified	night blindness	['368']	['386', '386.6']
368.61	Congenital night blindness	congenital night blindness	['368']	['386', '386.6']
368.62	Acquired night blindness	acquired night blindness	['368']	['386', '386.6']
368.63	Abnormal dark adaptation curve	abnormal dark adaptation curve	['368']	['386', '386.6']
368.69	Other night blindness	other night blindness	['368']	['386', '386.6']
368.8	Other specified visual disturbances	other specified visual disturbances	['368']	['386']
368.9	Unspecified visual disturbance	visual disturbance	['368']	['386']
369	Blindness and low vision	blindness and low vision	['367', '367.9']	['388']
369.0	Profound vision impairment, both eyes	profound vision impairment both eyes	['367', '367.9']	['388']
369.00	Profound impairment, both eyes, impairment level not further specified	profound impairment both eyes impairment level not further specified	['367', '367.9']	['388', '388.1']
369.01	Better eye: total vision impairment; lesser eye: total vision impairment	better eye total vision impairment lesser eye total vision impairment	['367', '367.9']	['388', '388.1']
369.02	Better eye: near-total vision impairment; lesser eye: not further specified	better eye near-total vision impairment lesser eye not further specified	['367', '367.9']	['388']
369.03	Better eye: near-total vision impairment; lesser eye: total vision impairment	better eye near-total vision impairment lesser eye total vision impairment	['367', '367.9']	['388']
369.04	Better eye: near-total vision impairment; lesser eye: near-total vision impairment	better eye near-total vision impairment lesser eye near-total vision impairment	['367', '367.9']	['388']
369.05	Better eye: profound vision impairment; lesser eye: not further specified	better eye profound vision impairment lesser eye not further specified	['367', '367.9']	['388']
369.06	Better eye: profound vision impairment; lesser eye: total vision impairment	better eye profound vision impairment lesser eye total vision impairment	['367', '367.9']	['388']
369.07	Better eye: profound vision impairment; lesser eye: near-total vision impairment	better eye profound vision impairment lesser eye near-total vision impairment	['367', '367.9']	['388']
369.08	Better eye: profound vision impairment; lesser eye: profound vision impairment	better eye profound vision impairment lesser eye profound vision impairment	['367', '367.9']	['388']
369.1	Moderate or severe vision impairment, better eye; profound vision impairment of lesser eye	moderate or severe vision impairment better eye profound vision impairment of lesser eye	['367', '367.9']	['388']
369.10	Moderate or severe impairment, better eye, impairment level not further specified	moderate or severe impairment better eye impairment level not further specified	['367', '367.9']	['388']
369.11	Better eye: severe vision impairment; lesser eye: blind, not further specified	better eye severe vision impairment lesser eye blind not further specified	['367', '367.9']	['388']
369.12	Better eye: severe vision impairment; lesser eye: total vision impairment	better eye severe vision impairment lesser eye total vision impairment	['367', '367.9']	['388']
369.13	Better eye: severe vision impairment; lesser eye: near-total vision impairment	better eye severe vision impairment lesser eye near-total vision impairment	['367', '367.9']	['388']
369.14	Better eye: severe vision impairment; lesser eye: profound vision impairment	better eye severe vision impairment lesser eye profound vision impairment	['367', '367.9']	['388']
369.15	Better eye: moderate vision impairment; lesser eye: blind, not further specified	better eye moderate vision impairment lesser eye blind not further specified	['367', '367.9']	['388']
