phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
NS_337.3	Toxic polyneuropathy	toxic polyneuropathy	Neurological
NS_337.4	Critical illness polyneuropathy	critical illness polyneuropathy	Neurological
NS_337.5	Polyneuropathy related to infections	polyneuropathy related to infections	Neurological
NS_337.6	Idiopathic progressive neuropathy	idiopathic progressive neuropathy	Neurological
NS_338	Myasthenia gravis and other myoneural disorders	myasthenia gravis and other myoneural disorders	Neurological
NS_338.1	Myasthenia gravis	myasthenia gravis	Neurological
NS_338.2	Toxic myoneural disorders	toxic myoneural disorders	Neurological
NS_338.3	Lambert-Eaton syndrome	lambert-eaton syndrome	Neurological
NS_339	Primary disorders of muscles	primary disorders of muscles	Neurological
NS_339.2	Myotonic disorders	myotonic disorders	Neurological
NS_339.4	Periodic paralysis	periodic paralysis	Neurological
NS_340	Myopathies	myopathies	Neurological
NS_340.1	Critical illness myopathy	critical illness myopathy	Neurological
NS_340.2	Toxic myopathy	toxic myopathy	Neurological
NS_340.3	Inflammatory and immune myopathies	inflammatory and immune myopathies	Neurological
NS_341	Cerebral palsy and other paralytic syndromes	cerebral palsy and other paralytic syndromes	Neurological
NS_341.1	Cerebral palsy	cerebral palsy	Neurological
NS_341.11	Spastic cerebral palsy*	spastic cerebral palsy	Neurological
NS_341.12	Athetoid cerebral palsy	athetoid cerebral palsy	Neurological
NS_341.13	Ataxic cerebral palsy*	ataxic cerebral palsy	Neurological
NS_341.2	Hemiplegia and hemiparesis	hemiplegia and hemiparesis	Neurological
NS_341.21	Flaccid hemiplegia	flaccid hemiplegia	Neurological
NS_341.22	Spastic hemiplegia	spastic hemiplegia	Neurological
NS_341.23	Brown-Sequard syndrome	brown-sequard syndrome	Neurological
NS_341.6	Cauda equina syndrome	cauda equina syndrome	Neurological
NS_341.9	Transient paralysis	transient paralysis	Neurological
NS_342	Plegia and unspecified paralysis	plegia andparalysis	Neurological
NS_342.1	Paraplegia/Diplegia	paraplegiadiplegia	Neurological
NS_342.2	Quadriplegia	quadriplegia	Neurological
NS_342.4	Monoplegia	monoplegia	Neurological
NS_343	Disorders of autonomic nervous system	disorders of autonomic nervous system	Neurological
NS_343.1	Peripheral autonomic neuropathy	peripheral autonomic neuropathy	Neurological
NS_343.2	Autonomic dysreflexia	autonomic dysreflexia	Neurological
NS_343.3	Complex regional pain syndrome	complex regional pain syndrome	Neurological
NS_343.5	Horner's syndrome*	horners syndrome	Neurological
NS_343.6	Multi-system degeneration of the autonomic nervous system*	multi-system degeneration of the autonomic nervous system	Neurological
NS_343.7	Postural orthostatic tachycardia syndrome [POTS]*	postural orthostatic tachycardia syndrome pots	Neurological
NS_344.1	Hydrocephalus	hydrocephalus	Neurological
NS_344.11	Communicating hydrocephalus	communicating hydrocephalus	Neurological
NS_344.12	Obstructive hydrocephalus	obstructive hydrocephalus	Neurological
NS_344.13	(Idiopathic) normal pressure hydrocephalus	idiopathic normal pressure hydrocephalus	Neurological
NS_344.2	Benign intracranial hypertension	benign intracranial hypertension	Neurological
NS_344.3	Cerebrospinal fluid leak	cerebrospinal fluid leak	Neurological
NS_345	Encephalopathy	encephalopathy	Neurological
NS_345.1	Toxic encephalopathy	toxic encephalopathy	Neurological
NS_345.2	Metabolic encephalopathy	metabolic encephalopathy	Neurological
NS_345.3	Hypertensive encephalopathy	hypertensive encephalopathy	Neurological
NS_345.5	Posterior reversible encephalopathy syndrome*	posterior reversible encephalopathy syndrome	Neurological
NS_346	Brain damage and brain death	brain damage and brain death	Neurological
NS_346.1	Postconcussion syndrome	postconcussion syndrome	Neurological
NS_346.2	Pseudobulbar affect	pseudobulbar affect	Neurological
NS_346.3	Anoxic brain damage	anoxic brain damage	Neurological
NS_346.5	Compression of brain	compression of brain	Neurological
NS_346.6	Cerebral edema	cerebral edema	Neurological
NS_347	Other disorders of the brain and CNS	other disorders of the brain and cns	Neurological
NS_347.1	Cerebral cysts	cerebral cysts	Neurological
NS_347.2	Disorders of meninges	disorders of meninges	Neurological
NS_347.21	Dural tear	dural tear	Neurological
NS_347.3	Temporal sclerosis	temporal sclerosis	Neurological
NS_348	Other diseases of spinal cord	other diseases of spinal cord	Neurological
NS_348.1	Syringomyelia and syringobulbia	syringomyelia and syringobulbia	Neurological
NS_348.2	Myelopathies	myelopathies	Neurological
NS_348.21	Vascular myelopathies	vascular myelopathies	Neurological
NS_348.4	Spinal cord compression*	spinal cord compression	Neurological
NS_349	Disorder of nervous system	disorder of nervous system	Neurological
NS_349.1	Abnormal findings on diagnostic test of central nervous system	abnormal findings on diagnostic test of central nervous system	Neurological
NS_349.12	Abnormal electroencephalogram [EEG]	abnormal electroencephalogram eeg	Neurological
NS_349.13	Abnormal findings on diagnostic imaging of skull and head	abnormal findings on diagnostic imaging of skull and head	Neurological
NS_349.14	White matter disease, unspecified*	white matter disease	Neurological
NS_349.15	Intracranial space-occupying lesion found on diagnostic imaging of central nervous system*	intracranial space-occupying lesion found on diagnostic imaging of central nervous system	Neurological
NS_349.2	Abnormal results of function studies of peripheral nervous system	abnormal results of function studies of peripheral nervous system	Neurological
NS_349.3	Nonspecific abnormal electromyogram [EMG]	nonspecific abnormal electromyogram emg	Neurological
NS_350	Other symptoms involving nervous  system	other symptoms involving nervous  system	Neurological
NS_350.2	Meningismus	meningismus	Neurological
NS_350.3	Abnormal reflex	abnormal reflex	Neurological
NS_350.4	Abnormal posture	abnormal posture	Neurological
NS_350.5	Repeated falls*	repeated falls	Neurological
NS_351	Disturbances of skin sensation	disturbances of skin sensation	Neurological
NS_351.1	Anesthesia of skin*	anesthesia of skin	Neurological
NS_351.2	Hypoesthesia of skin*	hypoesthesia of skin	Neurological
NS_351.3	Paresthesia of skin*	paresthesia of skin	Neurological
NS_351.4	Hyperesthesia*	hyperesthesia	Neurological
NS_352	Disturbances of sensation of smell and taste	disturbances of sensation of smell and taste	Neurological
NS_352.1	Anosmia and Parosmia*	anosmia and parosmia	Neurological
NS_352.2	Parageusia*	parageusia	Neurological
NS_354	Dizziness and giddiness	dizziness and giddiness	Neurological
NS_355	Coma and other alteration of consciousness	coma and other alteration of consciousness	Neurological
NS_355.1	Coma	coma	Neurological
NS_355.2	Alteration of consciousness	alteration of consciousness	Neurological
NS_355.21	Transient alteration of awareness	transient alteration of awareness	Neurological
NS_356	Speech disturbance	speech disturbance	Neurological
NS_356.1	Dysarthria	dysarthria	Neurological
NS_356.2	Aphasia and dysphasia	aphasia and dysphasia	Neurological
NS_356.4	Slurred speech*	slurred speech	Neurological
SO_360	Inflammation of eyelids	inflammation of eyelids	Sense organs
SO_360.1	Hordeolum	hordeolum	Sense organs
SO_360.2	Chalazion	chalazion	Sense organs
SO_360.4	Blepharitis	blepharitis	Sense organs
SO_360.41	Ulcerative blepharitis	ulcerative blepharitis	Sense organs
SO_360.42	Squamous blepharitis	squamous blepharitis	Sense organs
SO_360.5	Noninfectious dermatoses of eyelid	noninfectious dermatoses of eyelid	Sense organs
SO_360.51	Eczematous dermatitis of eyelid	eczematous dermatitis of eyelid	Sense organs
SO_360.52	Xeroderma of eyelid	xeroderma of eyelid	Sense organs
SO_360.53	Allergic dermatitis of eyelid	allergic dermatitis of eyelid	Sense organs
SO_360.54	Discoid lupus erythematosus of eyelid	discoid lupus erythematosus of eyelid	Sense organs
SO_360.6	Abscess of eyelid	abscess of eyelid	Sense organs
SO_361	Disorders of eyelid function	disorders of eyelid function	Sense organs
SO_361.1	Entropion and trichiasis of eyelid	entropion and trichiasis of eyelid	Sense organs
SO_361.12	Mechanical entropion	mechanical entropion	Sense organs
SO_361.13	Spastic entropion	spastic entropion	Sense organs
SO_361.14	Cicatricial entropion	cicatricial entropion	Sense organs
SO_361.15	Trichiasis of eyelid without entropion	trichiasis of eyelid without entropion	Sense organs
SO_361.2	Lagophthalmos	lagophthalmos	Sense organs
SO_361.22	Mechanical lagophthalmos	mechanical lagophthalmos	Sense organs
SO_361.24	Cicatricial lagophthalmos	cicatricial lagophthalmos	Sense organs
SO_361.25	Paralytic lagophthalmos	paralytic lagophthalmos	Sense organs
SO_361.3	Ptosis of eyelid	ptosis of eyelid	Sense organs
SO_361.32	Mechanical ptosis of eyelid	mechanical ptosis of eyelid	Sense organs
SO_361.33	Myogenic ptosis of eyelid	myogenic ptosis of eyelid	Sense organs
SO_361.35	Paralytic ptosis	paralytic ptosis	Sense organs
SO_361.36	Brow ptosis*	brow ptosis	Sense organs
SO_361.4	Blepharochalasis	blepharochalasis	Sense organs
SO_361.5	Eyelid retraction	eyelid retraction	Sense organs
SO_361.6	Abnormal innervation syndrome of eyelid	abnormal innervation syndrome of eyelid	Sense organs
SO_361.8	Blepharophimosis	blepharophimosis	Sense organs
SO_361.9	Ectropion of eyelid	ectropion of eyelid	Sense organs
SO_361.92	Mechanical ectropion	mechanical ectropion	Sense organs
SO_361.93	Spastic ectropion	spastic ectropion	Sense organs
SO_361.94	Cicatricial ectropion	cicatricial ectropion	Sense organs
SO_362	Other disorders of the eyelids	other disorders of the eyelids	Sense organs
SO_362.1	Xanthelasma of eyelid	xanthelasma of eyelid	Sense organs
SO_362.2	Hyperpigmentation of eyelid [Chloasma]	hyperpigmentation of eyelid chloasma	Sense organs
SO_362.3	Hypertrichosis of eyelid	hypertrichosis of eyelid	Sense organs
SO_362.4	Hypotrichosis of eyelid [Madarosis]	hypotrichosis of eyelid madarosis	Sense organs
SO_362.5	Cysts of eyelid	cysts of eyelid	Sense organs
SO_362.6	Dermatochalasis of eyelid	dermatochalasis of eyelid	Sense organs
SO_362.7	Edema of eyelid	edema of eyelid	Sense organs
SO_362.8	Meibomian gland dysfunction of eyelid*	meibomian gland dysfunction of eyelid	Sense organs
SO_363	Disorders of lacrimal system	disorders of lacrimal system	Sense organs
SO_363.1	Dacryoadenitis	dacryoadenitis	Sense organs
SO_363.2	Dry eye syndrome [Tear film insufficiency]	dry eye syndrome tear film insufficiency	Sense organs
SO_363.3	Lacrimal cysts	lacrimal cysts	Sense organs
SO_363.4	Lacrimal atrophy	lacrimal atrophy	Sense organs
SO_363.5	Epiphora	epiphora	Sense organs
SO_363.51	Epiphora due to excess lacrimation	epiphora due to excess lacrimation	Sense organs
SO_363.52	Epiphora due to insufficient drainage	epiphora due to insufficient drainage	Sense organs
SO_363.6	Inflammation of lacrimal passages	inflammation of lacrimal passages	Sense organs
SO_363.61	Dacryocystitis	dacryocystitis	Sense organs
SO_363.62	Canaliculitis	canaliculitis	Sense organs
SO_363.63	Lacrimal mucocele	lacrimal mucocele	Sense organs
SO_363.7	Stenosis and insufficiency of lacrimal passages	stenosis and insufficiency of lacrimal passages	Sense organs
SO_365	Disorders of the orbit	disorders of the orbit	Sense organs
SO_365.1	Enophthalmos	enophthalmos	Sense organs
SO_365.2	Orbital edema or congestion	orbital edema or congestion	Sense organs
SO_365.3	Exophthalmos [Proptosis]	exophthalmos proptosis	Sense organs
SO_365.4	Orbital cysts	orbital cysts	Sense organs
SO_365.5	Myopathy of extraocular muscles	myopathy of extraocular muscles	Sense organs
SO_365.6	Deformity of orbit	deformity of orbit	Sense organs
SO_366	Disorders of conjunctiva	disorders of conjunctiva	Sense organs
SO_366.1	Pterygium of eye	pterygium of eye	Sense organs
SO_366.2	Conjunctival degenerations and deposits	conjunctival degenerations and deposits	Sense organs
SO_366.21	Pinguecula	pinguecula	Sense organs
SO_366.3	Conjunctival scars	conjunctival scars	Sense organs
SO_366.4	Vascular abnormalities of conjunctiva	vascular abnormalities of conjunctiva	Sense organs
SO_366.42	Conjunctival hyperemia	conjunctival hyperemia	Sense organs
SO_366.5	Conjunctival edema	conjunctival edema	Sense organs
SO_366.6	Conjunctival cysts	conjunctival cysts	Sense organs
SO_367	Inflammation of the eye	inflammation of the eye	Sense organs
SO_367.1	Conjunctivitis	conjunctivitis	Sense organs
SO_367.11	Follicular conjunctivitis	follicular conjunctivitis	Sense organs
SO_367.12	Allergic conjunctivitis	allergic conjunctivitis	Sense organs
SO_367.13	Blepharoconjunctivitis	blepharoconjunctivitis	Sense organs
SO_367.2	Keratitis	keratitis	Sense organs
SO_367.21	Corneal ulcer	corneal ulcer	Sense organs
SO_367.22	Punctate keratitis	punctate keratitis	Sense organs
SO_367.3	Keratoconjunctivitis	keratoconjunctivitis	Sense organs
SO_367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Sense organs
SO_367.32	Neurotrophic keratoconjunctivitis	neurotrophic keratoconjunctivitis	Sense organs
SO_367.4	Inflammation of orbit	inflammation of orbit	Sense organs
SO_367.41	Cellulitis of orbit	cellulitis of orbit	Sense organs
SO_367.42	Granuloma of orbit	granuloma of orbit	Sense organs
SO_367.5	Uveitis	uveitis	Sense organs
SO_367.51	Panuveitis	panuveitis	Sense organs
SO_367.52	Iridocyclitis	iridocyclitis	Sense organs
SO_367.53	Chorioretinitis	chorioretinitis	Sense organs
SO_367.56	Vogt-Koyanagi-Harada Disease	vogt-koyanagi-harada disease	Sense organs
SO_367.6	Episcleritis	episcleritis	Sense organs
SO_367.7	Scleritis	scleritis	Sense organs
SO_367.8	Hypopyon	hypopyon	Sense organs
SO_367.9	Chorioretinal inflammation	chorioretinal inflammation	Sense organs
SO_368	Disorders of sclera	disorders of sclera	Sense organs
SO_368.1	Scleral staphyloma	scleral staphyloma	Sense organs
SO_368.2	Scleral ectasia	scleral ectasia	Sense organs
SO_369	Disorders of the cornea	disorders of the cornea	Sense organs
SO_369.1	Corneal scars and opacities	corneal scars and opacities	Sense organs
SO_369.11	Peripheral opacity of cornea	peripheral opacity of cornea	Sense organs
SO_369.12	Central opacity of cornea	central opacity of cornea	Sense organs
SO_369.14	Corneal pigmentations	corneal pigmentations	Sense organs
SO_369.15	Corneal deposits	corneal deposits	Sense organs
SO_369.2	Corneal edema	corneal edema	Sense organs
SO_369.3	Corneal neovascularization	corneal neovascularization	Sense organs
SO_369.4	Corneal degenerations	corneal degenerations	Sense organs
SO_369.42	Recurrent erosion of cornea	recurrent erosion of cornea	Sense organs
SO_369.43	Band keratopathy	band keratopathy	Sense organs
SO_369.44	Senile corneal changes including arcus senilis	senile corneal changes including arcus senilis	Sense organs
SO_369.6	Corneal deformities	corneal deformities	Sense organs
SO_369.61	Corneal ectasia	corneal ectasia	Sense organs
SO_369.62	Keratoconus	keratoconus	Sense organs
SO_369.7	Endothelial corneal dystrophy [Fuchs' dystrophy]	endothelial corneal dystrophy fuchs dystrophy	Sense organs
SO_370	Disorders of iris and ciliary body	disorders of iris and ciliary body	Sense organs
SO_370.1	Degeneration of iris and ciliary body	degeneration of iris and ciliary body	Sense organs
SO_370.11	Pigmentary iris degeneration	pigmentary iris degeneration	Sense organs
SO_370.2	Cyst of iris, ciliary body and anterior chamber	cyst of iris ciliary body and anterior chamber	Sense organs
SO_370.3	Vascular disorders of iris and ciliary body	vascular disorders of iris and ciliary body	Sense organs
SO_370.4	Adhesions and disruptions of iris and ciliary body	adhesions and disruptions of iris and ciliary body	Sense organs
SO_370.41	Pupillary abnormalities	pupillary abnormalities	Sense organs
SO_370.6	Floppy iris syndrome	floppy iris syndrome	Sense organs
SO_371	Cataract	cataract	Sense organs
SO_371.1	Cortical age-related cataract	cortical age-related cataract	Sense organs
SO_371.21	Anterior subcapsular polar cataract	anterior subcapsular polar cataract	Sense organs
SO_371.22	Posterior subcapsular polar cataract	posterior subcapsular polar cataract	Sense organs
SO_371.3	Nuclear cataract	nuclear cataract	Sense organs
SO_371.4	Cortical, lamellar, or zonular nonsenile cataract	cortical lamellar or zonular nonsenile cataract	Sense organs
SO_372	Disorders of lens (excluding cataracts)	disorders of lens excluding cataracts	Sense organs
SO_372.1	Aphakia	aphakia	Sense organs
SO_372.2	Dislocation of lens	dislocation of lens	Sense organs
SO_373	Disorders of choroid	disorders of choroid	Sense organs
SO_373.1	Chorioretinal scars	chorioretinal scars	Sense organs
SO_373.2	Choroidal degenerations	choroidal degenerations	Sense organs
SO_373.5	Choroidal detachment	choroidal detachment	Sense organs
SO_374	Disorders of the retina	disorders of the retina	Sense organs
SO_374.1	Retinal detachments and breaks	retinal detachments and breaks	Sense organs
SO_374.11	Serous retinal detachment	serous retinal detachment	Sense organs
SO_374.12	Traction detachment of retina	traction detachment of retina	Sense organs
SO_374.13	Horseshoe tear of retina without detachment	horseshoe tear of retina without detachment	Sense organs
SO_374.14	Round hole of retina without detachment	round hole of retina without detachment	Sense organs
SO_374.2	Retinoschisis and retinal cysts	retinoschisis and retinal cysts	Sense organs
SO_374.21	Retinoschisis	retinoschisis	Sense organs
SO_374.22	Retinal cysts	retinal cysts	Sense organs
SO_374.3	Retinal vasculopathy	retinal vasculopathy	Sense organs
SO_374.32	Retinal microaneurysms	retinal microaneurysms	Sense organs
SO_374.33	Retinal neovascularization	retinal neovascularization	Sense organs
SO_374.34	Retinal vasculitis	retinal vasculitis	Sense organs
SO_374.35	Retinal telangiectasis	retinal telangiectasis	Sense organs
SO_374.36	Retinal ischemia	retinal ischemia	Sense organs
SO_374.4	Retinopathy	retinopathy	Sense organs
SO_374.41	Hypertensive retinopathy	hypertensive retinopathy	Sense organs
SO_374.42	Diabetic retinopathy	diabetic retinopathy	Sense organs
SO_374.43	Exudative retinopathy	exudative retinopathy	Sense organs
SO_374.44	Central serous chorioretinopathy	central serous chorioretinopathy	Sense organs
SO_374.5	Macular degeneration	macular degeneration	Sense organs
SO_374.51	Age-related macular degeneration	age-related macular degeneration	Sense organs
SO_374.511	Nonexuadative (dry) age-related macular degeneration	nonexuadative dry age-related macular degeneration	Sense organs
SO_374.512	Exuadative (wet) age-related macular degeneration	exuadative wet age-related macular degeneration	Sense organs
SO_374.53	Cystoid macular degeneration	cystoid macular degeneration	Sense organs
SO_374.54	Drusen (degenerative) of macula	drusen degenerative of macula	Sense organs
SO_374.6	Peripheral retinal degeneration	peripheral retinal degeneration	Sense organs
SO_374.61	Lattice degeneration of retina	lattice degeneration of retina	Sense organs
SO_374.71	Puckering of macula	puckering of macula	Sense organs
SO_374.72	Toxic maculopathy of retina	toxic maculopathy of retina	Sense organs
SO_374.73	Angioid streaks of macula	angioid streaks of macula	Sense organs
SO_374.74	Macular cyst, hole, or pseudohole	macular cyst hole or pseudohole	Sense organs
SO_374.8	Retinal edema	retinal edema	Sense organs
SO_374.9	Retinal occlusions	retinal occlusions	Sense organs
SO_374.91	Transient retinal arterial occlusion [Amaurosis fugax]	transient retinal arterial occlusion amaurosis fugax	Sense organs
SO_375	Abnormal intraocular pressure	abnormal intraocular pressure	Sense organs
SO_375.1	Glaucoma	glaucoma	Sense organs
SO_375.11	Open angle glaucoma	open angle glaucoma	Sense organs
SO_375.111	Capsular glaucoma with pseudoexfoliation of lens	capsular glaucoma with pseudoexfoliation of lens	Sense organs
SO_375.112	Pigmentary glaucoma	pigmentary glaucoma	Sense organs
SO_375.113	Low-tension glaucoma	low-tension glaucoma	Sense organs
SO_375.12	Angle-Closure Glaucoma	angle-closure glaucoma	Sense organs
SO_375.6	Ocular hypertension	ocular hypertension	Sense organs
SO_375.61	Blind hypertensive eye	blind hypertensive eye	Sense organs
SO_375.7	Hypotony of eye	hypotony of eye	Sense organs
SO_376	Disorders of vitreous body	disorders of vitreous body	Sense organs
SO_376.1	Vitreous degeneration	vitreous degeneration	Sense organs
SO_376.2	Vitreous opacities	vitreous opacities	Sense organs
SO_376.21	Crystalline deposits in vitreous body	crystalline deposits in vitreous body	Sense organs
SO_376.22	Vitreous membranes and strands	vitreous membranes and strands	Sense organs
SO_376.3	Vitreous prolapse	vitreous prolapse	Sense organs
SO_376.4	Vitreomacular adhesion	vitreomacular adhesion	Sense organs
SO_377	Hemorrhage of the eye	hemorrhage of the eye	Sense organs
SO_377.1	Hemorrhage of orbit	hemorrhage of orbit	Sense organs
SO_377.2	Conjunctival hemorrhage	conjunctival hemorrhage	Sense organs
SO_377.3	Choroidal hemorrhage and rupture	choroidal hemorrhage and rupture	Sense organs
SO_377.4	Retinal hemorrhage	retinal hemorrhage	Sense organs
SO_377.5	Vitreous hemorrhage	vitreous hemorrhage	Sense organs
SO_377.6	Hemorrhage in optic nerve sheath	hemorrhage in optic nerve sheath	Sense organs
SO_377.7	Hemophthalmos	hemophthalmos	Sense organs
SO_377.8	Hyphema	hyphema	Sense organs
SO_379	Infection of the eye	infection of the eye	Sense organs
SO_379.2	Eye infection, viral	eye infection viral	Sense organs
SO_379.3	Eye infection, toxoplasmosis	eye infection toxoplasmosis	Sense organs
SO_380	Disorders of optic nerve and visual pathways	disorders of optic nerve and visual pathways	Sense organs
SO_380.1	Optic neuropathy	optic neuropathy	Sense organs
SO_380.11	Optic neuritis	optic neuritis	Sense organs
SO_380.12	Ischemic optic neuropathy	ischemic optic neuropathy	Sense organs
SO_380.2	Disorders of optic disc	disorders of optic disk	Sense organs
SO_380.21	Papilledema	papilledema	Sense organs
SO_380.22	Optic disc drusen	optic disk drusen	Sense organs
SO_380.23	Optic nerve hypoplasia	optic nerve hypoplasia	Sense organs
SO_380.24	Pseudopapilledema of optic disc	pseudopapilledema of optic disk	Sense organs
SO_380.3	Optic atrophy	optic atrophy	Sense organs
SO_380.5	Disorders of visual cortex	disorders of visual cortex	Sense organs
SO_380.51	Cortical blindness	cortical blindness	Sense organs
SO_381	Strabismus	strabismus	Sense organs
SO_381.1	Paralytic strabismus [Neurogenic strabismus]	paralytic strabismus neurogenic strabismus	Sense organs
SO_381.11	Ophthalmoplegia	ophthalmoplegia	Sense organs
SO_381.3	Esotropia	esotropia	Sense organs
SO_381.31	Alternating esotropia	alternating esotropia	Sense organs
SO_381.32	Accommodative esotropia	accommodative esotropia	Sense organs
SO_381.4	Exotropia	exotropia	Sense organs
SO_381.41	Alternating exotropia	alternating exotropia	Sense organs
SO_381.5	Vertical strabismus	vertical strabismus	Sense organs
SO_381.6	Duane's syndrome [Duane anomaly]	duanes syndrome duane anomaly	Sense organs
SO_381.7	Cyclotropia	cyclotropia	Sense organs
SO_381.8	Heterophoria	heterophoria	Sense organs
SO_381.81	Esophoria	esophoria	Sense organs
SO_381.82	Exophoria	exophoria	Sense organs
SO_381.83	Cyclophoria	cyclophoria	Sense organs
SO_382	Other disorders of binocular movement	other disorders of binocular movement	Sense organs
SO_382.1	Impaired convergence	impaired convergence	Sense organs
SO_382.2	Palsy of conjugate gaze	palsy of conjugate gaze	Sense organs
SO_383	Irregular eye movements	irregular eye movements	Sense organs
SO_383.1	Nystagmus	nystagmus	Sense organs
SO_383.2	Saccadic eye movements	saccadic eye movements	Sense organs
SO_384	Anomalies of pupillary function	anomalies of pupillary function	Sense organs
SO_384.1	Anisocoria	anisocoria	Sense organs
SO_384.2	Miosis	miosis	Sense organs
SO_384.3	Mydriasis	mydriasis	Sense organs
SO_384.4	Tonic pupil	tonic pupil	Sense organs
SO_385	Abnormal results of function studies of eye	abnormal results of function studies of eye	Sense organs
SO_386	Visual disturbances	visual disturbances	Sense organs
SO_386.1	Amblyopia	amblyopia	Sense organs
SO_386.2	Diplopia	diplopia	Sense organs
SO_386.3	Visual discomfort	visual discomfort	Sense organs
SO_386.4	Visual field defects	visual field defects	Sense organs
SO_386.41	Scotoma	scotoma	Sense organs
SO_386.42	Hemianopia	hemianopia	Sense organs
SO_386.43	Constriction of visual field	constriction of visual field	Sense organs
SO_386.5	Color vision deficiencies	color vision deficiencies	Sense organs
SO_386.6	Night blindness	night blindness	Sense organs
SO_386.7	Impaired contrast sensitivity*	impaired contrast sensitivity	Sense organs
SO_386.8	Sudden or transient visual loss	sudden or transient visual loss	Sense organs
SO_386.9	Visual distortions and subjective visual disturbances	visual distortions and subjective visual disturbances	Sense organs
SO_387	Disorders of refraction and accommodation	disorders of refraction and accommodation	Sense organs
SO_387.1	Hypermetropia	hypermetropia	Sense organs
SO_387.2	Myopia	myopia	Sense organs
SO_387.21	Progressive high (degenerative) myopia	progressive high degenerative myopia	Sense organs
SO_387.3	Astigmatism	astigmatism	Sense organs
SO_387.4	Presbyopia	presbyopia	Sense organs
SO_387.5	Anisometropia	anisometropia	Sense organs
SO_387.6	Aniseikonia	aniseikonia	Sense organs
SO_387.8	Disorders of accommodation	disorders of accommodation	Sense organs
SO_388	Blindness and low vision	blindness and low vision	Sense organs
SO_389	Other disorders of eye	other disorders of eye	Sense organs
SO_389.1	Ocular pain	ocular pain	Sense organs
SO_389.2	Leucocoria	leucocoria	Sense organs
SO_390	Disorders of external ear	disorders of external ear	Sense organs
SO_390.1	Otitis externa	otitis externa	Sense organs
SO_390.2	Exostosis of external auditory canal	exostosis of external auditory canal	Sense organs
SO_390.4	Impacted cerumen	impacted cerumen	Sense organs
SO_390.5	Stenosis of external ear canal	stenosis of external ear canal	Sense organs
SO_390.6	Perichondritis and chondritis of pinna	perichondritis and chondritis of pinna	Sense organs
SO_391	Disorders of the middle ear	disorders of the middle ear	Sense organs
SO_391.1	Otitis media	otitis media	Sense organs
SO_391.2	Eustachian tube disorders	eustachian tube disorders	Sense organs
SO_391.21	Eustachian salpingitis	eustachian salpingitis	Sense organs
SO_391.22	Obstruction of Eustachian tube	obstruction of eustachian tube	Sense organs
SO_391.23	Patulous Eustachian tube	patulous eustachian tube	Sense organs
SO_391.3	Adhesive middle ear disease [Glue ear]	adhesive middle ear disease glue ear	Sense organs
SO_391.4	Tympanosclerosis	tympanosclerosis	Sense organs
SO_391.5	Abnormalities of ear ossicles	abnormalities of ear ossicles	Sense organs
SO_391.6	Cholesteatoma of middle ear	cholesteatoma of middle ear	Sense organs
SO_391.7	Perforation of tympanic membrane	perforation of tympanic membrane	Sense organs
SO_391.8	Otosclerosis	otosclerosis	Sense organs
SO_391.9	Myringitis	myringitis	Sense organs
SO_392.1	Otalgia [ear pain]	otalgia ear pain	Sense organs
SO_392.2	Otorrhea	otorrhea	Sense organs
SO_393	Mastoiditis and related conditions	mastoiditis and related conditions	Sense organs
SO_394	Disorders of vestibular function	disorders of vestibular function	Sense organs
SO_394.1	Meniere's disease	menieres disease	Sense organs
SO_394.2	Vertigo	vertigo	Sense organs
SO_394.21	Paroxysmal vertigo	paroxysmal vertigo	Sense organs
SO_394.22	Vestibular neuronitis	vestibular neuronitis	Sense organs
SO_394.23	Central origin vertigo	central origin vertigo	Sense organs
SO_394.4	Abnormal vestibular function study	abnormal vestibular function study	Sense organs
SO_395	Other diseases of inner ear	other diseases of inner ear	Sense organs
SO_395.1	Labyrinthitis	labyrinthitis	Sense organs
SO_395.2	Labyrinthine fistula	labyrinthine fistula	Sense organs
SO_396	Hearing impairment	hearing impairment	Sense organs
SO_396.1	Conductive hearing loss	conductive hearing loss	Sense organs
SO_396.2	Sensorineural hearing loss	sensorineural hearing loss	Sense organs
SO_396.3	Mixed conductive and sensorineural hearing loss	mixed conductive and sensorineural hearing loss	Sense organs
SO_396.4	Ototoxic hearing loss*	ototoxic hearing loss	Sense organs
SO_396.5	Sudden idiopathic hearing loss	sudden idiopathic hearing loss	Sense organs
SO_396.6	Transient ischemic deafness	transient ischemic deafness	Sense organs
SO_396.7	Deaf nonspeaking, not elsewhere classified	deaf nonspeaking not elsewhere classified	Sense organs
SO_396.8	Bilateral hearing loss	bilateral hearing loss	Sense organs
SO_396.9	Unilateral hearing loss	unilateral hearing loss	Sense organs
SO_397	Other hearing abnormality	other hearing abnormality	Sense organs
SO_397.1	Tinnitus	tinnitus	Sense organs
SO_397.11	Pulsatile tinnitus*	pulsatile tinnitus	Sense organs
SO_397.2	Noise effects on inner ear	noise effects on inner ear	Sense organs
SO_397.3	Hyperacusis	hyperacusis	Sense organs
SO_398	Other disorders of ear	other disorders of ear	Sense organs
SO_399	Abnormal auditory function study	abnormal auditory function study	Sense organs
CV_400	Rheumatic fever and chronic rheumatic heart diseases	rheumatic fever and chronic rheumatic heart diseases	Cardiovascular
