phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
667.3	Erythema nodosum	erythema nodosum	Derm
667.4	Toxic erythema	toxic erythema	Derm
609	Male infertility	male infertility	Genitourinary
604.1	Redundant prepuce and phimosis	redundant prepuce and phimosis	Genitourinary
408	Diseases of pulmonary vessels	diseases of pulmonary vessels	Cardio
604.3	Peyronie's disease	peyronies disease	Genitourinary
603.2	Spermatocele	spermatocele	Genitourinary
609.2	Oligospermia	oligospermia	Genitourinary
168.12	Hemorrhagic disorder due to intrinsic circulating anticoagulants	hemorrhagic disorder due to intrinsic circulating anticoagulants	Blood
438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardio
180.33	Macroglobulinemia [Waldenstrom macroglobulinemia]	macroglobulinemia waldenstrom macroglobulinemia	Blood
424.2	Systolic heart failure	systolic heart failure	Cardio
416.5	Premature depolarization [Premature beats]	premature depolarization premature beats	Cardio
168.22	Disseminated intravascular coagulation [Defibrination syndrome]	disseminated intravascular coagulation defibrination syndrome	Blood
179.8	Immunodeficiency with increased IgM	immunodeficiency with increased igm	Blood
232	Vitamin deficiencies	vitamin deficiencies	Metab
206.2	Abnormality of secretion of gastrin	abnormality of secretion of gastrin	Endo
217.2	Precocious puberty	precocious puberty	Endo
142	Lump or mass in breast or nonspecific abnormal breast exam	lump or mass in breast or nonspecific abnormal breast exam	Neoplasms
612	Breast conditions, congenital or relating to hormones	breast conditions congenital or relating to hormones	Genitourinary
613	Other nonmalignant breast conditions	other nonmalignant breast conditions	Genitourinary
612.1	Galactorrhea	galactorrhea	Genitourinary
612.2	Hypertrophy of breast (Gynecomastia)	hypertrophy of breast gynecomastia	Genitourinary
613.5	Mastodynia	mastodynia	Genitourinary
613.7	Other signs and symptoms in breast	other signs and symptoms in breast	Genitourinary
613.1	Inflammatory disease of breast	inflammatory disease of breast	Genitourinary
612.3	Breast hypoplasia	breast hypoplasia	Genitourinary
666.5	Vibratory urticaria	vibratory urticaria	Derm
613.8	Other specified disorders of breast	other specified disorders of breast	Genitourinary
406.16	Group 4 pulmonary hypertension*	group 4 pulmonary hypertension	Cardio
426.1	Cardiac septal defect, acquired	cardiac septal defect acquired	Cardio
438.41	Aortic dissection	aortic dissection	Cardio
448.1	Raynaud's syndrome	raynauds syndrome	Cardio
284.21	Suicide attempt*	suicide attempt	Mental
168.112	Hereditary factor IX disorder [Hemophilia B]	hereditary factor ix disorder hemophilia b	Blood
168.111	Hereditary factor VIII deficiency [Hemophilia A]	hereditary factor viii deficiency hemophilia a	Blood
180.34	Heavy chain disease*	heavy chain disease	Blood
374.5	Macular degeneration	macular degeneration	Eye
292.3	Pain disorders related to psychological factors	pain disorders related to psychological factors	Mental
322.1	Jakob-Creutzfeldt disease and other prion diseases	jakob-creutzfeldt disease and other prion diseases	Neuro
406.15	Pulmonary hypertension due to lung diseases and hypoxia*	pulmonary hypertension due to lung diseases and hypoxia	Cardio
406.14	Pulmonary hypertension due to left heart disease*	pulmonary hypertension due to left heart disease	Cardio
416.214	Permanent atrial fibrillation*	permanent atrial fibrillation	Cardio
765.4	Anomalies of intestinal fixation	anomalies of intestinal fixation	Cong
677	Chilblains	chilblains	Derm
671	Sunburn	sunburn	Derm
161.21	Autoimmune hemolytic anemias [AIHA]	autoimmune hemolytic anemias aiha	Blood
382.1	Impaired convergence	impaired convergence	Eye
374.39	Transient retinal arterial occlusion [Amaurosis fugax]	transient retinal arterial occlusion amaurosis fugax	Eye
349.12	Abnormal electroencephalogram [EEG]	abnormal electroencephalogram eeg	Neuro
200.3	Thyrotoxicosis [hyperthyroidism]	thyrotoxicosis hyperthyroidism	Endo
200.24	Ectopic thyroid nodule	ectopic thyroid nodule	Endo
200.16	Myxedema*	myxedema	Endo
529.1	Diarrhea	diarrhea	GI
529.2	Abdominal distension and flatulence	abdominal distension and flatulence	GI
801	Cough	cough	Signs/Symptoms
704.12	Mucocutaneous lymph node syndrome [Kawasaki]	mucocutaneous lymph node syndrome kawasaki	Musc/Skel
232.4	Vitamin D deficiency	vitamin d deficiency	Metab
406.13	Secondary pulmonary arterial hypertension*	secondary pulmonary arterial hypertension	Cardio
371.2	Subcapsular cataract	subcapsular cataract	Eye
148.11	Benign neoplasm of orbit	benign neoplasm of orbit	Neoplasms
367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Eye
367.3	Keratoconjunctivitis	keratoconjunctivitis	Eye
367.1	Conjunctivitis	conjunctivitis	Eye
367.5	Uveitis	uveitis	Eye
138	Benign neoplasm of the skin	benign neoplasm of the skin	Neoplasms
116.7	Secondary malignant neoplasm of skin	secondary malignant neoplasm of skin	Neoplasms
103.22	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	Neoplasms
103.21	Basal cell carcinoma	basal cell carcinoma	Neoplasms
922.1	Low weight gain in pregnancy*	low weight gain in pregnancy	Preg
146.1	Benign neoplasm of the penis	benign neoplasm of the penis	Neoplasms
209.22	Hypopituitarism NOS	hypopituitarism	Endo
848	Nonspecific abnormal findings of other body structures	nonspecific abnormal findings of other body structures	Signs/Symptoms
930.2	Maternal care for benign tumor of corpus uteri	maternal care for benign tumor of corpus uteri	Preg
280.41	Sedative, hypnotic or anxiolytic-related abuse	sedative hypnotic or anxiolytic-related abuse	Mental
280.12	Alcohol dependence	alcohol dependence	Mental
286.21	Major depressive disorder, recurrent	major depressive disorder recurrent	Mental
406.12	Kyphoscoliotic heart disease	kyphoscoliotic heart disease	Cardio
940	Malposition and malpresentation of fetus	malposition and malpresentation of fetus	Preg
406.11	Primary pulmonary hypertension	primary pulmonary hypertension	Cardio
927	Drugs and alcohol during pregnancy	drugs and alcohol during pregnancy	Preg
406.1	Pulmonary hypertension	pulmonary hypertension	Cardio
218.2	Polyglandular dysfunction	polyglandular dysfunction	Endo
361.2	Lagophthalmos	lagophthalmos	Eye
362.2	Hyperpigmentation of eyelid [Chloasma]	hyperpigmentation of eyelid chloasma	Eye
247.2	Disorders of zinc metabolism*	disorders of zinc metabolism	Metab
247.1	Disorders of copper metabolism	disorders of copper metabolism	Metab
968	Adverse effects of agents primarily affecting the cardiovascular system	adverse effects of agents primarily affecting the cardiovascular system	Rx
444.6	Chronic venous hypertension	chronic venous hypertension	Cardio
247.85	Vanadium deficiency*	vanadium deficiency	Metab
232.6	Vitamin K deficiency	vitamin k deficiency	Metab
287.4	Delusional disorders	delusional disorders	Mental
280.4	Sedative, hypnotic, or anxiolytic related disorders	sedative hypnotic or anxiolytic related disorders	Mental
287.1	Schizophrenia	schizophrenia	Mental
907.3	Premature separation of placenta [abruptio placentae]	premature separation of placenta abruptio placentae	Preg
542.4	Portal hypertension	portal hypertension	GI
841.12	Allergy to antibiotic agent (excluding penicillin)	allergy to antibiotic agent excluding penicillin	Signs/Symptoms
763.1	Congenital hypertrophic pyloric stenosis	congenital hypertrophic pyloric stenosis	Cong
752.1	Arnold-Chiari syndrome*	arnold-chiari syndrome	Cong
121	Leukemia	leukemia	Neoplasms
906	Cervical shortening and incompetence	cervical shortening and incompetence	Preg
280	Substance related disorders	substance related disorders	Mental
324.9	Other chorea	other chorea	Neuro
232.21	Thiamine deficiency [Vitamin B1]	thiamine deficiency vitamin b1	Metab
542.1	Fibrosis and cirrhosis of liver	fibrosis and cirrhosis of liver	GI
414.11	Obstructive hypertrophic cardiomyopathy	obstructive hypertrophic cardiomyopathy	Cardio
329.1	Memory loss	memory loss	Neuro
707.3	Kaschin-Beck disease	kaschin-beck disease	Musc/Skel
707.8	Polyarthritis	polyarthritis	Musc/Skel
321.2	Myelitis	myelitis	Neuro
165.23	Delta thalassemia	delta thalassemia	Blood
165.24	Hemoglobin E disease	hemoglobin e disease	Blood
220	Diseases of thymus gland	diseases of thymus gland	Endo
121.1	Acute leukemia	acute leukemia	Neoplasms
414.3	Alcoholic cardiomyopathy	alcoholic cardiomyopathy	Cardio
347.1	Cerebral cysts	cerebral cysts	Neuro
346.7	Temporal sclerosis	temporal sclerosis	Neuro
468.14	Influenza with pneumonia	influenza with pneumonia	Resp
385	Abnormal results of function studies of eye	abnormal results of function studies of eye	Eye
390.6	Perichondritis and chondritis of pinna	perichondritis and chondritis of pinna	Hearing
168.113	Factor XI deficiency [Hemophilia C]	factor xi deficiency hemophilia c	Blood
210.2	Nelson's syndrome*	nelsons syndrome	Endo
230.21	Abnormal weight loss	abnormal weight loss	Metab
230.22	Underweight	underweight	Metab
214.1	Primary ovarian failure	primary ovarian failure	Endo
211.21	Primary adrenocortical insufficiency	primary adrenocortical insufficiency	Endo
211.22	Drug-induced adrenocortical insufficiency*	drug-induced adrenocortical insufficiency	Endo
211.111	Bartter's syndrome	bartters syndrome	Endo
209.11	Tall stature, acromegaly and gigantism	tall stature acromegaly and gigantism	Endo
209.23	Iatrogenic hypopituitarism*	iatrogenic hypopituitarism	Endo
200.31	Graves' disease [Toxic diffuse goiter]	graves disease toxic diffuse goiter	Endo
142.2	Abnormal mammogram	abnormal mammogram	Neoplasms
139.62	Lymphangioma	lymphangioma	Neoplasms
139.6	Hemangioma and lymphangioma	hemangioma and lymphangioma	Neoplasms
139.61	Hemangioma	hemangioma	Neoplasms
139.52	Lipoma of intrathoracic organs	lipoma of intrathoracic organs	Neoplasms
170.1	Neutropenia	neutropenia	Blood
217	Disorders of puberty	disorders of puberty	Endo
256.32	Alkalosis	alkalosis	Metab
381.11	Ophthalmoplegia	ophthalmoplegia	Eye
324.21	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]*	progressive supranuclear ophthalmoplegia steele-richardson-olszewski	Neuro
056.1	Plantar wart	plantar wart	ID
556.8	Nonspecific abnormal findings in stool contents	nonspecific abnormal findings in stool contents	GI
684.12	Telogen effluvium	telogen effluvium	Derm
706.3	Spinal enthesopathy	spinal enthesopathy	Musc/Skel
528.1	Nausea	nausea	GI
731.1	Loss of height	loss of height	Musc/Skel
751.4	Hypoplasia and dysplasia of spinal cord	hypoplasia and dysplasia of spinal cord	Cong
907.2	Low lying placenta*	low lying placenta	Preg
822.81	Elevated carcinoembryonic antigen [CEA]	elevated carcinoembryonic antigen cea	Signs/Symptoms
822.82	Elevated cancer antigen 125 [CA 125]	elevated cancer antigen 125 ca 125	Signs/Symptoms
810.1	Cardiogenic shock	cardiogenic shock	Signs/Symptoms
546.1	Hepatic necrosis	hepatic necrosis	GI
444.15	Scrotal varices [Varicocele]	scrotal varices varicocele	Cardio
885.21	Very preterm, 29-30 weeks	very preterm 29-30 weeks	Neonate
879	Newborn affected by noxious substances transmitted via placenta or breast milk	newborn affected by noxious substances transmitted via placenta or breast milk	Neonate
719.61	Sarcopenia*	sarcopenia	Musc/Skel
720	Spontaneous rupture of synovium and tendon	spontaneous rupture of synovium and tendon	Musc/Skel
700.9	Other diffuse diseases of connective tissue	other diffuse diseases of connective tissue	Musc/Skel
449	Other disorders of the circulatory system	other disorders of the circulatory system	Cardio
444.5	Venous insufficiency (chronic) (peripheral)	venous insufficiency chronic peripheral	Cardio
784.2	Metatarsus varus, congenital	metatarsus varus congenital	Cong
B238	Body mass index [BMI], pediatric	body mass index bmi pediatric	Stat
092.21	Septic shock	septic shock	ID
324.3	Dystonia	dystonia	Neuro
239.2	Hyperglyceridemia	hyperglyceridemia	Metab
070.4	Disseminated candidiasis	disseminated candidiasis	ID
210.1	Drug-induced Cushing's syndrome*	drug-induced cushings syndrome	Endo
072	Histoplasmosis	histoplasmosis	ID
211.31	Congenital adrenogenital disorders associated with enzyme deficiency*	congenital adrenogenital disorders associated with enzyme deficiency	Endo
209.12	Syndrome of inappropriate secretion of antidiuretic hormone	syndrome of inappropriate secretion of antidiuretic hormone	Endo
084.8	Cryptosporidiosis	cryptosporidiosis	ID
102.53	Malignant neoplasm of the of pleura	malignant neoplasm of the of pleura	Neoplasms
132	Sequelae of cancer	sequelae of cancer	Neoplasms
124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms
102.3	Malignant neoplasm of the trachea	malignant neoplasm of the trachea	Neoplasms
202.32	Drug or chemical induced diabetes mellitus*	drug or chemical induced diabetes mellitus	Endo
202.31	Diabetes mellitus due to underlying condition*	diabetes mellitus due to underlying condition	Endo
120.2	Lymphoid	lymphoid	Neoplasms
120.3	Histocytoces	histocytoces	Neoplasms
148.1	Benign neoplasm of eye	benign neoplasm of eye	Neoplasms
236.2	Localized adiposity	localized adiposity	Metab
228	Abnormal results of endocrine function studies (excluding thyroid)	abnormal results of endocrine function studies excluding thyroid	Endo
214.2	Ovarian hyperfunction	ovarian hyperfunction	Endo
215.2	Testicular hyperfunction	testicular hyperfunction	Endo
B239.5	Body mass index [BMI] 40+, adult	body mass index bmi 40 adult	Stat
B239.4	Body mass index [BMI] 31-39, adult	body mass index bmi 31-39 adult	Stat
B239.2	Body mass index [BMI] 20-24, adult	body mass index bmi 20-24 adult	Stat
124.3	Polycythemia vera	polycythemia vera	Neoplasms
181	Autoimmune disease	autoimmune disease	Blood
179.3	Combined immunity deficiency	combined immunity deficiency	Blood
246	Disorders of mitochondrial metabolism	disorders of mitochondrial metabolism	Metab
244.4	Lipodystrophy, not elsewhere classified	lipodystrophy not elsewhere classified	Metab
122.23	Burkitt lymphoma	burkitt lymphoma	Neoplasms
114.12	Merkel cell carcinoma	merkel cell carcinoma	Neoplasms
114.41	Intestinal carcinoid	intestinal carcinoid	Neoplasms
114.42	Carcinoid tumor of the bronchus and lung	carcinoid tumor of the bronchus and lung	Neoplasms
114.43	Carcinoid tumor of the thymus	carcinoid tumor of the thymus	Neoplasms
329.8	Altered mental status, unspecified	altered mental status	Neuro
752	Other congenital anomalies of nervous system	other congenital anomalies of nervous system	Cong
280.3	Cannabis related disorders	cannabis related disorders	Mental
256.1	Hyperosmolality and/or hypernatremia	hyperosmolality andor hypernatremia	Metab
232.26	Pyridoxine deficiency [Vitamin B6]	pyridoxine deficiency vitamin b6	Metab
292.1	Somatization disorder	somatization disorder	Mental
292.2	Hypochondriacal disorders	hypochondriacal disorders	Mental
291	Dissociative, conversion and factitious disorders	dissociative conversion and factitious disorders	Mental
292	Somatoform disorders	somatoform disorders	Mental
288.42	Social phobia	social phobia	Mental
288.5	Drug induced anxiety disorder*	drug induced anxiety disorder	Mental
288.41	Agoraphobia	agoraphobia	Mental
288	Anxiety disorders	anxiety disorders	Mental
488.9	Snoring*	snoring	Resp
324.61	Drug induced tics*	drug induced tics	Neuro
324.42	Drug-induced tremor*	drug-induced tremor	Neuro
324.41	Essential tremor*	essential tremor	Neuro
324.36	Blepharospasm	blepharospasm	Neuro
324.34	Torticollis	torticollis	Neuro
320.1	Infective meningitis	infective meningitis	Neuro
320.2	Meningitis due to other non-infectious causes	meningitis due to other non-infectious causes	Neuro
320.3	Meningitis NOS	meningitis	Neuro
321.21	Acute (transverse) myelitis	acute transverse myelitis	Neuro
321.1	Encephalitis	encephalitis	Neuro
321.11	Bacterial encephalitis	bacterial encephalitis	Neuro
321.12	Viral encephalitis	viral encephalitis	Neuro
321.13	Toxoplasmosis meningoencephalitis	toxoplasmosis meningoencephalitis	Neuro
322.2	Progressive multifocal leukoencephalopathy	progressive multifocal leukoencephalopathy	Neuro
322.4	Intracranial and intraspinal abscess	intracranial and intraspinal abscess	Neuro
349.15	Intracranial space-occupying lesion found on diagnostic imaging of central nervous system*	intracranial space-occupying lesion found on diagnostic imaging of central nervous system	Neuro
349.1	Abnormal findings on diagnostic test of central nervous system	abnormal findings on diagnostic test of central nervous system	Neuro
349.11	Abnormal echoencephalogram	abnormal echoencephalogram	Neuro
329.2	Neurologic neglect syndrome	neurologic neglect syndrome	Neuro
329	Symptoms and signs involving cognitive functions and awareness	symptoms and signs involving cognitive functions and awareness	Neuro
328.7	Vascular dementia	vascular dementia	Neuro
329.4	Other specified cognitive deficit	other specified cognitive deficit	Neuro
532.1	Intestinal fistula	intestinal fistula	GI
404.22	Coronary Restenosis*	coronary restenosis	Cardio
416.212	Persistent atrial fibrillation*	persistent atrial fibrillation	Cardio
324.11	Parkinson's disease (Primary)	parkinsons disease primary	Neuro
324.31	Drug induced dystonia	drug induced dystonia	Neuro
324.32	Genetic torsion dystonia	genetic torsion dystonia	Neuro
324.33	Idiopathic nonfamilial dystonia*	idiopathic nonfamilial dystonia	Neuro
114.1	Malignant neuroendocrine tumors	malignant neuroendocrine tumors	Neoplasms
114.3	Secondary neuroendocrine tumors	secondary neuroendocrine tumors	Neoplasms
468.52	Histoplasma capsulatum pneumonia	histoplasma capsulatum pneumonia	Resp
468.51	Pulmonary aspergillosis	pulmonary aspergillosis	Resp
331.1	Tension headache	tension headache	Neuro
331.2	Post-traumatic headache	post-traumatic headache	Neuro
331.3	Headache syndromes, non migraine	headache syndromes non migraine	Neuro
331.31	Persistent headache syndromes, non migraine	persistent headache syndromes non migraine	Neuro
532.2	Intestinal perforation	intestinal perforation	GI
532.3	Intussusception	intussusception	GI
436.5	Cerebral atherosclerosis	cerebral atherosclerosis	Cardio
333.41	Circadian rhythm sleep disorder, delayed sleep phase type	circadian rhythm sleep disorder delayed sleep phase type	Neuro
333.42	Circadian rhythm sleep disorder, advanced sleep phase type	circadian rhythm sleep disorder advanced sleep phase type	Neuro
333.3	Hypersomnia	hypersomnia	Neuro
005.21	Disseminated mycobacterium avium-intracellulare complex (DMAC)	disseminated mycobacterium avium-intracellulare complex dmac	ID
614.55	Candidiasis of vulva and vagina	candidiasis of vulva and vagina	Genitourinary
404.1	Myocardial infarction [Heart attack]	myocardial infarction heart attack	Cardio
052.32	Herpes zoster	herpes zoster	ID
052.31	Varicella [chickenpox]	varicella chickenpox	ID
004.4	Scarlet fever	scarlet fever	ID
382.2	Palsy of conjugate gaze	palsy of conjugate gaze	Eye
753	Congenital anomalies of eye	congenital anomalies of eye	Cong
330.13	Epileptic spasms	epileptic spasms	Neuro
330.14	Lennox-Gastaut syndrome*	lennox-gastaut syndrome	Neuro
330.31	Febrile convulsions	febrile convulsions	Neuro
084.31	Visceral leishmaniasis	visceral leishmaniasis	ID
375.113	Primary open angle glaucoma	primary open angle glaucoma	Eye
663.12	Pemphigus foliaceous*	pemphigus foliaceous	Derm
532.4	Volvulus	volvulus	GI
904.1	Hemorrhage in early pregnancy	hemorrhage in early pregnancy	Preg
904.2	Spotting complicating pregnancy	spotting complicating pregnancy	Preg
349.3	Nonspecific abnormal electromyogram [EMG]	nonspecific abnormal electromyogram emg	Neuro
333.71	Narcolepsy with cataplexy	narcolepsy with cataplexy	Neuro
165.14	Sickle-cell thalassemia	sickle-cell thalassemia	Blood
165.25	Thalassemia minor	thalassemia minor	Blood
165.22	Beta thalassemia	beta thalassemia	Blood
165.21	Alpha thalassemia	alpha thalassemia	Blood
101.21	Malignant neoplasm of cardia	malignant neoplasm of cardia	Neoplasms
404.2	Coronary atherosclerosis [Atherosclerotic heart disease]	coronary atherosclerosis atherosclerotic heart disease	Cardio
106.21	Malignant neoplasm of endometrium	malignant neoplasm of endometrium	Neoplasms
336.1	Carpal tunnel syndrome	carpal tunnel syndrome	Neuro
336.2	Lesion of median, ulnar, radial nerve	lesion of median ulnar radial nerve	Neuro
336.4	Mononeuritis of upper limb	mononeuritis of upper limb	Neuro
336.5	Mononeuritis of lower limb	mononeuritis of lower limb	Neuro
336.51	Lesion of sciatic nerve	lesion of sciatic nerve	Neuro
336.52	Meralgia paresthetica	meralgia paresthetica	Neuro
336.53	Other lesion of femoral, lateral popliteal, or medial popliteal nerve	other lesion of femoral lateral popliteal or medial popliteal nerve	Neuro
336.54	Tarsal tunnel syndrome	tarsal tunnel syndrome	Neuro
336.55	Lesion of plantar nerve	lesion of plantar nerve	Neuro
334.11	Trigeminal neuralgia	trigeminal neuralgia	Neuro
334.12	Atypical face pain	atypical face pain	Neuro
334.21	Bell's palsy	bells palsy	Neuro
334.22	Geniculate ganglionitis	geniculate ganglionitis	Neuro
334.3	Disorders of olfactory [1st] nerve	disorders of olfactory 1st nerve	Neuro
334.5	Other disorders of glossopharyngeal [9th] nerve	other disorders of glossopharyngeal 9th nerve	Neuro
334.6	Disorders of pneumogastric [10th] nerve	disorders of pneumogastric 10th nerve	Neuro
401.7	Hypertensive crisis*	hypertensive crisis	Cardio
334.8	Disorders of hypoglossal [12th] nerve	disorders of hypoglossal 12th nerve	Neuro
334.9	Multiple cranial nerve palsies	multiple cranial nerve palsies	Neuro
335.3	Neuralgic amyotrophy	neuralgic amyotrophy	Neuro
335.4	Phantom limb (syndrome)	phantom limb syndrome	Neuro
345.1	Toxic encephalopathy	toxic encephalopathy	Neuro
400.2	Chronic rheumatic heart diseases	chronic rheumatic heart diseases	Cardio
345.5	Posterior reversible encephalopathy syndrome*	posterior reversible encephalopathy syndrome	Neuro
400.1	Acute rheumatic fever	acute rheumatic fever	Cardio
400	Rheumatic fever and chronic rheumatic heart diseases	rheumatic fever and chronic rheumatic heart diseases	Cardio
337.1	Hereditary and idiopathic neuropathy	hereditary and idiopathic neuropathy	Neuro
346.2	Pseudobulbar affect	pseudobulbar affect	Neuro
346.3	Anoxic brain damage	anoxic brain damage	Neuro
347.21	Dural tear	dural tear	Neuro
308.8	Homicidal ideations	homicidal ideations	Mental
391.4	Tympanosclerosis	tympanosclerosis	Hearing
377.8	Hyphema	hyphema	Eye
334.44	Sixth [abducent] nerve palsy	sixth abducent nerve palsy	Neuro
380.22	Optic disc drusen	optic disk drusen	Eye
380.21	Papilledema	papilledema	Eye
380.12	Ischemic optic neuropathy	ischemic optic neuropathy	Eye
894.1	Dyslexia and alexia	dyslexia and alexia	Dev
398.1	Abnormal auditory function study	abnormal auditory function study	Hearing
394.4	Abnormal vestibular function study	abnormal vestibular function study	Hearing
397.3	Hyperacusis	hyperacusis	Hearing
391.7	Perforation of tympanic membrane	perforation of tympanic membrane	Hearing
391.13	Myringitis	myringitis	Hearing
391.8	Otosclerosis	otosclerosis	Hearing
389	Other disorders of eye	other disorders of eye	Eye
389.1	Ocular pain	ocular pain	Eye
381.82	Exophoria	exophoria	Eye
381.83	Cyclophoria	cyclophoria	Eye
381.8	Heterophoria	heterophoria	Eye
381.81	Esophoria	esophoria	Eye
381.5	Vertical strabismus	vertical strabismus	Eye
381.6	Duane's syndrome [Duane anomaly]	duanes syndrome duane anomaly	Eye
373.5	Choroidal detachment	choroidal detachment	Eye
369.11	Peripheral opacity of cornea	peripheral opacity of cornea	Eye
369.12	Central opacity of cornea	central opacity of cornea	Eye
369.42	Recurrent erosion of cornea	recurrent erosion of cornea	Eye
369.43	Band keratopathy	band keratopathy	Eye
369.6	Corneal deformities	corneal deformities	Eye
369.61	Corneal ectasia	corneal ectasia	Eye
375.13	Capsular glaucoma with pseudoexfoliation of lens	capsular glaucoma with pseudoexfoliation of lens	Eye
375.6	Ocular hypertension	ocular hypertension	Eye
384.1	Anisocoria	anisocoria	Eye
384.2	Miosis	miosis	Eye
384	Anomalies of pupillary function	anomalies of pupillary function	Eye
383.2	Saccadic eye movements	saccadic eye movements	Eye
383.1	Nystagmus	nystagmus	Eye
386.9	Visual distortions and subjective visual disturbances	visual distortions and subjective visual disturbances	Eye
386.3	Visual discomfort	visual discomfort	Eye
356.4	Slurred speech*	slurred speech	Neuro
386.8	Sudden or transient visual loss	sudden or transient visual loss	Eye
386.41	Scotoma	scotoma	Eye
386.42	Hemianopia	hemianopia	Eye
386.43	Constriction of visual field	constriction of visual field	Eye
386.6	Night blindness	night blindness	Eye
379.21	Infection of the eye, herpes	infection of the eye herpes	Eye
379.3	Eye infection, toxoplasmosis	eye infection toxoplasmosis	Eye
367.51	Panuveitis	panuveitis	Eye
367.11	Follicular conjunctivitis	follicular conjunctivitis	Eye
367.4	Inflammation of orbit	inflammation of orbit	Eye
367.2	Keratitis	keratitis	Eye
360.51	Eczematous dermatitis of eyelid	eczematous dermatitis of eyelid	Eye
360.52	Xeroderma of eyelid	xeroderma of eyelid	Eye
360.54	Discoid lupus erythematosus of eyelid	discoid lupus erythematosus of eyelid	Eye
366.1	Pterygium of eye	pterygium of eye	Eye
366.2	Conjunctival degenerations and deposits	conjunctival degenerations and deposits	Eye
366.3	Conjunctival scars	conjunctival scars	Eye
366.4	Vascular abnormalities of conjunctiva	vascular abnormalities of conjunctiva	Eye
366.5	Conjunctival edema	conjunctival edema	Eye
366.6	Conjunctival cysts	conjunctival cysts	Eye
362.1	Xanthelasma of eyelid	xanthelasma of eyelid	Eye
361.5	Eyelid retraction	eyelid retraction	Eye
362.3	Hypertrichosis of eyelid	hypertrichosis of eyelid	Eye
363.3	Lacrimal cysts	lacrimal cysts	Eye
365.1	Enophthalmos	enophthalmos	Eye
365	Noninflammatory disorders of the orbit	noninflammatory disorders of the orbit	Eye
380.2	Disorders of optic disc	disorders of optic disk	Eye
387.6	Aniseikonia	aniseikonia	Eye
387.5	Anisometropia	anisometropia	Eye
387.31	Irregular astigmatism	irregular astigmatism	Eye
387.3	Astigmatism	astigmatism	Eye
370	Disorders of iris and ciliary body	disorders of iris and ciliary body	Eye
356.2	Aphasia and dysphasia	aphasia and dysphasia	Neuro
356.1	Dysarthria	dysarthria	Neuro
390.5	Stenosis of external ear canal	stenosis of external ear canal	Hearing
391.12	Chronic otitis media	chronic otitis media	Hearing
391.21	Eustachian salpingitis	eustachian salpingitis	Hearing
391.22	Obstruction of Eustachian tube	obstruction of eustachian tube	Hearing
391.23	Patulous Eustachian tube	patulous eustachian tube	Hearing
356	Speech disturbance	speech disturbance	Neuro
396.5	Sudden idiopathic hearing loss	sudden idiopathic hearing loss	Hearing
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing
396.11	Conductive hearing loss, bilateral	conductive hearing loss bilateral	Hearing
396.22	Presbycusis	presbycusis	Hearing
396.4	Ototoxic hearing loss*	ototoxic hearing loss	Hearing
394.21	Paroxysmal vertigo	paroxysmal vertigo	Hearing
395.1	Labyrinthitis	labyrinthitis	Hearing
394.2	Vertigo	vertigo	Hearing
355.21	Transient alteration of awareness	transient alteration of awareness	Neuro
355.3	Persistent vegetative state	persistent vegetative state	Neuro
355.2	Alteration of consciousness	alteration of consciousness	Neuro
355.1	Coma	coma	Neuro
401.4	Hypertensive encephalopathy	hypertensive encephalopathy	Cardio
355	Coma and other alteration of consciousness	coma and other alteration of consciousness	Neuro
542.6	Hepatopulmonary syndrome	hepatopulmonary syndrome	GI
542.5	Hepatorenal syndrome	hepatorenal syndrome	GI
354	Dizziness and giddiness	dizziness and giddiness	Neuro
414.9	Takotsubo syndrome [Stress cardiomyopathy]	takotsubo syndrome stress cardiomyopathy	Cardio
540.11	Autoimmune hepatitis	autoimmune hepatitis	GI
433.3	Cerebrovascular insufficiency	cerebrovascular insufficiency	Cardio
353.12	Visual hallucinations	visual hallucinations	Neuro
438.12	Thoracic aneurysm	thoracic aneurysm	Cardio
438.13	Thoracoabdominal aortic aneurysm	thoracoabdominal aortic aneurysm	Cardio
353.11	Auditory hallucinations*	auditory hallucinations	Neuro
438.6	Cerebral aneurysm	cerebral aneurysm	Cardio
524.1	Irritable bowel syndrome	irritable bowel syndrome	GI
447	Nonspecific low blood-pressure reading	nonspecific low blood-pressure reading	Cardio
452	Hemorrhage, NOS	hemorrhage	Cardio
798.5	Hereditary hemorrhagic telangiectasia	hereditary hemorrhagic telangiectasia	Cong
352.1	Anosmia*	anosmia	Neuro
177.3	Lymphangitis	lymphangitis	Blood
352.2	Parosmia*	parosmia	Neuro
352.3	Parageusia*	parageusia	Neuro
443	Other disorders of arteries and arterioles	other disorders of arteries and arterioles	Cardio
440.21	Embolism of cerebral or precerebral arteries	embolism of cerebral or precerebral arteries	Cardio
440.22	Thrombosis of cerebral or precerebral arteries	thrombosis of cerebral or precerebral arteries	Cardio
444.12	Gastric varices*	gastric varices	Cardio
467.4	Acute epiglottitis	acute epiglottitis	Resp
