phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
278.11	Morbid obesity	morbid obesity	endocrine/metabolic
278.3	Localized adiposity	localized adiposity	endocrine/metabolic
278.4	Abnormal weight gain	abnormal weight gain	endocrine/metabolic
279	Disorders involving the immune mechanism	disorders involving the immune mechanism	endocrine/metabolic
279.1	Immunity deficiency	immunity deficiency	endocrine/metabolic
279.11	Deficiency of humoral immunity	deficiency of humoral immunity	endocrine/metabolic
279.2	Autoimmune disease NEC	autoimmune disease nec	endocrine/metabolic
279.7	Other immunological findings	other immunological findings	endocrine/metabolic
279.8	Other specified disorders involving the immune mechanism	other specified disorders involving the immune mechanism	endocrine/metabolic
280	Iron deficiency anemias	iron deficiency anemias	hematopoietic
280.1	Iron deficiency anemias, unspecified or not due to blood loss	iron deficiency anemiasor not due to blood loss	hematopoietic
280.2	Iron deficiency anemia secondary to blood loss (chronic)	iron deficiency anemia secondary to blood loss chronic	hematopoietic
281	Other deficiency anemia	other deficiency anemia	hematopoietic
281.1	Megaloblastic anemia	megaloblastic anemia	hematopoietic
281.11	Pernicious anemia	pernicious anemia	hematopoietic
281.12	Other vitamin B12 deficiency anemia	other vitamin b12 deficiency anemia	hematopoietic
281.13	Folate-deficiency anemia	folate-deficiency anemia	hematopoietic
281.9	Deficiency anemias	deficiency anemias	hematopoietic
282	Hereditary hemolytic anemias	hereditary hemolytic anemias	hematopoietic
282.5	Sickle cell anemia	sickle cell anemia	hematopoietic
282.8	Other hemoglobinopathies	other hemoglobinopathies	hematopoietic
282.9	Other hereditary hemolytic anemias	other hereditary hemolytic anemias	hematopoietic
283	Acquired hemolytic anemias	acquired hemolytic anemias	hematopoietic
283.1	Autoimmune hemolytic anemias	autoimmune hemolytic anemias	hematopoietic
283.2	Non-autoimmune hemolytic anemias	non-autoimmune hemolytic anemias	hematopoietic
283.21	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	hematopoietic
284	Aplastic anemia	aplastic anemia	hematopoietic
284.1	Pancytopenia	pancytopenia	hematopoietic
284.2	Constitutional aplastic anemia	constitutional aplastic anemia	hematopoietic
285	Other anemias	other anemias	hematopoietic
285.1	Acute posthemorrhagic anemia	acute posthemorrhagic anemia	hematopoietic
285.2	Anemia of chronic disease	anemia of chronic disease	hematopoietic
285.21	Anemia in chronic kidney disease	anemia in chronic kidney disease	hematopoietic
285.22	Anemia in neoplastic disease	anemia in neoplastic disease	hematopoietic
285.3	Sideroblastic anemia	sideroblastic anemia	hematopoietic
285.8	Hemoglobinuria	hemoglobinuria	hematopoietic
286	Coagulation defects	coagulation defects	hematopoietic
286.1	Congenital coagulation defects	congenital coagulation defects	hematopoietic
286.11	Von willebrand's disease	von willebrands disease	hematopoietic
286.12	Congenital deficiency of other clotting factors (including factor VII)	congenital deficiency of other clotting factors including factor vii	hematopoietic
286.13	Congenital factor VIII disorder	congenital factor viii disorder	hematopoietic
286.2	Encounter for long-term (current) use of anticoagulants	encounter for long-term current use of anticoagulants	hematopoietic
286.3	Coagulation defects complicating pregnancy or postpartum	coagulation defects complicating pregnancy or postpartum	hematopoietic
286.4	Acquired coagulation factor deficiency	acquired coagulation factor deficiency	hematopoietic
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	hemorrhagic disorder due to intrinsic circulating anticoagulants	hematopoietic
286.6	Defibrination syndrome	defibrination syndrome	hematopoietic
286.7	Other and unspecified coagulation defects	other andcoagulation defects	hematopoietic
286.8	Hypercoagulable state	hypercoagulable state	hematopoietic
286.81	Primary hypercoagulable state	primary hypercoagulable state	hematopoietic
286.9	Abnormal coagulation profile	abnormal coagulation profile	hematopoietic
287	Purpura and other hemorrhagic conditions	purpura and other hemorrhagic conditions	hematopoietic
287.1	Spontaneous ecchymoses	spontaneous ecchymoses	hematopoietic
287.2	Allergic purpura	allergic purpura	hematopoietic
287.3	Thrombocytopenia	thrombocytopenia	hematopoietic
287.31	Primary thrombocytopenia	primary thrombocytopenia	hematopoietic
287.32	Secondary thrombocytopenia	secondary thrombocytopenia	hematopoietic
287.4	Qualitative platelet defects	qualitative platelet defects	hematopoietic
288	Diseases of white blood cells	diseases of white blood cells	hematopoietic
288.1	Decreased white blood cell count	decreased white blood cell count	hematopoietic
288.11	Neutropenia	neutropenia	hematopoietic
288.2	Elevated white blood cell count	elevated white blood cell count	hematopoietic
288.3	Eosinophilia	eosinophilia	hematopoietic
289	Other diseases of blood and blood-forming organs	other diseases of blood and blood-forming organs	hematopoietic
289.1	Myelofibrosis	myelofibrosis	hematopoietic
289.3	Personal history of diseases of blood and blood-forming organs	personal history of diseases of blood and blood-forming organs	hematopoietic
289.4	Lymphadenitis	lymphadenitis	hematopoietic
289.5	Diseases of spleen	diseases of spleen	hematopoietic
289.8	Polycythemia, secondary	polycythemia secondary	hematopoietic
289.9	Abnormality of red blood cells	abnormality of red blood cells	hematopoietic
290	Delirium dementia and amnestic and other cognitive disorders	delirium dementia and amnestic and other cognitive disorders	mental disorders
290.1	Dementias	dementias	mental disorders
290.11	Alzheimer's disease	alzheimers disease	mental disorders
290.12	Dementia with cerebral degenerations	dementia with cerebral degenerations	mental disorders
290.13	Senile dementia	senile dementia	mental disorders
290.16	Vascular dementia	vascular dementia	mental disorders
290.2	Delirium due to conditions classified elsewhere	delirium due to conditions classified elsewhere	mental disorders
290.3	Other persistent mental disorders due to conditions classified elsewhere	other persistent mental disorders due to conditions classified elsewhere	mental disorders
291	Other specified nonpsychotic and/or transient mental disorders	other specified nonpsychotic andor transient mental disorders	mental disorders
291.1	Transient mental disorders due to conditions classified elsewhere	transient mental disorders due to conditions classified elsewhere	mental disorders
291.4	Specific nonpsychotic mental disorders due to brain damage	specific nonpsychotic mental disorders due to brain damage	mental disorders
291.8	Alteration of consciousness	alteration of consciousness	mental disorders
292	Neurological disorders	neurological disorders	mental disorders
292.1	Aphasia/speech disturbance	aphasiaspeech disturbance	mental disorders
292.11	Aphasia	aphasia	mental disorders
292.12	Symbolic dysfunction	symbolic dysfunction	mental disorders
292.2	Mild cognitive impairment	mild cognitive impairment	mental disorders
292.3	Memory loss	memory loss	mental disorders
292.4	Altered mental status	altered mental status	mental disorders
292.5	Transient alteration of awareness	transient alteration of awareness	mental disorders
292.6	Hallucinations	hallucinations	mental disorders
293	Symptoms involving head and neck	symptoms involving head and neck	mental disorders
293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	swelling mass or lump in head and neck space-occupying lesion intracranial	mental disorders
295	Schizophrenia and other psychotic disorders	schizophrenia and other psychotic disorders	mental disorders
295.1	Schizophrenia	schizophrenia	mental disorders
295.2	Paranoid disorders	paranoid disorders	mental disorders
295.3	Psychosis	psychosis	mental disorders
296	Mood disorders	mood disorders	mental disorders
296.1	Bipolar	bipolar	mental disorders
296.2	Depression	depression	mental disorders
296.22	Major depressive disorder	major depressive disorder	mental disorders
297	Suicidal ideation or attempt	suicidal ideation or attempt	mental disorders
297.1	Suicidal ideation	suicidal ideation	mental disorders
297.2	Suicide or self-inflicted injury	suicide or self-inflicted injury	mental disorders
300	Anxiety disorders	anxiety disorders	mental disorders
300.1	Anxiety disorder	anxiety disorder	mental disorders
300.11	Generalized anxiety disorder	generalized anxiety disorder	mental disorders
300.12	Agorophobia, social phobia, and panic disorder	agorophobia social phobia and panic disorder	mental disorders
300.13	Phobia	phobia	mental disorders
300.2	Generalized anxiety & phobic disorders	generalized anxiety  phobic disorders	mental disorders
300.3	Obsessive-compulsive disorders	obsessive-compulsive disorders	mental disorders
300.4	Dysthymic disorder	dysthymic disorder	mental disorders
300.8	Acute reaction to stress	acute reaction to stress	mental disorders
300.9	Posttraumatic stress disorder	posttraumatic stress disorder	mental disorders
301	Personality disorders	personality disorders	mental disorders
301.1	Schizoid personality disorder	schizoid personality disorder	mental disorders
301.2	Antisocial/borderline personality disorder	antisocialborderline personality disorder	mental disorders
302	Sexual and gender identity disorders	sexual and gender identity disorders	mental disorders
302.1	Decreased libido	decreased libido	mental disorders
303	Psychogenic and somatoform disorders	psychogenic and somatoform disorders	mental disorders
303.1	Dissociative disorder	dissociative disorder	mental disorders
303.3	Psychogenic disorder	psychogenic disorder	mental disorders
303.31	Gastrointestinal malfunction arising from mental factors	gastrointestinal malfunction arising from mental factors	mental disorders
303.4	Somatoform disorder	somatoform disorder	mental disorders
304	Adjustment reaction	adjustment reaction	mental disorders
305.2	Eating disorder	eating disorder	mental disorders
305.21	Anorexia nervosa	anorexia nervosa	mental disorders
306	Other mental disorder	other mental disorder	mental disorders
306.1	Mental disorders durring/after pregnancy	mental disorders durringafter pregnancy	mental disorders
306.9	Tension headache	tension headache	mental disorders
312	Conduct disorders	conduct disorders	mental disorders
312.3	Impulse control disorder	impulse control disorder	mental disorders
313	Pervasive developmental disorders	pervasive developmental disorders	mental disorders
313.1	Attention deficit hyperactivity disorder	attention deficit hyperactivity disorder	mental disorders
313.2	Tics and stuttering	tics and stuttering	mental disorders
313.3	Autism	autism	mental disorders
315	Develomental delays and disorders	develomental delays and disorders	mental disorders
315.1	Learning disorder	learning disorder	mental disorders
315.2	Speech and language disorder	speech and language disorder	mental disorders
315.3	Mental retardation	mental retardation	mental disorders
316	Substance addiction and disorders	substance addiction and disorders	mental disorders
316.1	Polyneuropathy due to drugs	polyneuropathy due to drugs	mental disorders
317	Alcohol-related disorders	alcohol-related disorders	mental disorders
317.1	Alcoholism	alcoholism	mental disorders
317.11	Alcoholic liver damage	alcoholic liver damage	mental disorders
318	Tobacco use disorder	tobacco use disorder	mental disorders
320	Meningitis	meningitis	neurological
323	Encephalitis	encephalitis	neurological
323.2	Acute (transverse) myelitis	acute transverse myelitis	neurological
323.8	Encephalitis, non-infectious	encephalitis non-infectious	neurological
324	Other CNS infection and poliomyelitis	other cns infection and poliomyelitis	neurological
324.1	Jakob-Creutzfeldt disease	jakob-creutzfeldt disease	neurological
325	Phlebitis and thrombophlebitis of intracranial venous sinuses	phlebitis and thrombophlebitis of intracranial venous sinuses	neurological
327	Sleep disorders	sleep disorders	neurological
327.1	Hypersomnia	hypersomnia	neurological
327.3	Sleep apnea	sleep apnea	neurological
327.31	Central/nonobstroctive sleep apnea	centralnonobstroctive sleep apnea	neurological
327.32	Obstructive sleep apnea	obstructive sleep apnea	neurological
327.4	Insomnia	insomnia	neurological
327.41	Organic or persistent insomnia	organic or persistent insomnia	neurological
327.5	Parasomnia	parasomnia	neurological
327.6	Circadian rhythm sleep disorder	circadian rhythm sleep disorder	neurological
327.7	Sleep related movement disorders	sleep related movement disorders	neurological
327.71	Restless legs syndrome	restless legs syndrome	neurological
327.72	Sleep related leg cramps	sleep related leg cramps	neurological
331	Other cerebral degenerations	other cerebral degenerations	neurological
331.1	Hydrocephalus	hydrocephalus	neurological
331.9	Cerebral degeneration, unspecified	cerebral degeneration	neurological
332	Parkinson's disease	parkinsons disease	neurological
333	Extrapyramidal disease and abnormal movement disorders	extrapyramidal disease and abnormal movement disorders	neurological
333.1	Essential tremor	essential tremor	neurological
333.2	Myoclonus	myoclonus	neurological
333.3	Tics and choreas	tics and choreas	neurological
333.4	Torsion dystonia	torsion dystonia	neurological
333.8	Other degenerative diseases of the basal ganglia	other degenerative diseases of the basal ganglia	neurological
334	Degenerative disease of the spinal cord	degenerative disease of the spinal cord	neurological
334.1	Spinocerebellar disease	spinocerebellar disease	neurological
334.2	Anterior horn cell disease	anterior horn cell disease	neurological
334.21	Amyotrophic Lateral Sclerosis	amyotrophic lateral sclerosis	neurological
335	Multiple sclerosis	multiple sclerosis	neurological
337	Disorders of the autonomic nervous system	disorders of the autonomic nervous system	neurological
337.1	Peripheral autonomic neuropathy	peripheral autonomic neuropathy	neurological
338	Pain	pain	neurological
338.1	Acute pain	acute pain	neurological
338.2	Chronic pain	chronic pain	neurological
339	Other headache syndromes	other headache syndromes	neurological
340	Migraine	migraine	neurological
340.1	Migrain with aura	migrain with aura	neurological
341	Other demyelinating diseases of central nervous system	other demyelinating diseases of central nervous system	neurological
342	Hemiplegia	hemiplegia	neurological
343	Infantile cerebral palsy	infantile cerebral palsy	neurological
344	Other paralytic syndromes	other paralytic syndromes	neurological
345	Epilepsy, recurrent seizures, convulsions	epilepsy recurrent seizures convulsions	neurological
345.1	Epilepsy	epilepsy	neurological
345.11	Generalized convulsive epilepsy	generalized convulsive epilepsy	neurological
345.12	Partial epilepsy	partial epilepsy	neurological
345.3	Convulsions	convulsions	neurological
346	Abnormal findings on study of brain and/or nervous system	abnormal findings on study of brain andor nervous system	neurological
346.1	Nonspecific abnormal findings on radiological and other examination of skull and head	nonspecific abnormal findings on radiological and other examination of skull and head	neurological
346.2	Nonspecific abnormal results of function study of brain and central nervous system	nonspecific abnormal results of function study of brain and central nervous system	neurological
346.3	Nonspecific abnormal findings in cerebrospinal fluid	nonspecific abnormal findings in cerebrospinal fluid	neurological
347	Cataplexy and narcolepsy	cataplexy and narcolepsy	neurological
348	Other conditions of brain	other conditions of brain	neurological
348.2	Cerebral edema and compression of brain	cerebral edema and compression of brain	neurological
348.4	Cerebral cysts	cerebral cysts	neurological
348.7	Coma	coma	neurological
348.8	Encephalopathy, not elsewhere classified	encephalopathy not elsewhere classified	neurological
348.9	Other conditions of brain, NOS	other conditions of brain	neurological
349	Other and unspecified disorders of the nervous system	other anddisorders of the nervous system	neurological
350	Abnormal movement	abnormal movement	neurological
350.1	Abnormal involuntary movements	abnormal involuntary movements	neurological
350.2	Abnormality of gait	abnormality of gait	neurological
350.3	Lack of coordination	lack of coordination	neurological
350.5	Abnormal reflex	abnormal reflex	neurological
350.6	Disturbances of sensation of smell and taste	disturbances of sensation of smell and taste	neurological
351	Other peripheral nerve disorders	other peripheral nerve disorders	neurological
352	Disorders of other cranial nerves	disorders of other cranial nerves	neurological
352.1	Trigeminal nerve disorders [CN5]	trigeminal nerve disorders cn5	neurological
352.2	Facial nerve disorders [CN7]	facial nerve disorders cn7	neurological
353	Nerve root and plexus disorders	nerve root and plexus disorders	neurological
353.1	Nerve plexus lesions	nerve plexus lesions	neurological
353.2	Nerve root lesions	nerve root lesions	neurological
355	Complex regional/central pain syndrome	complex regionalcentral pain syndrome	neurological
355.1	Chronic pain syndrome	chronic pain syndrome	neurological
356	Hereditary and idiopathic peripheral neuropathy	hereditary and idiopathic peripheral neuropathy	neurological
357	Inflammatory and toxic neuropathy	inflammatory and toxic neuropathy	neurological
358	Myoneural disorders	myoneural disorders	neurological
358.1	Myasthenia gravis	myasthenia gravis	neurological
359	Muscular dystrophies and other myopathies	muscular dystrophies and other myopathies	neurological
359.1	Muscular dystrophies	muscular dystrophies	neurological
359.2	Myopathy	myopathy	neurological
360	Disorders of the globe	disorders of the globe	sense organs
360.2	Progressive myopia	progressive myopia	sense organs
360.3	Hypotony of eye	hypotony of eye	sense organs
361	Retinal detachments and defects	retinal detachments and defects	sense organs
361.1	Retinal detachment with retinal defect	retinal detachment with retinal defect	sense organs
361.2	Retinoschisis and retinal cysts	retinoschisis and retinal cysts	sense organs
362	Other retinal disorders	other retinal disorders	sense organs
362.1	Retinopathy of prematurity	retinopathy of prematurity	sense organs
362.2	Degeneration of macula and posterior pole of retina	degeneration of macula and posterior pole of retina	sense organs
362.21	Macular degeneration, dry	macular degeneration dry	sense organs
362.22	Macular degeneration, wet	macular degeneration wet	sense organs
362.23	Cystoid macular degeneration of retina	cystoid macular degeneration of retina	sense organs
362.26	Macular puckering of retina	macular puckering of retina	sense organs
362.27	Drusen (degenerative) of retina	drusen degenerative of retina	sense organs
362.29	Macular degeneration (senile) of retina NOS	macular degeneration senile of retina	sense organs
362.3	Other nondiabetic retinopathy	other nondiabetic retinopathy	sense organs
362.31	Separation of retinal layers	separation of retinal layers	sense organs
362.4	Retinal vascular changes and abnomalities	retinal vascular changes and abnomalities	sense organs
362.5	Toxic maculopathy of retina	toxic maculopathy of retina	sense organs
362.6	Peripheral retinal degenerations	peripheral retinal degenerations	sense organs
362.7	Hereditary retinal dystrophies	hereditary retinal dystrophies	sense organs
362.8	Retinal hemorrhage/ischemia	retinal hemorrhageischemia	sense organs
362.9	Retinal edema	retinal edema	sense organs
363	Chorioretinal inflammations, scars, and other disorders of choroid	chorioretinal inflammations scars and other disorders of choroid	sense organs
363.3	Chorioretinal scars	chorioretinal scars	sense organs
363.4	Choroidal degenerations	choroidal degenerations	sense organs
364	Corneal opacity and other disorders of cornea	corneal opacity and other disorders of cornea	sense organs
364.1	Corneal opacity	corneal opacity	sense organs
364.2	Corneal edema	corneal edema	sense organs
364.4	Corneal degenerations	corneal degenerations	sense organs
364.41	Keratoconus	keratoconus	sense organs
364.5	Corneal dystrophy	corneal dystrophy	sense organs
364.51	Fuchs' dystrophy	fuchs dystrophy	sense organs
364.9	Cornea replaced by transplant	cornea replaced by transplant	sense organs
365	Glaucoma	glaucoma	sense organs
365.1	Open-angle glaucoma	open-angle glaucoma	sense organs
365.11	Primary open angle glaucoma	primary open angle glaucoma	sense organs
365.2	Primary angle-closure glaucoma	primary angle-closure glaucoma	sense organs
365.5	Pseudoexfoliation glaucoma	pseudoexfoliation glaucoma	sense organs
366	Cataract	cataract	sense organs
366.1	Nonsenile Cataract	nonsenile cataract	sense organs
366.2	Senile cataract	senile cataract	sense organs
366.3	Traumatic cataract	traumatic cataract	sense organs
367	Disorders of refraction and accommodation; blindness and low vision	disorders of refraction and accommodation blindness and low vision	sense organs
367.1	Myopia	myopia	sense organs
367.2	Astigmatism	astigmatism	sense organs
367.4	Presbyopia	presbyopia	sense organs
367.8	Hypermetropia	hypermetropia	sense organs
367.9	Blindness and low vision	blindness and low vision	sense organs
368	Visual disturbances	visual disturbances	sense organs
368.1	Amblyopia	amblyopia	sense organs
368.2	Diplopia and disorders of binocular vision	diplopia and disorders of binocular vision	sense organs
368.3	Anisometropia	anisometropia	sense organs
368.4	Visual field defects	visual field defects	sense organs
368.5	Color vision deficiencies	color vision deficiencies	sense organs
368.7	Disorders of accommodation	disorders of accommodation	sense organs
368.9	Subjective visual disturbances	subjective visual disturbances	sense organs
368.91	Psychophysical visual disturbances	psychophysical visual disturbances	sense organs
369	Infection of the eye	infection of the eye	sense organs
369.2	Eye infection, viral	eye infection viral	sense organs
369.5	Conjunctivitis, infectious	conjunctivitis infectious	sense organs
370	Keratitis	keratitis	sense organs
370.1	Corneal ulcer	corneal ulcer	sense organs
370.2	Superficial keratitis	superficial keratitis	sense organs
370.3	Keratoconjunctivitis	keratoconjunctivitis	sense organs
370.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	sense organs
371	Inflammation of the eye	inflammation of the eye	sense organs
371.1	Uveitis, noninfectious or NOS	uveitis noninfectious or	sense organs
371.2	Conjunctivitis, noninfectious	conjunctivitis noninfectious	sense organs
371.21	Allergic conjunctivitis	allergic conjunctivitis	sense organs
371.3	Inflammation of eyelids	inflammation of eyelids	sense organs
371.33	Noninfectious dermatoses of eyelid	noninfectious dermatoses of eyelid	sense organs
371.9	Chronic inflammatory disorders of orbit	chronic inflammatory disorders of orbit	sense organs
372	Disorders of conjunctiva	disorders of conjunctiva	sense organs
374	Other disorders of eyelids	other disorders of eyelids	sense organs
374.1	Ectropion or entropion	ectropion or entropion	sense organs
374.2	Lagophthalmos	lagophthalmos	sense organs
374.3	Ptosis of eyelid	ptosis of eyelid	sense organs
374.6	Dermatochalasis	dermatochalasis	sense organs
375	Disorders of lacrimal system	disorders of lacrimal system	sense organs
375.1	Dry eyes	dry eyes	sense organs
375.2	Epiphora	epiphora	sense organs
376	Disorders of the orbit	disorders of the orbit	sense organs
377	Disorders of optic nerve and visual pathways	disorders of optic nerve and visual pathways	sense organs
377.1	Optic atrophy	optic atrophy	sense organs
377.3	Optic neuritis/neuropathy	optic neuritisneuropathy	sense organs
378	Strabismus and other disorders of binocular eye movements	strabismus and other disorders of binocular eye movements	sense organs
378.1	Strabismus (not specified as paralytic)	strabismus not specified as paralytic	sense organs
378.2	Nystagmus and other irregular eye movements	nystagmus and other irregular eye movements	sense organs
378.5	Paralytic strabismus	paralytic strabismus	sense organs
379	Other disorders of eye	other disorders of eye	sense organs
379.1	Scleritis and episcleritis	scleritis and episcleritis	sense organs
379.2	Disorders of vitreous body	disorders of vitreous body	sense organs
379.3	Aphakia and other disorders of lens	aphakia and other disorders of lens	sense organs
379.4	Anomalies of pupillary function	anomalies of pupillary function	sense organs
379.5	Disorders of iris and ciliary body	disorders of iris and ciliary body	sense organs
379.51	Pigmentary iris degeneration	pigmentary iris degeneration	sense organs
379.9	Pain, swelling or discharge of eye	pain swelling or discharge of eye	sense organs
380	Disorders of external ear	disorders of external ear	sense organs
380.1	Otitis externa	otitis externa	sense organs
380.4	Impacted cerumen	impacted cerumen	sense organs
381	Otitis media and Eustachian tube disorders	otitis media and eustachian tube disorders	sense organs
381.1	Otitis media	otitis media	sense organs
381.11	Suppurative and unspecified otitis media	suppurative andotitis media	sense organs
381.2	Eustachian tube disorders	eustachian tube disorders	sense organs
381.3	Mastoiditis & related conditions	mastoiditis  related conditions	sense organs
381.9	Otorrhea	otorrhea	sense organs
382	Otalgia	otalgia	sense organs
383	Otosclerosis	otosclerosis	sense organs
384	Other disorders of tympanic membrane	other disorders of tympanic membrane	sense organs
384.1	Myringitis	myringitis	sense organs
384.4	Perforation of tympanic membrane	perforation of tympanic membrane	sense organs
385	Other disorders of middle ear and mastoid	other disorders of middle ear and mastoid	sense organs
385.3	Cholesteatoma	cholesteatoma	sense organs
385.5	Tympanosclerosis and middle ear disease related to otitis media	tympanosclerosis and middle ear disease related to otitis media	sense organs
386	Vertiginous syndromes and other disorders of vestibular system	vertiginous syndromes and other disorders of vestibular system	sense organs
386.1	Meniere's disease	menieres disease	sense organs
386.2	Peripheral or central vertigo	peripheral or central vertigo	sense organs
386.21	Central origin vertigo	central origin vertigo	sense organs
386.3	Labyrinthitis	labyrinthitis	sense organs
386.9	Dizziness and giddiness (Light-headedness and vertigo)	dizziness and giddiness light-headedness and vertigo	sense organs
388	Other disorders of ear	other disorders of ear	sense organs
389	Hearing loss	hearing loss	sense organs
389.1	Sensorineural hearing loss	sensorineural hearing loss	sense organs
389.2	Conductive hearing loss	conductive hearing loss	sense organs
389.3	Degenerative and vascular disorders of ear	degenerative and vascular disorders of ear	sense organs
389.4	Tinnitus	tinnitus	sense organs
389.5	Disorders of acoustic nerve	disorders of acoustic nerve	sense organs
394	Rheumatic disease of the heart valves	rheumatic disease of the heart valves	circulatory system
394.1	Mitral valve stenosis and aortic valve stenosis	mitral valve stenosis and aortic valve stenosis	circulatory system
394.2	Mitral valve disease	mitral valve disease	circulatory system
394.3	Aortic valve disease	aortic valve disease	circulatory system
394.4	Acute rheumatic heart disease	acute rheumatic heart disease	circulatory system
394.7	Disease of tricuspid valve	disease of tricuspid valve	circulatory system
395	Heart valve disorders	heart valve disorders	circulatory system
395.1	Nonrheumatic mitral valve disorders	nonrheumatic mitral valve disorders	circulatory system
395.2	Nonrheumatic aortic valve disorders	nonrheumatic aortic valve disorders	circulatory system
395.3	Nonrheumatic tricuspid valve disorders	nonrheumatic tricuspid valve disorders	circulatory system
395.4	Nonrheumatic pulmonary valve disorders	nonrheumatic pulmonary valve disorders	circulatory system
395.6	Heart valve replaced	heart valve replaced	circulatory system
396	Abnormal heart sounds	abnormal heart sounds	circulatory system
401	Hypertension	hypertension	circulatory system
401.1	Essential hypertension	essential hypertension	circulatory system
401.2	Hypertensive heart and/or renal disease	hypertensive heart andor renal disease	circulatory system
401.21	Hypertensive heart disease	hypertensive heart disease	circulatory system
401.22	Hypertensive chronic kidney disease	hypertensive chronic kidney disease	circulatory system
401.3	Other hypertensive complications	other hypertensive complications	circulatory system
402	Elevated blood pressure reading without diagnosis of hypertension	elevated blood pressure reading without diagnosis of hypertension	circulatory system
411	Ischemic Heart Disease	ischemic heart disease	circulatory system
411.1	Unstable angina (intermediate coronary syndrome)	unstable angina intermediate coronary syndrome	circulatory system
411.2	Myocardial infarction	myocardial infarction	circulatory system
411.3	Angina pectoris	angina pectoris	circulatory system
411.4	Coronary atherosclerosis	coronary atherosclerosis	circulatory system
411.41	Aneurysm and dissection of heart	aneurysm and dissection of heart	circulatory system
411.8	Other chronic ischemic heart disease, unspecified	other chronic ischemic heart disease	circulatory system
411.9	Other acute and subacute forms of ischemic heart disease	other acute and subacute forms of ischemic heart disease	circulatory system
414	Other forms of chronic heart disease	other forms of chronic heart disease	circulatory system
414.2	ASCVD	ascvd	circulatory system
415	Pulmonary heart disease	pulmonary heart disease	circulatory system
415.1	Acute pulmonary heart disease	acute pulmonary heart disease	circulatory system
415.11	Pulmonary embolism and infarction, acute	pulmonary embolism and infarction acute	circulatory system
415.2	Chronic pulmonary heart disease	chronic pulmonary heart disease	circulatory system
415.21	Primary pulmonary hypertension	primary pulmonary hypertension	circulatory system
416	Cardiomegaly	cardiomegaly	circulatory system
418	Nonspecific chest pain	nonspecific chest pain	circulatory system
418.1	Precordial pain	precordial pain	circulatory system
420	Carditis	carditis	circulatory system
420.1	Myocarditis	myocarditis	circulatory system
420.2	Pericarditis	pericarditis	circulatory system
420.21	Acute pericarditis	acute pericarditis	circulatory system
420.22	Chronic pericarditis	chronic pericarditis	circulatory system
420.3	Endocarditis	endocarditis	circulatory system
425	Cardiomyopathy	cardiomyopathy	circulatory system
425.1	Primary/intrinsic cardiomyopathies	primaryintrinsic cardiomyopathies	circulatory system
425.11	Hypertrophic obstructive cardiomyopathy	hypertrophic obstructive cardiomyopathy	circulatory system
425.12	Other hypertrophic cardiomyopathy	other hypertrophic cardiomyopathy	circulatory system
425.2	Secondary/extrinsic cardiomyopathies	secondaryextrinsic cardiomyopathies	circulatory system
425.8	Other cardiomyopathy	other cardiomyopathy	circulatory system
426	Cardiac conduction disorders	cardiac conduction disorders	circulatory system
426.2	Atrioventricular [AV] block	atrioventricular av block	circulatory system
426.21	First degree AV block	first degree av block	circulatory system
426.22	Mobitz II AV block	mobitz ii av block	circulatory system
426.23	Second degree AV block	second degree av block	circulatory system
426.24	Atrioventricular block, complete	atrioventricular block complete	circulatory system
426.25	Other heart block	other heart block	circulatory system
426.3	Bundle branch block	bundle branch block	circulatory system
426.31	Right bundle branch block	right bundle branch block	circulatory system
426.32	Left bundle branch block	left bundle branch block	circulatory system
426.4	Anomalous atrioventricular excitation	anomalous atrioventricular excitation	circulatory system
426.7	Abnormal electrocardiogram [ECG] [EKG]	abnormal electrocardiogram ecg ekg	circulatory system
426.8	Other cardiac conduction disorders	other cardiac conduction disorders	circulatory system
426.9	Cardiac pacemaker/device in situ	cardiac pacemakerdevice in situ	circulatory system
426.91	Cardiac pacemaker in situ	cardiac pacemaker in situ	circulatory system
426.92	Cardiac defibrillator in situ	cardiac defibrillator in situ	circulatory system
427	Cardiac dysrhythmias	cardiac dysrhythmias	circulatory system
427.1	Paroxysmal tachycardia, unspecified	paroxysmal tachycardia	circulatory system
427.11	Paroxysmal supraventricular tachycardia	paroxysmal supraventricular tachycardia	circulatory system
427.12	Paroxysmal ventricular tachycardia	paroxysmal ventricular tachycardia	circulatory system
427.2	Atrial fibrillation and flutter	atrial fibrillation and flutter	circulatory system
427.21	Atrial fibrillation	atrial fibrillation	circulatory system
427.22	Atrial flutter	atrial flutter	circulatory system
427.3	Other specified cardiac dysrhythmias	other specified cardiac dysrhythmias	circulatory system
427.4	Cardiac arrest and ventricular fibrillation	cardiac arrest and ventricular fibrillation	circulatory system
427.41	Ventricular fibrillation and flutter	ventricular fibrillation and flutter	circulatory system
427.42	Cardiac arrest	cardiac arrest	circulatory system
427.5	Arrhythmia (cardiac) NOS	arrhythmia cardiac	circulatory system
427.6	Premature beats	premature beats	circulatory system
427.61	Supraventricular premature beats	supraventricular premature beats	circulatory system
427.7	Tachycardia NOS	tachycardia	circulatory system
