narrower,phecode1.2_label,hpo_label,phecode1.2_code,hpo_code
,"Cancer, suspected or other",Carcinoma,195,HP_0030731
,Cardiac congenital anomalies,Abnormal cardiac septum morphology,747.1,HP_0001671
,Purpura and other hemorrhagic conditions,Macular purpura,287,HP_0031365
,Decreased white blood cell count,Cyclic neutropenia,288.1,HP_0040289
,Menopausal and postmenopausal disorders,obsolete Primary ovarian failure,627,HP_0001587
,Diseases and other conditions of the tongue,Geographic tongue,529,HP_0025252
,Antisocial/borderline personality disorder,Borderline personality disorder,301.2,HP_0012076
,Gastrointestinal hemorrhage,Abnormality of the gastrointestinal tract,578,HP_0011024
,Visual disturbances,Protanopia,368,HP_0011522
,Cardiac congenital anomalies,Left aortic arch with retroesophageal diverticulum of Kommerell,747.1,HP_0011593
,Fetal distress and abnormal forces of labor,Vasa previa,661,HP_0033991
,Gastrointestinal complications,Arthropathy,569.2,HP_0003040
,Disorders of optic nerve and visual pathways,Optic disc drusen,377,HP_0012426
,Disturbances in tooth eruption,Abnormality of the gastrointestinal tract,520.2,HP_0011024
,Chronic pharyngitis and nasopharyngitis,Pharyngitis,472,HP_0025439
,Stomatitis and mucositis,Stomatitis,528.1,HP_0010280
,Nonrheumatic aortic valve disorders,Aortic regurgitation,395.2,HP_0001659
,Other hypertensive complications,Hypertensive crisis,401.3,HP_0100735
,Congenital cataract and lens anomalies,Congenital aphakia,753.1,HP_0007707
,Atrial flutter,Reverse typical atrial flutter,427.22,HP_0031672
,Benign neoplasm of male genital organs,Teratoma,222,HP_0009792
,Other disorders of bone and cartilage,Avascular necrosis,733,HP_0010885
,Sickle cell anemia,Schistocytosis,282.5,HP_0001981
,Immunity deficiency,B lymphocytopenia,279.1,HP_0010976
,Mental retardation,"Intellectual disability, mild",315.3,HP_0001256
,Other retinal disorders,Fundus albipunctatus,362,HP_0030642
,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",Abnormality of the genitourinary system,619.1,HP_0000119
,Hematemesis,Hematemesis,578.1,HP_0002248
,Irregular menstrual cycle/bleeding,Postmenopausal bleeding,626.1,HP_0033840
,Other endocrine disorders,Delayed puberty,259,HP_0000823
,Crushing or internal injury to organs,Intestinal perforation,1008,HP_0031368
,Congenital anomalies of genital organs,Hypoplasia of penis,751.1,HP_0008736
,Other disorders of metabolism,Hypolipidemia,277,HP_0045014
,Nerve plexus lesions,Peripheral neuropathy,353.1,HP_0009830
,Cerebrovascular disease,Lacunar stroke,433,HP_0032325
,Ingrowing nail,Abnormality of the skin,703.1,HP_0000951
,Inflammatory diseases of female pelvic organs,Vaginitis,614,HP_0030683
,Bronchitis,Bronchitis,497,HP_0012387
,Cardiac congenital anomalies,Pulmonary artery atresia,747.1,HP_0004935
,Disturbances of sensation of smell and taste,Anosmia,350.6,HP_0000458
,Alpha-1-antitrypsin deficiency,Cirrhosis,270.34,HP_0001394
,Disorders of tooth development,Microdontia,520,HP_0000691
,Keratoconus,Keratoconus,364.41,HP_0000563
,Other specified congenital anomalies of nervous system,Macrocephaly,752.2,HP_0000256
,Keratoconjunctivitis,Keratitis,370.3,HP_0000491
,Cleft palate,obsolete Cleft of uvula,749.1,HP_0410032
,Congenital anomalies of intestine,Megaduodenum,750.21,HP_0030996
,Respiratory abnormalities,Recurrent singultus,513,HP_0100247
,Myeloproliferative disease,Polycythemia,200,HP_0001901
,Other diseases of blood and blood-forming organs,Hypersplenism,289,HP_0001971
,Pilonidal cyst,Pilonidal fistula,686.3,HP_0010770
,Disorders of iris and ciliary body,Anterior chamber cyst,379.5,HP_0025311
,Symptoms involving digestive system,Abdominal distention,561,HP_0003270
,Rash and other nonspecific skin eruption,Seborrheic dermatitis,687.1,HP_0001051
,Other upper respiratory disease,Rhinorrhea,479,HP_0031417
,Premature beats,Palpitations,427.6,HP_0001962
,Myeloproliferative disease,IgG heavy chain paraproteinemia,200,HP_0020195
,Herpes simplex,Otitis externa,054,HP_0410017
,Ulcerative colitis,Pancolitis,555.2,HP_0033256
,Hammer toe (acquired),Abnormal joint morphology,735.21,HP_0001367
,Electrolyte imbalance,Hyperkalemia,276.1,HP_0002153
,Orthopnea,Snoring,513.32,HP_0025267
,"Malignant neoplasm of liver, primary",Teratoma,155.1,HP_0009792
,Dizziness and giddiness (Light-headedness and vertigo),Postural instability,386.9,HP_0002172
,Congenital anomalies of limbs,Finger symphalangism,755,HP_0009700
,Cellulitis and abscess of fingers/toes,Cellulitis,681.1,HP_0100658
,Disorders of plasma protein metabolism,Arthropathy,270.3,HP_0003040
,Maternal complication of pregnancy affecting fetus or newborn,Velamentous cord insertion,658,HP_0030659
,"Uveitis, noninfectious or NOS",Hypopyon,371.1,HP_0031615
,Essential hypertension,Increased blood pressure,401.1,HP_0032263
,Other congenital musculoskeletal anomalies,Cutis laxa,756,HP_0000973
,Congenital anomalies of limbs,Proximal femoral focal deficiency,755,HP_0030772
,Skin cancer,Anal margin basal cell carcinoma,172,HP_0030443
,Other perinatal conditions of fetus or newborn,Wide cranial sutures,656,HP_0010537
,Degenerative disease of the spinal cord,Abnormality of the spinal cord,334,HP_0002143
,Spondylosis and allied disorders,Arthropathy,721,HP_0003040
,Renal failure,Stage 5 chronic kidney disease,585,HP_0003774
,Hearing loss,Sound sensitivity,389,HP_0025112
,"Cancer of other lymphoid, histiocytic tissue",Cutaneous mastocytosis,202,HP_0200151
,Cataract,Developmental cataract,366,HP_0000519
,Other specified congenital anomalies of kidney,Renal hypoplasia,751.22,HP_0000089
,Rheumatoid arthritis,Interstitial pneumonitis,714.1,HP_0006515
,Disorders of adrenal glands,Hyperaldosteronism,255,HP_0000859
,Dental caries,Abnormality of the gastrointestinal tract,521.1,HP_0011024
,Infection of the eye,Dacryocystitis,369,HP_0000620
,Congenital anomalies of limbs,Camptodactyly,755,HP_0012385
,Partial epilepsy,Abnormality of brain morphology,345.12,HP_0012443
,Sexual and gender identity disorders,Male sexual dysfunction,302,HP_0040307
,"Congenital anomalies of upper limb, including shoulder girdle",Macrodactyly of finger,755.4,HP_0100746
,Peritonitis and retroperitoneal infections,Peritonitis,567,HP_0002586
,Anomalies of jaw size/symmetry,Abnormality of the gastrointestinal tract,526.3,HP_0011024
,Aortic aneurysm,Abdominal aortic dissection,442.1,HP_0033311
,Other benign neoplasm of connective and other soft tissue,Rhabdomyoma,215,HP_0009730
,Nonrheumatic pulmonary valve disorders,Absence of the pulmonary valve,395.4,HP_0005134
,Disorders of menstruation and other abnormal bleeding from female genital tract,Irregular menstruation,626,HP_0000858
,Aneurysm of other specified artery,Carotid artery dilatation,442.8,HP_0012163
,Obstetrical/birth trauma,Subdural hemorrhage,665,HP_0100309
,Hypertrophic obstructive cardiomyopathy,Restrictive cardiomyopathy,425.11,HP_0001723
,Congenital anomalies of the integument,Congenital alopecia totalis,757,HP_0005597
,Hemorrhoids,Venous thrombosis,455,HP_0004936
,Diarrhea,Secretory diarrhea,561.1,HP_0005208
,Other hypertrophic and atrophic conditions of skin,Dermal atrophy,701,HP_0004334
,Nephritis and nephropathy without mention of glomerulonephritis,Focal segmental glomerulosclerosis,580.3,HP_0000097
,Diseases of sebaceous glands,Milia,706,HP_0001056
,Viral hepatitis,Acute hepatitis,070,HP_0200119
,Genu valgum or varum (acquired),Bowing of the legs,736.4,HP_0002979
,Disorders of conjunctiva,Abnormal morphology of the conjunctival vasculature,372,HP_0008054
,Genitourinary congenital anomalies,Penoscrotal transposition,751,HP_0100600
,Endocrine and metabolic disturbances of fetus and newborn,Congenital hypoparathyroidism,656.3,HP_0008198
,Cardiac pacemaker/device in situ,Arrhythmia,426.9,HP_0011675
,Vascular hamartomas and non-neoplastic nevi,Hamartoma,217,HP_0010566
,Strabismus and other disorders of binocular eye movements,Alternating exotropia,378,HP_0031717
,Symptoms of the muscles,Muscle spasm,772,HP_0003394
,Cancer of stomach,Neuroendocrine neoplasm,151,HP_0100634
,Abnormal movement,Muscle fibrillation,350,HP_0010546
,Idiopathic fibrosing alveolitis,Bronchiolitis obliterans organizing pneumonia,504.1,HP_0011945
,Viral infection,Abnormality of the skin,079,HP_0000951
,Electrolyte imbalance,Hyperchloremia,276.1,HP_0011423
,Blister,Fractured skull,911,HP_0041082
,Rash and other nonspecific skin eruption,Eczematoid dermatitis,687.1,HP_0000976
,Acid-base balance disorder,Respiratory acidosis,276.4,HP_0005972
,Congenital anomalies of genital organs,Hypospadias,751.1,HP_0000047
,Develomental delays and disorders,Diminished mental health,315,HP_0033667
,Digestive congenital anomalies,Aplasia/Hypoplasia of the gallbladder,750,HP_0011466
,Menopausal and postmenopausal disorders,Abnormality of the genitourinary system,627,HP_0000119
,"Hemangioma and lymphangioma, any site",Lymphangioma,228,HP_0100764
,"Breast conditions, congenital or relating to hormones",Gynecomastia,612,HP_0000771
,Cardiac and circulatory congenital anomalies,Aortopulmonary window,747,HP_0011604
,Muscular dystrophies,Abnormal peripheral nervous system morphology,359.1,HP_0000759
,Hereditary and idiopathic peripheral neuropathy,Peripheral neuropathy,356,HP_0009830
,Myelofibrosis,Carcinoma,289.1,HP_0030731
,Other upper respiratory disease,Laryngotracheal stenosis,479,HP_0004894
,Fracture of pelvis,Fractured foot bone,802,HP_0041162
,Cardiac congenital anomalies,obsolete Congenital septal defect,747.1,HP_0004760
,Pain in joint,Finger pain,745,HP_0030837
,Abnormal involuntary movements,Tetany,350.1,HP_0001281
,Congenital anomalies of face and neck,Blepharophimosis,749,HP_0000581
,Genitourinary congenital anomalies,Unilateral renal hypoplasia,751,HP_0012583
,"Injury, NOS",Fractured skull,1009,HP_0041082
,Vitamin D deficiency,Low levels of vitamin D,261.4,HP_0100512
,Congenital deformities of feet,Pes valgus,755.1,HP_0008081
,Hypertension,Renal insufficiency,401,HP_0000083
,Other hypertrophic cardiomyopathy,Apical hypertrophic cardiomyopathy,425.12,HP_0031992
,Type 1 diabetes with neurological manifestations,Diabetes mellitus,250.14,HP_0000819
,Disorders of protein plasma/amino-acid transport and metabolism,Carcinoma,270,HP_0030731
,Other acute and subacute forms of ischemic heart disease,Acute coronary syndrome,411.9,HP_0033678
,Congenital anomalies of face and neck,Abnormality of the outer ear,749,HP_0000356
,Aplastic anemia,Erythroid hypoplasia,284,HP_0012133
,Viral hepatitis C,Hepatitis,070.3,HP_0012115
,Chronic pain syndrome,Chronic pain,355.1,HP_0012532
,Inflammation of the eye,Central heterochromia,371,HP_0007818
,Digestive congenital anomalies,Absent gallbladder,750,HP_0011467
,Cancer of intrathoracic organs,Mediastinal mass,164,HP_0033823
,Corneal degenerations,Corneal arcus,364.4,HP_0001084
,Endocrine and metabolic disturbances of fetus and newborn,Hypomagnesemia,656.3,HP_0002917
,Pyelonephritis,Abnormal tubulointerstitial morphology,590,HP_0001969
,Symptoms affecting skin,Eczema,687,HP_0000964
,Ovarian cyst,Hemorrhagic ovarian cyst,628,HP_0012886
,Neutropenia,Cyclic neutropenia,288.11,HP_0040289
,Fracture of patella,Fractured patella,800.4,HP_0041237
,Folate-deficiency anemia,Anemia,281.13,HP_0001903
,"Benign neoplasm of lip, oral cavity, and pharynx",Neoplasm,210,HP_0002664
,Fracture of unspecified part of femur,Femur fracture,800.2,HP_0031846
,Other disorders of pancreatic internal secretion,Ketotic hypoglycemia,251,HP_0012734
,Decreased white blood cell count,Leukopenia,288.1,HP_0001882
,Congenital anomalies of skin,Mongolian blue spot,691,HP_0011369
,Celiac disease,Abnormality of the gastrointestinal tract,557.1,HP_0011024
,Spina bifida,Craniorachischisis,752.11,HP_0030770
,Thyrotoxicosis with or without goiter,Abnormality of the thyroid gland,242,HP_0000820
,"Disorders secondary to childbirth, surgery, trauma",Rectovaginal fistula,617,HP_0000143
,Antisocial/borderline personality disorder,Emotional lability,301.2,HP_0000712
,Emphysema,Panacinar emphysema,496.1,HP_0032967
,Apnea,Apnea,513.31,HP_0002104
,Other perinatal conditions of fetus or newborn,Gastrointestinal hemorrhage,656,HP_0002239
,Disorders of calcium/phosphorus metabolism,Abnormal joint morphology,275.5,HP_0001367
,Lipoma,Liposarcoma,214,HP_0012034
,Hypoglycemia,Hypoglycemic coma,251.1,HP_0001325
,Intracranial hemorrhage,Intraventricular hemorrhage,430,HP_0030746
,Pityriasis,Abnormality of the skin,696.3,HP_0000951
,Other disorders of neurohypophysis,Inappropriate antidiuretic hormone secretion,253.7,HP_0031218
,Cerebrovascular disease,Transient ischemic attack,433,HP_0002326
,Congenital anomalies of face and neck,Premature closure of fontanelles,749,HP_0005458
,Tracheostomy complications,Tracheoesophageal fistula,519.1,HP_0002575
,"Infertility, male",Abnormal spermatogenesis,609.1,HP_0008669
,Congenital anomalies of face and neck,Absent lacrimal punctum,749,HP_0001092
,Obstructive chronic bronchitis,Chronic bronchitis,496.21,HP_0004469
,Manlignant and unknown neoplasms of brain and nervous system,Meningioma,191,HP_0002858
,Senile dementia,Mental deterioration,290.13,HP_0001268
,Nerve plexus lesions,Supernumerary ribs,353.1,HP_0005815
,Torsion dystonia,Paroxysmal dystonia,333.4,HP_0002268
,Congenital anomalies of face and neck,Webbed neck,749,HP_0000465
,Panniculitis,Autoimmunity,729.3,HP_0002960
,Nervous system congenital anomalies,Encephalocele,752,HP_0002084
,Paralytic strabismus,Recurrent external ophthalmoplegia,378.5,HP_0007250
,Hepatitis NOS,Chronic hepatitis,070.9,HP_0200123
,Myeloid leukemia,Acute myelomonocytic leukemia,204.2,HP_0004820
,Other acquired deformities of limbs,Abnormal foot morphology,736,HP_0001760
,Congenital anomalies of genital organs,Imperforate hymen,751.1,HP_0030011
,Other chronic nonalcoholic liver disease,Hepatic fibrosis,571.5,HP_0001395
,Symptoms of the muscles,Generalized muscle weakness,772,HP_0003324
,Disorders of refraction and accommodation; blindness and low vision,Myopia,367,HP_0000545
,Schizophrenia and other psychotic disorders,Mania,295,HP_0100754
,Generalized convulsive epilepsy,Bilateral tonic-clonic seizure,345.11,HP_0002069
,Other inflammatory spondylopathies,Polyarticular arthritis,715,HP_0005764
,Fracture of ankle and foot,Fractured epiphysis of third metatarsal bone,801,HP_0041195
,"Anomalies of respiratory system, congenital",Laryngeal hypoplasia,748,HP_0008749
,Upper gastrointestinal congenital anomalies,Aglossia,750.1,HP_0012730
,Other arthropathies,Arthropathy,716,HP_0003040
,Other specified congenital anomalies of nervous system,Amyelia,752.2,HP_0100566
,Cancer within the respiratory system,Carcinoma,165,HP_0030731
,Congenital anomalies of limbs,Hand polydactyly,755,HP_0001161
,Hypertensive heart and/or renal disease,Increased blood pressure,401.2,HP_0032263
,Retinopathy of prematurity,Retinopathy of prematurity zone II,362.1,HP_0500060
,Disorders of mineral metabolism,Hyperphosphaturia,275,HP_0003109
,Coagulation defects,Reduced factor VII activity,286,HP_0008169
,Hemoglobinuria,Paroxysmal nocturnal hemoglobinuria,285.8,HP_0004818
,Intracranial hemorrhage,Fetal intracranial hemorrhage,430,HP_0034208
,Congenital deformities of feet,Hallux varus,755.1,HP_0008080
,Dermatophytosis of nail,Onychomycosis,110.11,HP_0012203
,Suppurative and unspecified otitis media,Otitis media with effusion,381.11,HP_0031353
,Digestive congenital anomalies,Polycystic liver disease,750,HP_0006557
,Cardiomyopathy,Myopathy,425,HP_0003198
,Breast cancer,Neoplasm of the breast,174,HP_0100013
,"Hemangioma and lymphangioma, any site",Fetal cystic hygroma,228,HP_0010878
,Secondary malignancy of respiratory organs,Bladder neoplasm,198.2,HP_0009725
,Thyroid cancer,Neoplasm of the thyroid gland,193,HP_0100031
,Convulsions,Psychogenic non-epileptic seizure,345.3,HP_0033052
,Congenital cataract and lens anomalies,Anterior subcapsular cataract,753.1,HP_0010923
,Polyp of corpus uteri,Metrorrhagia,622.1,HP_0100608
,Intestinal disaccharidase deficiencies and disaccharide malabsorption,Decreased small intestinal mucosa lactase level,271.3,HP_0025130
,Cardiac congenital anomalies,Aortic valve stenosis,747.1,HP_0001650
,Spasm of muscle,obsolete Muscle spasm,772.2,HP_0031988
,Primary biliary cirrhosis,Decreased liver function,571.6,HP_0001410
,"Epilepsy, recurrent seizures, convulsions",Infantile spasms,345,HP_0012469
,Disorders of phosphorus metabolism,Hypophosphatemic rickets,275.53,HP_0004912
,Congenital deficiency of other clotting factors (including factor VII),Reduced factor X activity,286.12,HP_0008321
,Hereditary disturbances in tooth structure,Anodontia,520.1,HP_0000674
,Osteomyelitis,Osteomyelitis,710.1,HP_0002754
,Intestinal obstruction without mention of hernia,Abnormality of the gastrointestinal tract,560,HP_0011024
,Impetigo,Perifolliculitis,686.2,HP_0012322
,Abnormal reflex,Abnormal reflex,350.5,HP_0031826
,Eosinophilia,Neoplasm,288.3,HP_0002664
,Cardiac shunt/ heart septal defect,Patent foramen ovale,747.11,HP_0001655
,Visual disturbances,Heteronymous hemianopia,368,HP_0030517
,Cystic kidney disease,Multiple small medullary renal cysts,751.21,HP_0008659
,Congenital anomalies of face and neck,Large earlobe,749,HP_0009748
,Abnormal glucose,Impaired glucose tolerance,250.4,HP_0040270
,Pituitary hypofunction,Decreased response to growth hormone stimulation test,253.2,HP_0000824
,Peripheral vascular disease,Acrocyanosis,443,HP_0001063
,Mental retardation,"Intellectual disability, profound",315.3,HP_0002187
,Subjective visual disturbances,Sudden loss of visual acuity,368.9,HP_0001117
,Benign neoplasm of other parts of digestive system,Neoplasm,211,HP_0002664
,Strabismus and other disorders of binocular eye movements,Duane anomaly,378,HP_0009921
,Cancer of other female genital organs,Choriocarcinoma,184,HP_0100768
,Behcet's syndrome,Autoimmunity,711.3,HP_0002960
,Cancer of mouth,Neoplasm of the nose,145,HP_0012720
,Diseases of hair and hair follicles,Elbow hypertrichosis,704,HP_0004780
,Rheumatoid arthritis,Juvenile rheumatoid arthritis,714.1,HP_0005681
,Congenital anomalies of face and neck,Trigonocephaly,749,HP_0000243
,Acquired deformities of hip,Coxa magna,736.3,HP_0003279
,Develomental delays and disorders,Motor delay,315,HP_0001270
,"Respiratory failure, insufficiency, arrest",Hemolytic anemia,509,HP_0001878
,Other disorders of metabolism,Generalized lipodystrophy,277,HP_0009064
,Cancer of brain and nervous system,Glioma,191.1,HP_0009733
,Disturbance of skin sensation,Acroparesthesia,687.4,HP_0031006
,Other non-epithelial cancer of skin,Merkel cell skin cancer,172.2,HP_0030447
,Endocrine and metabolic disturbances of fetus and newborn,Neonatal hypoglycemia,656.3,HP_0001998
,Genitourinary congenital anomalies,Renal agenesis,751,HP_0000104
,Diabetes mellitus,Ketonuria,250,HP_0002919
,Anal and rectal conditions,Rectal abscess,565,HP_0005224
,Other dyspnea,Hypoventilation,512.9,HP_0002791
,Acquired hemolytic anemias,Hemolytic-uremic syndrome,283,HP_0005575
,Neural tube defects,Basal encephalocele,752.1,HP_0011817
,Strabismus and other disorders of binocular eye movements,Superior oblique muscle weakness,378,HP_0025592
,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,Neoplasm of the gallbladder,159,HP_0100575
,Cardiac shunt/ heart septal defect,obsolete Congenital septal defect,747.11,HP_0004760
,Other hypertrophic cardiomyopathy,Myopathy,425.12,HP_0003198
,"Disorders of fluid, electrolyte, and acid-base balance",Hyperkalemia,276,HP_0002153
,Acne,Cystic acne,706.1,HP_0033188
,Chronic pulmonary heart disease,Cor pulmonale,415.2,HP_0001648
,Contusion,Bruising susceptibility,916,HP_0000978
,Curvature of spine,Abnormal vertebral morphology,737,HP_0003468
,Pyelonephritis,Abnormality of the genitourinary system,590,HP_0000119
,Other disorders of lipoid metabolism,Hypolipoproteinemia,277.5,HP_0010981
,Monocytic leukemia,Chronic myelomonocytic leukemia,204.3,HP_0012325
,"Osteoporosis, osteopenia and pathological fracture",Compression-fractured vertebra,743,HP_0041085
,Genitourinary congenital anomalies,Congenital megaureter,751,HP_0008676
,"Benign neoplasm of spinal cord, meninges",Carcinoma,225.2,HP_0030731
,Cervical cancer and dysplasia,Abnormality of the genitourinary system,180,HP_0000119
,"Cancer, suspected or other",Lobular carcinoma in situ,195,HP_0030076
,Paralytic ileus,Paralytic ileus,560.1,HP_0002590
,Corneal opacity and other disorders of cornea,Corneal arcus,364,HP_0001084
,Other disorders of eye,Posterior staphyloma,379,HP_0030856
,Cerebral cysts,Arachnoid cyst,348.4,HP_0100702
,Disorders of optic nerve and visual pathways,Retrobulbar optic neuritis,377,HP_0100654
,Abnormal movement,Dystonia,350,HP_0001332
,"Localized superficial swelling, mass, or lump",Abnormal salivary gland morphology,687.2,HP_0010286
,Other disorders of bone and cartilage,Bone cyst,733,HP_0012062
,Laxity of ligament or hypermobility syndrome,Joint laxity,728.2,HP_0001388
,Wegener's granulomatosis,Granulomatosis,446.4,HP_0002955
,Symptoms of the muscles,Autoimmunity,772,HP_0002960
,Diseases of esophagus,Esophageal ulceration,530,HP_0004791
,Dyspepsia and other specified disorders of function of stomach,Abdominal pain,536.8,HP_0002027
,Pleurisy; pleural effusion,Transudative pleural effusion,507,HP_0011920
,Other retinal disorders,obsolete Tapetoretinal degeneration,362,HP_0000547
,Cancer of brain and nervous system,Carcinoma,191.1,HP_0030731
,Abnormality of red blood cells,Abnormality of blood and blood-forming tissues,289.9,HP_0001871
,Superficial injury without mention of infection,Question mark ear,915,HP_0030022
,"Myeloid leukemia, chronic",Carcinoma,204.22,HP_0030731
,Atrial fibrillation and flutter,Atrial fibrillation,427.2,HP_0005110
,Abnormal movement,Spastic gait,350,HP_0002064
,Viral hepatitis,Abnormality of the liver,070,HP_0001392
,Ulcerative colitis,Abnormality of the gastrointestinal tract,555.2,HP_0011024
,Genitourinary congenital anomalies,Renotubular dysgenesis,751,HP_0008660
,Excessive or frequent menstruation,Polymenorrhea,626.12,HP_0400007
,Aplastic anemia,Abnormality of blood and blood-forming tissues,284,HP_0001871
,Excessive or frequent menstruation,Menorrhagia,626.12,HP_0000132
,Proliferative glomerulonephritis,Membranoproliferative glomerulonephritis,580.11,HP_0000793
,Benign mammary dysplasias,Neoplasm of the breast,610,HP_0100013
,Cancer of lip,Malignant neoplasm of the central nervous system,145.1,HP_0100836
,Disorders involving the immune mechanism,Dysgammaglobulinemia,279,HP_0002961
,Lump or mass in breast,Breast mass,611.3,HP_0032408
,Pancytopenia,Pancytopenia,284.1,HP_0001876
,Bone cancer,Neoplasm,170.1,HP_0002664
,Pneumonia due to fungus (mycoses),Coccidioidomycosis,480.3,HP_0032249
,Other specified cardiac dysrhythmias,Arrhythmia,427.3,HP_0011675
,Disorders of optic nerve and visual pathways,Cerebral visual impairment,377,HP_0100704
,Other perinatal conditions of fetus or newborn,Nonimmune hydrops fetalis,656,HP_0001790
,Disorders of refraction and accommodation; blindness and low vision,Astigmatism,367,HP_0000483
,Open wound or laceration of eye or eyelid,Scarring,870.1,HP_0100699
,Disorders of protein plasma/amino-acid transport and metabolism,Histidinuria,270,HP_0002927
,Other congenital musculoskeletal anomalies,Metaphyseal dysostosis,756,HP_0005899
,Diseases of spleen,Hemolytic anemia,289.5,HP_0001878
,Primary/intrinsic cardiomyopathies,Hypertrophic cardiomyopathy,425.1,HP_0001639
,Edema,Pedal edema,782.3,HP_0010741
,Viral hepatitis,Hepatic fibrosis,070,HP_0001395
,"Benign neoplasm of brain, cranial nerves, meninges",Spinal meningioma,225.1,HP_0100010
,Bacterial infection NOS,Erythema migrans,041,HP_0031180
,Benign neoplasm of bone and articular cartilage,Benign neoplasm of the central nervous system,213,HP_0100835
,Viral hepatitis B,Hepatitis,070.2,HP_0012115
,Spinocerebellar disease,Hemifacial hypertrophy,334.1,HP_0005323
,Non-Hodgkins lymphoma,Lymphoma,202.2,HP_0002665
,Aphasia,Aphasia,292.11,HP_0002381
,Rhabdomyolysis,Acute rhabdomyolysis,772.4,HP_0008942
,Decreased white blood cell count,Abnormality of blood and blood-forming tissues,288.1,HP_0001871
,Nervous system congenital anomalies,Occipital encephalocele,752,HP_0002085
,Other disorders of arteries and arterioles,Arterial stenosis,447,HP_0100545
,Disorders of the pituitary gland and its hypothalamic control,Hyperpituitarism,253,HP_0010514
,Premature menopause and other ovarian failure,obsolete Precocious menopause,627.5,HP_0100805
,Other upper respiratory disease,Tracheal stenosis,479,HP_0002777
,Decreased white blood cell count,Decreased red blood cell count,288.1,HP_0020060
,Spermatocele,Epididymal cyst,603.2,HP_0030424
,Aspergillosis,Coccidioidomycosis,117.4,HP_0032249
,Congenital hypothyroidism,Congenital hypothyroidism,244.5,HP_0000851
,Bacterial infection NOS,Refractory drug response,041,HP_0020174
,"Cerebral degeneration, unspecified",Brain atrophy,331.9,HP_0012444
,Secondary malignancy of respiratory organs,Carcinoma,198.2,HP_0030731
,Congenital anomalies of urinary system,Ureteral agenesis,751.2,HP_0012300
,Purpura and other hemorrhagic conditions,Thrombocytopenia,287,HP_0001873
,Disorders of protein plasma/amino-acid transport and metabolism,Hypertyrosinemia,270,HP_0003231
,Disorders of the globe,Hemorrhage of the eye,360,HP_0011885
,Otitis media,Otitis media with effusion,381.1,HP_0031353
,Nephritis; nephrosis; renal sclerosis,Autoimmunity,580,HP_0002960
,Extrapyramidal disease and abnormal movement disorders,Chorea,333,HP_0002072
,Ill-defined descriptions and complications of heart disease,Displacement of the papillary muscles,429,HP_0025447
,Other perinatal conditions of fetus or newborn,Meconium ileus,656,HP_0004401
,Heart valve disorders,Aortic regurgitation,395,HP_0001659
,Learning disorder,Alexia,315.1,HP_0010523
,Pituitary hypofunction,Hypopituitarism,253.2,HP_0040075
,Osteitis deformans and osteopathies associated with other disorders classified elsewhere,Periostosis,731,HP_0030314
,Diverticulitis,Abnormality of the gastrointestinal tract,562.2,HP_0011024
,H. pylori,Helicobacter pylori infection,041.8,HP_0005202
,Cardiac dysrhythmias,Bradycardia,427,HP_0001662
,Prurigo and Lichen,Abnormality of the skin,695.7,HP_0000951
,Premature menopause and other ovarian failure,External genital hypoplasia,627.5,HP_0003241
,Cancer of intrathoracic organs,Carcinoma,164,HP_0030731
,Colon cancer,Duodenal adenocarcinoma,153.2,HP_0006771
,Other disorders of metabolism,Hematological neoplasm,277,HP_0004377
,Extrapyramidal disease and abnormal movement disorders,Athetoid cerebral palsy,333,HP_0011445
,Hemoptysis,Hemoptysis,516.1,HP_0002105
,Symptoms affecting skin,Hyperesthesia,687,HP_0100963
,Disorders of optic nerve and visual pathways,Optic atrophy,377,HP_0000648
,Other symptoms,Retrograde memory impairment,1005,HP_0033690
,Carditis,Autoimmunity,420,HP_0002960
,Suicidal ideation or attempt,Suicidal ideation,297,HP_0031589
,Congenital anomalies of female genital organs,Vaginal atresia,751.11,HP_0000148
,Benign mammary dysplasias,Neoplasm,610,HP_0002664
,Disorders of tooth development,Oligodontia,520,HP_0000677
,Abnormal findings on study of brain and/or nervous system,Abnormality of visual evoked potentials,346,HP_0000649
,Calculus of kidney,Staghorn calculus,594.1,HP_0033591
,Personality disorders,Emotional lability,301,HP_0000712
,Dyspepsia and other specified disorders of function of stomach,Achlorhydria,536.8,HP_0032448
,Chromosomal anomalies and genetic disorders,Tapered finger,758,HP_0001182
,Other disorders of thyroid,Thyroid C cell hyperplasia,246,HP_0011781
,Diffuse diseases of connective tissue,Morphea,709,HP_0012344
,Learning disorder,Diminished mental health,315.1,HP_0033667
,Lack of normal physiological development,Severe failure to thrive,264,HP_0001525
,Strabismus (not specified as paralytic),Strabismus,378.1,HP_0000486
,"Cancer, suspected or other",Neoplasm of the nose,195,HP_0012720
,Extrapyramidal disease and abnormal movement disorders,Abnormality of the basal ganglia,333,HP_0002134
,Hidradenitis,Abnormality of the skin,705.3,HP_0000951
,Abnormal tumor markers,Elevated carcinoembryonic antigen level,795.8,HP_0031029
,Other disorders of male genital organs,Scrotal pain,608,HP_0030155
,Cancer of brain,Choroid plexus papilloma,191.11,HP_0200022
,Sleep disorders,Sleep apnea,327,HP_0010535
,Pallor and flushing,Livedo reticularis,782.6,HP_0033505
