phecodeX_label	hpo_label	phecodeX_code	hpo_code
Hypepigmentation	Nevus spilus	674.2	HP_0025510
Non-inflammatory spondylopathy	Osteoarthritis	715	HP_0002758
Gastritis	Gastritis	522.9	HP_0005263
Bullous disorders	Abnormality of the skin	663	HP_0000951
Benign neoplasm of the head and neck	Neoplasm	135	HP_0002664
Inflammatory bowel disease	Fibrin casts	522.1	HP_0025697
Other congenital anomalies of heart	Complete atrioventricular canal defect	780	HP_0001674
Congenital absence, atresia and stenosis of large intestine	Colonic atresia	765.8	HP_0010448
Scoliosis	Kyphoscoliosis	714.3	HP_0002751
Other heart disorders in diseases NEC	Displacement of the papillary muscles	426	HP_0025447
Other disorders of nose and nasal sinuses	Nasal septum perforation	471	HP_0033434
Disorders of the pituitary gland and its hypothalamic control	Abnormality of the genitourinary system	209	HP_0000119
Polyclonal hypergammaglobulinemia	Increased circulating antibody level	180.2	HP_0010702
Recurrent and persistent hematuria*	Macroscopic hematuria	593.3	HP_0012587
Biliary cirrhosis	Cholestatic liver disease	544	HP_0002611
Nerve plexus lesions	Brachial plexus neuropathy	335.1	HP_0045054
Myocardial infarction [Heart attack]	Hemopericardium	404.1	HP_0011851
Renal tubulo-interstitial diseases	Grade II vesicoureteral reflux	581	HP_0033736
Hypertrophic scar [Keloid scar]	Scarring	676.1	HP_0100699
Other disorders of liver	Fulminant hepatic failure	546	HP_0004448
Benign neoplasm of the head and neck	Benign genitourinary tract neoplasm	135	HP_0006778
Strabismus	Heterophoria	381	HP_0032011
Hermaphroditism	Gonadal dysgenesis	772.1	HP_0000133
Hypertension	Abnormality of the genitourinary system	401	HP_0000119
Other heart disorders in diseases NEC	Dilated cardiomyopathy	426	HP_0001644
Symptoms and signs related to movement disorders	Muscle fibrillation	325	HP_0010546
Symbolic dysfunction	Echolalia	894	HP_0010529
Disorders of tooth develoment	Talon cusp	500	HP_0011087
Abnormal skull shape*	Premature closure of fontanelles	758.2	HP_0005458
Hereditary and idiopathic neuropathy	Abnormal peripheral nervous system morphology	337.1	HP_0000759
Cystitis and urethritis	Urethritis	592	HP_0500006
Dyslexia and alexia	Dysgraphia	894.1	HP_0010526
Malposition of heart and cardiac apex	Dextrocardia	796.12	HP_0001651
Chronic leukemia	Chronic leukemia	121.2	HP_0005558
Malignant neoplasm of meninges	Meningioma	109.2	HP_0002858
Bell's palsy	Abnormal peripheral nervous system morphology	334.21	HP_0000759
Benign neoplasm of the testis	Ovarian teratoma	146.3	HP_0012226
Intracranial injury	Subarachnoid hemorrhage	T851	HP_0002138
Acute dermatitis due to solar radiation	Solar urticaria	672.1	HP_0410137
Alcohol use disorders	Atrial cardiomyopathy	280.1	HP_0200127
Malaise and fatigue	Chronic fatigue	807	HP_0012432
Intestinal carcinoid	Carcinoma	114.41	HP_0030731
Malposition of heart and cardiac apex	Ectopia cordis	796.12	HP_0001683
Infections	Genital warts	089	HP_0032301
Hereditary deficiency of other clotting factors	Reduced factor VII activity	168.3	HP_0008169
Perinatal jaundice	Neonatal hyperbilirubinemia	859	HP_0003265
Benign neoplasm of the skin	Pilomatrixoma	138	HP_0030434
Holoprosencephaly*	Abnormality of the nervous system	750.15	HP_0000707
Pneumonia	Recurrent viral pneumonia	468	HP_0033214
Neuralgic amyotrophy	Polyneuropathy	335.3	HP_0001271
Disorder of nervous system	Abnormal brain positron emission tomography	349	HP_0012657
Benign neoplasm of retina	Benign neoplasm of the central nervous system	148.15	HP_0100835
Exposure and effects of radiation	Abnormality of the skin	C948	HP_0000951
Right bundle branch block	Bundle branch block	416.43	HP_0011710
Malignant neoplasm of the larynx	Lobular carcinoma in situ	100.6	HP_0030076
Noninflammatory disorders of the cornea	Corneal arcus	369	HP_0001084
Hypopituitarism	Male hypogonadism	209.2	HP_0000026
Preterm labor	Premature birth	903.1	HP_0001622
Diverticular disease [Bowel diverticulosis]	Gastric diverticulum	523	HP_0100808
Current tobacco use and nicotine dependence	Nicotine addiction	282.1	HP_0033543
Acquired deformities of fingers	Deviation of finger	709.1	HP_0004097
Paroxysmal tachycardia	Paroxysmal atrial tachycardia	416.1	HP_0006671
Malignant neoplasm of the eye, brain and other parts of central nervous system	Brain neoplasm	109	HP_0030692
Anemia	Microcytic anemia	164	HP_0001935
Anencephaly	Acrania	750.12	HP_0030716
Megalencephaly*	Macrocephaly	750.3	HP_0000256
Cancer (solid tumor, excluding BCC)	Prostate cancer	130	HP_0012125
Fracture of ribs	Fractured rib	T817	HP_0041159
Congenital malformation of optic disc	Optic disc coloboma	753.83	HP_0000588
Acute respiratory infection	Subglottic laryngitis	460	HP_0033000
Contractures	Multiple joint contractures	719.9	HP_0002828
Cerebral cysts	Central nervous system cyst	347.1	HP_0030724
Extrinsic (acquired) hemolytic anemias	Hemolytic-uremic syndrome	161.2	HP_0005575
Allergy	Idiopathic anaphylaxis	840	HP_0410148
Lymphadenitis	Lymphadenitis	177.1	HP_0002840
Dermatophytosis	Onychomycosis	660.12	HP_0012203
Secondary neuroendocrine tumors	Neuroendocrine neoplasm	114.3	HP_0100634
Diffuse large B-cell lymphoma*	Leukemia	122.22	HP_0001909
Malignant neoplasm of the eye, brain and other parts of central nervous system	Retinoblastoma	109	HP_0009919
Effect of trauma	Fractured skull	T883	HP_0041082
Other diseases of blood and blood-forming organs	Thrombocytosis	176	HP_0001894
Disorders of the pituitary gland and its hypothalamic control	Macroprolactinoma	209	HP_0012342
Auditory hallucinations*	Auditory hallucinations	353.11	HP_0008765
Allergy	Latex allergy	840	HP_0500094
Visual disturbances	Scintillating scotoma	386	HP_0010822
Heart valve disorders	Congenital mitral stenosis	413	HP_0011570
Corpus luteum cyst or hematoma	Hemorrhagic ovarian cyst	628.2	HP_0012886
Congenital malformations of brain	Spinal dysraphism	750	HP_0010301
Spondylosis	Knee osteoarthritis	715.1	HP_0005086
Hypothermia of newborn	Hypothermia	866.1	HP_0002045
Malignant neuroendocrine tumors	Carcinoma	114.1	HP_0030731
Ovarian dysfunction	Gonadotropin deficiency	214	HP_0008213
Inflammatory and immune myopathies	Polyneuropathy	340.3	HP_0001271
Congenital malformations of brain	Alobar holoprosencephaly	750	HP_0006988
Arteriovenous fistula	Pulmonary arteriovenous malformation	441.1	HP_0006548
Intestinal duplication*	Intestinal duplication	765.5	HP_0100668
Acute upper respiratory infection	Recurrent tonsillitis	460.1	HP_0011110
Malunion of fracture	Fractured skull	726.3	HP_0041082
Testicular hypofunction	Gonadotropin deficiency	215.1	HP_0008213
Atrioventricular block	Atrioventricular block	416.41	HP_0001678
Benign neoplasm of epididymis and spermatic cord	Carcinoma	146.31	HP_0030731
Cystitis	Abnormality of the genitourinary system	592.1	HP_0000119
Paralytic strabismus [Neurogenic strabismus]	Internuclear ophthalmoplegia	381.1	HP_0030773
Disorders of adrenal glands	Adrenal insufficiency	211	HP_0000846
Symptoms involving digestive system	Secretory diarrhea	529	HP_0005208
Acute nephritic syndrome	Glomerulopathy	580.1	HP_0100820
Carcinoid tumor of the kidney	Carcinoid tumor	114.45	HP_0100570
Hepatitis	Hepatitis	540	HP_0012115
Renal tubulo-interstitial diseases	Hydroureter	581	HP_0000072
Hereditary motor and sensory neuropathy	Peripheral neuropathy	337.11	HP_0009830
Congenital malformations of iris	Heterochromia iridis	753.5	HP_0001100
Secondary malignant neoplasm of liver	Carcinoma	116.4	HP_0030731
Severe combined immunodeficiency due to adenosine deaminase deficiency*	Complement deficiency	179.31	HP_0004431
Lipid storage disorders	Dysostosis multiplex	242	HP_0000943
Contractures	Wrist flexion contracture	719.9	HP_0001239
Inhalation lung injury	Anthracosis	477	HP_0033375
Toxicology findings	Elevated urinary catecholamines	827	HP_0011976
Aplastic anemia	Anemia of inadequate production	162	HP_0010972
Juvenile rheumatoid arthritis [JRA/JIA]	Polyarticular arthritis	705.2	HP_0005764
Chronic laryngitis and tracheitis	Subglottic laryngitis	467.2	HP_0033000
Chronic nephritic syndrome	Tubulointerstitial nephritis	580.2	HP_0001970
Hemangioma and lymphangioma	Carcinoma	139.6	HP_0030731
Open wound of ear	Fractured skull	T870.2	HP_0041082
Chronic myloid leukemia	Carcinoma	121.22	HP_0030731
Precocious puberty	Precocious puberty in males	217.2	HP_0008185
Disorders of the pituitary gland and its hypothalamic control	Severe short stature	209	HP_0003510
Pheochromocytoma (including adrenal gland neoplasms)	Benign neoplasm of the central nervous system	114.6	HP_0100835
Impaired convergence	Impaired convergence	382.1	HP_0000619
Premature menopause	obsolete Precocious menopause	214.11	HP_0100805
Congenital malformations of face and neck	Preauricular pit	756	HP_0004467
Dysthymic disorder	Depression	286.4	HP_0000716
Volvulus	Ileus	532.4	HP_0002595
Flat foot [pes planus]	Abnormal foot morphology	710.41	HP_0001760
Disorders of iris and ciliary body	Uveitis	370	HP_0000554
Coronary artery dissection	Coronary artery dissection	438.43	HP_0006702
Systolic heart failure	Congestive heart failure	424.2	HP_0001635
Malignant neoplasm of the liver and intrahepatic bile ducts	Teratoma	101.6	HP_0009792
Lump or mass in breast	Breast mass	142.1	HP_0032408
Cerebrospinal fluid leak	Spontaneous cerebrospinal fluid leak	344.3	HP_0032934
Plegia and unspecified paralysis	Hemiplegia	342	HP_0002301
Biliary cirrhosis	Abnormality of the gastrointestinal tract	544	HP_0011024
Cardiac arrhythmia and conduction disorders	Atrioventricular block	416	HP_0001678
Histocytoces	Hematological neoplasm	120.3	HP_0004377
Inflammatory and immune myopathies	Myositis	340.3	HP_0100614
Allergies related to other diseases/symptoms	Cow milk allergy	840.8	HP_0100327
Intellectual disabilities	Intellectual disability, moderate	892.6	HP_0002342
Allergic rhinitis	Rhinitis	463.2	HP_0012384
Degenerative diseases of the basal ganglia (excluding parkinsons)	Olivopontocerebellar atrophy	324.2	HP_0002542
General symptoms and other findings	Exercise intolerance	819	HP_0003546
Aortic valve disorders	Aortic valve stenosis	413.2	HP_0001650
Infection of the skin	Inguinal abscess	660	HP_0033590
Transposition of great vessels	Overriding aorta	778.2	HP_0002623
Interstitial pulmonary diseases	Pulmonary fibrosis	481	HP_0002206
Repeated falls*	Falls	350.5	HP_0002527
Small kidney	Congenital megaureter	586.1	HP_0008676
Disorders of other cranial nerves	Polyneuropathy	334	HP_0001271
Congenital malformations of cardiac septa	Perimembranous ventricular septal defect	780.4	HP_0011682
Benign neoplasm of the paranasal sinus and nasal cavity	Neoplasm	135.5	HP_0002664
Cancer (solid tumor, excluding BCC)	Anterior mediastinal mass	130	HP_0033827
Cystic kidney disease	Multiple renal cysts	773.3	HP_0005562
Acquired deformities of limbs	Protrusio acetabuli	710	HP_0003179
Critical illness myopathy	Neuritis	340.1	HP_0031002
Epidermal thickening	Plantar hyperkeratosis	680	HP_0007556
Abnormal findings on diagnostic imaging of lung	Pulmonary infiltrates	495	HP_0002113
Other disorders of the intestines	Intestinal fistula	532	HP_0100819
Disorders of other cranial nerves	Fourth cranial nerve palsy	334	HP_0007011
Overweight and obesity	Abdominal obesity	236	HP_0012743
Glossitis	Smooth tongue	509.1	HP_0010298
Schizoaffective disorder	Mania	287.2	HP_0100754
Migraine	Migraine with aura	331.6	HP_0002077
Disorders of lens (excluding cataracts)	Lens subluxation	372	HP_0001132
Congenital ptosis	Ptosis	754.11	HP_0000508
Respiratory arrest	Respiratory arrest	497	HP_0005943
Autoimmune disease	Polyneuropathy	181	HP_0001271
Malignant neoplasm of the scrotum	Neoplasm of the scrotum	107.32	HP_0100849
Herpes zoster	Otitis externa	052.32	HP_0410017
Macroglobulinemia [Waldenstrom macroglobulinemia]	Leukemia	180.33	HP_0001909
Meningismus	Nuchal rigidity	350.2	HP_0031179
Thyroiditis	Hashimoto thyroiditis	200.4	HP_0000872
Other specific joint derangements	Recurrent shoulder dislocation	712	HP_0031610
Disorders of other cranial nerves	Hemiatrophy	334	HP_0100556
Nephritis and nephropathy, not specified as acute or chronic	Tubulointerstitial nephritis	580.4	HP_0001970
Memory loss	Anterograde memory impairment	329.1	HP_0033689
Fatty liver disease (FLD)	Abnormality of the gastrointestinal tract	542.2	HP_0011024
Disorders of calcium metabolism	Calcinosis	247.5	HP_0003761
Hereditary motor and sensory neuropathy	Pain insensitivity	337.11	HP_0007021
Muscle wasting and atrophy	Myopathy	719.6	HP_0003198
Mature B-cell	IgG heavy chain paraproteinemia	120.21	HP_0020195
Anomalies of pulmonary valve, congenital	Pulmonary insufficiency	779.1	HP_0010444
Dilated cardiomyopathy*	Hypertrophic cardiomyopathy	414.2	HP_0001639
Corns and callosities	Abnormality of the skin	680.1	HP_0000951
Newborn affected by maternal complications of pregnancy	Potter facies	876	HP_0002009
Pallor and flushing	Livedo reticularis	679.2	HP_0033505
Anemia secondary to chronic diseases and conditions	Abnormality of blood and blood-forming tissues	164.6	HP_0001871
Malignant neoplasm of the palate	Carcinoma	100.15	HP_0030731
Urethral stricture due to infecton	Bulbar urethral stricture	592.3	HP_0025415
Gastrointestinal hemorrhage	Hematemesis	557	HP_0002248
Polydactyly	Triphalangeal thumb	785.11	HP_0001199
Sequelae of cancer	Abnormality of the genitourinary system	132	HP_0000119
Heartburn and epigastric pain	Epigastric pain	515	HP_0410019
Disorders of thyroid gland	Uninodular goiter	200	HP_0011773
Substance related disorders	Cirrhosis	280	HP_0001394
Leukemia	Hematological neoplasm	121	HP_0004377
Drug induced neutropenia	Drug-induced agranulocytosis	170.12	HP_0012235
Prolapse of vaginal walls	Urethrocele	618.1	HP_0100821
Disorders of the retina	Retinal telangiectasia	374	HP_0007763
Other sprains and strains	Fractured skull	T840.9	HP_0041082
Early satiety	Early satiety	230.5	HP_0033842
Periodontal diseases	Periodontitis	504	HP_0000704
Disorders of purine and pyrimidine metabolism (excl. hyperuiemia)	Xanthinuria	250	HP_0010934
Congenital malformations of esophagus	Esophageal atresia	762	HP_0002032
Kaschin-Beck disease	Arthropathy	707.3	HP_0003040
Iatrogenic hypopituitarism*	Panhypopituitarism	209.23	HP_0000871
Retinopathy of prematurity	Retinopathy of prematurity pre-plus	873	HP_0500063
Neuralgic amyotrophy	Abnormal peripheral nervous system morphology	335.3	HP_0000759
Malignant neoplasm of the of bronchus and lung	Neoplasm of the lung	102.1	HP_0100526
Extrinsic (acquired) hemolytic anemias	Hemoglobinuria	161.2	HP_0003641
Benign neuroendocrine tumors	Neuroendocrine neoplasm	114.2	HP_0100634
Congenital or developmental glaucoma	Developmental glaucoma	753.9	HP_0001087
Primary focal hyperhidrosis	Abnormality of the skin	685.81	HP_0000951
Congenital malformations of eyelid	Blepharophimosis	754.1	HP_0000581
Pathologic fracture	Vertebral compression fracture	726.2	HP_0002953
Hyperosmolality and/or hypernatremia	Hypernatremia	256.1	HP_0003228
Hypertensive heart disease	Congestive heart failure	401.2	HP_0001635
Myasthenia gravis	Abnormal peripheral nervous system morphology	338.1	HP_0000759
Leukemia	Myelofibrosis	121	HP_0011974
Hepatic failure	Hepatic failure	542.3	HP_0001399
Extrapyramidal and movement disorders	Torticollis	324	HP_0000473
Lumbosacral plexus lesions	Neuritis	335.12	HP_0031002
Diseases of spleen	Splenic abscess	174	HP_0025059
Hypopituitarism	External genital hypoplasia	209.2	HP_0003241
Intracranial injury	Fractured skull	T851	HP_0041082
Developmental disorders of bone	Morbus Osgood-Schlatter	725	HP_0010890
Hemo onc - by cell of origin	Burkitt lymphoma	120	HP_0030080
Speech disturbance	Aphasia	356	HP_0002381
Hypertension	Hypertension	401	HP_0000822
Glossitis	Tongue pain	509.1	HP_0030811
Malaise and fatigue	Proximal muscle weakness	807	HP_0003701
Perinatal intestinal perforation	Meconium peritonitis	865.3	HP_0030717
Hepatovirus	Abnormality of the gastrointestinal tract	054	HP_0011024
Rheumatic fever and chronic rheumatic heart diseases	Tricuspid regurgitation	400	HP_0005180
Heart valve disorders	Mitral valve prolapse	413	HP_0001634
Spondylosis	Osteoarthritis	715.1	HP_0002758
Protrusio acetabuli	Abnormal joint morphology	710.23	HP_0001367
Aortic valve disorders	Bicuspid aortic valve	413.2	HP_0001647
Conjunctival degenerations and deposits	Pinguecula	366.2	HP_0031830
Diseases of pulp and periapical tissues	Abnormality of the gastrointestinal tract	503	HP_0011024
Sinusitis	Absent ethmoidal sinuses	462	HP_0005456
Pain in joint	Wrist pain	713.3	HP_0030836
Posttraumatic stress disorder	Posttraumatic stress symptom	290.1	HP_0033676
Essential hypertension	Increased blood pressure	401.1	HP_0032263
Congenital malformations of great arteries	Double outlet left ventricle	778	HP_0011581
Strabismus	Esodeviation	381	HP_0020045
Other cerebrovascular disease	Carotid artery stenosis	433	HP_0100546
Pyloric stenosis	Pyloric stenosis	516.1	HP_0002021
Benign neoplasm of orbit	Carcinoma	148.11	HP_0030731
Open wound of lip and mouth	Fractured skull	T870.5	HP_0041082
Inflammatory and immune myopathies	Abnormal peripheral nervous system morphology	340.3	HP_0000759
Benign neoplasm of the skin	Apocrine hidrocystoma	138	HP_0031454
Acquired deformities of limbs	Coxa valga	710	HP_0002673
Clonic hemifacial spasm*	Hemifacial spasm	334.24	HP_0010828
Acute leukemia	Acute myeloid leukemia	121.1	HP_0004808
Malignant neuroendocrine tumors	Neuroendocrine neoplasm	114.1	HP_0100634
Mechanical ectropion	Mechanical entropion	361.92	HP_0031738
Congenital malformations of ureter and renal pelvis	Ureteral duplication	774	HP_0000073
Clostridium	Clostridium difficile enteritis	015	HP_0032167
Benign neoplasm of the lip	Benign neoplasm of the central nervous system	135.11	HP_0100835
Chronic postrheumatic arthropathy [Jaccoud]	Abnormal joint morphology	705.6	HP_0001367
Congenital anomalies of limbs	Brachydactyly	785	HP_0001156
Lymphoma	Non-Hodgkin lymphoma	122	HP_0012539
Muscle wasting and atrophy	Skeletal myopathy	719.6	HP_0003756
Anomalies of pupillary function	Miosis	384	HP_0000616
Acquired deformities of toe	Hallux rigidus	709.2	HP_0025004
Ophthalmoplegia	Supranuclear ophthalmoplegia	381.11	HP_0000623
Other congenital malformations	Situs inversus totalis	796	HP_0001696
Specific developmental disorders of scholastic skills	Diminished mental health	891.2	HP_0033667
Excessive or frequent menstruation	Abnormality of the genitourinary system	626.12	HP_0000119
Brain damage and brain death	Cerebral edema	346	HP_0002181
Cardiac arrhythmia and conduction disorders	Sick sinus syndrome	416	HP_0011704
Malignant neoplasm of the placenta	Neoplasm	106.6	HP_0002664
Acidosis	Ketosis	256.31	HP_0001946
Extrinsic (acquired) hemolytic anemias	Microangiopathic hemolytic anemia	161.2	HP_0001937
Malignant neoplasm of the thyroid	Medullary thyroid carcinoma	110.1	HP_0002865
Diseases of tongue	Abnormality of the tongue	509	HP_0000157
Epilepsy, recurrent seizures, convulsions	Convulsive status epilepticus	330	HP_0032660
Abnormal skull shape*	Scaphocephaly	758.2	HP_0030799
Slurred speech*	Slurred speech	356.4	HP_0001350
Immunodeficiency with increased IgM	Complement deficiency	179.8	HP_0004431
Lymphoma	Primary central nervous system lymphoma	122	HP_0030069
Thoracic aneurysm	Thoracic aortic aneurysm	438.12	HP_0012727
Extrapyramidal and movement disorders	Myoclonus	324	HP_0001336
Chronic periodontitis	Localized periodontitis	504.32	HP_0011059
Conduct disorders	Behavioral abnormality	893.2	HP_0000708
Hemorrhagic stroke	Intraventricular hemorrhage	431.12	HP_0030746
Congenital deformities of feet	Talipes	784	HP_0001883
Disorders of the pituitary gland and its hypothalamic control	Pituitary dwarfism	209	HP_0000839
Congenital malformations of spleen	Polysplenia	795	HP_0001748
Dislocation	Ectopia lentis	T830	HP_0001083
Placental disorders	Varicose veins	907	HP_0002619
Systemic atrophies primarily affecting the central nervous system	Spastic ataxia	323	HP_0002497
Mood [affective] disorders	Psychosis	286	HP_0000709
Malignant neoplasm of the pineal gland	Neoplasm	110.5	HP_0002664
Congenital malformations of male genital organs	Glandular hypospadias	771	HP_0000807
Congenital anomalies of limbs	Split hand	785	HP_0001171
Nephrotic syndrome	Abnormality of the genitourinary system	580.3	HP_0000119
Lipoprotein deficiencies	Abetalipoproteinemia	244.1	HP_0008181
Exstrophy	Bladder exstrophy	775.1	HP_0002836
Nonspecific abnormal results of function study of liver	Elevated hepatic transaminase	545	HP_0002910
Mucositis (ulcerative) due to antineoplastic therapy	Oral ulcer	975.23	HP_0000155
Other CNS infection	Intrarenal abscess	322	HP_0032620
Uninodular goiter [single thyroid nodule]	Uninodular goiter	200.22	HP_0011773
Cancer (solid tumor, excluding BCC)	Thymoma	130	HP_0100522
Malignant neoplasm of the liver	Neoplasm	101.61	HP_0002664
Noninflammatory female genital disorders	Clitoral hypertrophy	619	HP_0008665
Malignant neoplasm of stomach	Gastric adenocarcinoma	101.2	HP_0033770
Disorders of histidine metabolism	Urocanic aciduria	240.14	HP_0012237
Other congenital malformations of musculoskeletal system	Patellar aplasia	789	HP_0006443
Malignant neoplasm of the endocrine glands	Pinealoma	110	HP_0010799
Thyrotoxicosis [hyperthyroidism]	Thyrotoxicosis from ectopic thyroid tissue	200.3	HP_0011783
Other disorders of bladder	Neurogenic bladder	596	HP_0000011
Lymphoma	Hodgkin lymphoma	122	HP_0012189
Noninflammatory female genital disorders	Fallopian tube torsion	619	HP_0012884
Aneurysm of heart	obsolete Coronary atherosclerosis	438.7	HP_0004929
Benign neoplasm of retroperitoneum and peritoneum	Neoplasm	139.2	HP_0002664
Granulomatous disorder of the skin	Skeletal myopathy	688	HP_0003756
Optic neuritis	Optic neuritis	380.11	HP_0100653
Congenital malformation of optic disc	Optic nerve hypoplasia	753.83	HP_0000609
Disorders of aromatic amino-acid metabolism	Hyperhistidinemia	240.1	HP_0010906
Congenital malformations of esophagus	Esophageal web	762	HP_0100594
Disorders of pigmentation	Capillary hemangioma	674	HP_0005306
Holoprosencephaly*	Alobar holoprosencephaly	750.15	HP_0006988
General symptoms and other findings	Dementia	819	HP_0000726
Abnormal cardiac sounds	Gallop rhythm	423	HP_0033113
Lipoma	Lipoma	139.5	HP_0012032
Abdominal pain	Epigastric pain	527	HP_0410019
Alcohol dependence	Psychosis	280.12	HP_0000709
Congenital malformations of posterior segment of eye	Coloboma	753.8	HP_0000589
Fungal infections	Vaginitis	089.3	HP_0030683
Malignant neoplasm of the digestive organs	Pancreatic adenocarcinoma	101	HP_0006725
Nontraumatic Intracranial hemorrhage	Epidural hemorrhage	430	HP_0100310
Embolism and thrombosis	Cerebral infarct	440	HP_0025722
Diastematomyelia	Diastomatomyelia	751.6	HP_0100563
Benign neoplasm of the heart, mediastinum, thymus, and pleura	Neoplasm	137.5	HP_0002664
Heart valve disorders	Aortic valve stenosis	413	HP_0001650
Symptoms and signs involving cognitive functions and awareness	Akinetic mutism	329	HP_0012672
Priapism	Abnormality of the genitourinary system	604.4	HP_0000119
Benign neoplasm of the kidney	Renal angiomyolipoma	146.4	HP_0006772
Benign neoplasm of the pancreas	Neoplasm of the pancreas	136.8	HP_0002894
Benign neoplasm of stomach	Neoplasm of the stomach	136.2	HP_0006753
Disturbances of amino-acid transport	Cystinuria	240.9	HP_0003131
Disorders of thyroid gland	Central hypothyroidism	200	HP_0011787
Idiopathic urticaria	Abnormality of the skin	666.2	HP_0000951
Secondary osteoarthritis	Abnormal joint morphology	708.8	HP_0001367
Congenital malformation of optic disc	Coloboma	753.83	HP_0000589
Disorders of mineral metabolism and mineral deficiencies	Hypercalciuria	247	HP_0002150
Hallux varus (acquired)	Arthropathy	709.23	HP_0003040
Other disorders of the brain and CNS	Tarlov cyst	347	HP_0025643
Congenital anomalies of hair	Absent vas deferens	792	HP_0012873
Hemoglobinuria	Macroscopic hematuria	832.4	HP_0012587
Abnormal coagulation profile	Abnormality of coagulation	168.4	HP_0001928
Polycythemias	Abnormality of blood and blood-forming tissues	175	HP_0001871
Abnormality of urination	Pollakisuria	594	HP_0100515
Non-Hodgkin lymphoma	Cutaneous T-cell lymphoma	122.2	HP_0012192
Congenital malformations of tongue	Furrowed tongue	759	HP_0000221
Vertical strabismus	Vertical incomitant strabismus	381.5	HP_0020043
Lymphoid	Leukemia	120.2	HP_0001909
Decreased white blood cell count	Myelokathexis	170	HP_0031160
Disorders of penis	Oral leukoplakia	604	HP_0002745
Hydroureter	Abnormality of the genitourinary system	581.32	HP_0000119
Congenital malformations of great arteries	Aortic valve atresia	778	HP_0010883
Gastrointestinal obstruction	Esophageal stricture	514	HP_0002043
Acetonuria	Ketonuria	832.5	HP_0002919
Injury, other and unspecified	Rotator cuff tear	T909	HP_0032201
Congenital coxa vara, congenital	Coxa vara	783.3	HP_0002812
Infections	Recurrent bacterial meningitis	089	HP_0007274
Hypo-coagulability	Petechiae	168.1	HP_0000967
Weakness	Skeletal myopathy	807.2	HP_0003756
Disorders of lacrimal system	Punctal stenosis	363	HP_0025572
Congenital hiatus hernia	Hiatus hernia	763.2	HP_0002036
Tremor	Titubation	324.4	HP_0030187
Hemiplegia and hemiparesis following stroke	Hemiplegia	341.24	HP_0002301
Allergic and dietetic gastroenteritis and colitis	Gastrointestinal eosinophilia	522.5	HP_0032064
Hypersensitivity pneumonitis	Lipoid pneumonia	477.2	HP_0033364
Alcohol use disorders	Myopathy	280.1	HP_0003198
Increased white blood cell count	Endocardial fibrosis	171	HP_0006685
Nerve root and plexus disorders	Polyneuropathy	335	HP_0001271
Coagulation defects, purpura and other hemorrhagic conditions	Abnormality of coagulation	168	HP_0001928
Reduction defects of limb	Amelia	785.2	HP_0009827
Acute lymphadenitis	Abnormality of the skin	177.13	HP_0000951
Dentofacial anomalies, including malocclusion	Mandibular prognathia	733	HP_0000303
Bacterial infections	Bacterial endocarditis	089.1	HP_0006689
Intestinal malabsorption	Lactose intolerance	525	HP_0004789
Androgenic alopecia*	Alopecia of scalp	684.14	HP_0002293
Anomalies of great veins, congenital	Mixed total anomalous pulmonary venous connection	781.4	HP_0011722
Vitamin deficiencies	Vitamin B12 deficiency	232	HP_0100502
Other disorders of the eyelids	Posterior blepharitis	362	HP_0025610
Encephalitis, myelitis and encephalomyelitis	obsolete Herpes encephalitis	321	HP_0020098
Disorders of iron metabolism	Hypochromic anemia	247.7	HP_0001931
Acute nephritic syndrome	Abnormality of the genitourinary system	580.1	HP_0000119
Infections	Abnormality of the gastrointestinal tract	089	HP_0011024
Lipoma of other skin subcutaneous tissue	Carcinoma	139.53	HP_0030731
Malignant neoplasm of the heart, mediastinum, thymus, and pleura	Carcinoma	102.5	HP_0030731
Alcohol use disorders	Hepatic steatosis	280.1	HP_0001397
Substance abuse, dependence, and withdrawl	Methamphetamine addiction	281	HP_0033519
Benign neoplasm of other or unspecified sites	Carcinoma	153	HP_0030731
Cutaneous mastocytosis*	Carcinoma	125.1	HP_0030731
Malignant neoplasm of the small intestine	Neoplasm	101.3	HP_0002664
Congenital talipes calcaneovalgus	Talipes valgus	784.13	HP_0004684
Malignant neoplasm of choroid	Carcinoma	109.16	HP_0030731
Other congenital malformations of musculoskeletal system	Prune belly	789	HP_0004392
Stricture or kinking of ureter	Abnormal tubulointerstitial morphology	581.33	HP_0001969
Generalized osteoarthritis	Arthropathy	708.7	HP_0003040
Qualitative platelet defects	Decreased platelet glycoprotein IIb-IIIa	169.2	HP_0001975
Hodgkin lymphoma	Neoplasm	122.1	HP_0002664
Benign neoplasm of the tongue	Benign genitourinary tract neoplasm	135.12	HP_0006778
Acute kidney failure with acute cortical necrosis	Renal insufficiency	582.2	HP_0000083
Functional intestinal disorder	Megarectum	524	HP_0025024
Benign neoplasm of brain	Benign neoplasm of the central nervous system	148.3	HP_0100835
Hereditary and idiopathic neuropathy	Peroneal muscle atrophy	337.1	HP_0009049
Fistula involving female genital tract	Vesicovaginal fistula	617	HP_0001586
Immunodeficiencies	Angioedema	179	HP_0100665
Cramp and spasm	Trismus	719.1	HP_0000211
Cancer (solid tumor, excluding BCC)	Ovarian teratoma	130	HP_0012226
Malignant neoplasm of the ovary	Carcinoma	106.3	HP_0030731
Proteinuria	Bence Jones Proteinuria	830	HP_0030156
