phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Lipoma	Retinal capillary hemangioma	214	HP_0009711
Early onset of delivery	Premature delivery because of cervical insufficiency or membrane fragility	636.2	HP_0005267
Hemangioma and lymphangioma, any site	Glabellar hemangioma	228	HP_0001076
Simple and unspecified goiter	Euthyroid hyperthyroxinemia	240	HP_0008247
Abnormal movement	Action tremor	350	HP_0002345
Disturbance of skin sensation	Abnormality of pain sensation	687.4	HP_0010832
Symptoms of the muscles	Camptodactyly of toe	772	HP_0001836
Other diseases of lung	Smooth septal thickening on pulmonary HRCT	510	HP_0025172
Parapsoriasis	Abnormality of the skin	696.2	HP_0000951
Alcoholic liver damage	Macronodular cirrhosis	317.11	HP_0006577
Complications of cardiac/vascular device, implant, and graft	Atrioventricular reentrant tachycardia	854	HP_0011717
Symptoms and disorders of the joints	Stiff neck	741	HP_0025258
Cataract	Inferior lens subluxation	366	HP_0008494
Polyclonal hypergammaglobulinemia	Increased circulating precipitin level	270.31	HP_0033039
Abnormal heart sounds	Sinus bradycardia	396	HP_0001688
Noninfectious disorders of lymphatic channels	Perioral hyperkeratosis	450	HP_0033707
Exophthalmos	Weak extraocular muscles	242.3	HP_0007715
Skin cancer	Ganglioneuroblastoma	172	HP_0006747
Congestive heart failure (CHF) NOS	Abnormal regional left ventricular contraction	428.1	HP_0031482
Complex regional/central pain syndrome	Constrictive median neuropathy	355	HP_0012185
Benign neoplasm of other endocrine glands and related structures	Macroprolactinoma	227	HP_0012342
Symptoms involving cardiovascular system	Ventricular ectopy	429.3	HP_0034041
Erythematous conditions	Discoid lupus rash	695	HP_0007417
Other allied disorders of spine	Polyarticular arthropathy	721.8	HP_0005195
Hypovolemia	Transient hypophosphatemia	276.5	HP_0008285
Precocious sexual development and puberty NEC	Absence of pubertal development	259.4	HP_0008197
Strabismus and other disorders of binocular eye movements	Superior oblique muscle weakness	378	HP_0025592
Congenital anomalies of upper limb, including shoulder girdle	Contracture of proximal interphalangeal joints of 2nd-5th fingers	755.4	HP_0030675
Disorders of copper metabolism	Flared femoral metaphysis	275.2	HP_0002834
Other disorders of urethra and urinary tract	Pendulous urethral stricture	597	HP_0025414
Central origin vertigo	Congenital sensorineural hearing impairment	386.21	HP_0008527
Fracture of pelvis	Bone fracture	802	HP_0020110
Alcohol-related disorders	Fulminant hepatic failure	317	HP_0004448
Peripheral autonomic neuropathy	Sensory ataxic neuropathy	337.1	HP_0003434
Other congenital musculoskeletal anomalies	Contractures of the proximal interphalangeal joint of the 5th toe	756	HP_0100351
Other retinal disorders	Posterior retinal neovascularization	362	HP_0007778
Pituitary hyperfunction	Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	253.1	HP_0033080
Chronic inflammatory disorders of orbit	Ciliary body melanoma	371.9	HP_0012055
Pain, swelling or discharge of eye	Episodic pain	379.9	HP_0032148
Toxic multinodular goiter	Absent TSH response to thyrotrophin-releasing hormone stimulation test	242.2	HP_0033081
Other disorders of the kidney and ureters	Ureteral stenosis	586	HP_0000071
Muscular dystrophies and other myopathies	Progressive spinal muscular atrophy	359	HP_0009067
Subjective visual disturbances	Visual agnosia	368.9	HP_0030222
Congenital anomalies of face and neck	Cleft lip	749	HP_0410030
Kyphosis (acquired)	Thoracolumbar kyphoscoliosis	737.1	HP_0003423
Congenital anomalies of genital organs	Unilateral cryptorchidism	751.1	HP_0012741
Congenital anomalies of face and neck	Bilateral choanal atresia/stenosis	749	HP_0200138
Aortic ectasia	Saccular abdominal aortic aneurysm	447.7	HP_0031645
Other and unspecified disorders of back	Myopathy	724	HP_0003198
Anomalous atrioventricular excitation	Paroxysmal atrial tachycardia	426.4	HP_0006671
Degenerative disease of the spinal cord	Lower limb dysmetria	334	HP_0020035
Malignant neoplasm of gallbladder and extrahepatic bile ducts	Neoplasm of the gallbladder	159.3	HP_0100575
Congenital cataract and lens anomalies	Iridescent posterior subcapsular cataract	753.1	HP_0007889
Muscle weakness	Late-onset distal muscle weakness	772.3	HP_0003810
Orthostatic hypotension	Paroxysmal vertigo	458.1	HP_0010532
Partial epilepsy	Focal aware non-motor seizure	345.12	HP_0032682
Cardiac pacemaker/device in situ	Arrhythmia	426.9	HP_0011675
Vascular dementia	Stroke	290.16	HP_0001297
Obesity	Truncal obesity	278.1	HP_0001956
Disease of tricuspid valve	Abnormal mitral valve annulus morphology	394.7	HP_0031478
Myocardial infarction	Myocardial infarction	411.2	HP_0001658
Disorders of protein plasma/amino-acid transport and metabolism	Ph-positive acute lymphoblastic leukemia	270	HP_0004848
Hemorrhage NOS	Fetal cerebellar hemisphere hemorrhage	459.1	HP_0034215
Malignant neoplasm of liver, primary	Epignathus	155.1	HP_0030767
Amblyopia	Alternating esotropia	368.1	HP_0001137
Palpitations	Supraventricular tachycardia with an accessory connection mediated pathway	427.9	HP_0011688
Other disorders of arteries and arterioles	Abdominal aortic aneurysm	447	HP_0005112
Polycythemia vera	Leukemia	200.1	HP_0001909
Symptoms affecting skin	Exanthem	687	HP_4000054
Squamous cell carcinoma	Subcutaneous neurofibromas	172.22	HP_0100698
Congenital anomalies of genital organs	Anorchism	751.1	HP_0030869
Diseases of the salivary glands	Salivary gland oncocytoma	527	HP_0031523
Neoplasm of uncertain behavior of male genital organs	Carcinoma	187.8	HP_0030731
Congenital cataract and lens anomalies	Amblyopia	753.1	HP_0000646
Disorders of the pituitary gland and its hypothalamic control	Pituitary corticotropic cell adenoma	253	HP_0008291
Noninfectious disorders of lymphatic channels	Congenital symmetrical palmoplantar keratosis	450	HP_0007553
Other and unspecified disorders of back	Cervical C2/C3 vertebral fusion	724	HP_0004602
Malignant neoplasm of unspecified male genital organ	Medulloblastoma	187.1	HP_0002885
Tachycardia NOS	Bidirectional ventricular tachycardia	427.7	HP_0034040
Lack of coordination	Severe muscular hypotonia	350.3	HP_0006829
Symptoms affecting skin	Trophic limb changes	687	HP_0003091
Aneurysm and dissection of heart	Pulmonary arteriovenous fistulas	411.41	HP_0004952
Acute reaction to stress	Paroxysmal lethargy	300.8	HP_0011973
Spasm of muscle	Scissor gait	772.2	HP_0012407
Manlignant and unknown neoplasms of brain and nervous system	Brain neoplasm	191	HP_0030692
Spinocerebellar disease	Episodic ataxia	334.1	HP_0002131
Aphasia/speech disturbance	Retrograde memory impairment	292.1	HP_0033690
Cardiac dysrhythmias	Abnormal heart rate variability	427	HP_0031860
Symptoms and disorders of the joints	Stiff wrist	741	HP_0025260
Other perinatal conditions of fetus or newborn	Mildly reduced ejection fraction	656	HP_0012663
Diseases of nail, NOS	Volar fingernail	703	HP_0033976
Idiopathic fibrosing alveolitis	Usual interstitial pneumonia	504.1	HP_0031950
Disorders of optic nerve and visual pathways	Optic neuritis	377	HP_0100653
Epilepsy	Focal aware cognitive seizure with anomia	345.1	HP_0032708
Muscular dystrophies and other myopathies	Peripheral neuropathy	359	HP_0009830
Colon cancer	Adrenal pheochromocytoma	153.2	HP_0006748
Symptoms affecting skin	Chronic mucocutaneous candidiasis	687	HP_0002728
Pain, swelling or discharge of eye	Finger pain	379.9	HP_0030837
Other local infections of skin and subcutaneous tissue	Furuncle	686	HP_0020083
Facial nerve disorders [CN7]	Motor polyneuropathy	352.2	HP_0007178
Pneumonia	Fever	480	HP_0001945
Benign neoplasm of skin	Meningioma	216	HP_0002858
Nerve root lesions	Entrapment neuropathy	353.2	HP_0012181
Organic or persistent insomnia	Restless legs	327.41	HP_0012452
Other diseases of lung	Systemic lupus erythematosus	510	HP_0002725
Other disorders of eye	Juvenile posterior subcapsular lenticular opacities	379	HP_0007935
Postinflammatory pulmonary fibrosis	Bronchiolitis obliterans	502	HP_0011946
Renal failure	Stage 4 chronic kidney disease	585	HP_0012626
Abnormal involuntary movements	Divergence nystagmus	350.1	HP_0030691
Tics and choreas	Hemiballismus	333.3	HP_0100248
Open wounds of head; neck; and trunk	Fractured skull	870	HP_0041082
Cancer, suspected or other	Neuralgia	195	HP_0033345
Hemangioma and lymphangioma, any site	Connective tissue nevi	228	HP_0100898
Visual disturbances	Excyclophoria	368	HP_0031779
Muscular dystrophies and other myopathies	Distal amyotrophy	359	HP_0003693
Diseases of thymus gland	Gonadotropin deficiency	254	HP_0008213
Hypothyroidism NOS	Inactivating thyroid-stimulating hormone receptor defect	244.4	HP_0011791
Hypothyroidism NOS	Abnormal radioactive iodine uptake test result	244.4	HP_0031221
Nonspecific abnormal results of function study of brain and central nervous system	EEG with focal spike waves	346.2	HP_0011197
Other disorders of bone and cartilage	Osteolytic defects of the proximal phalanx of the 4th finger	733	HP_0009312
Symptoms affecting skin	Impaired pain sensation	687	HP_0007328
Develomental delays and disorders	Lack of peer relationships	315	HP_0002332
Lower gastrointestinal congenital anomalies	Ileal atresia	750.2	HP_0011102
Jaundice (not of newborn)	Prolonged neonatal jaundice	573.5	HP_0006579
Fracture of vertebral column without mention of spinal cord injury	Excessive dynamic airway collapse	805	HP_0033979
Other and unspecified disorders of the nervous system	Progressive encephalopathy	349	HP_0002448
Derangement of joint, non-traumatic	Dislocated radial head	742	HP_0003083
Arrhythmia (cardiac) NOS	Chaotic multifocal atrial tachycardia	427.5	HP_0011725
Iron deficiency anemias	Congenital hypoplastic anemia	280	HP_0004810
Aspergillosis	Invasive pulmonary aspergillosis	117.4	HP_0020103
Other non-epithelial cancer of skin	Disseminated cutaneous warts	172.2	HP_0032215
Chronic lymphocytic thyroiditis	Compensated hypothyroidism	245.21	HP_0008223
Benign neoplasm of other female genital organs	Vulvar adenocarcinoma	221	HP_0030420
Crystal arthropathies	Polyarticular arthropathy	274.2	HP_0005195
Congenital anomalies of limbs	Accessory lunate	755	HP_0004249
Spina bifida	Meningocele	752.11	HP_0002435
Transient mental disorders due to conditions classified elsewhere	Transient psychotic episodes	291.1	HP_0006932
Hereditary disturbances in tooth structure	Double tooth	520.1	HP_0011089
Paroxysmal tachycardia, unspecified	Permanent junctional reciprocating tachycardia	427.1	HP_0011690
Other benign neoplasm of connective and other soft tissue	Sacral lipoma	215	HP_0012033
Chronic osteomyelitis	Salmonella osteomyelitis	710.12	HP_0005661
Respiratory insufficiency	Intercostal retractions	509.2	HP_0030864
Abdominal hernia	Genital hernia	550	HP_0100823
Anal and rectal conditions	Anoperineal fistula	565	HP_0005218
Macroglobulinemia	Acute monocytic leukemia	270.35	HP_0004845
Degenerative disease of the spinal cord	Nonprogressive cerebellar ataxia	334	HP_0002470
Dyschromia and Vitiligo	Macular hyperpigmented dermopathy	694	HP_0007412
Calculus of lower urinary tract	Abnormality of the genitourinary system	594.2	HP_0000119
Reticulosarcoma	Plasmacytoma	202.22	HP_0011857
Noninfectious disorders of lymphatic channels	Predominantly lower limb lymphedema	450	HP_0003550
Disease of tricuspid valve	Cardiac valve calcification	394.7	HP_0005146
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	Diabetes mellitus	649	HP_0000819
Myopia	Myopia	367.1	HP_0000545
Premature beats	Ventricular ectopy	427.6	HP_0034041
Irregular menstrual cycle/bleeding	Metrorrhagia	626.1	HP_0100608
Cardiac and circulatory congenital anomalies	Double outlet left ventricle	747	HP_0011581
Nerve root lesions	Motor axonal neuropathy	353.2	HP_0007002
Congenital anomalies of limbs	Proximal radio-ulnar synostosis	755	HP_0005037
Nonspecific findings on examination of blood	Increased circulating IgG level	790	HP_0003237
Pain in joint	Arthralgia of the hip	745	HP_0003365
Disturbances in tooth eruption	Multiple non-erupting secondary teeth	520.2	HP_0006321
Graves' disease	Thyroid hypoplasia	242.1	HP_0005990
Congenital anomalies of intestine	Intestinal atresia	750.21	HP_0011100
Osteoarthrosis, localized, secondary	Osteoarthritis of the first carpometacarpal joint	740.12	HP_0006226
Atherosclerosis	Arteriosclerosis of small cerebral arteries	440	HP_0004931
Adverse drug events and drug allergies	House dust mite allergy	979	HP_0410325
Hemolytic-uremic syndrome	Spontaneous hemolytic crises	283.21	HP_0005525
Cerebrovascular disease	Dependency on parenteral nutrition	433	HP_0033994
Disorders of iris and ciliary body	Anterior uveitis	379.5	HP_0012122
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	Multiple central nervous system lipomas	227.3	HP_0100251
Disorders of parathyroid gland	Parathyroid dysgenesis	252	HP_0011768
Type 1 diabetes	Gangrene	250.1	HP_0100758
Osteomyelitis, periostitis, and other infections involving bone	Osteomyelitis leading to amputation due to slow healing fractures	710	HP_0005010
Myeloid leukemia, acute	Burkitt lymphoma	204.21	HP_0030080
Spasm of muscle	Contracture of the metatarsophalangeal joint of the 5th toe	772.2	HP_0100359
Aortic ectasia	Dilatation of the sinus of Valsalva	447.7	HP_0011645
Rheumatoid arthritis and other inflammatory polyarthropathies	Osteoarthritis of the elbow	714	HP_0003940
Disorders of tooth development	Anodontia	520	HP_0000674
Colorectal cancer	Paraganglioma of head and neck	153	HP_0002864
Alkalosis	Alkalosis	276.42	HP_0001948
Benign neoplasm of kidney and other urinary organs	Hemangioblastoma	223	HP_0010797
Abnormal findings on study of brain and/or nervous system	EEG with generalized polyspikes	346	HP_0012001
Upper gastrointestinal congenital anomalies	Esophageal web	750.1	HP_0100594
Other hypertrophic and atrophic conditions of skin	Myopathy	701	HP_0003198
Nervous system congenital anomalies	Pachygyria	752	HP_0001302
Keratoderma, acquired	Diffuse palmoplantar hyperkeratosis	701.1	HP_0007447
Other acquired deformities of limbs	Clinodactyly of the 2nd finger	736	HP_0040022
Epilepsy	Oculoclonic status epilepticus	345.1	HP_0032866
Disorders of the pituitary gland and its hypothalamic control	Elevated circulating luteinizing hormone level	253	HP_0011969
Benign neoplasm of ovary	Altman type III sacrococcygeal teratoma	220	HP_0030739
Other disorders of eyelids	Flame-shaped retinal hemorrhage	374	HP_0025241
Pathologic fracture of vertebrae	Foot osteomyelitis	743.21	HP_0001886
Other cardiac conduction disorders	Abnormal atrioventricular conduction	426.8	HP_0005150
Cancer of other male genital organs	Cerebellar medulloblastoma	187	HP_0007129
Postinflammatory pulmonary fibrosis	Cystic pattern on pulmonary HRCT	502	HP_0025394
Congenital anomalies of limbs	4-5 finger syndactyly	755	HP_0010705
Hypertrophic obstructive cardiomyopathy	Apical hypertrophic cardiomyopathy	425.11	HP_0031992
Esophageal atresia/tracheoesophageal fistula	Esophageal atresia	750.11	HP_0002032
Blindness and low vision	Severely reduced visual acuity	367.9	HP_0001141
Spirochetal infection	Sensorimotor neuropathy	130	HP_0007141
Pyogenic granuloma	Granulomatosis	686.4	HP_0002955
Acquired deformities of finger	Contracture of the proximal interphalangeal joint of the 3rd finger	736.2	HP_0009471
Short gestation; low birth weight; and fetal growth retardation	Moderate postnatal growth retardation	637	HP_0008855
Sciatica	Sciatica	764	HP_0011868
Dislocation	Anterior atlanto-occipital dislocation	830	HP_0005678
Viral infection	Severe influenza infection	079	HP_0034249
Trigeminal nerve disorders [CN5]	Frontalis muscle weakness	352.1	HP_0004661
Impaired fasting glucose	Abnormal oral glucose tolerance	250.41	HP_0004924
Congenital anomalies of limbs	Symphalangism affecting the proximal phalanx of the 4th finger	755	HP_0009314
Partial epilepsy	Focal impaired awareness motor seizure with negative myoclonus	345.12	HP_0032858
Epilepsy	Generalized-onset epileptic spasm	345.1	HP_0032842
Nonrheumatic mitral valve disorders	P mitrale	395.1	HP_0031599
Vascular disorders of skin	Ecchymosis	694.3	HP_0031364
Diseases of spleen	Exercise-induced hemolysis	289.5	HP_0005535
Sarcoidosis	Decreased serum complement C5	697	HP_0033060
Inflammation of the eye	Panuveitis	371	HP_0012121
Psoriasis and related disorders	Abnormality of the skin	696	HP_0000951
Myeloid leukemia	Ph-positive acute lymphoblastic leukemia	204.2	HP_0004848
Multiple myeloma	Burkitt lymphoma	204.4	HP_0030080
Aphakia and other disorders of lens	Anterior cortical cataract	379.3	HP_0007795
Symptoms of the muscles	Pectoralis amyotrophy	772	HP_0012037
Other perinatal conditions of fetus or newborn	Reticular pattern on pulmonary HRCT	656	HP_0025390
Benign neoplasm of other female genital organs	Retinal capillary hemangioma	221	HP_0009711
Develomental delays and disorders	Dysphasia	315	HP_0002357
Secondary malignant neoplasm of liver	Hepatocellular adenoma	198.4	HP_0012028
Malignant neoplasm of ovary and other uterine adnexa	Ovarian sex cord-stromal tumor	184.1	HP_0031918
Digestive congenital anomalies	Pulmonary arterial hypertension	750	HP_0002092
Retinal detachment with retinal defect	Full-thickness macular hole	361.1	HP_0031152
Fracture of ankle and foot	Fractured distal phalanx of manual digit 3	801	HP_0041177
Peripheral vascular disease, unspecified	Vasospasm	443.9	HP_0025637
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	Peritoneal mesothelioma	159	HP_0100003
Cardiac congenital anomalies	Pulmonary arterial medial hypertrophy	747.1	HP_0004964
Antisocial/borderline personality disorder	Emotional lability	301.2	HP_0000712
Disorders of plasma protein metabolism	Pulmonary lymphoma	270.3	HP_0011953
Benign neoplasm of ovary	Sacrococcygeal teratoma	220	HP_0030736
Labyrinthitis	High-frequency hearing impairment	386.3	HP_0005101
Acquired hypothyroidism	Thyroid follicular hyperplasia	244.2	HP_0008225
Broken tooth	Notched primary central incisor	873	HP_0012413
Rheumatoid arthritis and other inflammatory polyarthropathies	Desquamative interstitial pneumonitis	714	HP_0005942
Benign neoplasm of ovary	Tubulonodular pericallosal lipoma	220	HP_0034014
Known or suspected fetal abnormality affecting management of mother	Fetal akinesia sequence	655	HP_0001989
Degenerative disease of the spinal cord	Generalized limb muscle atrophy	334	HP_0009055
Facial nerve disorders [CN7]	Frontalis muscle weakness	352.2	HP_0004661
Rheumatoid arthritis	Mosaic attenuation pattern on pulmonary HRCT	714.1	HP_0025397
Nontoxic multinodular goiter	Goiter	241.2	HP_0000853
Lymphosarcoma	Gastric lymphoma	202.23	HP_0045038
Renal failure NOS	Stage 5 chronic kidney disease	585.2	HP_0003774
Coagulation defects	Prolonged bleeding after surgery	286	HP_0004846
Choroidal degenerations	obsolete Choroidal sclerosis	363.4	HP_0001150
Lordosis (acquired)	Lumbar hyperlordosis	737.2	HP_0002938
Corneal opacity	Kayser-Fleischer ring	364.1	HP_0200032
Polyneuropathy in diabetes	Entrapment neuropathy of the ulnar nerve at elbow	250.6	HP_0012186
Congenital anomalies of great vessels	Arteriovenous malformation	747.13	HP_0100026
Alcohol-related disorders	Mononeuropathy	317	HP_0009831
Poisoning by antibiotics	Neutrophilic urticarial dermatosis	960	HP_0033167
Chorioretinal scars	Chorioretinal scar	363.3	HP_0007777
Chronic lymphocytic thyroiditis	Thyroid microfollicular adenoma	245.21	HP_0011776
Gastritis and duodenitis	Gastric ulcer	535	HP_0002592
Other diseases of blood and blood-forming organs	Monoclonal elevation of circulating IgA	289	HP_0032335
Pectus excavatum	Pectus excavatum	756.21	HP_0000767
Viral infection	Cardiomyopathy	079	HP_0001638
Colon cancer	Insulinoma	153.2	HP_0012197
Rhabdomyolysis	Exercise-induced rhabdomyolysis	772.4	HP_0009045
Atherosclerosis of the extremities	Nonocclusive coronary artery atherosclerosis	440.2	HP_0012436
Hepatitis NOS	Interface hepatitis	070.9	HP_0032220
Dysuria	Dysuria	599.3	HP_0100518
Cardiac conduction disorders	ST segment elevation	426	HP_0012251
Heart failure NOS	High-output congestive heart failure	428.2	HP_0001722
Adrenal hypofunction	Primary adrenal insufficiency	255.2	HP_0008207
Epilepsy, recurrent seizures, convulsions	Focal impaired awareness cognitive seizure with expressive dysphasia/aphasia	345	HP_0032886
Diseases of esophagus	Barrett esophagus	530	HP_0100580
Senile cataract	Abnormality of the lens	366.2	HP_0000517
Muscular dystrophies	EMG: myotonic runs	359.1	HP_0003730
Other retinal disorders	Macular cotton wool spot	362	HP_0030497
Deficiency of humoral immunity	Abnormal isohemagglutinin level	279.11	HP_0410292
Congenital anomalies of the eye	Cortical pulverulent cataract	753	HP_0007780
Extrapyramidal disease and abnormal movement disorders	Generalized dystonia	333	HP_0007325
Inflammatory bowel disease and other gastroenteritis and colitis	Necrotizing enterocolitis	555	HP_0033165
Paroxysmal supraventricular tachycardia	Supraventricular tachycardia with a manifest accessory pathway on the septum	427.11	HP_0011698
Candidiasis	Chronic intestinal candidiasis	112	HP_0005411
Hypothyroidism	Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	244	HP_0033080
Nervous system congenital anomalies	Marcus Gunn jaw winking synkinesis	752	HP_0025186
Blister	Genital blistering	911	HP_0031464
Other deficiency anemia	Megaloblastic anemia	281	HP_0001889
Learning disorder	Intellectual disability, profound	315.1	HP_0002187
Congenital anomalies of skull and face bones	Hypertelorism	749.2	HP_0000316
Disorders of the pituitary gland and its hypothalamic control	Congenital hypothyroidism	253	HP_0000851
Non-Hodgkins lymphoma	Refractory anemia with ringed sideroblasts	202.2	HP_0004828
Digestive congenital anomalies	Persistent cloaca	750	HP_0012621
Abnormality in fetal heart rate or rhythm	Bradycardia	655.1	HP_0001662
Diabetes mellitus	Retinopathy of prematurity zone II	250	HP_0500060
Benign neoplasm of respiratory and intrathoracic organs	Pulmonary lymphangiomyomatosis	212	HP_0012798
Partial epilepsy	Periventricular ribbonlike heterotopia	345.12	HP_0032390
Heart failure NOS	Abnormal left ventricular function	428.2	HP_0005162
Polyclonal hypergammaglobulinemia	Oligoclonal elevation of circulating IgE	270.31	HP_0032338
Convulsions	Febrile status epilepticus	345.3	HP_0032656
Complications of cardiac/vascular device, implant, and graft	Supraventricular tachycardia with a concealed accessory pathway on the septum	854	HP_0011693
Cardiac congenital anomalies	Uterine arteriovenous malformation	747.1	HP_0031347
Nonspecific abnormal results of function study of brain and central nervous system	Parietal hypometabolism in FDG PET	346.2	HP_0012662
Urticaria	Decreased serum complement factor I	947	HP_0005356
Abnormal involuntary movements	Nystagmus-induced head nodding	350.1	HP_0001361
Partial epilepsy	Focal aware sensory seizure with gustatory features	345.12	HP_0032889
Other CNS infection and poliomyelitis	Brain abscess	324	HP_0030049
Muscular wasting and disuse atrophy	Type 1 and type 2 muscle fiber minicore regions	772.1	HP_0003787
Aortic aneurysm	Fusiform cerebral aneurysm	442.1	HP_0031056
Colon cancer	Small intestinal polyposis	153.2	HP_0030256
Delayed milestones	Lethal short-trunk short stature	264.3	HP_0011404
Nontoxic multinodular goiter	Non-medullary thyroid carcinoma	241.2	HP_0040198
Speech and language disorder	Reduced collaborative play	315.2	HP_4000082
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Bilobate gallbladder	750.22	HP_0005608
Dementias	Progressive neurologic deterioration	290.1	HP_0002344
Neoplasm of uncertain behavior of skin	Neoplasm	173	HP_0002664
Nephritis and nephropathy without mention of glomerulonephritis	Xanthogranulomatous pyelonephritis	580.3	HP_0033761
Nontoxic multinodular goiter	Decreased circulating T4 level	241.2	HP_0031507
Psychogenic and somatoform disorders	Psychogenic non-epileptic seizure	303	HP_0033052
Certain early complications of trauma or procedure	Contracture of the metatarsophalangeal joint of the 3rd toe	958	HP_0100357
Strabismus and other disorders of binocular eye movements	Microtropia	378	HP_0031724
Epilepsy, recurrent seizures, convulsions	Focal aware motor seizure	345	HP_0020217
Benign neoplasm of spinal cord, meninges	Spinal meningioma	225.2	HP_0100010
Bronchopneumonia and lung abscess	Recurrent viral pneumonia	480.5	HP_0033214
Mycoses	Disseminated histoplasmosis	117	HP_0032257
Occlusion of cerebral arteries	Ischemic stroke	433.2	HP_0002140
Paranoid disorders	Paranoia	295.2	HP_0011999
Leukemia	Chronic myelogenous leukemia	204	HP_0005506
Disorders of menstruation and other abnormal bleeding from female genital tract	Secondary amenorrhea	626	HP_0000869
Abnormal coagulation profile	Abnormality of the protein C anticoagulant pathway	286.9	HP_0030780
Alcoholic liver damage	Fulminant hepatic failure	317.11	HP_0004448
Bundle branch block	Trifascicular block	426.3	HP_0011715
Ill-defined descriptions and complications of heart disease	Paroxysmal atrial tachycardia	429	HP_0006671
Acute pain	Hand pain	338.1	HP_0046505
Sensorineural hearing loss	High-frequency sensorineural hearing impairment	389.1	HP_0001757
Nonspecific abnormal results of other endocrine function study	Metrorrhagia	259.1	HP_0100608
Benign neoplasm of uterus	Choroid plexus papilloma	218	HP_0200022
Noninfectious gastroenteritis	Ileitis	558	HP_0032564
Poisoning by other anti-infectives	Nut food product allergy	961	HP_0410331
Speech and language disorder	Delayed speech and language development	315.2	HP_0000750
Anomalies of respiratory system, congenital	Tracheomalacia	748	HP_0002779
Neoplasm of uncertain behavior	Paraspinal neurofibromas	199	HP_0006751
Abnormal movement	Seesaw nystagmus	350	HP_0012044
Hypothyroidism	Abnormal circulating free T3 level	244	HP_0032209
Other disorders of the kidney and ureters	Grade V vesicoureteral reflux	586	HP_0033740
Graves' disease	Thyrotoxicosis with diffuse goiter	242.1	HP_0011784
Acne	Acne	706.1	HP_0001061
Traumatic cataract	Dense posterior cortical cataract	366.3	HP_0007948
Diseases of nail, NOS	Toenail onycholysis	703	HP_0040040
Pituitary hyperfunction	Thyroid microfollicular adenoma	253.1	HP_0011776
Malignant neoplasm of ovary and other uterine adnexa	Cardiac teratoma	184.1	HP_0011674
Rheumatoid arthritis and other inflammatory polyarthropathies	Interlobular septal thickening	714	HP_0030879
Benign neoplasm of ovary	Benign neoplasm of the central nervous system	220	HP_0100835
Interstitial emphysema and related conditions of newborn	Pneumomediastinum	656.22	HP_0025421
Other specified cardiac dysrhythmias	Inappropriate sinus tachycardia	427.3	HP_0040182
Other chronic nonalcoholic liver disease	Fatal liver failure in infancy	571.5	HP_0006583
Secondary hypothyroidism	Follicular thyroid carcinoma	244.1	HP_0006731
Congenital anomalies of limbs	Preaxial polydactyly	755	HP_0100258
Benign neoplasm of brain and other parts of nervous system	Curvilinear pericallosal lipoma	225	HP_0034013
Muscular dystrophies and other myopathies	Distal sensory impairment of all modalities	359	HP_0003409
Short stature	Childhood-onset short-trunk short stature	264.1	HP_0008922
Congenital anomalies of upper limb, including shoulder girdle	Type D brachydactyly	755.4	HP_0005627
Other disorders of bone and cartilage	Osteolytic defects of the middle phalanx of the 3rd toe	733	HP_0100452
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	Maturity-onset diabetes of the young	649	HP_0004904
Congenital anomalies of the integument	Absent fifth toenail	757	HP_0200105
Protein-calorie malnutrition	Failure to thrive in infancy	260	HP_0001531
Benign neoplasm of brain and other parts of nervous system	Pineoblastoma	225	HP_0030408
Genitourinary congenital anomalies	Retractile testis	751	HP_0012646
Coma	Thyroid C cell hyperplasia	348.7	HP_0011781
Hematemesis	Decreased level of plasminogen	578.1	HP_0040228
Other and unspecified congenital anomalies	Renal hamartoma	759	HP_0008696
Central origin vertigo	Paroxysmal vertigo	386.21	HP_0010532
Lack of normal physiological development	Failure to thrive	264	HP_0001508
Convulsions	Focal motor seizure with negative myoclonus	345.3	HP_0032846
Other sprains and strains	Anterior radial head dislocation	842	HP_0005084
Purpura and other hemorrhagic conditions	Impaired ADP-induced platelet aggregation	287	HP_0004866
Obstruction of bile duct	Intrahepatic cholestasis with episodic jaundice	575.2	HP_0006575
Fracture of ankle and foot	Fractured distal phalanx of pedal digit 3	801	HP_0041181
Epilepsy, recurrent seizures, convulsions	Status epilepticus without prominent motor symptoms	345	HP_0031475
Purpura and other hemorrhagic conditions	Abnormal platelet volume	287	HP_0011876
Suppurative and unspecified otitis media	Recurrent otitis media	381.11	HP_0000403
Chronic liver disease and cirrhosis	Hepatic failure	571	HP_0001399
Symbolic dysfunction	Visual agnosia	292.12	HP_0030222
Hypertrophic obstructive cardiomyopathy	Biventricular noncompaction cardiomyopathy	425.11	HP_0012818
Disorders of muscle, ligament, and fascia	Congenital foot contractures	728	HP_0005745
Large cell lymphoma	Leukemia	202.24	HP_0001909
Vascular hamartomas and non-neoplastic nevi	Numerous nevi	217	HP_0001054
Other inflammatory spondylopathies	Juvenile rheumatoid arthritis	715	HP_0005681
Genitourinary congenital anomalies	Nephronophthisis	751	HP_0000090
