phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Other chronic ischemic heart disease, unspecified	Coronary artery stenosis	411.8	HP_0005145
Psychogenic disorder	Abnormality of the skin	303.3	HP_0000951
Delirium dementia and amnestic and other cognitive disorders	Frontotemporal dementia	290	HP_0002145
Acute bronchitis and bronchiolitis	Chronic bronchitis	483	HP_0004469
Hereditary disturbances in tooth structure	Tooth agenesis	520.1	HP_0009804
Other acquired deformities of limbs	Elbow flexion contracture	736	HP_0002987
Other disorders of ear	Hearing impairment	388	HP_0000365
Other conditions of brain, NOS	Encephalopathy	348.9	HP_0001298
Benign neoplasm of colon	Merkel cell skin cancer	208	HP_0030447
Menopausal and postmenopausal disorders	Vaginitis	627	HP_0030683
Retinal vascular changes and abnomalities	Retinal arterial occlusion	362.4	HP_0025326
Breast disorder NOS	Abnormality of the genitourinary system	613.9	HP_0000119
Strabismus (not specified as paralytic)	Heterotropia	378.1	HP_0032012
Disorders of protein plasma/amino-acid transport and metabolism	Ocular albinism	270	HP_0001107
Disorders of adrenal glands	Primary adrenal insufficiency	255	HP_0008207
Anomalies of pupillary function	Abnormal pupillary function	379.4	HP_0007686
Viral infection	Molluscum contagiosum	079	HP_0032163
Neoplasm of uncertain behavior	Pancreatic endocrine tumor	199	HP_0030405
Lymphadenitis	Generalized lymphadenopathy	289.4	HP_0008940
Disorders of the orbit	Orbital cyst	376	HP_0001144
Vitamin deficiency	Low levels of vitamin E	261	HP_0100513
Diseases and other conditions of the tongue	Strawberry tongue	529	HP_0031042
Extrapyramidal disease and abnormal movement disorders	Palatal myoclonus	333	HP_0010530
Congenital anomalies of female genital organs	Septate vagina	751.11	HP_0001153
Primary open angle glaucoma	Glaucoma	365.11	HP_0000501
Other intestinal obstruction	Volvulus	560.4	HP_0002580
Congenital anomalies of great vessels	Pulmonary artery stenosis	747.13	HP_0004415
Cancer of liver and intrahepatic bile duct	Carcinoma	155	HP_0030731
Digestive congenital anomalies	Pancreas divisum	750	HP_0030994
Other open wound of head and face	Fractured skull	870.3	HP_0041082
Chronic airway obstruction	Chronic bronchitis	496	HP_0004469
Superficial cellulitis and abscess	Paronychia	681	HP_0001818
Muscular dystrophies	Neuritis	359.1	HP_0031002
Disorders of protein plasma/amino-acid transport and metabolism	Hypervalinemia	270	HP_0010910
Hypoglycemia	Ketotic hypoglycemia	251.1	HP_0012734
Urethral stricture (not specified as infectious)	Male urethral meatus stenosis	597.1	HP_0032077
Disorders involving the immune mechanism	Increased circulating antibody level	279	HP_0010702
Degenerative disease of the spinal cord	Paraparesis	334	HP_0002385
Cancer within the respiratory system	Carcinoma	165	HP_0030731
Other disorders of bone and cartilage	Bronchomalacia	733	HP_0002780
Cancer of of nasal cavities	Neoplasm of the middle ear	149.9	HP_0100799
Chronic airway obstruction	Panacinar emphysema	496	HP_0032967
Degenerative skin conditions and other dermatoses	Actinic keratosis	702	HP_0025127
Develomental delays and disorders	Intellectual disability	315	HP_0001249
Malignant neoplasm of female breast	Breast carcinoma	174.11	HP_0003002
Shortness of breath	Tachypnea	512.7	HP_0002789
Superficial cellulitis and abscess	Abnormality of the gastrointestinal tract	681	HP_0011024
Other disorders of metabolism	Angiokeratoma corporis diffusum	277	HP_0001071
Nervous system congenital anomalies	Septo-optic dysplasia	752	HP_0100842
Respiratory complications	Tracheal stenosis	519.2	HP_0002777
Chromosomal anomalies and genetic disorders	Gonadal dysgenesis, male	758	HP_0008668
Osteochondropathies	Morbus Scheuermann	732	HP_0010891
Diseases of pancreas	Chronic pancreatitis	577	HP_0006280
Visual disturbances	Arcuate scotoma	368	HP_0030530
Dermatitis due to solar radiation	Actinic keratosis	938	HP_0025127
Other specified congenital anomalies of nervous system	Myelodysplasia	752.2	HP_0002863
Hemiplegia	Paraplegia	342	HP_0010550
Conduct disorders	Cardiac conduction abnormality	312	HP_0031546
Genitourinary congenital anomalies	Longitudinal vaginal septum	751	HP_0008740
Abnormal findings examination of lungs	Abnormality on pulmonary function testing	514	HP_0030878
Delirium dementia and amnestic and other cognitive disorders	Lewy bodies	290	HP_0100315
Diseases of the jaws	Torus palatinus	526	HP_0100789
Visual disturbances	Ophthalmoplegia	368	HP_0000602
Diabetes mellitus	Impaired glucose tolerance	250	HP_0040270
Congenital anomalies of urinary system	Urachus fistula	751.2	HP_0100525
Congenital anomalies of limbs	Congenital bilateral hip dislocation	755	HP_0008780
Personality disorders	Borderline personality disorder	301	HP_0012076
Cardiac and circulatory congenital anomalies	Chiari malformation	747	HP_0002308
Muscular dystrophies and other myopathies	Congenital muscular dystrophy	359	HP_0003741
Symptoms involving digestive system	Hyperactive bowel sounds	561	HP_0030143
Abnormality of red blood cells	Polycythemia	289.9	HP_0001901
Other disorders of metabolism	Hypouricemia	277	HP_0003537
Other acquired deformities of limbs	Arthropathy	736	HP_0003040
Myeloid leukemia	Carcinoma	204.2	HP_0030731
Torsion dystonia	Orofacial dyskinesia	333.4	HP_0002310
Cardiac congenital anomalies	Gerbode ventricular septal defect	747.1	HP_0011621
Cancer of other endocrine glands	Pituicytoma	194	HP_0011754
Disorders of mineral metabolism	Hypocalcemia	275	HP_0002901
Neural tube defects	Encephalocele	752.1	HP_0002084
Intestinal obstruction without mention of hernia	Ileus	560	HP_0002595
Congenital musculoskeletal deformities of spine	Kyphosis	754	HP_0002808
Inflammation of the eye	Iridocyclitis	371	HP_0001094
Other cerebral degenerations	Hydrocephalus	331	HP_0000238
Myeloid leukemia	Chronic myelogenous leukemia	204.2	HP_0005506
Idiopathic fibrosing alveolitis	Pulmonary fibrosis	504.1	HP_0002206
Other retinal disorders	Drusen	362	HP_0011510
Acquired deformities of forearm	Cubitus valgus	736.1	HP_0002967
Abnormal findings on mammogram or breast exam	Abnormality of the genitourinary system	611	HP_0000119
Corneal opacity and other disorders of cornea	Keratoconus	364	HP_0000563
Other cerebral degenerations	Cerebral atrophy	331	HP_0002059
Visual disturbances	Visual agnosia	368	HP_0030222
Postinflammatory pulmonary fibrosis	Endogenous lipoid pneumonia	502	HP_0033365
Genitourinary congenital anomalies	Cystic renal dysplasia	751	HP_0000800
Broken tooth	Short upper lip	873	HP_0000188
Symptoms involving female genital tract	Stress urinary incontinence	624	HP_0010992
Neurological disorders	Short term memory impairment	292	HP_0033687
H. pylori	Helicobacter pylori infection	041.8	HP_0005202
Toxic multinodular goiter	Thyroid crisis	242.2	HP_0011782
Pathologic fracture of vertebrae	Bone fracture	743.21	HP_0020110
Keratoderma, acquired	Palmoplantar hyperkeratosis	701.1	HP_0000972
Anomalies of jaw size/symmetry	Micrognathia	526.3	HP_0000347
Congenital anomalies of peripheral vascular system	Cerebral venous angioma	747.2	HP_0012481
Congenital anomalies of urinary system	Bladder exstrophy	751.2	HP_0002836
Benign neoplasm of breast	Neoplasm	610.4	HP_0002664
Other disorders of liver	Conjunctival icterus	573	HP_0032106
Isoimmunization of fetus or newborn	Kernicterus	656.1	HP_0001343
Abnormality of gait	Shuffling gait	350.2	HP_0002362
Cardiomyopathy	Restrictive cardiomyopathy	425	HP_0001723
Hypertensive heart and/or renal disease	Nephrosclerosis	401.2	HP_0009741
Other specified nonpsychotic and/or transient mental disorders	Psychosis	291	HP_0000709
Other perinatal conditions of fetus or newborn	Neonatal seizure	656	HP_0032807
Disorders of conjunctiva	Subconjunctival hemorrhage	372	HP_0011896
Muscle weakness	Distal muscle weakness	772.3	HP_0002460
Peripheral or central vertigo	Postural instability	386.2	HP_0002172
Open wound of ear	Open bite	870.2	HP_0010807
Disturbances of sulphur-bearing amino-acid metabolism	Intellectual disability	270.11	HP_0001249
Disorders of acoustic nerve	Sound sensitivity	389.5	HP_0025112
Alpha-1-antitrypsin deficiency	Abnormality of the liver	270.34	HP_0001392
Lordosis (acquired)	Scoliosis	737.2	HP_0002650
Unstable angina (intermediate coronary syndrome)	Myocardial infarction	411.1	HP_0001658
Inflammatory diseases of female pelvic organs	Abdominal adhesions	614	HP_0033134
Iron deficiency anemias	Anemia	280	HP_0001903
Chromosomal anomalies	Testicular dysgenesis	758.1	HP_0008715
Other disorders of lipoid metabolism	Decreased LDL cholesterol concentration	277.5	HP_0003563
Other cerebral degenerations	Communicating hydrocephalus	331	HP_0001334
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	Fallopian tube torsion	619.1	HP_0012884
Acquired foot deformities	Arthropathy	735	HP_0003040
Cancer of bone and connective tissue	Neurofibrosarcoma	170	HP_0100697
Disorders of mineral metabolism	Hypophosphatemia	275	HP_0002148
Known or suspected fetal abnormality affecting management of mother	Fetal distress	655	HP_0025116
Other disorders of eye	Iris atrophy	379	HP_0001089
Vitamin D deficiency	Osteomalacia	261.4	HP_0002749
Muscular dystrophies and other myopathies	Mitochondrial myopathy	359	HP_0003737
Maternal complication of pregnancy affecting fetus or newborn	Single umbilical artery	658	HP_0001195
Nonspecific findings on examination of blood	Elevated alpha-fetoprotein	790	HP_0006254
Gingival and periodontal diseases	Gingival fibromatosis	523	HP_0000169
Acute dermatitis due to solar radiation	Polymorphous light eruption	938.1	HP_0032379
Protein-calorie malnutrition	Poor appetite	260	HP_0004396
Cardiac and circulatory congenital anomalies	Pulmonary valve atresia	747	HP_0010882
Facial weakness	Weakness of facial musculature	772.6	HP_0030319
Keratoconjunctivitis	Keratitis	370.3	HP_0000491
Keratoconjunctivitis	Keratoconjunctivitis sicca	370.3	HP_0001097
Thrombocytopenia	Abnormality of blood and blood-forming tissues	287.3	HP_0001871
Disorders of fluid, electrolyte, and acid-base balance	Respiratory alkalosis	276	HP_0001950
Premature menopause and other ovarian failure	External genital hypoplasia	627.5	HP_0003241
Cardiac and circulatory congenital anomalies	Abnormal ventriculoarterial connection	747	HP_0011563
Intestinal obstruction without mention of hernia	Intestinal obstruction	560	HP_0005214
Macular puckering of retina	Epiretinal membrane	362.26	HP_0100014
Nervous system congenital anomalies	Megalencephaly	752	HP_0001355
Pericarditis	Pericarditis	420.2	HP_0001701
Benign neoplasm of other female genital organs	Benign neoplasm of the central nervous system	221	HP_0100835
Disorders of sacrum	Spinal deformities	724.1	HP_0008443
Squamous cell carcinoma	Pancreatic squamous cell carcinoma	172.22	HP_0012142
Contracture of joint	Wrist flexion contracture	739	HP_0001239
Retention of urine	Benign prostatic hyperplasia	599.2	HP_0008711
Diseases of esophagus	Oral leukoplakia	530	HP_0002745
Malignant neoplasm of liver, primary	Teratoma	155.1	HP_0009792
Cystoid macular degeneration of retina	Macular degeneration	362.23	HP_0000608
Periodontitis (acute or chronic)	Generalized periodontitis	523.3	HP_0011058
Nerve plexus lesions	Supernumerary ribs	353.1	HP_0005815
Cataract	Abnormality of the lens	366	HP_0000517
Malposition and malpresentation of fetus or obstruction	Caesarian section	652	HP_0011410
Other specified congenital anomalies of nervous system	Tethered cord	752.2	HP_0002144
Other intestinal obstruction	Functional intestinal obstruction	560.4	HP_0005249
Dislocation	Anterior radial head dislocation	830	HP_0005084
Disorders of tooth development	Dentin dysplasia	520	HP_0033784
Congenital anomalies of skin	Ichthyosis follicularis	691	HP_0031291
Aneurysm of other specified artery	Renal artery aneurysm	442.8	HP_0033261
Other inflammatory spondylopathies	Abnormal joint morphology	715	HP_0001367
Neural tube defects	Anencephaly	752.1	HP_0002323
Seborrheic dermatitis	Keratosis pilaris	690.1	HP_0032152
Histoplasmosis	Disseminated histoplasmosis	117.1	HP_0032257
Benign neoplasm of lip, oral cavity, and pharynx	Neoplasia of the nasopharynx	210	HP_0100630
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	Stomatitis	528	HP_0010280
Otosclerosis	Hearing impairment	383	HP_0000365
Eustachian tube disorders	Blocked Eustachian tube	381.2	HP_0040269
Infections specific to the perinatal period	History of congenital CMV infection	657	HP_0033624
Speech and language disorder	Expressive aphasia	315.2	HP_0002427
Glucocorticoid deficiency	Primary adrenal insufficiency	255.21	HP_0008207
Cardiac congenital anomalies	Tetralogy of Fallot	747.1	HP_0001636
Congenital anomalies of skull and face bones	Premature closure of fontanelles	749.2	HP_0005458
Nasal polyps	Sinusitis	471	HP_0000246
Other disorders of arteries and arterioles	Autoimmunity	447	HP_0002960
Pituitary hypofunction	Gonadotropin deficiency	253.2	HP_0008213
Hidradenitis	Acne inversa	705.3	HP_0040154
Deficiency of humoral immunity	Complement deficiency	279.11	HP_0004431
Malignant neoplasm of kidney, except pelvis	Renal neoplasm	189.11	HP_0009726
Duodenal ulcer	Gastric ulcer	531.3	HP_0002592
Pain in joint	Hip pain	745	HP_0030838
Regional enteritis	Crohn's disease	555.1	HP_0100280
Other disorders of the kidney and ureters	Ureteropelvic junction obstruction	586	HP_0000074
Chronic renal failure [CKD]	Stage 2 chronic kidney disease	585.3	HP_0012624
Other disorders of intestine	Small intestinal bacterial overgrowth	569	HP_0033163
Cyst of bone	Monostotic fibrous dysplasia	733.2	HP_0010736
Other retinal disorders	Subretinal pigment epithelium hemorrhage	362	HP_0025244
Myocarditis	Myocardial fibrosis	420.1	HP_0001685
Cardiac dysrhythmias	Paroxysmal tachycardia	427	HP_0006688
Chorioretinal inflammations, scars, and other disorders of choroid	obsolete Choroidal degeneration	363	HP_0007945
Systemic lupus erythematosus	Discoid lupus rash	695.42	HP_0007417
Disturbances of amino-acid transport	Partial albinism	270.1	HP_0007443
Hyperparathyroidism	Secondary hyperparathyroidism	252.1	HP_0000867
Vesicoureteral reflux	Grade III vesicoureteral reflux	586.12	HP_0033737
Delirium dementia and amnestic and other cognitive disorders	Memory impairment	290	HP_0002354
Benign neoplasm of spinal cord, meninges	Neoplasm	225.2	HP_0002664
Chronic renal failure [CKD]	Stage 3 chronic kidney disease	585.3	HP_0012625
Chronic inflammatory pelvic disease	Abnormality of the genitourinary system	614.32	HP_0000119
Other cardiac conduction disorders	Prolonged QT interval	426.8	HP_0001657
Atherosclerosis of renal artery	Renal artery stenosis	440.1	HP_0001920
Abnormal sputum	Abnormal sputum	516	HP_0032016
Polyneuropathy in diabetes	Neuritis	250.6	HP_0031002
Cystoid macular degeneration of retina	Cystoid macular edema	362.23	HP_0011505
Abdominal hernia	Rectocele	550	HP_0100822
Congenital anomalies of the eye	Congenital hip dislocation	753	HP_0001374
Disorders of function of stomach	Gastroparesis	536	HP_0002578
Other perinatal conditions of fetus or newborn	Congestive heart failure	656	HP_0001635
Chronic bronchitis	Chronic pulmonary obstruction	496.2	HP_0006510
Other disorders of eye	Persistent pupillary membrane	379	HP_0009917
Conjunctivitis, noninfectious	Allergic conjunctivitis	371.2	HP_0007879
Decreased white blood cell count	Eosinophilia	288.1	HP_0001880
Other disorders of liver	obsolete Coronary atherosclerosis	573	HP_0004929
Seborrheic keratosis	Abnormality of the skin	702.2	HP_0000951
Orthopnea	Breathing dysregulation	513.32	HP_0005957
Rheumatoid arthritis	Interstitial pneumonitis	714.1	HP_0006515
Congenital anomalies of face and neck	Bifid uvula	749	HP_0000193
Cancer of larynx, pharynx, nasal cavities	obsolete Neoplasia of the nose	149	HP_0100637
Cystitis	Urinary bladder inflammation	592.1	HP_0100577
Irregular menstrual cycle	Polymenorrhea	626.13	HP_0400007
Disorders of calcium/phosphorus metabolism	Calcinosis	275.5	HP_0003761
Disorders of magnesium metabolism	Hypermagnesemia	275.3	HP_0002918
Otitis media	Chronic otitis media	381.1	HP_0000389
Cerebrovascular disease	Stroke	433	HP_0001297
Renal osteodystrophy	Focal segmental glomerulosclerosis	588.1	HP_0000097
Psoriatic arthropathy	Arthritis	696.42	HP_0001369
Acquired hemolytic anemias	Abnormality of blood and blood-forming tissues	283	HP_0001871
Genitourinary congenital anomalies	Coronal hypospadias	751	HP_0008743
Other disorders of intestine	Colon perforation	569	HP_0031369
Chronic pharyngitis and nasopharyngitis	Nasal congestion	472	HP_0001742
Diseases of nail, NOS	Concave nail	703	HP_0001598
Cancer of other female genital organs	Choriocarcinoma	184	HP_0100768
Anomalies of jaw size/symmetry	Abnormality of the gastrointestinal tract	526.3	HP_0011024
Spondylosis and allied disorders	Spondylolysis	721	HP_0003304
Other hypertrophic cardiomyopathy	Myofibrillar myopathy	425.12	HP_0003715
Pain and other symptoms associated with female genital organs	Vaginismus	625	HP_0030017
Fracture of tibia and fibula	Short femur	800.3	HP_0003097
Inflammatory and toxic neuropathy	Polyneuritis	357	HP_0031003
Other intestinal obstruction	Paralytic ileus	560.4	HP_0002590
Congenital anomalies of the eye	Anterior subcapsular cataract	753	HP_0010923
Meniere's disease	Hearing impairment	386.1	HP_0000365
Type 1 diabetes with renal manifestations	Type I diabetes mellitus	250.12	HP_0100651
Jaw disease NOS	Exostoses	526.9	HP_0100777
Complications of labor and delivery NEC	Abnormal delivery	669	HP_0001787
Lipoprotein disorders	Hypolipoproteinemia	277.51	HP_0010981
Intestinal malabsorption (non-celiac)	Small intestinal bacterial overgrowth	557	HP_0033163
Anomalies of jaw size/symmetry	Hypoplasia of the maxilla	526.3	HP_0000327
Primary/intrinsic cardiomyopathies	Endocardial fibrosis	425.1	HP_0006685
Other perinatal conditions of fetus or newborn	Infantile muscular hypotonia	656	HP_0008947
Irregular menstrual cycle/bleeding	Irregular menstruation	626.1	HP_0000858
Cardiac arrest and ventricular fibrillation	Aborted sudden cardiac death	427.4	HP_0031628
Congenital anomalies of upper limb, including shoulder girdle	Amelia	755.4	HP_0009827
Epilepsy, recurrent seizures, convulsions	Bilateral tonic-clonic seizure	345	HP_0002069
Chronic Kidney Disease, Stage IV	Stage 5 chronic kidney disease	585.34	HP_0003774
Disorders of parathyroid gland	Abnormality of the parathyroid gland	252	HP_0000828
Cardiac shunt/ heart septal defect	Secundum atrial septal defect	747.11	HP_0001684
Atherosclerosis of renal artery	Renal artery atherosclerosis	440.1	HP_0031684
Hydronephrosis	Abnormal tubulointerstitial morphology	595	HP_0001969
Primary biliary cirrhosis	Abnormality of the liver	571.6	HP_0001392
Other perinatal conditions of fetus or newborn	Pulmonary hemorrhage	656	HP_0040223
Other chronic ischemic heart disease, unspecified	Coronary artery atherosclerosis	411.8	HP_0001677
Epilepsy, recurrent seizures, convulsions	Tonic seizure	345	HP_0032792
Complications of cardiac/vascular device, implant, and graft	Coronary artery stenosis	854	HP_0005145
Degenerative skin conditions and other dermatoses	Abnormality of the skin	702	HP_0000951
Cancer of major salivary glands	Salivary gland neoplasm	145.3	HP_0100684
Infertility, male	Infertility	609.1	HP_0000789
Disorders of protein plasma/amino-acid transport and metabolism	Hyperammonemia	270	HP_0001987
Atrial fibrillation and flutter	Atrial fibrillation	427.2	HP_0005110
Disorders of amino-acid metabolism	Methylmalonic aciduria	270.2	HP_0012120
Congenital anomalies of limbs	Cyclopia	755	HP_0009914
Other upper respiratory disease	Rhinorrhea	479	HP_0031417
Delirium dementia and amnestic and other cognitive disorders	Frontal lobe dementia	290	HP_0000727
Glycosuria or Acetonuria	Glycosuria	250.5	HP_0003076
Other disorders of ear	Tinnitus	388	HP_0000360
Chronic inflammatory disorders of orbit	Neoplasm of the thyroid gland	371.9	HP_0100031
Mastodynia	Abnormality of the genitourinary system	613.5	HP_0000119
Other disorders of eyelids	Xanthelasma	374	HP_0001114
Short stature	Severe short stature	264.1	HP_0003510
Noninflammatory disorders of vulva and perineum	Vulvar intraepithelial neoplasia	619.5	HP_0032202
Cardiac shunt/ heart septal defect	Transposition of the great arteries	747.11	HP_0001669
Rheumatoid arthritis	Juvenile rheumatoid arthritis	714.1	HP_0005681
Cardiac and circulatory congenital anomalies	Cardiac total anomalous pulmonary venous connection	747	HP_0011720
Genital prolapse	Uterine prolapse	618	HP_0000139
Congenital anomalies of urinary system	Renal hypoplasia	751.2	HP_0000089
Hematological disorders of newborn	Disseminated intravascular coagulation	656.5	HP_0005521
Liver abscess and sequelae of chronic liver disease	Abnormality of the liver	571.8	HP_0001392
Congenital anomalies of abdominal wall; diaphram	Umbilical hernia	756.1	HP_0001537
Digestive congenital anomalies	Macroglossia	750	HP_0000158
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Pancreas divisum	750.22	HP_0030994
Subdural hemorrhage (injury)	Subdural hemorrhage	818.1	HP_0100309
Coagulation defects	Hypofibrinogenemia	286	HP_0011900
Dyschromia and Vitiligo	Abnormality of nail color	694	HP_0100643
Paralysis/spasm of vocal cords or larynx	Vocal cord paresis	473.3	HP_0001604
Respiratory failure, insufficiency, arrest	Respiratory paralysis	509	HP_0002203
Cancer of other lymphoid, histiocytic tissue	Neoplasm	202	HP_0002664
Disorders of fluid, electrolyte, and acid-base balance	Hyperchloremic acidosis	276	HP_0001995
Fluid overload	Hypervolemia	276.6	HP_0011105
Other CNS infection and poliomyelitis	Progressive leukoencephalopathy	324	HP_0006980
Congenital pigmentary anomalies of skin	Blue nevus	691.3	HP_0100814
Complications of surgical and medical procedures	Arthropathy	1011	HP_0003040
Hereditary and idiopathic peripheral neuropathy	Polyneuritis	356	HP_0031003
Sexual and gender identity disorders	Female sexual dysfunction	302	HP_0030014
Other cerebral degenerations	Noncommunicating hydrocephalus	331	HP_0010953
Disorders of protein plasma/amino-acid transport and metabolism	Neoplasm	270	HP_0002664
Hypersomnia	Hypersomnia	327.1	HP_0100786
Gout and other crystal arthropathies	Uric acid nephrolithiasis	274	HP_0000791
Disorders of urea cycle metabolism	Citrullinuria	270.21	HP_0032397
Diseases of sebaceous glands	Ovarian dermoid cyst	706	HP_0025274
Nephritis; nephrosis; renal sclerosis	Nephrotic syndrome	580	HP_0000100
Inflammation of eyelids	Blepharitis	371.3	HP_0000498
Glucocorticoid deficiency	Decreased circulating cortisol level	255.21	HP_0008163
Tics and stuttering	Stuttering	313.2	HP_0025268
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	Biliary tract neoplasm	159	HP_0100574
Chromosomal anomalies	Horner syndrome	758.1	HP_0002277
Atrial fibrillation	Atrial fibrillation	427.21	HP_0005110
Other congenital musculoskeletal anomalies	Short stature	756	HP_0004322
Other conditions of brain	Increased intracranial pressure	348	HP_0002516
Suppurative and unspecified otitis media	Otitis media	381.11	HP_0000388
Apnea	Cheyne-Stokes respiration	513.31	HP_0012196
Histoplasmosis	Histoplasmosis	117.1	HP_0032256
Other peripheral nerve disorders	Tarlov cyst	351	HP_0025643
Optic neuritis/neuropathy	Retrobulbar optic neuritis	377.3	HP_0100654
Congenital anomalies of limbs	Absent foot	755	HP_0011301
Ill-defined descriptions and complications of heart disease	Weak pulse	429	HP_0032553
Digestive congenital anomalies	Persistent cloaca	750	HP_0012621
Fracture of neck of femur	Fractured lower leg	800.1	HP_0041081
Alcoholism	Hepatic fibrosis	317.1	HP_0001395
Early onset of delivery	Premature birth	636.2	HP_0001622
Strabismus and other disorders of binocular eye movements	Nystagmus	378	HP_0000639
Hypertrophy of breast (Gynecomastia)	Breast hypertrophy	612.2	HP_0010313
Other paralytic syndromes	Sleep paralysis	344	HP_0025233
Other endocrine disorders	Short stature	259	HP_0004322
Strabismus and other disorders of binocular eye movements	Total ophthalmoplegia	378	HP_0007824
Respiratory conditions of fetus and newborn	Abnormal pulmonary interstitial morphology	656.2	HP_0006530
Arthralgia/ankylosis of temporomandibular joint	Abnormality of the gastrointestinal tract	526.42	HP_0011024
Hearing loss	Bilateral sensorineural hearing impairment	389	HP_0008619
Arthralgia/ankylosis of temporomandibular joint	Temporomandibular arthritis	526.42	HP_0040312
Malignant neoplasm of renal pelvis	Neoplasm	189.12	HP_0002664
Irregular menstrual cycle/bleeding	Primary amenorrhea	626.1	HP_0000786
Cardiac and circulatory congenital anomalies	Aortopulmonary window	747	HP_0011604
Acquired toe deformities	Hallux rigidus	735.2	HP_0025004
Nontoxic uninodular goiter	Thyroid nodule	241.1	HP_0025388
Other symptoms/disorders or the urinary system	Nocturia	599	HP_0000017
Other perinatal conditions of fetus or newborn	Intestinal obstruction	656	HP_0005214
Anomalies of tooth position/malocclusion	Increased overbite	524.3	HP_0011094
Cardiac and circulatory congenital anomalies	Double inlet right ventricle	747	HP_0011556
Neurological disorders	Neurological speech impairment	292	HP_0002167
Congenital anomalies of the eye	Optic nerve hypoplasia	753	HP_0000609
Cyst of bone	Aneurysmal bone cyst	733.2	HP_0012063
Myoclonus	Myoclonus	333.2	HP_0001336
Tuberculosis	Erythema nodosum	010	HP_0012219
Other upper respiratory disease	Tracheal stenosis	479	HP_0002777
Hypertension	Renovascular hypertension	401	HP_0100817
Disorders of amino-acid metabolism	Saccharopinuria	270.2	HP_0034028
Benign neoplasm of male genital organs	Teratoma	222	HP_0009792
Acute renal failure	Acute kidney injury	585.1	HP_0001919
Anxiety disorder	Anxiety	300.1	HP_0000739
Adrenal hyperfunction	Primary hyperaldosteronism	255.1	HP_0011736
Chronic glomerulonephritis, NOS	Membranous nephropathy	580.14	HP_0012578
Other specified congenital anomalies of nervous system	Primary microcephaly	752.2	HP_0011451
Other perinatal conditions of fetus or newborn	Hypomagnesemia	656	HP_0002917
Visual field defects	Constriction of peripheral visual field	368.4	HP_0001133
Other and unspecified coagulation defects	Abnormal bleeding	286.7	HP_0001892
Neurological disorders	Scanning speech	292	HP_0002168
Fracture of clavicle or scapula	Fractured sternal end of clavicle	803.3	HP_0041200
Jaundice (not of newborn)	Prolonged neonatal jaundice	573.5	HP_0006579
Peripheral angiopathy in diseases classified elsewhere	Intermittent claudication	443.7	HP_0004417
Anxiety disorder	Claustrophobia	300.1	HP_0025253
Interstitial emphysema and related conditions of newborn	Congenital lobar overinflation	656.22	HP_0033255
Hypertrophic obstructive cardiomyopathy	Asymmetric septal hypertrophy	425.11	HP_0001670
Congenital anomalies of intestine	Megaduodenum	750.21	HP_0030996
Deficiency of humoral immunity	B lymphocytopenia	279.11	HP_0010976
Malignant neoplasm of rectum, rectosigmoid junction, and anus	Anal canal neoplasm	153.3	HP_0030437
Cerebral degeneration, unspecified	Normal pressure hydrocephalus	331.9	HP_0002343
Disorders of uterus, NEC	Endometriosis	619.2	HP_0030127
Immunity deficiency	Decreased circulating IgG2 level	279.1	HP_0008348
Acromegaly and gigantism	Neoplasm of the pituitary gland	253.11	HP_0040277
Myeloid leukemia	Hematological neoplasm	204.2	HP_0004377
Congenital anomalies of face and neck	Nasal septum perforation	749	HP_0033434
Varicose veins of lower extremity, symptomtic	Stasis dermatitis	454.11	HP_0033564
Pilonidal cyst	Pilonidal fistula	686.3	HP_0010770
Anomalies of respiratory system, congenital	Tracheal stenosis	748	HP_0002777
Hydrocele	Encysted hydrocele of the cord	603.1	HP_4000036
Secondary malignant neoplasm	Pleural effusion	198	HP_0002202
Eye infection, viral	Conjunctivitis	369.2	HP_0000509
Symptoms of the muscles	Facial paralysis	772	HP_0007209
Nonspecific abnormal results of function study of brain and central nervous system	EEG abnormality	346.2	HP_0002353
Other perinatal conditions of fetus or newborn	Necrotizing enterocolitis	656	HP_0033165
Strabismus (not specified as paralytic)	Alternating exotropia	378.1	HP_0031717
Coagulation defects	Disseminated intravascular coagulation	286	HP_0005521
Paroxysmal ventricular tachycardia	Monomorphic ventricular tachycardia	427.12	HP_0031676
Disorders of the pituitary gland and its hypothalamic control	Gonadotropin deficiency	253	HP_0008213
Dysphagia	Dysphagia	532	HP_0002015
Empyema and pneumothorax	Pleural empyema	506	HP_0011919
Disorders of adrenal glands	Abnormality of the adrenal glands	255	HP_0000834
Hypertensive chronic kidney disease	Stage 5 chronic kidney disease	401.22	HP_0003774
Blindness and low vision	Visual impairment	367.9	HP_0000505
Extrapyramidal disease and abnormal movement disorders	Kinetic tremor	333	HP_0030186
Malposition and malpresentation of fetus or obstruction	Breech presentation	652	HP_0001623
Disorders of iris and ciliary body	Anterior chamber cyst	379.5	HP_0025311
Retinopathy of prematurity	Retinopathy of prematurity plus	362.1	HP_0500062
Chronic ulcer of leg or foot	Abnormality of the skin	707.2	HP_0000951
Noninflammatory female genital disorders	Vulvar intraepithelial neoplasia	619	HP_0032202
