narrower,phecodeX_label,hpo_label,phecodeX_code,hpo_code
,Disorders of eyelid function,Upper eyelid retraction,361,HP_0500044
,Benign neoplasm of the digestive organs,Optic nerve sheath meningioma,136,HP_0500089
,"Disorders of fluid, electrolyte and acid-base balance",Abnormal blood phosphate concentration,256,HP_0100529
,Juvenile rheumatoid arthritis [JRA/JIA],Rheumatoid arthritis,705.2,HP_0001370
,Guillain-Barre syndrome [Acute infective polyneuritis],Peripheral axonal neuropathy,337.21,HP_0003477
,Abnormality of the urachus,Vesicoallantoic abdominal wall defect,775.4,HP_0030733
,Monocyte,Hematological neoplasm,120.12,HP_0004377
,Ileus,Gastrointestinal dysmotility,514.3,HP_0002579
,Ectopic thyroid nodule,Hashimoto thyroiditis,200.24,HP_0000872
,Meralgia paresthetica,Abnormal peripheral nervous system morphology,336.52,HP_0000759
,Primary disorders of muscles,Periodic hyperkalemic paralysis,339,HP_0007215
,Keratoconjunctivitis,Keratoconjunctivitis,367.3,HP_0001096
,Systemic atrophies primarily affecting the central nervous system,Oral cavity telangiectasia,323,HP_0000228
,Malignant neoplasm of other connective and soft tissue,Alveolar rhabdomyosarcoma,104.3,HP_0006779
,Malignant neoplasm of the digestive organs,Glioblastoma multiforme,101,HP_0012174
,Malignant sarcoma-related cancers,Chondrosarcoma,104,HP_0006765
,Foreign body granuloma,Cerebral granulomatosis,688.2,HP_0100313
,Cytokine release syndrome*,Complement deficiency,180.7,HP_0004431
,Chronic myloid leukemia,Cutaneous T-cell lymphoma,121.22,HP_0012192
,Benign neoplasms of the ovary,Altman type I sacrococcygeal teratoma,144.3,HP_0030737
,Autoimmune hemolytic anemias [AIHA],Drug-sensitive hemolytic anemia,161.21,HP_0004817
,"Anomalies of pulmonary valve, congenital",Pulmonary artery atresia,779.1,HP_0004935
,Hereditary ataxia,Telangiectases producing 'marbled' skin,323.1,HP_0007586
,Epilepsy,Focal aware motor seizure with dysarthria/anarthria,330.1,HP_0032733
,Congenital malformations of cardiac septa,Tetralogy of Fallot with absent pulmonary valve,780.4,HP_0011659
,Symptoms and signs involving cognitive functions and awareness,Mental deterioration,329,HP_0001268
,Carotid artery dissection,Intracranial internal carotid artery dissection,438.42,HP_0012160
,Congenital hypohthyroidism,Hypothalamic hypothyroidism,200.11,HP_0008237
,Pain in joints of hand,Arthropathy,713.35,HP_0003040
,Transitory disorders of carbohydrate metabolism specific to newborn,Neonatal insulin-dependent diabetes mellitus,861,HP_0000857
,Benign neoplasm of the head and neck,Pericallosal lipoma,135,HP_0006931
,Thyrotoxicosis [hyperthyroidism],Euthyroid hyperthyroxinemia,200.3,HP_0008247
,Enlargement of lymph nodes [Lymphadenopathy],Lymphadenopathy,177.2,HP_0002716
,Goiter,Pituitary hypothyroidism,200.2,HP_0008245
,Disorder of nervous system,Low voltage EEG,349,HP_0011181
,Allergies related to other diseases/symptoms,Late onset atopic dermatitis,840.8,HP_0007573
,Proteinuria,Kappa Bence Jones proteinuria,830,HP_0032302
,Aneurysm of carotid artery,External carotid artery dissection,438.3,HP_0012161
,Major depressive disorder,Transient psychotic episodes,286.2,HP_0006932
,Congenital non-neoplastic nevus,Capillary hemangioma,790.41,HP_0005306
,Disorders of the retina,Retinopathy of prematurity stage 5b,374,HP_0500058
,Fasciopathy,Contracture of the proximal interphalangeal joint of the 3rd finger,722,HP_0009471
,Other and ill-defined conditions originating in the perinatal period,Hypotonia,872,HP_0001252
,Disorder of ligament,Finger joint hypermobility,712.5,HP_0006094
,Bell's palsy,Neuritis,334.21,HP_0031002
,Malignant neoplasm of the kidney,Neoplasm,108.4,HP_0002664
,Disorders of puberty,Moderately short stature,217,HP_0008848
,Chronic thyroiditis,Anaplastic thyroid carcinoma,200.44,HP_0011779
,Heberden's or Bouchard's nodes*,Osteoarthritis,708.9,HP_0002758
,Apnea NEC,Central apnea,488.7,HP_0002871
,Genu valgum (acquired),Arthropathy,710.31,HP_0003040
,Syndactyly,3-5 finger syndactyly,785.12,HP_0010710
,Other abnormal immunological findings in serum,Polyclonal elevation of IgM,826,HP_0003459
,Solar retinopathy,Retinopathy of prematurity stage 2,373.11,HP_0500051
,Congenital malformations of cardiac septa,Muscular ventricular septal aneurysm,780.4,HP_0030959
,Genu valgum (acquired),Neuropathic arthropathy,710.31,HP_0002821
,Autoimmune disease,Neuropathic arthropathy,181,HP_0002821
,"Anomalies of pulmonary artery, congenital",Tetralogy of Fallot with pulmonary atresia,778.5,HP_0012516
,Mononeuropathies,Sensory ataxic neuropathy,336,HP_0003434
,Chorioretinal scars,Retinopathy of prematurity stage 5,373.1,HP_0500056
,Hemorrhoids,Splanchnic vein thrombosis,439,HP_0030247
,Gastric diverticulum,Abnormality of the gastrointestinal tract,523.3,HP_0011024
,Visual disturbances,Arcuate scotoma,386,HP_0030530
,Erythema nodosum,Erythema nodosum,667.3,HP_0012219
,Secondary glaucoma,Glaucoma,375.8,HP_0000501
,Congenital lens anomalies,Congenital bilateral hip dislocation,753.2,HP_0008780
,Osteomyelitis,obsolete Chronic recurrent multifocal osteomyelitis,701.1,HP_0005901
,Abnormal involuntary movements,Choreoathetosis,325.1,HP_0001266
,Hypothyroidism due to drugs or iatrogenic causes,Thyroid agenesis,200.12,HP_0008191
,Nerve root lesions,Demyelinating motor neuropathy,335.2,HP_0007220
,Hyperuricemia,Uric acid urolithiasis independent of gout,703.1,HP_0008651
,Arthrogryposis multiplex congenita*,Fetal akinesia sequence,789.4,HP_0001989
,Congenital malformations of penis,Penile hypospadias,771.2,HP_0003244
,"Cancer (solid tumor, excluding BCC)",Unilateral vestibular Schwannoma,130,HP_0009590
,Palmar fascial fibromatosis [Dupuytren],Camptodactyly of toe,722.4,HP_0001836
,Pyelonephritis,Tubulointerstitial viral infiltration,581.1,HP_0032636
,Hypothyroidism,Increased T3/T4 ratio,200.1,HP_0012559
,Transplated organ,Coronary artery atherosclerosis,979,HP_0001677
,Stroke and transient cerebral ischemic attacks,Dependency on parenteral nutrition,431,HP_0033994
,Disturbances of temperature regulation of newborn,Hypothermia,866,HP_0002045
,Acute pain,Shoulder pain,809.1,HP_0030834
,Embolism and thrombosis,Splanchnic vein thrombosis,440,HP_0030247
,Postprocedural hypothyroidism,Anaplastic thyroid carcinoma,200.13,HP_0011779
,Benign neoplasm of the bladder,Curvilinear pericallosal lipoma,146.5,HP_0034013
,"Epilepsy, recurrent seizures, convulsions",Focal sexual automatism seizure,330,HP_0032905
,Other heart disorders in diseases NEC,Apically displaced anterolateral papillary muscle,426,HP_0025449
,Abnormal results of function studies of eye,Congenital nystagmus,385,HP_0006934
,Aortic stenosis,Mitral stenosis,413.21,HP_0001718
,Difficulty walking,Impaired tandem gait,325.24,HP_0031629
,Acute thyroiditis,Thyrotoxicosis from ectopic thyroid tissue,200.42,HP_0011783
,Immunodeficiencies,Chronic decreased circulating IgG3,179,HP_0041072
,Acquired deformities of toe,Polyarticular arthropathy,709.2,HP_0005195
,Allergic rhinitis,Seasonal allergy,463.2,HP_0012395
,Skin changes due to chronic exposure to nonionizing radiation,Actinic keratosis,673,HP_0025127
,Critical illness myopathy,Sensory axonal neuropathy,340.1,HP_0003390
,Acute kidney failure with acute cortical necrosis,Abnormality of the genitourinary system,582.2,HP_0000119
,Bacterial infections,Acute episodes of neuropathic symptoms,089.1,HP_0003489
,Microcytic anemia,Hyperchromic macrocytic anemia,164.1,HP_0004857
,Mitral valve stenosis,Aortic valve stenosis,413.13,HP_0001650
,Lipoma,Choroid plexus papilloma,139.5,HP_0200022
,Anterior subcapsular polar cataract,Sutural cataract,371.21,HP_0010695
,Disorders of tooth develoment,Amelogenesis imperfecta,500,HP_0000705
,Systemic sclerosis,Bilateral basilar pulmonary fibrosis,700.3,HP_0550005
,Sickle-cell thalassemia,Microangiopathic hemolytic anemia,165.14,HP_0001937
,Convulsions,Focal impaired awareness motor seizure with negative myoclonus,330.3,HP_0032858
,Follicular lymphoma,Multiple lineage myelodysplasia,122.21,HP_0012148
,Hypopituitarism,Adrenocorticotropic hormone deficiency,209.2,HP_0011748
,Secondary glaucoma,Open angle glaucoma,375.8,HP_0012108
,Graves' disease [Toxic diffuse goiter],Thyroid defect in oxidation and organification of iodide,200.31,HP_0008263
,Aplasia/Hypoplasia of the brain,Cerebellar hypoplasia,750.1,HP_0001321
,Short stature,Severe short-limb dwarfism,890.3,HP_0008890
,Periodic paralysis,Peripheral axonal neuropathy,339.4,HP_0003477
,Congenital malformations of lung,Traction bronchiectasis,777.3,HP_0032969
,Neuralgic amyotrophy,Demyelinating sensory neuropathy,335.3,HP_0011402
,Dislocation of vertebra or sternum,Bilateral elbow dislocations,T830.9,HP_0005021
,Pain in arm*,Finger pain,809.31,HP_0030837
,Benign neoplasm of other connective and soft tissue,Optic nerve sheath meningioma,139.3,HP_0500089
,"Disorders of fluid, electrolyte and acid-base balance",Propionic acidemia,256,HP_0003571
,Supraventricular tachycardia,Antidromic atrioventricular reentrant tachycardia,416.11,HP_0031674
,Benign sarcoma-related cancers,Vulvar hemangioma,139,HP_0410272
,Polyarteritis nodosa and related conditions,Small vessel vasculitis,704.1,HP_0011944
,Cardiac arrhythmia and conduction disorders,Aborted sudden cardiac death,416,HP_0031628
,Edema,Streaks of hyperkeratosis along each finger onto the palm,812,HP_0007501
,Symptoms and signs involving cognitive functions and awareness,Delirium,329,HP_0031258
,Congenital non-neoplastic nevus,Congenital panfollicular nevus,790.41,HP_0025471
,Congenital malformation of the skin,Cafe-au-lait spot,790,HP_0000957
,Gastrointestinal inflammation,Enterocolitis,522,HP_0004387
,Atrophy of thyroid*,Abnormal T3/T4 ratio,200.6,HP_0012558
,Degenerative diseases of the basal ganglia (excluding parkinsons),Increased caudate lactate level,324.2,HP_0012644
,Mixed disorder of acid-base balance,Severe lactic acidosis,256.3,HP_0004900
,Delusional disorders,Paranoia,287.4,HP_0011999
,Esotropia,Excyclophoria,381.3,HP_0031779
,Mononeuropathies,Acute demyelinating polyneuropathy,336,HP_0007131
,Benign neoplasm of epididymis and spermatic cord,Meningioma,146.31,HP_0002858
,Embolism and thrombosis,Thromboembolism,440,HP_0001907
,Urticaria,Darier's sign,666,HP_0025081
,Hemophilus influenzae,Recurrent aspiration pneumonia,007.1,HP_0002100
,Constipation,Chronic constipation,529.5,HP_0012450
,Nail disorders,Beau's lines,683,HP_0041093
,Pneumococcal pneumonia,Pneumonia,468.21,HP_0002090
,Congenital osteodystrophies,Lethal short-trunk short stature,788,HP_0011404
,Nail disorders,Onychomadesis,683,HP_0025088
,Benign neoplasm of the endocrine glands,Neoplasm of the anterior pituitary,149,HP_0011750
,Renal failure,Elevated mean arterial pressure,584,HP_0004972
,Anaplastic large cell lymphoma,Burkitt lymphoma,122.25,HP_0030080
,Disorders of muscle tone of newborn*,Upper limb spasticity,872.1,HP_0006986
,Other arthropathies,Autoimmunity,707,HP_0002960
,Hemoglobin E disease,Macrocytic hemolytic disease,165.24,HP_0005524
,Kaposi's sarcoma,Soft tissue sarcoma,104.6,HP_0030448
,Benign neoplasm of the tongue,Meningioma,135.12,HP_0002858
,Hyperuricemia,Abnormal joint morphology,703.1,HP_0001367
,Non-Hodgkin lymphoma,T-cell acute lymphoblastic leukemias,122.2,HP_0006727
,Postinfectious hypothyroidism*,Graves disease,200.15,HP_0100647
,Polyneuropathies,Vestibular Schwannoma,337,HP_0009588
,Benign neoplasm of stomach,Cerebral germinoma,136.2,HP_0100312
,"Breast conditions, congenital or relating to hormones",Unilateral breast hypoplasia,612,HP_0012813
,Benign neoplasm of the skin,Hypothalamic hamartoma,138,HP_0002444
,Acquired deformities of limbs,Fibular bowing,710,HP_0010502
,Sunburn,Abnormality of the skin,671,HP_0000951
,Hemo onc - by cell of origin,Autoimmunity,120,HP_0002960
,Dermatitis [eczema],Carbuncle,668,HP_0020084
,Other specific joint derangements,Neuropathic arthropathy,712,HP_0002821
,Malformation of placenta*,Placental mesenchymal dysplasia,907.6,HP_0032165
,Gynecological benign neoplasms,Cardiac teratoma,144,HP_0011674
,Carcinoid tumor of the thymus,Neuroendocrine neoplasm,114.43,HP_0100634
,Congenital malformation of the skin,Perineal hemangioma,790,HP_0031449
,Benign neoplasm of stomach,Optic nerve sheath meningioma,136.2,HP_0500089
,Alcohol use disorders,Micronodular cirrhosis,280.1,HP_0001413
,Malignant neoplasm of other connective and soft tissue,Cerebellar hemangioblastoma,104.3,HP_0006880
,Infections,Sepsis,089,HP_0100806
,Stiffness of joint,Neuropathic arthropathy,713.4,HP_0002821
,Aplastic anemia,Folate-responsive megaloblastic anemia,162,HP_0004851
,Other congenital malformations of urinary system,Cloacal exstrophy,775,HP_0010475
,Lymphangioma,Spinal hemangioblastoma,139.62,HP_0009713
,Malignant neoplasm of the thyroid,Non-medullary thyroid carcinoma,110.1,HP_0040198
,Malignant neoplasm of the endocrine glands,Macroprolactinoma,110,HP_0012342
,Malignant neoplasm of the rectum,Colon cancer,101.42,HP_0003003
,Paroxysmal vertigo,Paroxysmal vertigo,394.21,HP_0010532
,Congenital non-neoplastic nevus,Combined hamartoma of the retinal pigment epithelium and retina,790.41,HP_0030510
,Acquired deformities of fingers,Deviation of the 3rd finger,709.1,HP_0009317
,"Coagulation defects, purpura and other hemorrhagic conditions",Epidural hemorrhage,168,HP_0100310
,Derangement of meniscus,Torn meniscus,711.1,HP_0032191
,Disorders of muscle,Contracture of the proximal interphalangeal joint of the 2nd finger,719,HP_0009540
,"Lesion of median, ulnar, radial nerve",Polyneuropathy,336.2,HP_0001271
,Congenital anomalies of eye,Vascular remnant arising from the disc,753,HP_0009922
,Critical illness polyneuropathy,Polyneuropathy,337.4,HP_0001271
,Congenital malformations of mouth,Absent uvula,756.4,HP_0010292
,Severe combined immunodeficiency due to adenosine deaminase deficiency*,Decreased serum complement C6,179.31,HP_0033059
,Disorders of thyroid gland,Medullary thyroid carcinoma,200,HP_0002865
,Malignant neoplasm of the cervix,Neuroblastic tumor,106.13,HP_0004376
,Hemangioma and lymphangioma,Spinal hemangioblastoma,139.6,HP_0009713
,Benign neoplasm of the liver*,Multiple meningiomata,136.61,HP_0033714
,Benign sarcoma-related cancers,Multiple meningiomata,139,HP_0033714
,Dysphonia,Poor speech,494.1,HP_0002465
,Hemolytic anemias,Spontaneous hemolytic crises,161,HP_0005525
,Buphthalmos [Macrophthalmos],Microphthalmia,753.3,HP_0000568
,Sequela of infection,Thyroglossal cyst,095,HP_0010518
,Borrelia,Mononeuropathy,020,HP_0009831
,Other arthropathies,Arthralgia/arthritis,707,HP_0005059
,Insomnia,Excessive daytime somnolence,333.2,HP_0001262
,Chronic myelomonocytic (monocytic) leukemia,Multiple myeloma,121.23,HP_0006775
,"Other disease of digestive system, NOS",Abnormality of the gastrointestinal tract,559,HP_0011024
,Weakness,Facial diplegia,807.2,HP_0001349
,Primary open angle glaucoma,Late onset congenital glaucoma,375.113,HP_0008041
,Benign neoplasm of the prostate,Meningioma,146.2,HP_0002858
,"Primary osteoarthritis of hip, pelvic region and thigh",Sacroiliac arthritis,708.11,HP_0012317
,Cataract,Age-related nuclear cataract,371,HP_0011142
,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue",Neoplasm,125,HP_0002664
,Congenital malformation of the skin,Congenital nonbullous ichthyosiform erythroderma,790,HP_0007479
,Congenital malformations of tricuspid valve,Tricuspid regurgitation,779.2,HP_0005180
,Alcohol abuse,Alcoholism,280.11,HP_0030955
,Ptosis of eyelid,Horner syndrome,361.3,HP_0002277
,Tremor,Upper limb postural tremor,324.4,HP_0007351
,Critical illness myopathy,Motor axonal neuropathy,340.1,HP_0007002
,Hereditary persistence of fetal hemoglobin [HPFH]*,Spontaneous hemolytic crises,165.5,HP_0005525
,"Major histocompatibility complex class I deficiency (Bare lymphocyte syndrome, type I)*",Decreased serum complement factor I,179.35,HP_0005356
,Renal and perinephric abscess,Pyelonephritis,581.13,HP_0012330
,Congenital anomalies of limbs,Type A1 brachydactyly,785,HP_0009371
,Velamentous insertion of umbilical cord*,Velamentous cord insertion,947.6,HP_0030659
,Qualitative platelet defects,Impaired arachidonic acid-induced platelet aggregation,169.2,HP_0011870
,Abnormalities of heart beat,Wolff-Parkinson-White syndrome,417,HP_0001716
,Hypopituitarism,Elevated circulating growth hormone concentration,209.2,HP_0000845
,Autoimmune disease,Thyroglossal cyst,181,HP_0010518
,Disorders of thyroid gland,Thyroid microfollicular adenoma,200,HP_0011776
,Other respiratory disorders,Pulmonary granulomatosis,486,HP_0030250
,Autistic disorder,Absence of interest in peers,892.4,HP_4000083
,Heart valve disorders,Tricuspid stenosis,413,HP_0010446
,Eosinophilia,Episodic eosinophilia,171.7,HP_0032151
,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Microprolactinoma,149.4,HP_0012341
,Mast cell activation syndrome [MCAS]*,Decreased serum complement C9,180.6,HP_0012308
,"Nevus, non-neoplastic",Capillary hemangioma,138.1,HP_0005306
,Purine nucleoside phosphorylase [PNP] deficiency*,Decreased serum complement C7,179.34,HP_0033058
,Congenital hypohthyroidism,Reduced radioactive iodine uptake,200.11,HP_0031219
,Blindness and low vision,Severely reduced visual acuity,388,HP_0001141
,Benign neoplasm of the of pleura,Hemangioblastoma,137.53,HP_0010797
,Rheumatoid arthritis,Bronchocentric granulomatosis,705.1,HP_0033371
,Embolism and thrombosis,Cerebral infarct,440,HP_0025722
,Abnormality of globulin*,Monoclonal elevation of intact IgG,824.2,HP_0032291
,Pericarditis,Chylopericardium,410.1,HP_0011852
,Eosinophilic gastroenteritis,Colonic eosinophilia,522.62,HP_0031813
,Congenital non-neoplastic nevus,Periocular capillary hemangioma,790.41,HP_0500090
,Congenital ptosis,Congenital bilateral ptosis,754.11,HP_0007911
,Autoimmune disease,Ectopic thyroid,181,HP_0100028
,Megakaryoblast,Carcinoma,120.14,HP_0030731
,Congenital non-neoplastic nevus,Numerous nevi,790.41,HP_0001054
,Disorders of muscle,Respiratory insufficiency due to muscle weakness,719,HP_0002747
,Purine nucleoside phosphorylase [PNP] deficiency*,Decreased serum complement C9,179.34,HP_0012308
,Obesity,Childhood-onset truncal obesity,236.1,HP_0008915
,Diffuse large B-cell lymphoma*,Acute lymphoblastic leukemia,122.22,HP_0006721
,Overweight and obesity,Abdominal obesity,236,HP_0012743
,Benign neoplasm of lacrimal gland and duct,Curvilinear pericallosal lipoma,148.12,HP_0034013
,Anaplastic large cell lymphoma,Carcinoma,122.25,HP_0030731
,Aplasia/Hypoplasia affecting the eye,Optic nerve hypoplasia,753.1,HP_0000609
,Intestinal carcinoid,Pulmonary paraglioma,114.41,HP_0100636
,Leukemia,Malignant eosinophil proliferation,121,HP_0006782
,Carpal tunnel syndrome,Demyelinating motor neuropathy,336.1,HP_0007220
,Diabetic retinopathy,Retinopathy of prematurity stage 1,374.42,HP_0500050
,Malnutrition and underweight,Eunuchoid habitus,230,HP_0003782
,Benign neoplasm of the digestive organs,Carcinoma,136,HP_0030731
,"Cancer (solid tumor, excluding BCC)",Ovarian carcinoma,130,HP_0025318
,Epidermal thickening,Honeycomb palmoplantar hyperkeratosis,680,HP_0007465
,Sickle-cell disorders,Abnormality of blood and blood-forming tissues,165.1,HP_0001871
,Acidosis,Generalized distal tubular acidosis,256.31,HP_0004916
,Aneurysm or ectasia,Arterial rupture,438,HP_0025019
,Disorders of the retina,Central retinal vein occlusion,374,HP_0020166
,Disorders of mineral metabolism and mineral deficiencies,Hyperphosphatemia,247,HP_0002905
,Inflammation of the eye,Intermediate uveitis,367,HP_0012124
,Congenital anomalies of limbs,1-2 toe complete cutaneous syndactyly,785,HP_0005767
,Retinal vascular changes and occlusions,Gastrointestinal telangiectasia,374.3,HP_0002604
,"Nephritis and nephropathy, not specified as acute or chronic",Mesangial proliferative lupus nephritis,580.4,HP_0033728
,Benign neoplasm of brain,Tubulonodular pericallosal lipoma,148.3,HP_0034014
,Nephrotic syndrome,Xanthogranulomatous pyelonephritis,580.3,HP_0033761
,Hypothyroidism,Decreased circulating T4 level,200.1,HP_0031507
,Aortic insufficiency,Purely bicuspid aortic valve,413.22,HP_0031117
,Disturbances of salivary secretion,Drooling,506.5,HP_0002307
,Other CNS infection,Perianal abscess,322,HP_0009789
,Disorders of hypoglossal [12th] nerve,Sensory ataxic neuropathy,334.8,HP_0003434
,Aortic aneurysm and ectasia,Dilatation of the sinus of Valsalva,438.1,HP_0011645
,Acute leukemia,Hematological neoplasm,121.1,HP_0004377
,Immunodeficiencies,Decreased circulating IgE,179,HP_0005479
,Hodgkin lymphoma,B-cell lymphoma,122.1,HP_0012191
,Chondrodystrophy,Severe short stature,788.1,HP_0003510
,Atrophy of thyroid*,Thyroid hemiagenesis,200.6,HP_0011780
,Synoviopathy and bursopathy,Synovitis,721,HP_0100769
,Systemic atrophies primarily affecting the central nervous system,Quadriceps muscle atrophy,323,HP_0009050
,Malignant neoplasm of the liver and intrahepatic bile ducts,Altman type III sacrococcygeal teratoma,101.6,HP_0030739
,Vesicoureteral reflux,Grade III vesicoureteral reflux,581.34,HP_0033737
,Male infertility,Female infertility,609,HP_0008222
,Congenital reduction deformities of brain,Cerebellar hemisphere hypoplasia,750.13,HP_0100307
,Systemic vasculitis,Large vessel vasculitis,704,HP_0005310
,Polyneuropathies,Demyelinating sensory neuropathy,337,HP_0011402
,Malignant neoplasm of other and ill-defined sites,Pleural mesothelioma,112,HP_0100002
,Benign neoplasm of the colon,Hyperplastic colonic polyposis,136.41,HP_0012183
,Disorders of the pituitary gland and its hypothalamic control,Neoplasm of the anterior pituitary,209,HP_0011750
,Disturbances of cerebral status of newborn,Neonatal bilateral asymmetric tonic seizure,870,HP_0032831
,Meningitis,Decreased serum complement C4a,320,HP_0045043
,Chorioretinal scars,Retinopathy of prematurity stage 5b,373.1,HP_0500058
,Anodontia,Agenesis of primary maxillary lateral incisor,500.1,HP_0011049
,Osteoarthritis,Neuropathic arthropathy,708,HP_0002821
,Pheochromocytoma (including adrenal gland neoplasms),Extraadrenal pheochromocytoma,114.6,HP_0006737
,Disorders of iron metabolism,Macrocytic dyserythropoietic anemia,247.7,HP_0005532
,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Ganglioneuroblastoma,109,HP_0006747
,Rash and other nonspecific skin eruption,Pseudo-chilblains on fingers,679.1,HP_0034037
,Known or suspected fetal abnormality affecting management of mother,Bradycardia,932,HP_0001662
,Intestinal carcinoid,Neoplasm,114.41,HP_0002664
,Abnormal electrocardiogram [ECG] [EKG],Abnormal U wave,418.1,HP_0025070
,Hypoplasia of penis,Microphallus,771.23,HP_0030260
,Aphasia and dysphasia,Dysphasia,356.2,HP_0002357
,Rheumatoid lung disease with rheumatoid arthritis,Nodular septal thickening on pulmonary HRCT,705.12,HP_0025173
,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]*,Episodic hemolytic anemia,161.24,HP_0004802
,Palmar fascial fibromatosis [Dupuytren],Congenital foot contraction deformities,722.4,HP_0005853
,Multinodular goiter,Euthyroid goiter,200.23,HP_0009798
,Acquired deformities of limbs,Decreased cervical spine flexion due to contractures of posterior cervical muscles,710,HP_0004631
,Retinal vascular changes and occlusions,Peripheral retinal neovascularization,374.3,HP_0030667
,Epilepsy,Typical absence seizure,330.1,HP_0011147
,Other congenital anomalies of nervous system,Iniencephaly,752,HP_0034205
,Plegia and unspecified paralysis,Progressive spastic paraparesis,342,HP_0007199
,Complications of trauma,Contracture of the distal interphalangeal joint of the 3rd finger,T900,HP_0009469
,Congenital osteodystrophies,Polyostotic fibrous dysplasia,788,HP_0010735
,Hepatomegaly,Hepatomegaly,546.3,HP_0002240
,"Abnormal granulation tissue, NOS",Abnormality of the skin,688.7,HP_0000951
,Lyme disease,Distal peripheral sensory neuropathy,020.1,HP_0007067
,Disorders of autonomic nervous system,Episodic peripheral neuropathy,343,HP_0006949
,Abnormal echoencephalogram,EEG with photoparoxysmal response grade III,349.11,HP_0011213
,Disorder of ligament,Abnormal joint morphology,712.5,HP_0001367
,Strabismus,Alternating esotropia,381,HP_0001137
,Megakaryoblast,Follicular lymphoma,120.14,HP_0033125
,Aortic valve disorders,Mitral stenosis,413.2,HP_0001718
,Benign neoplasm of the small intestine,Spinal meningioma,136.3,HP_0100010
,Congenital hydrocephalus,Hydrocephalus,750.6,HP_0000238
,Degenerative diseases of the basal ganglia (excluding parkinsons),Basal ganglia gliosis,324.2,HP_0006999
,Toxic myopathy,Mononeuropathy,340.2,HP_0009831
,Fasciopathy,Contracture of the metacarpophalangeal joint of the 5th finger,722,HP_0009186
,Viral infections,Cytomegalovirus colitis,089.2,HP_0033431
,Malignant neoplasm of the lip,Optic nerve glioma,100.8,HP_0009734
,Malignant neoplasm of the endocrine glands,Thyroid follicular adenoma,110,HP_0011774
,Acute myeloid leukemia,Chronic myelogenous leukemia,121.12,HP_0005506
,Malaise and fatigue,Myofibrillar myopathy,807,HP_0003715
,Weakness,Progressive distal muscle weakness,807.2,HP_0009063
,Intellectual disabilities,"Intellectual disability, progressive",892.6,HP_0006887
,Central origin vertigo,Congenital horizontal nystagmus,394.23,HP_0007859
,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Cerebellar hemangioblastoma,149.4,HP_0006880
,"Coagulation defects, purpura and other hemorrhagic conditions",Recurrent intrapulmonary hemorrhage,168,HP_0006535
,Tarsal tunnel syndrome,Constrictive median neuropathy,336.54,HP_0012185
,Myasthenia gravis and other myoneural disorders,Decerebrate rigidity,338,HP_0025013
,Malignant neoplasm of the thoracic and respiratory organs,Neoplasm of the tracheobronchial system,102,HP_0100552
,Edema,Perioral hyperkeratosis,812,HP_0033707
,Qualitative platelet defects,Abnormal platelet shape,169.2,HP_0012524
,Malignant neoplasm of the cervix,Cervical intraepithelial neoplasia,106.13,HP_0032242
,Benign neoplasm of the digestive organs,Duodenal polyposis,136,HP_0004783
,Lymphoma,Myeloproliferative disorder,122,HP_0005547
,Disorders of puberty,Delayed thelarche,217,HP_0025515
,Gastritis,Giant hypertrophic gastritis,522.9,HP_0005246
,Abnormality of urination,Nocturia,594,HP_0000017
,Immunodeficiencies,Chronic absent circulating total IgG,179,HP_0033025
,Infantile and juvenile nuclear cataract,Coronary cataract,371.32,HP_0025559
,"Anomalies of pulmonary artery, congenital",Conotruncal defect,778.5,HP_0001710
,Abnormality of red blood cells,Abnormal erythrocyte morphology,821,HP_0001877
,Benign neoplasm of the hypopharynx,Pericallosal lipoma,135.4,HP_0006931
,Benign neoplasm of the trachea,Subependymal nodules,137.3,HP_0009716
,Congenital anomalies of limbs,Symphalangism affecting the proximal phalanx of the 5th finger,785,HP_0009232
,Exostosis,Multiple digital exostoses,724.5,HP_0005655
,Meningitis due to other non-infectious causes,Coccidioidal meningitis,320.2,HP_0032161
,Nontraumatic Intracranial hemorrhage,Fetal extra-axial hemorrhage,430,HP_0034212
,Chronic ulcer of skin,Acral ulceration,686,HP_0006121
,Pain in limb,Hand pain,809.3,HP_0046505
,Edema,Subungual hyperkeratotic fragments,812,HP_0008410
,Other sprains and strains,Elbow dislocation,T840.9,HP_0003042
,Other congenital anomalies of heart,Muscular ventricular septal aneurysm,780,HP_0030959
,Intestinal malabsorption,Celiac disease,525,HP_0002608
,Rheumatoid arthritis,Reticular pattern on pulmonary HRCT,705.1,HP_0025390
,Diffuse large B-cell lymphoma*,Acute megakaryocytic leukemia,122.22,HP_0006733
,Hypopigmentation,"Macular hypopigmented whorls, streaks, and patches",674.1,HP_0005593
,Atypical face pain,Acute episodes of neuropathic symptoms,334.12,HP_0003489
,Benign neoplasms of the ovary,Pericallosal lipoma,144.3,HP_0006931
,Atrophy of thyroid*,Absent TSH response to thyrotrophin-releasing hormone stimulation test,200.6,HP_0033081
,Acute thyroiditis,Anaplastic thyroid carcinoma,200.42,HP_0011779
