"phecode","phecode_string","LB_cat"
424.7,"Rheumatic heart failure","Cardio"
124.5,"Essential thrombocythemia","Neoplasms"
424.6,"Hypertensive heart disease with heart failure","Cardio"
125.5,"Other malignant immunoproliferative diseases","Neoplasms"
121.2,"Chronic leukemia","Neoplasms"
753.7,"Congenital anomalies of sclera","Cong"
753.8,"Congenital malformations of posterior segment of eye","Cong"
472.6,"Nodules of vocal cords*","Resp"
756.61,"Macrocheilia","Cong"
756.62,"Microcheilia","Cong"
756.41,"Macrostomia","Cong"
756.42,"Microstomia","Cong"
756.3,"Webbing of neck","Cong"
756,"Congenital malformations of face and neck","Cong"
463.1,"Chronic rhinitis","Resp"
463.3,"Vasomotor rhinitis*","Resp"
714.1,"Kyphosis","Musc/Skel"
715,"Non-inflammatory spondylopathy","Musc/Skel"
727.2,"Hypertrophic osteoarthropathy [Hypertrophic pulmonary osteoarthropathy]","Musc/Skel"
727.5,"Cyst of bone","Musc/Skel"
727.1,"Osteonecrosis","Musc/Skel"
727.3,"Osteitis deformans [Paget's disease of bone]","Musc/Skel"
727.6,"Hypertrophy of bone*","Musc/Skel"
728.1,"Chondromalacia","Musc/Skel"
728.2,"Osteochondritis dissecans","Musc/Skel"
728.3,"Costochondritis (Tietze's disease)","Musc/Skel"
597.2,"Muscular disorders of urethra [Detrusor sphincter dyssynergia]","Genitourinary"
887,"Abnormal findings on neonatal screening","Neonate"
857.4,"Umbilical hemorrhage of newborn","Neonate"
"T840.1","Sprains and strains of shoulder and upper arm","Trauma"
"T915","Fall","Trauma"
"T840.2","Sprains and strains of elbow and forearm","Trauma"
"T840.3","Sprains and strains of wrist and hand","Trauma"
423.1,"Cardiac murmurs","Cardio"
967,"Drugs primarily affecting the autonomic nervous system causing adverse effects in therapeutic use","Rx"
423,"Abnormal cardiac sounds","Cardio"
719.3,"Separation of muscle (nontraumatic)","Musc/Skel"
976,"Adverse effect of anesthesia","Rx"
"092.1","Systemic inflammatory response syndrome","ID"
"092.2","Sepsis","ID"
"061.1","Influenza A virus","ID"
660.11,"Candidiasis of skin and nails","Derm"
"070","Candidiasis","ID"
180.6,"Mast cell activation syndrome [MCAS]*","Blood"
241,"Disorders of carbohydrate metabolism","Metab"
666.3,"Urticaria due to cold and heat","Derm"
666.4,"Dermatographic urticaria","Derm"
"C941","Hemorrhage or hematoma complicating a procedure","Complications of care"
"C949","Reaction to spinal or lumbar puncture","Complications of care"
416.41,"Atrioventricular block","Cardio"
"B239.1","Body mass index (BMI) 19 or less, adult","Stat"
685.8,"Hyperhidrosis","Derm"
667,"Erythematous conditions","Derm"
864.31,"Hypernatremia of newborn*","Neonate"
857.1,"Intracranial nontraumatic hemorrhage of newborn","Neonate"
431.2,"Transient cerebral ischemic attacks","Cardio"
864.2,"Alkalosis of newborn*","Neonate"
114.44,"Carcinoid tumor of the stomach","Neoplasms"
750.15,"Holoprosencephaly*","Cong"
750.5,"Iniencephaly","Cong"
751.6,"Diastematomyelia","Cong"
416.22,"Atrial flutter","Cardio"
821,"Abnormality of red blood cells","Signs/Symptoms"
821.1,"Precipitous drop in hematocrit","Signs/Symptoms"
826.1,"Nonspecific reaction to test for tuberculosis","Signs/Symptoms"
826.2,"Inconclusive laboratory evidence of human immunodeficiency virus [HIV]","Signs/Symptoms"
824,"Other abnormalities of plasma proteins*","Signs/Symptoms"
703.1,"Hyperuricemia","Musc/Skel"
"T819","Skull and face fracture","Trauma"
"T871.1","Open wound of hand except finger(s)","Trauma"
"T870.3","Other open wound of head and face","Trauma"
"T870.4","Open wound of nose and sinus","Trauma"
"T870.5","Open wound of lip and mouth","Trauma"
"T870.6","Open wound of neck","Trauma"
"T870.8","Open wound of genital organs","Trauma"
"T871.2","Open wound of finger(s)","Trauma"
"T872","Amputation, tramatic or status post","Trauma"
"T871.3","Open wound of foot except toe(s) alone","Trauma"
"T871.4","Open wound of toe(s)","Trauma"
"T850","Concussion","Trauma"
"T853","Heart injury","Trauma"
"T867","Injury to pelvic organs","Trauma"
"T855","Injury to gastrointestinal tract","Trauma"
"T856","Injury to liver","Trauma"
"T857","Injury to spleen","Trauma"
"T866","Injury to kidney","Trauma"
200.23,"Multinodular goiter","Endo"
200.2,"Goiter","Endo"
676.2,"Scar conditions and fibrosis of skin","Derm"
"C920","Complication of cardiac or valscular device, implant, and graft","Complications of care"
"T874","Injury to blood vessels","Trauma"
"C942","Complications of cardiac surgery","Complications of care"
411.1,"Hemopericardium NEC","Cardio"
"T890","Contusion","Trauma"
168.19,"Spontaneous ecchymoses","Blood"
841.4,"Allergy to analgesic agent","Signs/Symptoms"
961.2,"Adverse effect of insulin and oral hypoglycemic [antidiabetic] drugs, initial encounter","Rx"
841.11,"Penicillin allergy","Signs/Symptoms"
410.3,"Myocarditis","Cardio"
410.2,"Endocarditis","Cardio"
961.1,"Adrenal cortical steroids causing adverse effects in therapeutic use","Rx"
410.1,"Pericarditis","Cardio"
410,"Inflammation of the heart [Carditis]","Cardio"
436.21,"Atherosclerosis of native arteries of the extremities with ulceration or gangrene","Cardio"
436.22,"Atherosclerosis of native arteries of the extremities with intermittent claudication","Cardio"
107.3,"Malignant neoplasm of the testis","Neoplasms"
289,"Obsessive-compulsive disorder","Mental"
861.1,"Neonatal diabetes mellitus","Neonate"
861.2,"Neonatal hypoglycemia","Neonate"
760,"Congenital malformations of salivary glands and ducts","Cong"
753.12,"Microphthalmos","Cong"
759.1,"Ankyloglossia","Cong"
759.2,"Macroglossia","Cong"
759,"Congenital malformations of tongue","Cong"
758.4,"Macrocephaly*","Cong"
758.5,"Hypertelorism","Cong"
758.31,"Mandibulofacial dysostosis*","Cong"
108.4,"Malignant neoplasm of the kidney","Neoplasms"
667.1,"Erythema multiforme","Derm"
667.2,"Stevens-Johnson syndrome and Toxic epidermal necrolysis","Derm"
667.3,"Erythema nodosum","Derm"
667.4,"Toxic erythema","Derm"
609,"Male infertility","Genitourinary"
604.1,"Redundant prepuce and phimosis","Genitourinary"
408,"Diseases of pulmonary vessels","Cardio"
604.3,"Peyronie's disease","Genitourinary"
603.2,"Spermatocele","Genitourinary"
609.2,"Oligospermia","Genitourinary"
168.12,"Hemorrhagic disorder due to intrinsic circulating anticoagulants","Blood"
438.11,"Abdominal aortic aneurysm","Cardio"
180.33,"Macroglobulinemia [Waldenstrom macroglobulinemia]","Blood"
424.2,"Systolic heart failure","Cardio"
416.5,"Premature depolarization [Premature beats]","Cardio"
168.22,"Disseminated intravascular coagulation [Defibrination syndrome]","Blood"
179.8,"Immunodeficiency with increased IgM","Blood"
232,"Vitamin deficiencies","Metab"
206.2,"Abnormality of secretion of gastrin","Endo"
217.2,"Precocious puberty","Endo"
142,"Lump or mass in breast or nonspecific abnormal breast exam","Neoplasms"
612,"Breast conditions, congenital or relating to hormones","Genitourinary"
613,"Other nonmalignant breast conditions","Genitourinary"
612.1,"Galactorrhea","Genitourinary"
612.2,"Hypertrophy of breast (Gynecomastia)","Genitourinary"
613.5,"Mastodynia","Genitourinary"
613.7,"Other signs and symptoms in breast","Genitourinary"
613.1,"Inflammatory disease of breast","Genitourinary"
612.3,"Breast hypoplasia","Genitourinary"
666.5,"Vibratory urticaria","Derm"
613.8,"Other specified disorders of breast","Genitourinary"
406.16,"Group 4 pulmonary hypertension*","Cardio"
426.1,"Cardiac septal defect, acquired","Cardio"
438.41,"Aortic dissection","Cardio"
448.1,"Raynaud's syndrome","Cardio"
284.21,"Suicide attempt*","Mental"
168.112,"Hereditary factor IX disorder [Hemophilia B]","Blood"
168.111,"Hereditary factor VIII deficiency [Hemophilia A]","Blood"
180.34,"Heavy chain disease*","Blood"
374.5,"Macular degeneration","Eye"
292.3,"Pain disorders related to psychological factors","Mental"
322.1,"Jakob-Creutzfeldt disease and other prion diseases","Neuro"
406.15,"Pulmonary hypertension due to lung diseases and hypoxia*","Cardio"
406.14,"Pulmonary hypertension due to left heart disease*","Cardio"
416.214,"Permanent atrial fibrillation*","Cardio"
765.4,"Anomalies of intestinal fixation","Cong"
677,"Chilblains","Derm"
671,"Sunburn","Derm"
161.21,"Autoimmune hemolytic anemias [AIHA]","Blood"
382.1,"Impaired convergence","Eye"
374.39,"Transient retinal arterial occlusion [Amaurosis fugax]","Eye"
349.12,"Abnormal electroencephalogram [EEG]","Neuro"
200.3,"Thyrotoxicosis [hyperthyroidism]","Endo"
200.24,"Ectopic thyroid nodule","Endo"
200.16,"Myxedema*","Endo"
529.1,"Diarrhea","GI"
529.2,"Abdominal distension and flatulence","GI"
801,"Cough","Signs/Symptoms"
704.12,"Mucocutaneous lymph node syndrome [Kawasaki]","Musc/Skel"
232.4,"Vitamin D deficiency","Metab"
406.13,"Secondary pulmonary arterial hypertension*","Cardio"
371.2,"Subcapsular cataract","Eye"
148.11,"Benign neoplasm of orbit","Neoplasms"
367.31,"Keratoconjunctivitis sicca","Eye"
367.3,"Keratoconjunctivitis","Eye"
367.1,"Conjunctivitis","Eye"
367.5,"Uveitis","Eye"
138,"Benign neoplasm of the skin","Neoplasms"
116.7,"Secondary malignant neoplasm of skin","Neoplasms"
103.22,"Squamous cell carcinoma of the skin","Neoplasms"
103.21,"Basal cell carcinoma","Neoplasms"
922.1,"Low weight gain in pregnancy*","Preg"
146.1,"Benign neoplasm of the penis","Neoplasms"
209.22,"Hypopituitarism NOS","Endo"
848,"Nonspecific abnormal findings of other body structures","Signs/Symptoms"
930.2,"Maternal care for benign tumor of corpus uteri","Preg"
280.41,"Sedative, hypnotic or anxiolytic-related abuse","Mental"
280.12,"Alcohol dependence","Mental"
286.21,"Major depressive disorder, recurrent","Mental"
406.12,"Kyphoscoliotic heart disease","Cardio"
940,"Malposition and malpresentation of fetus","Preg"
406.11,"Primary pulmonary hypertension","Cardio"
927,"Drugs and alcohol during pregnancy","Preg"
406.1,"Pulmonary hypertension","Cardio"
218.2,"Polyglandular dysfunction","Endo"
361.2,"Lagophthalmos","Eye"
362.2,"Hyperpigmentation of eyelid [Chloasma]","Eye"
247.2,"Disorders of zinc metabolism*","Metab"
247.1,"Disorders of copper metabolism","Metab"
968,"Adverse effects of agents primarily affecting the cardiovascular system","Rx"
444.6,"Chronic venous hypertension","Cardio"
247.85,"Vanadium deficiency*","Metab"
232.6,"Vitamin K deficiency","Metab"
287.4,"Delusional disorders","Mental"
280.4,"Sedative, hypnotic, or anxiolytic related disorders","Mental"
287.1,"Schizophrenia","Mental"
907.3,"Premature separation of placenta [abruptio placentae]","Preg"
542.4,"Portal hypertension","GI"
841.12,"Allergy to antibiotic agent (excluding penicillin)","Signs/Symptoms"
763.1,"Congenital hypertrophic pyloric stenosis","Cong"
752.1,"Arnold-Chiari syndrome*","Cong"
121,"Leukemia","Neoplasms"
906,"Cervical shortening and incompetence","Preg"
280,"Substance related disorders","Mental"
324.9,"Other chorea","Neuro"
232.21,"Thiamine deficiency [Vitamin B1]","Metab"
542.1,"Fibrosis and cirrhosis of liver","GI"
414.11,"Obstructive hypertrophic cardiomyopathy","Cardio"
329.1,"Memory loss","Neuro"
707.3,"Kaschin-Beck disease","Musc/Skel"
707.8,"Polyarthritis","Musc/Skel"
321.2,"Myelitis","Neuro"
165.23,"Delta thalassemia","Blood"
165.24,"Hemoglobin E disease","Blood"
220,"Diseases of thymus gland","Endo"
121.1,"Acute leukemia","Neoplasms"
414.4,"","Cardio"
414.3,"Alcoholic cardiomyopathy","Cardio"
347.1,"Cerebral cysts","Neuro"
346.7,"Temporal sclerosis","Neuro"
468.14,"Influenza with pneumonia","Resp"
385,"Abnormal results of function studies of eye","Eye"
390.6,"Perichondritis and chondritis of pinna","Hearing"
168.113,"Factor XI deficiency [Hemophilia C]","Blood"
210.2,"Nelson's syndrome*","Endo"
230.21,"Abnormal weight loss","Metab"
230.22,"Underweight","Metab"
214.1,"Primary ovarian failure","Endo"
211.21,"Primary adrenocortical insufficiency","Endo"
211.22,"Drug-induced adrenocortical insufficiency*","Endo"
211.111,"Bartter's syndrome","Endo"
209.11,"Tall stature, acromegaly and gigantism","Endo"
209.23,"Iatrogenic hypopituitarism*","Endo"
200.31,"Graves' disease [Toxic diffuse goiter]","Endo"
142.2,"Abnormal mammogram","Neoplasms"
139.62,"Lymphangioma","Neoplasms"
139.6,"Hemangioma and lymphangioma","Neoplasms"
139.61,"Hemangioma","Neoplasms"
139.52,"Lipoma of intrathoracic organs","Neoplasms"
170.1,"Neutropenia","Blood"
217,"Disorders of puberty","Endo"
256.32,"Alkalosis","Metab"
381.11,"Ophthalmoplegia","Eye"
324.21,"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]*","Neuro"
"056.1","Plantar wart","ID"
556.8,"Nonspecific abnormal findings in stool contents","GI"
684.12,"Telogen effluvium","Derm"
706.3,"Spinal enthesopathy","Musc/Skel"
528.1,"Nausea","GI"
731.1,"Loss of height","Musc/Skel"
751.4,"Hypoplasia and dysplasia of spinal cord","Cong"
907.2,"Low lying placenta*","Preg"
822.81,"Elevated carcinoembryonic antigen [CEA]","Signs/Symptoms"
822.82,"Elevated cancer antigen 125 [CA 125]","Signs/Symptoms"
810.1,"Cardiogenic shock","Signs/Symptoms"
546.1,"Hepatic necrosis","GI"
444.15,"Scrotal varices [Varicocele]","Cardio"
885.21,"Very preterm, 29-30 weeks","Neonate"
879,"Newborn affected by noxious substances transmitted via placenta or breast milk","Neonate"
719.61,"Sarcopenia*","Musc/Skel"
720,"Spontaneous rupture of synovium and tendon","Musc/Skel"
700.9,"Other diffuse diseases of connective tissue","Musc/Skel"
449,"Other disorders of the circulatory system","Cardio"
444.5,"Venous insufficiency (chronic) (peripheral)","Cardio"
784.2,"Metatarsus varus, congenital","Cong"
"B238","Body mass index [BMI], pediatric","Stat"
"092.21","Septic shock","ID"
324.3,"Dystonia","Neuro"
239.2,"Hyperglyceridemia","Metab"
"070.4","Disseminated candidiasis","ID"
210.1,"Drug-induced Cushing's syndrome*","Endo"
"072","Histoplasmosis","ID"
211.31,"Congenital adrenogenital disorders associated with enzyme deficiency*","Endo"
209.12,"Syndrome of inappropriate secretion of antidiuretic hormone","Endo"
"084.8","Cryptosporidiosis","ID"
102.53,"Malignant neoplasm of the of pleura","Neoplasms"
132,"Sequelae of cancer","Neoplasms"
124,"Myeloproliferative disorder","Neoplasms"
102.3,"Malignant neoplasm of the trachea","Neoplasms"
202.32,"Drug or chemical induced diabetes mellitus*","Endo"
202.31,"Diabetes mellitus due to underlying condition*","Endo"
120.2,"Lymphoid","Neoplasms"
120.3,"Histocytoces","Neoplasms"
148.1,"Benign neoplasm of eye","Neoplasms"
236.2,"Localized adiposity","Metab"
228,"Abnormal results of endocrine function studies (excluding thyroid)","Endo"
214.2,"Ovarian hyperfunction","Endo"
215.2,"Testicular hyperfunction","Endo"
"B239.5","Body mass index [BMI] 40+, adult","Stat"
"B239.4","Body mass index [BMI] 31-39, adult","Stat"
"B239.2","Body mass index [BMI] 20-24, adult","Stat"
124.3,"Polycythemia vera","Neoplasms"
181,"Autoimmune disease","Blood"
179.3,"Combined immunity deficiency","Blood"
246,"Disorders of mitochondrial metabolism","Metab"
244.4,"Lipodystrophy, not elsewhere classified","Metab"
122.23,"Burkitt lymphoma","Neoplasms"
114.12,"Merkel cell carcinoma","Neoplasms"
114.41,"Intestinal carcinoid","Neoplasms"
114.42,"Carcinoid tumor of the bronchus and lung","Neoplasms"
114.43,"Carcinoid tumor of the thymus","Neoplasms"
329.8,"Altered mental status, unspecified","Neuro"
752,"Other congenital anomalies of nervous system","Cong"
280.3,"Cannabis related disorders","Mental"
256.1,"Hyperosmolality and/or hypernatremia","Metab"
232.26,"Pyridoxine deficiency [Vitamin B6]","Metab"
292.1,"Somatization disorder","Mental"
292.2,"Hypochondriacal disorders","Mental"
291,"Dissociative, conversion and factitious disorders","Mental"
292,"Somatoform disorders","Mental"
288.42,"Social phobia","Mental"
288.5,"Drug induced anxiety disorder*","Mental"
288.41,"Agoraphobia","Mental"
288,"Anxiety disorders","Mental"
488.9,"Snoring*","Resp"
324.61,"Drug induced tics*","Neuro"
324.42,"Drug-induced tremor*","Neuro"
324.41,"Essential tremor*","Neuro"
324.36,"Blepharospasm","Neuro"
324.34,"Torticollis","Neuro"
320.1,"Infective meningitis","Neuro"
320.2,"Meningitis due to other non-infectious causes","Neuro"
320.3,"Meningitis NOS","Neuro"
321.21,"Acute (transverse) myelitis","Neuro"
321.1,"Encephalitis","Neuro"
321.11,"Bacterial encephalitis","Neuro"
321.12,"Viral encephalitis","Neuro"
321.13,"Toxoplasmosis meningoencephalitis","Neuro"
322.2,"Progressive multifocal leukoencephalopathy","Neuro"
322.4,"Intracranial and intraspinal abscess","Neuro"
349.15,"Intracranial space-occupying lesion found on diagnostic imaging of central nervous system*","Neuro"
349.1,"Abnormal findings on diagnostic test of central nervous system","Neuro"
349.11,"Abnormal echoencephalogram","Neuro"
329.2,"Neurologic neglect syndrome","Neuro"
328.9,"","Neuro"
329,"Symptoms and signs involving cognitive functions and awareness","Neuro"
328.7,"Vascular dementia","Neuro"
329.4,"Other specified cognitive deficit","Neuro"
532.1,"Intestinal fistula","GI"
404.22,"Coronary Restenosis*","Cardio"
416.212,"Persistent atrial fibrillation*","Cardio"
324.11,"Parkinson's disease (Primary)","Neuro"
324.31,"Drug induced dystonia","Neuro"
324.32,"Genetic torsion dystonia","Neuro"
324.33,"Idiopathic nonfamilial dystonia*","Neuro"
114.1,"Malignant neuroendocrine tumors","Neoplasms"
114.3,"Secondary neuroendocrine tumors","Neoplasms"
468.52,"Histoplasma capsulatum pneumonia","Resp"
468.51,"Pulmonary aspergillosis","Resp"
331.1,"Tension headache","Neuro"
331.2,"Post-traumatic headache","Neuro"
331.3,"Headache syndromes, non migraine","Neuro"
331.31,"Persistent headache syndromes, non migraine","Neuro"
532.2,"Intestinal perforation","GI"
532.3,"Intussusception","GI"
436.5,"Cerebral atherosclerosis","Cardio"
333.41,"Circadian rhythm sleep disorder, delayed sleep phase type","Neuro"
333.42,"Circadian rhythm sleep disorder, advanced sleep phase type","Neuro"
333.3,"Hypersomnia","Neuro"
"005.21","Disseminated mycobacterium avium-intracellulare complex (DMAC)","ID"
614.55,"Candidiasis of vulva and vagina","Genitourinary"
404.1,"Myocardial infarction [Heart attack]","Cardio"
"052.32","Herpes zoster","ID"
"052.31","Varicella [chickenpox]","ID"
"004.4","Scarlet fever","ID"
382.2,"Palsy of conjugate gaze","Eye"
753,"Congenital anomalies of eye","Cong"
330.13,"Epileptic spasms","Neuro"
330.14,"Lennox-Gastaut syndrome*","Neuro"
330.31,"Febrile convulsions","Neuro"
"084.31","Visceral leishmaniasis","ID"
375.113,"Primary open angle glaucoma","Eye"
663.12,"Pemphigus foliaceous*","Derm"
532.4,"Volvulus","GI"
904.1,"Hemorrhage in early pregnancy","Preg"
904.2,"Spotting complicating pregnancy","Preg"
349.3,"Nonspecific abnormal electromyogram [EMG]","Neuro"
333.71,"Narcolepsy with cataplexy","Neuro"
165.14,"Sickle-cell thalassemia","Blood"
165.25,"Thalassemia minor","Blood"
165.22,"Beta thalassemia","Blood"
165.21,"Alpha thalassemia","Blood"
101.21,"Malignant neoplasm of cardia","Neoplasms"
404.2,"Coronary atherosclerosis [Atherosclerotic heart disease]","Cardio"
106.21,"Malignant neoplasm of endometrium","Neoplasms"
336.1,"Carpal tunnel syndrome","Neuro"
336.2,"Lesion of median, ulnar, radial nerve","Neuro"
336.4,"Mononeuritis of upper limb","Neuro"
336.5,"Mononeuritis of lower limb","Neuro"
336.51,"Lesion of sciatic nerve","Neuro"
336.52,"Meralgia paresthetica","Neuro"
336.53,"Other lesion of femoral, lateral popliteal, or medial popliteal nerve","Neuro"
336.54,"Tarsal tunnel syndrome","Neuro"
336.55,"Lesion of plantar nerve","Neuro"
334.11,"Trigeminal neuralgia","Neuro"
334.12,"Atypical face pain","Neuro"
334.21,"Bell's palsy","Neuro"
334.22,"Geniculate ganglionitis","Neuro"
334.3,"Disorders of olfactory [1st] nerve","Neuro"
334.5,"Other disorders of glossopharyngeal [9th] nerve","Neuro"
334.6,"Disorders of pneumogastric [10th] nerve","Neuro"
401.7,"Hypertensive crisis*","Cardio"
334.8,"Disorders of hypoglossal [12th] nerve","Neuro"
334.9,"Multiple cranial nerve palsies","Neuro"
335.3,"Neuralgic amyotrophy","Neuro"
335.4,"Phantom limb (syndrome)","Neuro"
345.1,"Toxic encephalopathy","Neuro"
400.2,"Chronic rheumatic heart diseases","Cardio"
345.5,"Posterior reversible encephalopathy syndrome*","Neuro"
400.1,"Acute rheumatic fever","Cardio"
400,"Rheumatic fever and chronic rheumatic heart diseases","Cardio"
337.1,"Hereditary and idiopathic neuropathy","Neuro"
346.2,"Pseudobulbar affect","Neuro"
346.3,"Anoxic brain damage","Neuro"
347.21,"Dural tear","Neuro"
308.8,"Homicidal ideations","Mental"
391.4,"Tympanosclerosis","Hearing"
377.8,"Hyphema","Eye"
334.44,"Sixth [abducent] nerve palsy","Neuro"
380.22,"Optic disc drusen","Eye"
380.21,"Papilledema","Eye"
380.12,"Ischemic optic neuropathy","Eye"
894.1,"Dyslexia and alexia","Dev"
398.1,"Abnormal auditory function study","Hearing"
394.4,"Abnormal vestibular function study","Hearing"
397.3,"Hyperacusis","Hearing"
391.7,"Perforation of tympanic membrane","Hearing"
391.13,"Myringitis","Hearing"
391.8,"Otosclerosis","Hearing"
389,"Other disorders of eye","Eye"
389.1,"Ocular pain","Eye"
381.82,"Exophoria","Eye"
381.83,"Cyclophoria","Eye"
381.8,"Heterophoria","Eye"
381.81,"Esophoria","Eye"
381.5,"Vertical strabismus","Eye"
381.6,"Duane's syndrome [Duane anomaly]","Eye"
373.5,"Choroidal detachment","Eye"
369.11,"Peripheral opacity of cornea","Eye"
369.12,"Central opacity of cornea","Eye"
369.42,"Recurrent erosion of cornea","Eye"
369.43,"Band keratopathy","Eye"
369.6,"Corneal deformities","Eye"
369.61,"Corneal ectasia","Eye"
375.13,"Capsular glaucoma with pseudoexfoliation of lens","Eye"
375.6,"Ocular hypertension","Eye"
384.1,"Anisocoria","Eye"
384.2,"Miosis","Eye"
384,"Anomalies of pupillary function","Eye"
383.2,"Saccadic eye movements","Eye"
383.1,"Nystagmus","Eye"
386.9,"Visual distortions and subjective visual disturbances","Eye"
386.3,"Visual discomfort","Eye"
356.4,"Slurred speech*","Neuro"
386.8,"Sudden or transient visual loss","Eye"
386.41,"Scotoma","Eye"
386.42,"Hemianopia","Eye"
386.43,"Constriction of visual field","Eye"
386.6,"Night blindness","Eye"
379.21,"Infection of the eye, herpes","Eye"
379.3,"Eye infection, toxoplasmosis","Eye"
367.51,"Panuveitis","Eye"
367.11,"Follicular conjunctivitis","Eye"
367.4,"Inflammation of orbit","Eye"
367.2,"Keratitis","Eye"
360.51,"Eczematous dermatitis of eyelid","Eye"
360.52,"Xeroderma of eyelid","Eye"
360.54,"Discoid lupus erythematosus of eyelid","Eye"
366.1,"Pterygium of eye","Eye"
366.2,"Conjunctival degenerations and deposits","Eye"
366.3,"Conjunctival scars","Eye"
366.4,"Vascular abnormalities of conjunctiva","Eye"
366.5,"Conjunctival edema","Eye"
366.6,"Conjunctival cysts","Eye"
362.1,"Xanthelasma of eyelid","Eye"
361.5,"Eyelid retraction","Eye"
362.3,"Hypertrichosis of eyelid","Eye"
363.3,"Lacrimal cysts","Eye"
365.1,"Enophthalmos","Eye"
365,"Noninflammatory disorders of the orbit","Eye"
380.2,"Disorders of optic disc","Eye"
387.6,"Aniseikonia","Eye"
387.5,"Anisometropia","Eye"
387.31,"Irregular astigmatism","Eye"
387.3,"Astigmatism","Eye"
370,"Disorders of iris and ciliary body","Eye"
356.2,"Aphasia and dysphasia","Neuro"
356.1,"Dysarthria","Neuro"
390.5,"Stenosis of external ear canal","Hearing"
391.12,"Chronic otitis media","Hearing"
391.21,"Eustachian salpingitis","Hearing"
391.22,"Obstruction of Eustachian tube","Hearing"
391.23,"Patulous Eustachian tube","Hearing"
356,"Speech disturbance","Neuro"
396.5,"Sudden idiopathic hearing loss","Hearing"
396.21,"Sensorineural hearing loss, bilateral","Hearing"
396.11,"Conductive hearing loss, bilateral","Hearing"
396.22,"Presbycusis","Hearing"
396.4,"Ototoxic hearing loss*","Hearing"
394.21,"Paroxysmal vertigo","Hearing"
395.1,"Labyrinthitis","Hearing"
394.2,"Vertigo","Hearing"
355.21,"Transient alteration of awareness","Neuro"
355.3,"Persistent vegetative state","Neuro"
355.2,"Alteration of consciousness","Neuro"
355.1,"Coma","Neuro"
401.4,"Hypertensive encephalopathy","Cardio"
355,"Coma and other alteration of consciousness","Neuro"
542.6,"Hepatopulmonary syndrome","GI"
542.5,"Hepatorenal syndrome","GI"
354,"Dizziness and giddiness","Neuro"
414.9,"Takotsubo syndrome [Stress cardiomyopathy]","Cardio"
540.11,"Autoimmune hepatitis","GI"
433.3,"Cerebrovascular insufficiency","Cardio"
353.12,"Visual hallucinations","Neuro"
438.12,"Thoracic aneurysm","Cardio"
438.13,"Thoracoabdominal aortic aneurysm","Cardio"
353.11,"Auditory hallucinations*","Neuro"
438.6,"Cerebral aneurysm","Cardio"
524.1,"Irritable bowel syndrome","GI"
447,"Nonspecific low blood-pressure reading","Cardio"
452,"Hemorrhage, NOS","Cardio"
798.5,"Hereditary hemorrhagic telangiectasia","Cong"
352.1,"Anosmia*","Neuro"
177.3,"Lymphangitis","Blood"
352.2,"Parosmia*","Neuro"
352.3,"Parageusia*","Neuro"
443,"Other disorders of arteries and arterioles","Cardio"
440.21,"Embolism of cerebral or precerebral arteries","Cardio"
440.22,"Thrombosis of cerebral or precerebral arteries","Cardio"
444.12,"Gastric varices*","Cardio"
467.4,"Acute epiglottitis","Resp"
467.1,"Acute laryngitis and tracheitis","Resp"
469,"Bronchitis","Resp"
473.1,"Upper respiratory tract hypersensitivity reaction","Resp"
284.23,"Self-harm by asphyxiation","Mental"
475.6,"Cough variant asthma","Resp"
475.5,"Exercise induced bronchospasm","Resp"
463.4,"Nasal congestion*","Resp"
477.1,"Pneumoconiosis","Resp"
299,"Mental disorder, not otherwise specified","Mental"
478,"Aspiration pneumonia","Resp"
480.1,"Acute pulmonary edema","Resp"
480.2,"Chronic pulmonary edema","Resp"
482.1,"Abscess of lung and mediastinum","Resp"
482.12,"Abscess of mediastinum","Resp"
482.11,"Abscess of lung","Resp"
481.7,"Idiopathic pulmonary hemosiderosis","Resp"
296.7,"Dependent personality disorder","Mental"
481.41,"Idiopathic interstitial pneumonia","Resp"
481.42,"Idiopathic pulmonary fibrosis","Resp"
481.43,"Interstitial pneumonitis","Resp"
481.3,"Pulmonary alveolar microlithiasis","Resp"
"T850.1","Concussion with no loss of consciousness","Trauma"
481.45,"Cryptogenic organizing pneumonia","Resp"
481.46,"Desquamative interstitial pneumonia","Resp"
481.44,"Respiratory bronchiolitis interstitial lung disease [RBILD]","Resp"
484.1,"Spontaneous pneumothorax","Resp"
484.2,"Chronic pneumothorax","Resp"
484.3,"Iatrogenic pneumothorax","Resp"
497,"Respiratory arrest","Resp"
294,"Sexual dysfunction and disorders","Mental"
491,"Pleurisy","Resp"
293.1,"Anorexia nervosa","Mental"
286.3,"Premenstrual dysphoric disorder","Mental"
234.1,"Essential fatty acid [EFA] deficiency*","Metab"
286.2,"Major depressive disorder","Mental"
286.1,"Bipolar disorder","Mental"
750.61,"Malformations of aqueduct of Sylvius*","Cong"
353,"Symptoms and signs involving general sensations and perceptions","Neuro"
522,"Gastrointestinal inflammation","GI"
733.4,"Dentofacial functional abnormalities","Musc/Skel"
351.4,"Hyperesthesia*","Neuro"
121.11,"Acute lymphoid leukemia","Neoplasms"
287.3,"Schizotypal personality disorder","Mental"
234,"Other nutritional deficiencies","Metab"
506,"Diseases of salivary glands","GI"
506.1,"Atrophy of salivary gland","GI"
