ICD10_code	ICD10_label	ICD10_simpleLabel	hpo_code	hpo_label	SORTA_score	phecode1.2_codeList	phecodeX_codeList
H25.043	Posterior subcapsular polar age-related cataract, bilateral	posterior subcapsular polar age-related cataract bilateral	HP_0011144	Age-related posterior subcapsular cataract	85.11	['366', '366.2']	['371', '371.2', '371.22']
H25.049	Posterior subcapsular polar age-related cataract, unspecified eye	posterior subcapsular polar age-related cataracteye	HP_0011144	Age-related posterior subcapsular cataract	88.64	['366', '366.2']	['371', '371.2', '371.22']
H25.09	Other age-related incipient cataract	other age-related incipient cataract	HP_0011141	Age-related cataract	83.72	['366', '366.2']	['371']
H25.1	Age-related nuclear cataract	age-related nuclear cataract	HP_0011142	Age-related nuclear cataract	100.0	['366', '366.2']	['371', '371.3', '371.31']
H25.10	Age-related nuclear cataract, unspecified eye	age-related nuclear cataracteye	HP_0011142	Age-related nuclear cataract	92.59	['366', '366.2']	['371', '371.3', '371.31']
H25.11	Age-related nuclear cataract, right eye	age-related nuclear cataract right eye	HP_0011142	Age-related nuclear cataract	85.25	['366', '366.2']	['371', '371.3', '371.31']
H25.12	Age-related nuclear cataract, left eye	age-related nuclear cataract left eye	HP_0011142	Age-related nuclear cataract	86.67	['366', '366.2']	['371', '371.3', '371.31']
H25.13	Age-related nuclear cataract, bilateral	age-related nuclear cataract bilateral	HP_0011142	Age-related nuclear cataract	86.67	['366', '366.2']	['371', '371.3', '371.31']
H25.8	Other age-related cataract	other age-related cataract	HP_0011141	Age-related cataract	100.0	['366', '366.2']	['371']
H25.89	Other age-related cataract	other age-related cataract	HP_0011141	Age-related cataract	100.0	['366', '366.2']	['371']
H25.9	Unspecified age-related cataract	age-related cataract	HP_0011141	Age-related cataract	100.0	['366', '366.2']	['371']
H26	Other cataract	other cataract	HP_0000518	Cataract	100.0	['366']	['371']
H26.9	Unspecified cataract	cataract	HP_0000518	Cataract	100.0	['366']	['371']
H27.1	Dislocation of lens	dislocation of lens	HP_0001083	Ectopia lentis	100.0	['379', '379.3']	['372', '372.2']
H27.10	Unspecified dislocation of lens	dislocation of lens	HP_0001083	Ectopia lentis	100.0	['379', '379.3']	['372', '372.2']
H27.11	Subluxation of lens	subluxation of lens	HP_0001132	Lens subluxation	100.0	['379', '379.3']	['372', '372.2']
H27.119	Subluxation of lens, unspecified eye	subluxation of lenseye	HP_0001132	Lens subluxation	80.0	['379', '379.3']	['372', '372.2']
H31.0	Chorioretinal scars	chorioretinal scars	HP_0007777	Chorioretinal scar	100.0	['363', '363.3']	['373', '373.1']
H31.00	Unspecified chorioretinal scars	chorioretinal scars	HP_0007777	Chorioretinal scar	100.0	['363', '363.3']	['373', '373.1']
H31.002	Unspecified chorioretinal scars, left eye	chorioretinal scars left eye	HP_0007777	Chorioretinal scar	80.95	['363', '363.3']	['373', '373.1']
H31.003	Unspecified chorioretinal scars, bilateral	chorioretinal scars bilateral	HP_0007777	Chorioretinal scar	80.95	['363', '363.3']	['373', '373.1']
H31.009	Unspecified chorioretinal scars, unspecified eye	chorioretinal scarseye	HP_0007777	Chorioretinal scar	86.49	['363', '363.3']	['373', '373.1']
H31.02	Solar retinopathy	solar retinopathy	HP_0000488	Retinopathy	80.0	['363', '363.3']	['373', '373.1', '373.11']
H31.09	Other chorioretinal scars	other chorioretinal scars	HP_0007777	Chorioretinal scar	100.0	['363', '363.3']	['373', '373.1']
H31.092	Other chorioretinal scars, left eye	other chorioretinal scars left eye	HP_0007777	Chorioretinal scar	80.95	['363', '363.3']	['373', '373.1']
H31.093	Other chorioretinal scars, bilateral	other chorioretinal scars bilateral	HP_0007777	Chorioretinal scar	80.95	['363', '363.3']	['373', '373.1']
H31.099	Other chorioretinal scars, unspecified eye	other chorioretinal scarseye	HP_0007777	Chorioretinal scar	86.49	['363', '363.3']	['373', '373.1']
H31.1	Choroidal degeneration	choroidal degeneration	HP_0007945	obsolete Choroidal degeneration	80.0	['363', '363.4']	['373', '373.2']
H31.10	Unspecified choroidal degeneration	choroidal degeneration	HP_0007945	obsolete Choroidal degeneration	80.0	['363', '363.4']	['373', '373.2']
H31.21	Choroideremia	choroideremia	HP_0001139	Choroideremia	100.0	['363', '363.4']	['373', '373.3', '373.31']
H31.3	Choroidal hemorrhage and rupture	choroidal hemorrhage and rupture	HP_0011887	Choroid hemorrhage	83.72	['363']	['377', '377.3']
H31.30	Unspecified choroidal hemorrhage	choroidal hemorrhage	HP_0011887	Choroid hemorrhage	100.0	['363']	['377', '377.3']
H31.301	Unspecified choroidal hemorrhage, right eye	choroidal hemorrhage right eye	HP_0011887	Choroid hemorrhage	80.0	['363']	['377', '377.3']
H31.302	Unspecified choroidal hemorrhage, left eye	choroidal hemorrhage left eye	HP_0011887	Choroid hemorrhage	81.82	['363']	['377', '377.3']
H31.303	Unspecified choroidal hemorrhage, bilateral	choroidal hemorrhage bilateral	HP_0011887	Choroid hemorrhage	81.82	['363']	['377', '377.3']
H31.309	Unspecified choroidal hemorrhage, unspecified eye	choroidal hemorrhageeye	HP_0011887	Choroid hemorrhage	87.18	['363']	['377', '377.3']
H31.31	Expulsive choroidal hemorrhage	expulsive choroidal hemorrhage	HP_0011887	Choroid hemorrhage	83.72	['363']	['377', '377.3']
H31.41	Hemorrhagic choroidal detachment	hemorrhagic choroidal detachment	HP_0011887	Choroid hemorrhage	83.72	['363']	['377', '377.3']
H33	Retinal detachments and breaks	retinal detachments and breaks	HP_0000541	Retinal detachment	81.25		['374']
H33.05	Total retinal detachment	total retinal detachment	HP_0000541	Retinal detachment	81.25	['361', '361.1']	['374', '374.1']
H33.10	Unspecified retinoschisis	retinoschisis	HP_0030502	Retinoschisis	100.0	['361', '361.2']	['374', '374.2', '374.21']
H33.109	Unspecified retinoschisis, unspecified eye	retinoschisiseye	HP_0030502	Retinoschisis	82.76	['361', '361.2']	['374', '374.2', '374.21']
H33.2	Serous retinal detachment	serous retinal detachment	HP_0012231	Exudative retinal detachment	100.0	['361', '362', '362.3', '362.31']	['374', '374.1', '374.11']
H33.20	Serous retinal detachment, unspecified eye	serous retinal detachmenteye	HP_0012231	Exudative retinal detachment	81.82	['361']	['374', '374.1', '374.11']
H33.21	Serous retinal detachment, right eye	serous retinal detachment right eye	HP_0012231	Exudative retinal detachment	80.85	['361']	['374', '374.1', '374.11']
H33.22	Serous retinal detachment, left eye	serous retinal detachment left eye	HP_0012231	Exudative retinal detachment	82.61	['361']	['374', '374.1', '374.11']
H33.23	Serous retinal detachment, bilateral	serous retinal detachment bilateral	HP_0012231	Exudative retinal detachment	82.61	['361']	['374', '374.1', '374.11']
H33.4	Traction detachment of retina	traction detachment of retina	HP_0007917	Tractional retinal detachment	93.33	['361']	['374', '374.1', '374.12']
H33.40	Traction detachment of retina, unspecified eye	traction detachment of retinaeye	HP_0007917	Tractional retinal detachment	89.36	['361']	['374', '374.1', '374.12']
H33.8	Other retinal detachments	other retinal detachments	HP_0000541	Retinal detachment	100.0	['361']	['374', '374.1']
H34.0	Transient retinal artery occlusion	transient retinal artery occlusion	HP_0025342	Central retinal artery occlusion	82.76	['362', '362.4']	['374', '374.3', '374.37']
H34.1	Central retinal artery occlusion	central retinal artery occlusion	HP_0025342	Central retinal artery occlusion	100.0	['362', '362.4']	['374', '374.3', '374.37']
H34.10	Central retinal artery occlusion, unspecified eye	central retinal artery occlusioneye	HP_0025342	Central retinal artery occlusion	88.52	['362', '362.4']	['374', '374.3', '374.37']
H34.11	Central retinal artery occlusion, right eye	central retinal artery occlusion right eye	HP_0025342	Central retinal artery occlusion	86.15	['362', '362.4']	['374', '374.3', '374.37']
H34.12	Central retinal artery occlusion, left eye	central retinal artery occlusion left eye	HP_0025342	Central retinal artery occlusion	87.5	['362', '362.4']	['374', '374.3', '374.37']
H34.13	Central retinal artery occlusion, bilateral	central retinal artery occlusion bilateral	HP_0025342	Central retinal artery occlusion	87.5	['362', '362.4']	['374', '374.3', '374.37']
H34.2	Other retinal artery occlusions	other retinal artery occlusions	HP_0025326	Retinal arterial occlusion	100.0	['362', '362.4']	['374', '374.3', '374.37']
H34.21	Partial retinal artery occlusion	partial retinal artery occlusion	HP_0025326	Retinal arterial occlusion	83.33	['362', '362.4']	['374', '374.3', '374.37']
H34.23	Retinal artery branch occlusion	retinal artery branch occlusion	HP_0020161	Branch retinal artery occlusion	100.0	['362', '362.4']	['374', '374.3', '374.37']
H34.231	Retinal artery branch occlusion, right eye	retinal artery branch occlusion right eye	HP_0020161	Branch retinal artery occlusion	85.71	['362', '362.4']	['374', '374.3', '374.37']
H34.232	Retinal artery branch occlusion, left eye	retinal artery branch occlusion left eye	HP_0020161	Branch retinal artery occlusion	87.1	['362', '362.4']	['374', '374.3', '374.37']
H34.233	Retinal artery branch occlusion, bilateral	retinal artery branch occlusion bilateral	HP_0020161	Branch retinal artery occlusion	87.1	['362', '362.4']	['374', '374.3', '374.37']
H34.239	Retinal artery branch occlusion, unspecified eye	retinal artery branch occlusioneye	HP_0020161	Branch retinal artery occlusion	88.14	['362', '362.4']	['374', '374.3', '374.37']
H34.81	Central retinal vein occlusion	central retinal vein occlusion	HP_0020166	Central retinal vein occlusion	100.0	['362', '362.4']	['374', '374.3', '374.38']
H34.811	Central retinal vein occlusion, right eye	central retinal vein occlusion right eye	HP_0020166	Central retinal vein occlusion	85.25	['362', '362.4']	['374', '374.3', '374.38']
H34.812	Central retinal vein occlusion, left eye	central retinal vein occlusion left eye	HP_0020166	Central retinal vein occlusion	86.67	['362', '362.4']	['374', '374.3', '374.38']
H34.813	Central retinal vein occlusion, bilateral	central retinal vein occlusion bilateral	HP_0020166	Central retinal vein occlusion	86.67	['362', '362.4']	['374', '374.3', '374.38']
H34.819	Central retinal vein occlusion, unspecified eye	central retinal vein occlusioneye	HP_0020166	Central retinal vein occlusion	87.72	['362', '362.4']	['374', '374.3', '374.38']
H34.83	Tributary (branch) retinal vein occlusion	tributary branch retinal vein occlusion	HP_0020165	Branch retinal vein occlusion	83.33	['362', '362.4']	['374', '374.3', '374.38']
H35.02	Exudative retinopathy	exudative retinopathy	HP_0007898	Exudative retinopathy	100.0	['362', '362.3']	['374', '374.3', '374.31']
H35.022	Exudative retinopathy, left eye	exudative retinopathy left eye	HP_0007898	Exudative retinopathy	80.95	['362', '362.3']	['374', '374.3', '374.31']
H35.023	Exudative retinopathy, bilateral	exudative retinopathy bilateral	HP_0007898	Exudative retinopathy	80.95	['362', '362.3']	['374', '374.3', '374.31']
H35.029	Exudative retinopathy, unspecified eye	exudative retinopathyeye	HP_0007898	Exudative retinopathy	83.33	['362', '362.3']	['374', '374.3', '374.31']
H35.03	Hypertensive retinopathy	hypertensive retinopathy	HP_0001095	Hypertensive retinopathy	100.0	['362', '362.3']	['374', '374.4', '374.41']
H35.031	Hypertensive retinopathy, right eye	hypertensive retinopathy right eye	HP_0001095	Hypertensive retinopathy	83.02	['362', '362.3']	['374', '374.4', '374.41']
H35.032	Hypertensive retinopathy, left eye	hypertensive retinopathy left eye	HP_0001095	Hypertensive retinopathy	84.62	['362', '362.3']	['374', '374.4', '374.41']
H35.033	Hypertensive retinopathy, bilateral	hypertensive retinopathy bilateral	HP_0001095	Hypertensive retinopathy	84.62	['362', '362.3']	['374', '374.4', '374.41']
H35.039	Hypertensive retinopathy, unspecified eye	hypertensive retinopathyeye	HP_0001095	Hypertensive retinopathy	86.96	['362', '362.3']	['374', '374.4', '374.41']
H35.04	Retinal micro-aneurysms, unspecified	retinal micro-aneurysms	HP_0032416	Retinal microaneurysm	92.68	['362', '362.4']	['374', '374.3', '374.32']
H35.05	Retinal neovascularization, unspecified	retinal neovascularization	HP_0030666	Retinal neovascularization	100.0	['362', '362.4']	['374', '374.3', '374.33']
H35.06	Retinal vasculitis	retinal vasculitis	HP_0025188	Retinal vasculitis	100.0	['362', '362.4']	['374', '374.3', '374.34']
H35.07	Retinal telangiectasis	retinal telangiectasis	HP_0007763	Retinal telangiectasia	92.68	['362', '362.3']	['374', '374.3', '374.35']
H35.079	Retinal telangiectasis, unspecified eye	retinal telangiectasiseye	HP_0007763	Retinal telangiectasia	86.36	['362', '362.4']	['374', '374.3', '374.35']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	HP_0500049	Retinopathy of prematurity	100.0	['362', '362.1']	['873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	HP_0500049	Retinopathy of prematurity	100.0	['362', '362.1']	['873']
H35.103	Retinopathy of prematurity, unspecified, bilateral	retinopathy of prematuritybilateral	HP_0500049	Retinopathy of prematurity	80.77	['362', '362.1']	['873']
H35.11	Retinopathy of prematurity, stage 0	retinopathy of prematurity stage 0	HP_0500053	Retinopathy of prematurity stage 4	93.1	['362', '362.1']	['873']
H35.111	Retinopathy of prematurity, stage 0, right eye	retinopathy of prematurity stage 0 right eye	HP_0500053	Retinopathy of prematurity stage 4	80.6	['362', '362.1']	['873']
H35.112	Retinopathy of prematurity, stage 0, left eye	retinopathy of prematurity stage 0 left eye	HP_0500053	Retinopathy of prematurity stage 4	81.82	['362', '362.1']	['873']
H35.113	Retinopathy of prematurity, stage 0, bilateral	retinopathy of prematurity stage 0 bilateral	HP_0500053	Retinopathy of prematurity stage 4	81.82	['362', '362.1']	['873']
H35.119	Retinopathy of prematurity, stage 0, unspecified eye	retinopathy of prematurity stage 0eye	HP_0500053	Retinopathy of prematurity stage 4	90.0	['362', '362.1']	['873']
H35.12	Retinopathy of prematurity, stage 1	retinopathy of prematurity stage 1	HP_0500050	Retinopathy of prematurity stage 1	100.0	['362', '362.1']	['873']
H35.121	Retinopathy of prematurity, stage 1, right eye	retinopathy of prematurity stage 1 right eye	HP_0500050	Retinopathy of prematurity stage 1	86.57	['362', '362.1']	['873']
H35.122	Retinopathy of prematurity, stage 1, left eye	retinopathy of prematurity stage 1 left eye	HP_0500050	Retinopathy of prematurity stage 1	87.88	['362', '362.1']	['873']
H35.123	Retinopathy of prematurity, stage 1, bilateral	retinopathy of prematurity stage 1 bilateral	HP_0500050	Retinopathy of prematurity stage 1	87.88	['362', '362.1']	['873']
H35.129	Retinopathy of prematurity, stage 1, unspecified eye	retinopathy of prematurity stage 1eye	HP_0500050	Retinopathy of prematurity stage 1	93.33	['362', '362.1']	['873']
H35.13	Retinopathy of prematurity, stage 2	retinopathy of prematurity stage 2	HP_0500051	Retinopathy of prematurity stage 2	100.0	['362', '362.1']	['873']
H35.131	Retinopathy of prematurity, stage 2, right eye	retinopathy of prematurity stage 2 right eye	HP_0500051	Retinopathy of prematurity stage 2	86.57	['362', '362.1']	['873']
H35.132	Retinopathy of prematurity, stage 2, left eye	retinopathy of prematurity stage 2 left eye	HP_0500051	Retinopathy of prematurity stage 2	87.88	['362', '362.1']	['873']
H35.133	Retinopathy of prematurity, stage 2, bilateral	retinopathy of prematurity stage 2 bilateral	HP_0500051	Retinopathy of prematurity stage 2	87.88	['362', '362.1']	['873']
H35.139	Retinopathy of prematurity, stage 2, unspecified eye	retinopathy of prematurity stage 2eye	HP_0500051	Retinopathy of prematurity stage 2	93.33	['362', '362.1']	['873']
H35.14	Retinopathy of prematurity, stage 3	retinopathy of prematurity stage 3	HP_0500052	Retinopathy of prematurity stage 3	100.0	['362', '362.1']	['873']
H35.141	Retinopathy of prematurity, stage 3, right eye	retinopathy of prematurity stage 3 right eye	HP_0500052	Retinopathy of prematurity stage 3	86.57	['362', '362.1']	['873']
H35.142	Retinopathy of prematurity, stage 3, left eye	retinopathy of prematurity stage 3 left eye	HP_0500052	Retinopathy of prematurity stage 3	87.88	['362', '362.1']	['873']
H35.143	Retinopathy of prematurity, stage 3, bilateral	retinopathy of prematurity stage 3 bilateral	HP_0500052	Retinopathy of prematurity stage 3	87.88	['362', '362.1']	['873']
H35.149	Retinopathy of prematurity, stage 3, unspecified eye	retinopathy of prematurity stage 3eye	HP_0500052	Retinopathy of prematurity stage 3	93.33	['362', '362.1']	['873']
H35.15	Retinopathy of prematurity, stage 4	retinopathy of prematurity stage 4	HP_0500053	Retinopathy of prematurity stage 4	100.0	['362', '362.1']	['873']
H35.151	Retinopathy of prematurity, stage 4, right eye	retinopathy of prematurity stage 4 right eye	HP_0500053	Retinopathy of prematurity stage 4	86.57	['362', '362.1']	['873']
H35.152	Retinopathy of prematurity, stage 4, left eye	retinopathy of prematurity stage 4 left eye	HP_0500053	Retinopathy of prematurity stage 4	87.88	['362', '362.1']	['873']
H35.153	Retinopathy of prematurity, stage 4, bilateral	retinopathy of prematurity stage 4 bilateral	HP_0500053	Retinopathy of prematurity stage 4	87.88	['362', '362.1']	['873']
H35.159	Retinopathy of prematurity, stage 4, unspecified eye	retinopathy of prematurity stage 4eye	HP_0500053	Retinopathy of prematurity stage 4	93.33	['362', '362.1']	['873']
H35.16	Retinopathy of prematurity, stage 5	retinopathy of prematurity stage 5	HP_0500056	Retinopathy of prematurity stage 5	100.0	['362', '362.1']	['873']
H35.161	Retinopathy of prematurity, stage 5, right eye	retinopathy of prematurity stage 5 right eye	HP_0500056	Retinopathy of prematurity stage 5	86.57	['362', '362.1']	['873']
H35.162	Retinopathy of prematurity, stage 5, left eye	retinopathy of prematurity stage 5 left eye	HP_0500056	Retinopathy of prematurity stage 5	87.88	['362', '362.1']	['873']
H35.163	Retinopathy of prematurity, stage 5, bilateral	retinopathy of prematurity stage 5 bilateral	HP_0500056	Retinopathy of prematurity stage 5	87.88	['362', '362.1']	['873']
H35.169	Retinopathy of prematurity, stage 5, unspecified eye	retinopathy of prematurity stage 5eye	HP_0500056	Retinopathy of prematurity stage 5	93.33	['362', '362.1']	['873']
H35.30	Unspecified macular degeneration	macular degeneration	HP_0000608	Macular degeneration	100.0	['362', '362.2', '362.29']	['374', '374.5', '374.51']
H35.33	Angioid streaks of macula	angioid streaks of macula	HP_0001102	Angioid streaks of the fundus	81.08	['363', '363.4']	['374', '374.5', '374.57']
H35.35	Cystoid macular degeneration	cystoid macular degeneration	HP_0008028	Cystoid macular degeneration	100.0	['362', '362.2', '362.23']	['374', '374.5', '374.53']
H35.351	Cystoid macular degeneration, right eye	cystoid macular degeneration right eye	HP_0008028	Cystoid macular degeneration	84.21	['362', '362.2', '362.23']	['374', '374.5', '374.53']
H35.352	Cystoid macular degeneration, left eye	cystoid macular degeneration left eye	HP_0008028	Cystoid macular degeneration	85.71	['362', '362.2', '362.23']	['374', '374.5', '374.53']
H35.353	Cystoid macular degeneration, bilateral	cystoid macular degeneration bilateral	HP_0008028	Cystoid macular degeneration	85.71	['362', '362.2', '362.23']	['374', '374.5', '374.53']
H35.359	Cystoid macular degeneration, unspecified eye	cystoid macular degenerationeye	HP_0008028	Cystoid macular degeneration	83.64	['362', '362.2', '362.23']	['374', '374.5', '374.53']
H35.37	Puckering of macula	puckering of macula	HP_0100014	Epiretinal membrane	89.66	['362', '362.2', '362.26']	['374', '374.5', '374.55']
H35.379	Puckering of macula, unspecified eye	puckering of maculaeye	HP_0100014	Epiretinal membrane	83.87	['362', '362.2', '362.26']	['374', '374.5', '374.55']
H35.4	Peripheral retinal degeneration	peripheral retinal degeneration	HP_0007769	Peripheral retinal degeneration	100.0	['362', '362.6']	['374', '374.6']
H35.40	Unspecified peripheral retinal degeneration	peripheral retinal degeneration	HP_0007769	Peripheral retinal degeneration	100.0	['362', '362.6']	['374', '374.6']
H35.41	Lattice degeneration of retina	lattice degeneration of retina	HP_0007992	Lattice retinal degeneration	93.02	['362', '362.6']	['374', '374.6', '374.61']
H35.419	Lattice degeneration of retina, unspecified eye	lattice degeneration of retinaeye	HP_0007992	Lattice retinal degeneration	88.89	['362', '362.6']	['374', '374.6', '374.61']
H35.46	Secondary vitreoretinal degeneration	secondary vitreoretinal degeneration	HP_0007773	Vitreoretinopathy	80.0	['362', '362.6']	['374', '374.6']
H35.6	Retinal hemorrhage	retinal hemorrhage	HP_0000573	Retinal hemorrhage	100.0	['362', '362.8']	['377', '377.4']
H35.60	Retinal hemorrhage, unspecified eye	retinal hemorrhageeye	HP_0000573	Retinal hemorrhage	85.71	['362', '362.8']	['377', '377.4']
H35.62	Retinal hemorrhage, left eye	retinal hemorrhage left eye	HP_0000573	Retinal hemorrhage	80.0	['362', '362.8']	['377', '377.4']
H35.63	Retinal hemorrhage, bilateral	retinal hemorrhage bilateral	HP_0000573	Retinal hemorrhage	80.0	['362', '362.8']	['377', '377.4']
H35.71	Central serous chorioretinopathy	central serous chorioretinopathy	HP_0025567	Central serous chorioretinopathy	100.0	['362', '362.3', '362.31']	['374', '374.9']
H35.711	Central serous chorioretinopathy, right eye	central serous chorioretinopathy right eye	HP_0025567	Central serous chorioretinopathy	87.67	['362', '362.3', '362.31']	['374', '374.9']
H35.712	Central serous chorioretinopathy, left eye	central serous chorioretinopathy left eye	HP_0025567	Central serous chorioretinopathy	88.89	['362', '362.3', '362.31']	['374', '374.9']
H35.713	Central serous chorioretinopathy, bilateral	central serous chorioretinopathy bilateral	HP_0025567	Central serous chorioretinopathy	88.89	['362', '362.3', '362.31']	['374', '374.9']
H35.719	Central serous chorioretinopathy, unspecified eye	central serous chorioretinopathyeye	HP_0025567	Central serous chorioretinopathy	90.91	['362', '362.3', '362.31']	['374', '374.9']
H35.73	Hemorrhagic detachment of retinal pigment epithelium	hemorrhagic detachment of retinal pigment epithelium	HP_0025244	Subretinal pigment epithelium hemorrhage	85.0	['362', '362.3', '362.31']	['374', '374.1']
H35.739	Hemorrhagic detachment of retinal pigment epithelium, unspecified eye	hemorrhagic detachment of retinal pigment epitheliumeye	HP_0025244	Subretinal pigment epithelium hemorrhage	80.49	['362', '362.3', '362.31']	['374', '374.1']
H40	Glaucoma	glaucoma	HP_0000501	Glaucoma	100.0	['365']	['375']
H40.05	Ocular hypertension	ocular hypertension	HP_0007906	Ocular hypertension	100.0	['365']	['375', '375.6']
H40.052	Ocular hypertension, left eye	ocular hypertension left eye	HP_0007906	Ocular hypertension	80.95	['365']	['375', '375.6']
H40.053	Ocular hypertension, bilateral	ocular hypertension bilateral	HP_0007906	Ocular hypertension	80.95	['365']	['375', '375.6']
H40.059	Ocular hypertension, unspecified eye	ocular hypertensioneye	HP_0007906	Ocular hypertension	82.05	['365']	['375', '375.6']
H40.1	Open-angle glaucoma	open-angle glaucoma	HP_0012108	Open angle glaucoma	100.0	['365', '365.1']	['375', '375.1', '375.11']
H40.10	Unspecified open-angle glaucoma	open-angle glaucoma	HP_0012108	Open angle glaucoma	100.0	['365', '365.1']	['375', '375.1', '375.11']
H40.10X0	Unspecified open-angle glaucoma, stage unspecified	open-angle glaucoma stage	HP_0012108	Open angle glaucoma	86.36	['365', '365.1']	['375', '375.1', '375.11']
H40.11	Primary open-angle glaucoma	primary open-angle glaucoma	HP_0012108	Open angle glaucoma	82.61	['365', '365.1', '365.11']	['375', '375.1', '375.11', '375.113']
H40.2	Primary angle-closure glaucoma	primary angle-closure glaucoma	HP_0012109	Angle closure glaucoma	84.0	['365', '365.2']	['375', '375.1', '375.12']
H40.20	Unspecified primary angle-closure glaucoma	primary angle-closure glaucoma	HP_0012109	Angle closure glaucoma	84.0	['365', '365.2']	['375', '375.1', '375.12']
H40.21	Acute angle-closure glaucoma	acute angle-closure glaucoma	HP_0012109	Angle closure glaucoma	89.36	['365', '365.2']	['375', '375.1', '375.12']
H40.219	Acute angle-closure glaucoma, unspecified eye	acute angle-closure glaucomaeye	HP_0012109	Angle closure glaucoma	81.63	['365', '365.2']	['375', '375.1', '375.12']
H40.22	Chronic angle-closure glaucoma	chronic angle-closure glaucoma	HP_0012109	Angle closure glaucoma	84.0	['365', '365.2']	['375', '375.1', '375.12']
H40.23	Intermittent angle-closure glaucoma	intermittent angle-closure glaucoma	HP_0012109	Angle closure glaucoma	80.77	['365', '365.2']	['375', '375.1', '375.12']
H40.8	Other glaucoma	other glaucoma	HP_0000501	Glaucoma	100.0	['365']	['375', '375.1']
H40.9	Unspecified glaucoma	glaucoma	HP_0000501	Glaucoma	100.0	['365']	['375', '375.1']
H43.1	Vitreous hemorrhage	vitreous hemorrhage	HP_0007902	Vitreous hemorrhage	100.0	['379', '379.2']	['377', '377.5']
H43.10	Vitreous hemorrhage, unspecified eye	vitreous hemorrhageeye	HP_0007902	Vitreous hemorrhage	87.18	['379', '379.2']	['377', '377.5']
H43.11	Vitreous hemorrhage, right eye	vitreous hemorrhage right eye	HP_0007902	Vitreous hemorrhage	80.0	['379', '379.2']	['377', '377.5']
H43.12	Vitreous hemorrhage, left eye	vitreous hemorrhage left eye	HP_0007902	Vitreous hemorrhage	81.82	['379', '379.2']	['377', '377.5']
H43.13	Vitreous hemorrhage, bilateral	vitreous hemorrhage bilateral	HP_0007902	Vitreous hemorrhage	81.82	['379', '379.2']	['377', '377.5']
H43.3	Other vitreous opacities	other vitreous opacities	HP_0100832	Vitreous floaters	100.0	['379', '379.2']	['376', '376.2', '376.21']
H43.39	Other vitreous opacities	other vitreous opacities	HP_0100832	Vitreous floaters	100.0	['379', '379.2']	['376', '376.2']
H43.82	Vitreomacular adhesion	vitreomacular adhesion	HP_0031150	Vitreomacular adhesion	100.0	['379', '379.2']	['376', '376.4']
H43.821	Vitreomacular adhesion, right eye	vitreomacular adhesion right eye	HP_0031150	Vitreomacular adhesion	81.63	['379', '379.2']	['376', '376.4']
H43.822	Vitreomacular adhesion, left eye	vitreomacular adhesion left eye	HP_0031150	Vitreomacular adhesion	83.33	['379', '379.2']	['376', '376.4']
H43.823	Vitreomacular adhesion, bilateral	vitreomacular adhesion bilateral	HP_0031150	Vitreomacular adhesion	83.33	['379', '379.2']	['376', '376.4']
H43.829	Vitreomacular adhesion, unspecified eye	vitreomacular adhesioneye	HP_0031150	Vitreomacular adhesion	84.44	['379', '379.2']	['376', '376.4']
H44.11	Panuveitis	panuveitis	HP_0012121	Panuveitis	100.0	['371', '371.1']	['367', '367.5', '367.51']
H44.53	Leucocoria	leucocoria	HP_0000555	Leukocoria	81.82	['360']	['389', '389.2']
H46	Optic neuritis	optic neuritis	HP_0100653	Optic neuritis	100.0	['377', '377.3']	['380', '380.1', '380.11']
H46.1	Retrobulbar neuritis	retrobulbar neuritis	HP_0100654	Retrobulbar optic neuritis	100.0	['377', '377.3']	['380', '380.1', '380.11']
H46.10	Retrobulbar neuritis, unspecified eye	retrobulbar neuritiseye	HP_0100654	Retrobulbar optic neuritis	88.37	['377', '377.3']	['380', '380.1', '380.11']
H46.11	Retrobulbar neuritis, right eye	retrobulbar neuritis right eye	HP_0100654	Retrobulbar optic neuritis	81.63	['377', '377.3']	['380', '380.1', '380.11']
H46.12	Retrobulbar neuritis, left eye	retrobulbar neuritis left eye	HP_0100654	Retrobulbar optic neuritis	83.33	['377', '377.3']	['380', '380.1', '380.11']
H46.13	Retrobulbar neuritis, bilateral	retrobulbar neuritis bilateral	HP_0100654	Retrobulbar optic neuritis	83.33	['377', '377.3']	['380', '380.1', '380.11']
H46.2	Nutritional optic neuropathy	nutritional optic neuropathy	HP_0001138	Optic neuropathy	82.93	['377', '377.3']	['380', '380.1', '380.11']
H46.3	Toxic optic neuropathy	toxic optic neuropathy	HP_0001138	Optic neuropathy	85.0	['377', '377.3']	['380', '380.1', '380.11']
H46.8	Other optic neuritis	other optic neuritis	HP_0100653	Optic neuritis	100.0	['377', '377.3']	['380', '380.1', '380.11']
H46.9	Unspecified optic neuritis	optic neuritis	HP_0100653	Optic neuritis	100.0	['377', '377.3']	['380', '380.1', '380.11']
H47.01	Ischemic optic neuropathy	ischemic optic neuropathy	HP_0001138	Optic neuropathy	82.93	['377', '377.3']	['380', '380.1', '380.12']
H47.03	Optic nerve hypoplasia	optic nerve hypoplasia	HP_0000609	Optic nerve hypoplasia	100.0	['377', '377.3']	['380', '380.1', '380.13']
