CUI	ICD9_code	ICD9_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList	ICD9_simpleLabel	phecodeXupdated_codeList
C0012242	567.89	Other specified peritonitis	HP_0011024	Abnormality of the gastrointestinal tract	['567']	['537', '537.1']	other specified peritonitis	['GI_537.1']
C0012242	567.9	Unspecified peritonitis	HP_0011024	Abnormality of the gastrointestinal tract	['567']	['537', '537.1']	peritonitis	['GI_537.1']
C0012242	568	Other disorders of peritoneum	HP_0011024	Abnormality of the gastrointestinal tract	['568']	['537']	other disorders of peritoneum	['GI_537']
C0012242	568.0	Peritoneal adhesions (postoperative) (postinfection)	HP_0011024	Abnormality of the gastrointestinal tract	['568', '568.1']	['535']	peritoneal adhesions postoperative postinfection	['GI_535']
C0012242	568.8	Other specified disorders of peritoneum	HP_0011024	Abnormality of the gastrointestinal tract	['568']	['537']	other specified disorders of peritoneum	['GI_537']
C0012242	568.81	Hemoperitoneum (nontraumatic)	HP_0011024	Abnormality of the gastrointestinal tract	['568']	['537', '537.2']	hemoperitoneum nontraumatic	['GI_537.2']
C0012242	568.82	Peritoneal effusion (chronic)	HP_0011024	Abnormality of the gastrointestinal tract	['568']	['555']	peritoneal effusion chronic	['GI_555']
C0012242	568.89	Other specified disorders of peritoneum	HP_0011024	Abnormality of the gastrointestinal tract	['568']	['537']	other specified disorders of peritoneum	['GI_537']
C0012242	567.8	Other specified peritonitis	HP_0011024	Abnormality of the gastrointestinal tract	['567']	['537', '537.1']	other specified peritonitis	['GI_537.1']
C0012242	532.41	Chronic or unspecified duodenal ulcer with hemorrhage, with obstruction	HP_0011024	Abnormality of the gastrointestinal tract	['531', '531.1']	['513', '513.3']	chronic orduodenal ulcer with hemorrhage with obstruction	['GI_513.3', 'GI_514.2', 'GI_557']
C0012242	530.4	Perforation of esophagus	HP_0011024	Abnormality of the gastrointestinal tract	['530']	['510', '510.4']	perforation of esophagus	['GI_510.4']
C0012242	532.4	Chronic or unspecified duodenal ulcer with hemorrhage	HP_0011024	Abnormality of the gastrointestinal tract	['531', '531.1']	['513', '513.3']	chronic orduodenal ulcer with hemorrhage	['GI_513.3', 'GI_557']
C0012242	524.1	Anomalies of relationship of jaw to cranial base	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.7']	anomalies of relationship of jaw to cranial base	['MS_733.7']
C0012242	524.10	Anomalies of relationship of jaw to cranial base, unspecified anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.7']	anomalies of relationship of jaw to cranial baseanomaly	['MS_733.7']
C0012242	524.11	Anomalies of relationship of jaw to cranial base, maxillary asymmetry	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.7']	anomalies of relationship of jaw to cranial base maxillary asymmetry	['MS_733.7']
C0012242	524.12	Anomalies of relationship of jaw to cranial base, other jaw asymmetry	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.7']	anomalies of relationship of jaw to cranial base other jaw asymmetry	['MS_733.7']
C0012242	524.19	Anomalies of relationship of jaw to cranial base, other specified anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.7']	anomalies of relationship of jaw to cranial base other specified anomaly	['MS_733.7']
C0012242	524.2	Anomalies of dental arch relationship	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	anomalies of dental arch relationship	['MS_733.2']
C0012242	524.20	Unspecified anomaly of dental arch relationship	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	anomaly of dental arch relationship	['MS_733.2']
C0012242	524.21	Malocclusion, Angle's class I	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	malocclusion angles class i	['MS_733.2']
C0012242	524.22	Malocclusion, Angle's class II	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	malocclusion angles class ii	['MS_733.2']
C0012242	524.23	Malocclusion, Angle's class III	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	malocclusion angles class iii	['MS_733.2']
C0012242	524.24	Open anterior occlusal relationship	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	open anterior occlusal relationship	['MS_733.2']
C0012242	524.25	Open posterior occlusal relationship	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	open posterior occlusal relationship	['MS_733.2']
C0012242	524.26	Excessive horizontal overlap	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	excessive horizontal overlap	['MS_733.2']
C0012242	524.27	Reverse articulation	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	reverse articulation	['MS_733.2']
C0012242	524.28	Anomalies of interarch distance	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	anomalies of interarch distance	['MS_733.2']
C0012242	524.29	Other anomalies of dental arch relationship	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	other anomalies of dental arch relationship	['MS_733.2']
C0012242	524.3	Anomalies of tooth position of fully erupted teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	anomalies of tooth position of fully erupted teeth	['MS_733.3']
C0012242	524.30	Unspecified anomaly of tooth position	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	anomaly of tooth position	['MS_733.3']
C0012242	524.31	Crowding of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3', '733.31']	crowding of teeth	['MS_733.31']
C0012242	524.09	Major anomalies of jaw size, other specified anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1']	major anomalies of jaw size other specified anomaly	['MS_733.1']
C0012242	524.07	Excessive tuberosity of jaw	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1']	excessive tuberosity of jaw	['MS_733.1']
C0012242	524.06	Major anomalies of jaw size, microgenia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.16']	major anomalies of jaw size microgenia	['MS_733.123']
C0012242	524.05	Major anomalies of jaw size, macrogenia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.15']	major anomalies of jaw size macrogenia	['MS_733.113']
C0012242	523.3	Aggressive and acute periodontitis	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.31']	aggressive and acute periodontitis	['GI_504.31']
C0012242	523.30	Aggressive periodontitis, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.31']	aggressive periodontitis	['GI_504.31']
C0012242	523.31	Aggressive periodontitis, localized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.31']	aggressive periodontitis localized	['GI_504.31']
C0012242	523.32	Aggressive periodontitis, generalized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.31']	aggressive periodontitis generalized	['GI_504.31']
C0012242	523.33	Acute periodontitis	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3']	acute periodontitis	['GI_504.3']
C0012242	523.4	Chronic periodontitis	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.32']	['504', '504.3', '504.32']	chronic periodontitis	['GI_504.3']
C0012242	523.40	Chronic periodontitis, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.32']	chronic periodontitis	['GI_504.3']
C0012242	523.41	Chronic periodontitis, localized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.32']	chronic periodontitis localized	['GI_504.3']
C0012242	523.42	Chronic periodontitis, generalized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3', '504.32']	chronic periodontitis generalized	['GI_504.3']
C0012242	524.32	Excessive spacing of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	excessive spacing of teeth	['MS_733.3']
C0012242	523.5	Periodontosis	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3']	['504', '504.3']	periodontosis	['GI_504.3']
C0012242	523.8	Other specified periodontal diseases	HP_0011024	Abnormality of the gastrointestinal tract	['523']	['504']	other specified periodontal diseases	['GI_504']
C0012242	523.9	Unspecified gingival and periodontal disease	HP_0011024	Abnormality of the gastrointestinal tract	['523']	['504']	gingival and periodontal disease	['GI_504']
C0012242	524	Dentofacial anomalies, including malocclusion	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	dentofacial anomalies including malocclusion	['MS_733']
C0012242	524.0	Major anomalies of jaw size	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1']	major anomalies of jaw size	['MS_733.1']
C0012242	524.00	Major anomalies of jaw size, unspecified anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1']	major anomalies of jaw sizeanomaly	['MS_733.1']
C0012242	524.01	Major anomalies of jaw size, maxillary hyperplasia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.11']	major anomalies of jaw size maxillary hyperplasia	['MS_733.111']
C0012242	524.02	Major anomalies of jaw size, mandibular hyperplasia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.13']	major anomalies of jaw size mandibular hyperplasia	['MS_733.112']
C0012242	524.03	Major anomalies of jaw size, maxillary hypoplasia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.12']	major anomalies of jaw size maxillary hypoplasia	['MS_733.121']
C0012242	524.04	Major anomalies of jaw size, mandibular hypoplasia	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.1', '733.14']	major anomalies of jaw size mandibular hypoplasia	['MS_733.122']
C0012242	523.6	Accretions on teeth	HP_0011024	Abnormality of the gastrointestinal tract	['523']	['502', '502.3']	accretions on teeth	['GI_502.14']
C0012242	523.25	Gingival recession, generalized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.1']	['504', '504.2']	gingival recession generalized	['GI_504.2']
C0012242	524.33	Horizontal displacement of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	horizontal displacement of teeth	['MS_733.3']
C0012242	532.40	Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction	HP_0011024	Abnormality of the gastrointestinal tract	['531', '531.1']	['513', '513.3']	chronic orduodenal ulcer with hemorrhage without mention of obstruction	['GI_513.3', 'GI_557']
C0012242	524.72	Alveolar mandibular hyperplasia	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1', '733.13']	alveolar mandibular hyperplasia	['MS_733.112']
C0012242	524.73	Alveolar maxillary hypoplasia	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1', '733.12']	alveolar maxillary hypoplasia	['MS_733.121']
C0012242	524.74	Alveolar mandibular hypoplasia	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1', '733.14']	alveolar mandibular hypoplasia	['MS_733.122']
C0012242	524.75	Vertical displacement of alveolus and teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	vertical displacement of alveolus and teeth	['MS_733']
C0012242	524.76	Occlusal plane deviation	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	occlusal plane deviation	['MS_733']
C0012242	524.79	Other specified alveolar anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	other specified alveolar anomaly	['MS_733']
C0012242	524.8	Other specified dentofacial anomalies	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	other specified dentofacial anomalies	['MS_733']
C0012242	524.81	Anterior soft tissue impingement	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	anterior soft tissue impingement	['MS_733']
C0012242	524.82	Posterior soft tissue impingement	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	posterior soft tissue impingement	['MS_733']
C0012242	524.89	Other specified dentofacial anomalies	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	other specified dentofacial anomalies	['MS_733']
C0012242	524.9	Unspecified dentofacial anomalies	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733']	dentofacial anomalies	['MS_733']
C0012242	525	Other diseases and conditions of the teeth and supporting structures	HP_0011024	Abnormality of the gastrointestinal tract	['525']	['502']	other diseases and conditions of the teeth and supporting structures	['GI_502.1']
C0012242	525.0	Exfoliation of teeth due to systemic causes	HP_0011024	Abnormality of the gastrointestinal tract	['525']	['502']	exfoliation of teeth due to systemic causes	['GI_502.12']
C0012242	525.1	Loss of teeth due to trauma, extraction, or periodontal disease	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.1']	['502', '502.6']	loss of teeth due to trauma extraction or periodontal disease	['GI_502.16']
C0012242	525.10	Acquired absence of teeth, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.1']	['502', '502.6']	acquired absence of teeth	['GI_502.16']
C0012242	525.11	Loss of teeth due to trauma	HP_0011024	Abnormality of the gastrointestinal tract	['525']		loss of teeth due to trauma	
C0012242	525.12	Loss of teeth due to periodontal disease	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.1']	['502', '502.6']	loss of teeth due to periodontal disease	['GI_502.16']
C0012242	525.13	Loss of teeth due to caries	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.1']	['502', '502.6']	loss of teeth due to caries	['GI_502.16']
C0012242	525.19	Other loss of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.1']	['502', '502.6']	other loss of teeth	['GI_502.16']
C0012242	524.71	Alveolar maxillary hyperplasia	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1', '733.11']	alveolar maxillary hyperplasia	['MS_733.111']
C0012242	524.70	Dental alveolar anomalies, unspecified alveolar anomaly	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1']	dental alveolar anomaliesalveolar anomaly	['MS_733.1']
C0012242	524.7	Dental alveolar anomalies	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.1']	dental alveolar anomalies	['MS_733.1']
C0012242	524.69	Other specified temporomandibular joint disorders	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4']	['733', '733.6']	other specified temporomandibular joint disorders	['MS_734.6']
C0012242	524.36	Insufficient interocclusal distance of teeth (ridge)	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	insufficient interocclusal distance of teeth ridge	['MS_733.3']
C0012242	524.37	Excessive interocclusal distance of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	excessive interocclusal distance of teeth	['MS_733.3']
C0012242	524.39	Other anomalies of tooth position	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	other anomalies of tooth position	['MS_733.3']
C0012242	524.4	Malocclusion, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.2']	malocclusion	['MS_733.2']
C0012242	524.5	Dentofacial functional abnormalities	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	dentofacial functional abnormalities	['MS_733.4']
C0012242	524.50	Dentofacial functional abnormality, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	dentofacial functional abnormality	['MS_733.4']
C0012242	524.51	Abnormal jaw closure	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.3']	['733', '733.4']	abnormal jaw closure	['MS_733.4']
C0012242	524.52	Limited mandibular range of motion	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4', '733.41']	limited mandibular range of motion	['MS_733.41']
C0012242	524.53	Deviation in opening and closing of the mandible	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	deviation in opening and closing of the mandible	['MS_733.4']
C0012242	524.34	Vertical displacement of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['524', '524.3']	['733', '733.3']	vertical displacement of teeth	['MS_733.3']
C0012242	524.54	Insufficient anterior guidance	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	insufficient anterior guidance	['MS_733.4']
C0012242	524.56	Non-working side interference	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	non-working side interference	['MS_733.4']
C0012242	524.57	Lack of posterior occlusal support	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	lack of posterior occlusal support	['MS_733.4']
C0012242	524.59	Other dentofacial functional abnormalities	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	other dentofacial functional abnormalities	['MS_733.4']
C0012242	524.6	Temporomandibular joint disorders	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4']	['733', '733.6']	temporomandibular joint disorders	['MS_734.6']
C0012242	524.60	Temporomandibular joint disorders, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4', '526.41']	['733', '733.6']	temporomandibular joint disorders	['MS_734.6']
C0012242	524.61	Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4', '526.42']	['733', '733.6', '733.61']	temporomandibular joint disorders adhesions and ankylosis bony or fibrous	['MS_734.61']
C0012242	524.62	Temporomandibular joint disorders, arthralgia of temporomandibular joint	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4', '526.42']	['733', '733.6', '733.62']	temporomandibular joint disorders arthralgia of temporomandibular joint	['MS_734.62']
C0012242	524.63	Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4']	['733', '733.6', '733.63']	temporomandibular joint disorders articular disk disorder reducing or non-reducing	['MS_734.63']
C0012242	524.64	Temporomandibular joint sounds on opening and/or closing the jaw	HP_0011024	Abnormality of the gastrointestinal tract	['526', '526.4']	['733', '733.6']	temporomandibular joint sounds on opening andor closing the jaw	['MS_734.6']
C0012242	524.55	Centric occlusion maximum intercuspation discrepancy	HP_0011024	Abnormality of the gastrointestinal tract	['524']	['733', '733.4']	centric occlusion maximum intercuspation discrepancy	['MS_733.4']
C0012242	525.2	Atrophy of edentulous alveolar ridge	HP_0011024	Abnormality of the gastrointestinal tract	['525', '525.2']	['502', '502.7']	atrophy of edentulous alveolar ridge	['GI_502.2']
C0012242	523.24	Gingival recession, localized	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.1']	['504', '504.2']	gingival recession localized	['GI_504.2']
C0012242	523.22	Gingival recession, moderate	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.1']	['504', '504.2']	gingival recession moderate	['GI_504.2']
C0012242	520.8	Other specified disorders of tooth development and eruption	HP_0011024	Abnormality of the gastrointestinal tract	['520']	['500']	other specified disorders of tooth development and eruption	['GI_500']
C0012242	520.9	Unspecified disorder of tooth development and eruption	HP_0011024	Abnormality of the gastrointestinal tract	['520']	['500']	disorder of tooth development and eruption	['GI_500']
C0012242	521	Diseases of hard tissues of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['521']	['502']	diseases of hard tissues of teeth	['GI_502']
C0012242	521.01	Dental caries limited to enamel	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries limited to enamel	['GI_502.11']
C0012242	521.02	Dental caries extending into dentine	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries extending into dentine	['GI_502.11']
C0012242	521.03	Dental caries extending into pulp	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries extending into pulp	['GI_502.11']
C0012242	521.04	Arrested dental caries	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	arrested dental caries	['GI_502.11']
C0012242	521.05	Odontoclasia	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['502']	odontoclasia	['GI_502']
C0012242	521.06	Dental caries pit and fissure	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries pit and fissure	['GI_502.11']
C0012242	521.07	Dental caries of smooth surface	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries of smooth surface	['GI_502.11']
C0012242	521.08	Dental caries of root surface	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries of root surface	['GI_502.11']
C0012242	521.09	Other dental caries	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	other dental caries	['GI_502.11']
C0012242	521.1	Excessive dental attrition [approximal wear] [occlusal wear]	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive dental attrition approximal wear occlusal wear	['GI_502.12']
C0012242	521.10	Excessive attrition, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition	['GI_502.12']
C0012242	521.11	Excessive attrition, limited to enamel	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition limited to enamel	['GI_502.12']
C0012242	521.12	Excessive attrition, extending into dentine	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition extending into dentine	['GI_502.12']
C0012242	521.13	Excessive attrition, extending into pulp	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition extending into pulp	['GI_502.12']
C0012242	521.14	Excessive attrition, localized	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition localized	['GI_502.12']
C0012242	521.15	Excessive attrition, generalized	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	excessive attrition generalized	['GI_502.12']
C0012242	520.7	Teething syndrome	HP_0011024	Abnormality of the gastrointestinal tract	['520']	['890']	teething syndrome	['NB_889.4']
C0012242	520.6	Disturbances in tooth eruption	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.2']	['500', '500.4']	disturbances in tooth eruption	['GI_500.4']
C0012242	520.5	Hereditary disturbances in tooth structure, not elsewhere classified	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.1']	['500', '500.2']	hereditary disturbances in tooth structure not elsewhere classified	['GI_500.2']
C0012242	520.4	Disturbances of tooth formation	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.1']	['500', '500.2']	disturbances of tooth formation	['GI_500.2']
C0012242	536.0	Achlorhydria	HP_0011024	Abnormality of the gastrointestinal tract	['536']	['516', '516.6']	achlorhydria	['GI_516.6']
C0012242	577.0	Acute pancreatitis	HP_0011024	Abnormality of the gastrointestinal tract	['577', '577.1']	['554', '554.1', '554.11']	acute pancreatitis	['GI_554.11']
C0012242	530.85	Barrett's esophagus	HP_0011024	Abnormality of the gastrointestinal tract	['530', '530.1', '530.13']	['510', '510.8']	barretts esophagus	['GI_510.8']
C0012242	576.9	Unspecified disorder of biliary tract	HP_0011024	Abnormality of the gastrointestinal tract	['575', '575.8']	['552']	disorder of biliary tract	['GI_552']
C0012242	579.0	Celiac disease	HP_0011024	Abnormality of the gastrointestinal tract	['557.1']	['181', '525', '525.1']	celiac disease	['BI_181', 'GI_525.1']
C0012242	576.1	Cholangitis	HP_0011024	Abnormality of the gastrointestinal tract	['575', '575.1']	['552', '552.1']	cholangitis	['GI_552.1']
C0012242	575.10	Cholecystitis, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['574', '574.3']	['550', '550.2']	cholecystitis	['GI_550.2']
C0012242	574	Cholelithiasis	HP_0011024	Abnormality of the gastrointestinal tract	['574']	['550', '550.1']	cholelithiasis	['GI_550.1']
C0012242	576.2	Obstruction of bile duct	HP_0011024	Abnormality of the gastrointestinal tract	['575', '575.2']	['552', '552.2']	obstruction of bile duct	['GI_552.2']
C0012242	521.2	Abrasion of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	abrasion of teeth	['GI_502.12']
C0012242	556	Ulcerative colitis	HP_0011024	Abnormality of the gastrointestinal tract	['555', '555.2']	['181', '522', '522.1', '522.12']	ulcerative colitis	['BI_181', 'GI_522.12']
C0012242	564.0	Constipation	HP_0011024	Abnormality of the gastrointestinal tract	['563']	['529', '529.5']	constipation	['GI_529.5']
C0012242	564.00	Constipation, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['563']	['529', '529.5']	constipation	['GI_529.5']
C0012242	521.0	Dental caries	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries	['GI_502.11']
C0012242	521.00	Dental caries, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.1']	['501']	dental caries	['GI_502.11']
C0012242	520	Disorders of tooth development and eruption	HP_0011024	Abnormality of the gastrointestinal tract	['520']	['500']	disorders of tooth development and eruption	['GI_500']
C0012242	520.0	Anodontia	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.1']	['500', '500.1']	anodontia	['GI_500.1']
C0012242	520.1	Supernumerary teeth	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.1']	['500', '500.3']	supernumerary teeth	['GI_500.3']
C0012242	520.2	Abnormalities of size and form of teeth	HP_0011024	Abnormality of the gastrointestinal tract	['520', '520.1']	['500', '500.2']	abnormalities of size and form of teeth	['GI_500.2']
C0012242	520.3	Mottled teeth	HP_0011024	Abnormality of the gastrointestinal tract	['520']	['500']	mottled teeth	['GI_500']
C0012242	556.9	Ulcerative colitis, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['555', '555.2']	['181', '522', '522.1', '522.12']	ulcerative colitis	['BI_181', 'GI_522.12']
C0012242	523.23	Gingival recession, severe	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.1']	['504', '504.2']	gingival recession severe	['GI_504.2']
C0012242	521.20	Abrasion, unspecified	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	abrasion	['GI_502.12']
C0012242	521.22	Abrasion, extending into dentine	HP_0011024	Abnormality of the gastrointestinal tract	['521', '521.2']	['502', '502.1']	abrasion extending into dentine	['GI_502.12']
C0012242	522.1	Necrosis of the pulp	HP_0011024	Abnormality of the gastrointestinal tract	['522', '522.1']	['503']	necrosis of the pulp	['GI_502.3']
C0012242	522.2	Pulp degeneration	HP_0011024	Abnormality of the gastrointestinal tract	['522', '522.1']	['503']	pulp degeneration	['GI_502.3']
C0012242	522.3	Abnormal hard tissue formation in pulp	HP_0011024	Abnormality of the gastrointestinal tract	['522']	['503']	abnormal hard tissue formation in pulp	['GI_502.3']
C0012242	522.4	Acute apical periodontitis of pulpal origin	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.31']	['504', '504.3']	acute apical periodontitis of pulpal origin	['GI_504.3']
C0012242	522.5	Periapical abscess without sinus	HP_0011024	Abnormality of the gastrointestinal tract	['522', '522.5']	['503', '503.5']	periapical abscess without sinus	['GI_502.32']
C0012242	522.6	Chronic apical periodontitis	HP_0011024	Abnormality of the gastrointestinal tract	['523', '523.3', '523.32']	['504', '504.3', '504.32']	chronic apical periodontitis	['GI_504.3']
C0012242	522.7	Periapical abscess with sinus	HP_0011024	Abnormality of the gastrointestinal tract	['522', '522.5']	['503', '503.5']	periapical abscess with sinus	['GI_502.32']
C0012242	522.8	Radicular cyst	HP_0011024	Abnormality of the gastrointestinal tract	['522']	['505']	radicular cyst	['GI_505']
C0012242	522.9	Other and unspecified diseases of pulp and periapical tissues	HP_0011024	Abnormality of the gastrointestinal tract	['522']	['503']	other anddiseases of pulp and periapical tissues	['GI_502.3']
