phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category	hpo_code	hpo_label	hpo_simpleLabel	hpo_original
586.6	Nephroptosis	nephroptosis	Genitourinary	HP_0011126	Nephroptosis	nephroptosis	True
293.4	Polyphagia	polyphagia	Mental	HP_0002591	Polyphagia	polyphagia	True
666.2	Idiopathic urticaria	idiopathic urticaria	Derm	HP_0410133	Chronic idiopathic urticaria	chronic idiopathic urticaria	True
597.1	Urethral stricture	urethral stricture	Genitourinary	HP_0012227	Urethral stricture	urethral stricture	True
597.1	Urethral stricture	urethral stricture	Genitourinary	HP_0025415	Bulbar urethral stricture	bulbar urethral stricture	True
593.1	Gross hematuria	gross hematuria	Genitourinary	HP_0012587	Gross hematuria	gross hematuria	False
594.2	Dysuria	dysuria	Genitourinary	HP_0100518	Dysuria	dysuria	True
594.3	Urinary incontinence	urinary incontinence	Genitourinary	HP_0000020	Urinary incontinence	urinary incontinence	True
594.3	Urinary incontinence	urinary incontinence	Genitourinary	HP_0010992	Stress urinary incontinence	stress urinary incontinence	True
594.6	Urinary urgency	urinary urgency	Genitourinary	HP_0000012	Urinary urgency	urinary urgency	True
610.2	Fibroadenosis of breast	fibroadenosis of breast	Genitourinary	HP_0010619	Fibroadenosis of breast	fibroadenosis of breast	False
230.5	Early satiety	early satiety	Metab	HP_0033842	Early satiety	early satiety	True
626.2	Dysmenorrhea	dysmenorrhea	Genitourinary	HP_0100607	Dysmenorrhea	dysmenorrhea	True
230.4	Cachexia	cachexia	Metab	HP_0004326	Cachexia	cachexia	True
230.3	Anorexia	anorexia	Metab	HP_0002039	Anorexia	anorexia	True
625.1	Dyspareunia	dyspareunia	Genitourinary	HP_0030016	Dyspareunia	dyspareunia	True
901.2	Hydatidiform mole	hydatidiform mole	Preg	HP_0032192	Hydatidiform mole	hydatidiform mole	True
123.1	Multiple myeloma	multiple myeloma	Neoplasms	HP_0006775	Multiple myeloma	multiple myeloma	True
208.2	Hyperparathyroidism	hyperparathyroidism	Endo	HP_0000843	Hyperparathyroidism	hyperparathyroidism	True
208.2	Hyperparathyroidism	hyperparathyroidism	Endo	HP_0008200	Primary hyperparathyroidism	primary hyperparathyroidism	True
208.2	Hyperparathyroidism	hyperparathyroidism	Endo	HP_0011770	Tertiary hyperparathyroidism	tertiary hyperparathyroidism	True
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0001010	Hypopigmentation	hypopigmentation	False
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0005599	Hair hypopigmentation	hair hypopigmentation	False
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0007730	Iris hypopigmentation	iris hypopigmentation	True
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0005590	Spotty hypopigmentation	spotty hypopigmentation	True
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0005590	Patchy hypopigmentation	patchy hypopigmentation	False
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0007894	Fundus hypopigmentation	fundus hypopigmentation	False
674.1	Hypopigmentation	hypopigmentation	Derm	HP_0012643	Foveal hypopigmentation	foveal hypopigmentation	True
675.2	Striae atrophicae	striae atrophicae	Derm	HP_0001065	Striae atrophicae	striae atrophicae	False
674.23	Acanthosis nigricans	acanthosis nigricans	Derm	HP_0000956	Acanthosis nigricans	acanthosis nigricans	True
686.1	Pressure ulcer	pressure ulcer	Derm	HP_0012399	Pressure ulcer	pressure ulcer	True
682.4	Acne	acne	Derm	HP_0001061	Acne	acne	True
713.1	Hemarthrosis	hemarthrosis	Musc/Skel	HP_0005261	Hemarthrosis	hemarthrosis	False
727.4	Hyperostosis of skull	hyperostosis of skull	Musc/Skel	HP_0004330	Hyperostosis of skull	hyperostosis of skull	False
727.4	Hyperostosis of skull	hyperostosis of skull	Musc/Skel	HP_0002694	Hyperostosis of skull base	hyperostosis of skull base	False
765.3	Intestinal atresia	intestinal atresia	Cong	HP_0011100	Intestinal atresia	intestinal atresia	True
765.3	Intestinal atresia	intestinal atresia	Cong	HP_0010448	Large intestinal atresia	large intestinal atresia	False
425	Cardiomegaly	cardiomegaly	Cardio	HP_0001640	Cardiomegaly	cardiomegaly	True
121.2	Chronic leukemia	chronic leukemia	Neoplasms	HP_0005558	Chronic leukemia	chronic leukemia	True
121.2	Chronic leukemia	chronic leukemia	Neoplasms	HP_0005558	Chronic leukaemia	chronic leukemia	False
756.41	Macrostomia	macrostomia	Cong	HP_0000154	Macrostomia	macrostomia	False
756.42	Microstomia	microstomia	Cong	HP_0000160	Microstomia	microstomia	False
463.1	Chronic rhinitis	chronic rhinitis	Resp	HP_0002257	Chronic rhinitis	chronic rhinitis	True
714.1	Kyphosis	kyphosis	Musc/Skel	HP_0002808	Kyphosis	kyphosis	True
727.1	Osteonecrosis	osteonecrosis	Musc/Skel	HP_0010885	Osteonecrosis	osteonecrosis	False
728.2	Osteochondritis dissecans	osteochondritis dissecans	Musc/Skel	HP_0010886	Osteochondritis dissecans	osteochondritis dissecans	True
423.1	Cardiac murmurs	cardiac murmurs	Cardio	HP_0030148	Cardiac murmurs	cardiac murmurs	False
092.2	Sepsis	sepsis	ID	HP_0100806	Sepsis	sepsis	True
666.4	Dermatographic urticaria	dermatographic urticaria	Derm	HP_0011971	Dermatographic urticaria	dermatographic urticaria	True
416.41	Atrioventricular block	atrioventricular block	Cardio	HP_0001678	Atrioventricular block	atrioventricular block	True
416.41	Atrioventricular block	atrioventricular block	Cardio	HP_0011707	Mobitz I atrioventricular block	mobitz i atrioventricular block	True
416.41	Atrioventricular block	atrioventricular block	Cardio	HP_0011708	Mobitz II atrioventricular block	mobitz ii atrioventricular block	True
685.8	Hyperhidrosis	hyperhidrosis	Derm	HP_0000975	Hyperhidrosis	hyperhidrosis	True
750.15	Holoprosencephaly*	holoprosencephaly	Cong	HP_0001360	Holoprosencephaly	holoprosencephaly	True
750.15	Holoprosencephaly*	holoprosencephaly	Cong	HP_0006870	Lobar holoprosencephaly	lobar holoprosencephaly	True
750.15	Holoprosencephaly*	holoprosencephaly	Cong	HP_0006988	Alobar holoprosencephaly	alobar holoprosencephaly	True
750.5	Iniencephaly	iniencephaly	Cong	HP_0034205	Iniencephaly	iniencephaly	True
416.22	Atrial flutter	atrial flutter	Cardio	HP_0004749	Atrial flutter	atrial flutter	True
821	Abnormality of red blood cells	abnormality of red blood cells	Signs/Symptoms	HP_0001877	Abnormality of red blood cells	abnormality of red blood cells	False
703.1	Hyperuricemia	hyperuricemia	Musc/Skel	HP_0002149	Hyperuricemia	hyperuricemia	True
200.23	Multinodular goiter	multinodular goiter	Endo	HP_0005987	Multinodular goiter	multinodular goiter	True
200.23	Multinodular goiter	multinodular goiter	Endo	HP_0005987	Multinodular goitre	multinodular goiter	False
200.2	Goiter	goiter	Endo	HP_0000853	Goiter	goiter	True
200.2	Goiter	goiter	Endo	HP_0000853	Goitre	goiter	False
410.3	Myocarditis	myocarditis	Cardio	HP_0012819	Myocarditis	myocarditis	True
410.2	Endocarditis	endocarditis	Cardio	HP_0100584	Endocarditis	endocarditis	True
410.1	Pericarditis	pericarditis	Cardio	HP_0001701	Pericarditis	pericarditis	True
861.1	Neonatal diabetes mellitus	neonatal diabetes mellitus	Neonate	HP_0008255	Transient neonatal diabetes mellitus	transient neonatal diabetes mellitus	True
861.2	Neonatal hypoglycemia	neonatal hypoglycemia	Neonate	HP_0001998	Neonatal hypoglycemia	neonatal hypoglycemia	True
753.12	Microphthalmos	microphthalmos	Cong	HP_0000568	Microphthalmos	microphthalmos	False
759.1	Ankyloglossia	ankyloglossia	Cong	HP_0010296	Ankyloglossia	ankyloglossia	True
759.2	Macroglossia	macroglossia	Cong	HP_0000158	Macroglossia	macroglossia	True
758.4	Macrocephaly*	macrocephaly	Cong	HP_0000256	Macrocephaly	macrocephaly	True
758.5	Hypertelorism	hypertelorism	Cong	HP_0000316	Hypertelorism	hypertelorism	True
758.31	Mandibulofacial dysostosis*	mandibulofacial dysostosis	Cong	HP_0005321	Mandibulofacial dysostosis	mandibulofacial dysostosis	True
667.3	Erythema nodosum	erythema nodosum	Derm	HP_0012219	Erythema nodosum	erythema nodosum	True
609	Male infertility	male infertility	Genitourinary	HP_0003251	Male infertility	male infertility	True
603.2	Spermatocele	spermatocele	Genitourinary	HP_0033808	Spermatocele	spermatocele	True
609.2	Oligospermia	oligospermia	Genitourinary	HP_0000798	Oligospermia	oligospermia	True
438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardio	HP_0005112	Abdominal aortic aneurysm	abdominal aortic aneurysm	True
438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardio	HP_0031644	Fusiform abdominal aortic aneurysm	fusiform abdominal aortic aneurysm	True
438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardio	HP_0031645	Saccular abdominal aortic aneurysm	saccular abdominal aortic aneurysm	True
438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardio	HP_0031711	Asymmetric abdominal aortic aneurysm	asymmetric abdominal aortic aneurysm	True
217.2	Precocious puberty	precocious puberty	Endo	HP_0000826	Precocious puberty	precocious puberty	True
217.2	Precocious puberty	precocious puberty	Endo	HP_0008185	Male precocious puberty	male precocious puberty	False
612.1	Galactorrhea	galactorrhea	Genitourinary	HP_0100829	Galactorrhea	galactorrhea	True
612.3	Breast hypoplasia	breast hypoplasia	Genitourinary	HP_0003187	Breast hypoplasia	breast hypoplasia	True
666.5	Vibratory urticaria	vibratory urticaria	Derm	HP_0410138	Vibratory urticaria	vibratory urticaria	True
438.41	Aortic dissection	aortic dissection	Cardio	HP_0002647	Aortic dissection	aortic dissection	True
438.41	Aortic dissection	aortic dissection	Cardio	HP_0004933	Type A aortic dissection	type a aortic dissection	False
438.41	Aortic dissection	aortic dissection	Cardio	HP_0012499	Type B aortic dissection	type b aortic dissection	False
374.5	Macular degeneration	macular degeneration	Eye	HP_0000608	Macular degeneration	macular degeneration	True
374.5	Macular degeneration	macular degeneration	Eye	HP_0008028	Cystoid macular degeneration	cystoid macular degeneration	True
374.5	Macular degeneration	macular degeneration	Eye	HP_0008028	Cystic macular degeneration	cystic macular degeneration	False
416.214	Permanent atrial fibrillation*	permanent atrial fibrillation	Cardio	HP_0004754	Permanent atrial fibrillation	permanent atrial fibrillation	True
677	Chilblains	chilblains	Derm	HP_0009710	Chilblains	chilblains	True
382.1	Impaired convergence	impaired convergence	Eye	HP_0000619	Impaired convergence	impaired convergence	True
529.1	Diarrhea	diarrhea	GI	HP_0002014	Diarrhea	diarrhea	True
529.1	Diarrhea	diarrhea	GI	HP_0002014	Diarrhoea	diarrhea	False
801	Cough	cough	Signs/Symptoms	HP_0012735	Cough	cough	True
232.4	Vitamin D deficiency	vitamin d deficiency	Metab	HP_0100512	Vitamin D deficiency	vitamin d deficiency	False
371.2	Subcapsular cataract	subcapsular cataract	Eye	HP_0000523	Subcapsular cataract	subcapsular cataract	True
371.2	Subcapsular cataract	subcapsular cataract	Eye	HP_0010923	Anterior subcapsular cataract	anterior subcapsular cataract	True
367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Eye	HP_0001097	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	True
367.3	Keratoconjunctivitis	keratoconjunctivitis	Eye	HP_0001096	Keratoconjunctivitis	keratoconjunctivitis	True
367.3	Keratoconjunctivitis	keratoconjunctivitis	Eye	HP_0001097	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	True
367.1	Conjunctivitis	conjunctivitis	Eye	HP_0000509	Conjunctivitis	conjunctivitis	True
367.5	Uveitis	uveitis	Eye	HP_0000554	Uveitis	uveitis	True
103.22	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	Neoplasms	HP_0006739	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	True
103.21	Basal cell carcinoma	basal cell carcinoma	Neoplasms	HP_0002671	Basal cell carcinoma	basal cell carcinoma	True
209.22	Hypopituitarism NOS	hypopituitarism	Endo	HP_0040075	Hypopituitarism	hypopituitarism	True
406.1	Pulmonary hypertension	pulmonary hypertension	Cardio	HP_0002092	Pulmonary arterial hypertension	pulmonary arterial hypertension	True
406.1	Pulmonary hypertension	pulmonary hypertension	Cardio	HP_0002092	Pulmonary artery hypertension	pulmonary artery hypertension	False
406.1	Pulmonary hypertension	pulmonary hypertension	Cardio	HP_0030950	Pulmonary venous hypertension	pulmonary venous hypertension	True
287.1	Schizophrenia	schizophrenia	Mental	HP_0100753	Schizophrenia	schizophrenia	True
542.4	Portal hypertension	portal hypertension	GI	HP_0001409	Portal hypertension	portal hypertension	True
121	Leukemia	leukemia	Neoplasms	HP_0001909	Leukemia	leukemia	True
121	Leukemia	leukemia	Neoplasms	HP_0001909	Leukaemia	leukemia	False
329.1	Memory loss	memory loss	Neuro	HP_0002354	Memory loss	memory loss	False
321.2	Myelitis	myelitis	Neuro	HP_0012486	Myelitis	myelitis	True
121.1	Acute leukemia	acute leukemia	Neoplasms	HP_0002488	Acute leukemia	acute leukemia	True
121.1	Acute leukemia	acute leukemia	Neoplasms	HP_0002488	Acute leukaemia	acute leukemia	False
346.7	Temporal sclerosis	temporal sclerosis	Neuro	HP_0033715	Mesial temporal sclerosis	mesial temporal sclerosis	False
214.1	Primary ovarian failure	primary ovarian failure	Endo	HP_0001587	obsolete Primary ovarian failure	obsolete primary ovarian failure	True
139.62	Lymphangioma	lymphangioma	Neoplasms	HP_0100764	Lymphangioma	lymphangioma	True
139.61	Hemangioma	hemangioma	Neoplasms	HP_0001028	Hemangioma	hemangioma	True
170.1	Neutropenia	neutropenia	Blood	HP_0001875	Neutropenia	neutropenia	True
256.32	Alkalosis	alkalosis	Metab	HP_0001948	Alkalosis	alkalosis	True
381.11	Ophthalmoplegia	ophthalmoplegia	Eye	HP_0000602	Ophthalmoplegia	ophthalmoplegia	True
381.11	Ophthalmoplegia	ophthalmoplegia	Eye	HP_0007824	Total ophthalmoplegia	total ophthalmoplegia	True
684.12	Telogen effluvium	telogen effluvium	Derm	HP_0025470	Telogen effluvium	telogen effluvium	True
528.1	Nausea	nausea	GI	HP_0002018	Nausea	nausea	True
810.1	Cardiogenic shock	cardiogenic shock	Signs/Symptoms	HP_0030149	Cardiogenic shock	cardiogenic shock	True
546.1	Hepatic necrosis	hepatic necrosis	GI	HP_0002605	Hepatic necrosis	hepatic necrosis	True
324.3	Dystonia	dystonia	Neuro	HP_0001332	Dystonia	dystonia	True
072	Histoplasmosis	histoplasmosis	ID	HP_0032256	Histoplasmosis	histoplasmosis	True
124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms	HP_0005534	Transient myeloproliferative disorder	transient myeloproliferative disorder	False
124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms	HP_0005547	Myeloproliferative disorder	myeloproliferative disorder	True
181	Autoimmune disease	autoimmune disease	Blood	HP_0002960	Autoimmune disease	autoimmune disease	False
122.23	Burkitt lymphoma	burkitt lymphoma	Neoplasms	HP_0030080	Burkitt lymphoma	burkitt lymphoma	True
114.41	Intestinal carcinoid	intestinal carcinoid	Neoplasms	HP_0006723	Intestinal carcinoid	intestinal carcinoid	True
288.41	Agoraphobia	agoraphobia	Mental	HP_0000756	Agoraphobia	agoraphobia	True
488.9	Snoring*	snoring	Resp	HP_0025267	Snoring	snoring	True
324.41	Essential tremor*	essential tremor	Neuro	HP_0030186	Essential tremor	essential tremor	False
324.36	Blepharospasm	blepharospasm	Neuro	HP_0000643	Blepharospasm	blepharospasm	True
324.34	Torticollis	torticollis	Neuro	HP_0000473	Torticollis	torticollis	True
320.3	Meningitis NOS	meningitis	Neuro	HP_0001287	Meningitis	meningitis	True
320.3	Meningitis NOS	meningitis	Neuro	HP_0033508	EBV meningitis	ebv meningitis	True
321.1	Encephalitis	encephalitis	Neuro	HP_0033509	EBV encephalitis	ebv encephalitis	True
321.12	Viral encephalitis	viral encephalitis	Neuro	HP_0033993	Viral encephalitis	viral encephalitis	True
532.1	Intestinal fistula	intestinal fistula	GI	HP_0100819	Intestinal fistula	intestinal fistula	True
468.51	Pulmonary aspergillosis	pulmonary aspergillosis	Resp	HP_0020103	Invasive pulmonary aspergillosis	invasive pulmonary aspergillosis	True
532.2	Intestinal perforation	intestinal perforation	GI	HP_0031368	Intestinal perforation	intestinal perforation	True
532.2	Intestinal perforation	intestinal perforation	GI	HP_0031370	Small intestinal perforation	small intestinal perforation	True
532.3	Intussusception	intussusception	GI	HP_0002576	Intussusception	intussusception	True
436.5	Cerebral atherosclerosis	cerebral atherosclerosis	Cardio	HP_0007201	Cerebral artery atherosclerosis	cerebral artery atherosclerosis	True
333.3	Hypersomnia	hypersomnia	Neuro	HP_0100786	Hypersomnia	hypersomnia	True
330.13	Epileptic spasms	epileptic spasms	Neuro	HP_0011097	Epileptic spasms	epileptic spasms	False
532.4	Volvulus	volvulus	GI	HP_0002580	Volvulus	volvulus	True
334.11	Trigeminal neuralgia	trigeminal neuralgia	Neuro	HP_0100661	Trigeminal neuralgia	trigeminal neuralgia	True
334.21	Bell's palsy	bells palsy	Neuro	HP_0010628	Bell's palsy	bells palsy	False
401.7	Hypertensive crisis*	hypertensive crisis	Cardio	HP_0100735	Hypertensive crisis	hypertensive crisis	True
391.4	Tympanosclerosis	tympanosclerosis	Hearing	HP_0020123	Tympanosclerosis	tympanosclerosis	True
377.8	Hyphema	hyphema	Eye	HP_0011886	Hyphema	hyphema	True
380.22	Optic disc drusen	optic disk drusen	Eye	HP_0012426	Optic disc drusen	optic disk drusen	True
380.21	Papilledema	papilledema	Eye	HP_0001085	Papilledema	papilledema	True
397.3	Hyperacusis	hyperacusis	Hearing	HP_0010780	Hyperacusis	hyperacusis	True
391.8	Otosclerosis	otosclerosis	Hearing	HP_0000362	Otosclerosis	otosclerosis	True
389.1	Ocular pain	ocular pain	Eye	HP_0200026	Ocular pain	ocular pain	True
381.82	Exophoria	exophoria	Eye	HP_0025313	Exophoria	exophoria	True
381.83	Cyclophoria	cyclophoria	Eye	HP_0031777	Cyclophoria	cyclophoria	True
381.8	Heterophoria	heterophoria	Eye	HP_0032011	Heterophoria	heterophoria	True
381.81	Esophoria	esophoria	Eye	HP_0025312	Esophoria	esophoria	True
369.43	Band keratopathy	band keratopathy	Eye	HP_0000585	Band keratopathy	band keratopathy	True
375.6	Ocular hypertension	ocular hypertension	Eye	HP_0007906	Ocular hypertension	ocular hypertension	True
384.1	Anisocoria	anisocoria	Eye	HP_0009916	Anisocoria	anisocoria	True
384.2	Miosis	miosis	Eye	HP_0000616	Miosis	miosis	True
383.2	Saccadic eye movements	saccadic eye movements	Eye	HP_0000514	Slow saccadic eye movements	slow saccadic eye movements	True
383.2	Saccadic eye movements	saccadic eye movements	Eye	HP_0000570	Abnormal saccadic eye movements	abnormal saccadic eye movements	True
383.1	Nystagmus	nystagmus	Eye	HP_0000639	Nystagmus	nystagmus	True
356.4	Slurred speech*	slurred speech	Neuro	HP_0001350	Slurred speech	slurred speech	True
386.41	Scotoma	scotoma	Eye	HP_0000575	Scotoma	scotoma	True
386.42	Hemianopia	hemianopia	Eye	HP_0012377	Hemianopia	hemianopia	True
386.43	Constriction of visual field	constriction of visual field	Eye	HP_0001133	Constriction of peripheral visual field	constriction of peripheral visual field	True
386.6	Night blindness	night blindness	Eye	HP_0000662	Night blindness	night blindness	False
367.51	Panuveitis	panuveitis	Eye	HP_0012121	Panuveitis	panuveitis	True
367.2	Keratitis	keratitis	Eye	HP_0000491	Keratitis	keratitis	True
361.5	Eyelid retraction	eyelid retraction	Eye	HP_0030802	Lower eyelid retraction	lower eyelid retraction	True
361.5	Eyelid retraction	eyelid retraction	Eye	HP_0500043	Eyelid retraction	eyelid retraction	True
361.5	Eyelid retraction	eyelid retraction	Eye	HP_0500044	Upper eyelid retraction	upper eyelid retraction	True
365.1	Enophthalmos	enophthalmos	Eye	HP_0000490	Enophthalmos	enophthalmos	False
387.5	Anisometropia	anisometropia	Eye	HP_0012803	Anisometropia	anisometropia	True
387.31	Irregular astigmatism	irregular astigmatism	Eye	HP_0031792	Irregular astigmatism	irregular astigmatism	True
387.3	Astigmatism	astigmatism	Eye	HP_0000483	Astigmatism	astigmatism	True
356.1	Dysarthria	dysarthria	Neuro	HP_0001260	Dysarthria	dysarthria	True
391.12	Chronic otitis media	chronic otitis media	Hearing	HP_0000389	Chronic otitis media	chronic otitis media	True
391.12	Chronic otitis media	chronic otitis media	Hearing	HP_0000389	Otitis media, chronic	otitis media chronic	False
391.22	Obstruction of Eustachian tube	obstruction of eustachian tube	Hearing	HP_0040269	Obstruction of Eustachian tube	obstruction of eustachian tube	False
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing	HP_0000408	Bilateral progressive sensorineural hearing loss	bilateral progressive sensorineural hearing loss	False
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing	HP_0000408	Hearing loss, sensorineural, bilateral, progressive	hearing loss sensorineural bilateral progressive	False
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing	HP_0000408	Progressive bilateral sensorineural hearing loss	progressive bilateral sensorineural hearing loss	False
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing	HP_0008619	Bilateral sensorineural hearing loss	bilateral sensorineural hearing loss	False
396.21	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	Hearing	HP_0008619	Hearing loss, sensorineural, bilateral	hearing loss sensorineural bilateral	False
396.11	Conductive hearing loss, bilateral	conductive hearing loss bilateral	Hearing	HP_0008513	Bilateral conductive hearing loss	bilateral conductive hearing loss	False
396.22	Presbycusis	presbycusis	Hearing	HP_0040113	Presbycusis	presbycusis	False
394.21	Paroxysmal vertigo	paroxysmal vertigo	Hearing	HP_0010532	Paroxysmal vertigo	paroxysmal vertigo	True
394.2	Vertigo	vertigo	Hearing	HP_0002321	Vertigo	vertigo	True
355.1	Coma	coma	Neuro	HP_0001259	Coma	coma	True
353.12	Visual hallucinations	visual hallucinations	Neuro	HP_0002367	Visual hallucinations	visual hallucinations	True
438.12	Thoracic aneurysm	thoracic aneurysm	Cardio	HP_0012727	Thoracic aortic aneurysm	thoracic aortic aneurysm	True
353.11	Auditory hallucinations*	auditory hallucinations	Neuro	HP_0008765	Auditory hallucinations	auditory hallucinations	True
438.6	Cerebral aneurysm	cerebral aneurysm	Cardio	HP_0007029	Cerebral berry aneurysm	cerebral berry aneurysm	True
452	Hemorrhage, NOS	hemorrhage	Cardio	HP_0002239	GI haemorrhage	gi hemorrhage	False
452	Hemorrhage, NOS	hemorrhage	Cardio	HP_0002239	GI hemorrhage	gi hemorrhage	False
352.1	Anosmia*	anosmia	Neuro	HP_0000458	Anosmia	anosmia	True
352.2	Parosmia*	parosmia	Neuro	HP_0034004	Parosmia	parosmia	True
352.3	Parageusia*	parageusia	Neuro	HP_0031249	Parageusia	parageusia	True
469	Bronchitis	bronchitis	Resp	HP_0012387	Bronchitis	bronchitis	True
463.4	Nasal congestion*	nasal congestion	Resp	HP_0001742	Nasal congestion	nasal congestion	True
478	Aspiration pneumonia	aspiration pneumonia	Resp	HP_0011951	Aspiration pneumonia	aspiration pneumonia	True
478	Aspiration pneumonia	aspiration pneumonia	Resp	HP_0011952	Acute aspiration pneumonia	acute aspiration pneumonia	True
481.43	Interstitial pneumonitis	interstitial pneumonitis	Resp	HP_0006515	Interstitial pneumonitis	interstitial pneumonitis	True
481.43	Interstitial pneumonitis	interstitial pneumonitis	Resp	HP_0006527	Lymphoid interstitial pneumonitis	lymphoid interstitial pneumonitis	False
481.45	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	Resp	HP_0011945	Cryptogenic organising pneumonia	cryptogenic organizing pneumonia	False
481.45	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	Resp	HP_0011945	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	False
484.1	Spontaneous pneumothorax	spontaneous pneumothorax	Resp	HP_0002108	Spontaneous pneumothorax	spontaneous pneumothorax	True
484.1	Spontaneous pneumothorax	spontaneous pneumothorax	Resp	HP_0004876	Spontaneous neonatal pneumothorax	spontaneous neonatal pneumothorax	True
497	Respiratory arrest	respiratory arrest	Resp	HP_0005943	Respiratory arrest	respiratory arrest	True
491	Pleurisy	pleurisy	Resp	HP_0002102	Pleurisy	pleurisy	False
286.1	Bipolar disorder	bipolar disorder	Mental	HP_0007302	Bipolar disorder	bipolar disorder	False
522	Gastrointestinal inflammation	gastrointestinal inflammation	GI	HP_0004386	Gastrointestinal inflammation	gastrointestinal inflammation	True
351.4	Hyperesthesia*	hyperesthesia	Neuro	HP_0100963	Hyperesthesia	hyperesthesia	True
121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms	HP_0006721	Acute lymphoid leukaemia	acute lymphoid leukemia	False
121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms	HP_0006721	Acute lymphoid leukemia	acute lymphoid leukemia	False
766.2	Cystic liver disease	cystic liver disease	Cong	HP_0006706	Cystic liver disease	cystic liver disease	True
091	Gangrene	gangrene	ID	HP_0100758	Gangrene	gangrene	True
529.3	Fecal incontinence	fecal incontinence	GI	HP_0002607	Faecal incontinence	fecal incontinence	False
529.3	Fecal incontinence	fecal incontinence	GI	HP_0002607	Fecal incontinence	fecal incontinence	False
554.12	Chronic pancreatitis	chronic pancreatitis	GI	HP_0006280	Chronic pancreatitis	chronic pancreatitis	True
554.11	Acute pancreatitis	acute pancreatitis	GI	HP_0001735	Acute pancreatitis	acute pancreatitis	True
554.11	Acute pancreatitis	acute pancreatitis	GI	HP_0001735	Pancreatitis, acute	pancreatitis acute	False
556.4	Abdominal rigidity	abdominal rigidity	GI	HP_0032545	Abdominal rigidity	abdominal rigidity	True
597.3	Urethral fistula	urethral fistula	Genitourinary	HP_0010480	Urethral fistula	urethral fistula	True
604.4	Priapism	priapism	Genitourinary	HP_0200023	Priapism	priapism	True
350.3	Abnormal reflex	abnormal reflex	Neuro	HP_0031826	Abnormal reflex	abnormal reflex	True
350.1	Tetany	tetany	Neuro	HP_0001281	Tetany	tetany	True
908.12	Eclampsia	eclampsia	Preg	HP_0100601	Eclampsia	eclampsia	True
911.1	Hyperemesis gravidarum	hyperemesis gravidarum	Preg	HP_0012188	Hyperemesis gravidarum	hyperemesis gravidarum	True
920.1	Polyhydramnios	polyhydramnios	Preg	HP_0001561	Polyhydramnios	polyhydramnios	True
920.2	Oligohydramnios	oligohydramnios	Preg	HP_0001562	Oligohydramnios	oligohydramnios	True
280.52	Cocaine dependence	cocaine dependence	Mental	HP_0033513	Cocaine dependence	cocaine dependence	False
280.22	Opioid dependence	opioid dependence	Mental	HP_0033515	Opioid dependence	opioid dependence	False
603.6	Scrotal pain*	scrotal pain	Genitourinary	HP_0030155	Scrotal pain	scrotal pain	True
249.1	Cerebral amyloid angiopathy*	cerebral amyloid angiopathy	Metab	HP_0011970	Cerebral amyloid angiopathy	cerebral amyloid angiopathy	True
589.1	Membranous glomerulonephritis	membranous glomerulonephritis	Genitourinary	HP_0012578	Membranous glomerulonephritis	membranous glomerulonephritis	False
753.21	Congenital aphakia	congenital aphakia	Cong	HP_0007707	Congenital aphakia	congenital aphakia	True
348.4	Spinal cord compression*	spinal cord compression	Neuro	HP_0002176	Spinal cord compression	spinal cord compression	True
703.11	Gout	gout	Musc/Skel	HP_0001997	Gout	gout	True
703.2	Chondrocalcinosis	chondrocalcinosis	Musc/Skel	HP_0000934	Chondrocalcinosis	chondrocalcinosis	True
771.27	Epispadias	epispadias	Cong	HP_0000039	Epispadias	epispadias	True
700.41	Myositis	myositis	Musc/Skel	HP_0100614	Myositis	myositis	True
522.8	Duodenitis	duodenitis	GI	HP_0033117	Duodenitis	duodenitis	True
