ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_codeList
H18.04	Kayser-Fleischer ring	kayser-fleischer ring	['364']	['247', '247.1', '247.13']	HP_0200032	Kayser-Fleischer ring	kayser-fleischer ring	True	['SO_369.15']
H18.4	Corneal degeneration	corneal degeneration	['364', '364.4']	['369', '369.4']	HP_0007705	Corneal degeneration	corneal degeneration	True	['SO_369.4']
H18.40	Unspecified corneal degeneration	corneal degeneration	['364', '364.4']	['369', '369.4']	HP_0007705	Corneal degeneration	corneal degeneration	True	['SO_369.4']
H18.41	Arcus senilis	arcus senilis	['364', '364.4']	['369', '369.4', '369.44']	HP_0001084	Arcus senilis	arcus senilis	False	['SO_369.44']
H18.42	Band keratopathy	band keratopathy	['364', '364.4']	['369', '369.4', '369.43']	HP_0000585	Band keratopathy	band keratopathy	True	['SO_369.43']
H18.52	Epithelial (juvenile) corneal dystrophy	epithelial juvenile corneal dystrophy	['364', '364.5']	['369', '369.5', '369.54']	HP_0007755	Juvenile epithelial corneal dystrophy	juvenile epithelial corneal dystrophy	True	['GE_974.24']
H18.53	Granular corneal dystrophy	granular corneal dystrophy	['364', '364.5']	['369', '369.5', '369.53']	HP_0007802	Granular corneal dystrophy	granular corneal dystrophy	True	['GE_974.23']
H18.54	Lattice corneal dystrophy	lattice corneal dystrophy	['364', '364.5']	['369', '369.5', '369.52']	HP_0001149	Lattice corneal dystrophy	lattice corneal dystrophy	True	['GE_974.22']
H18.6	Keratoconus	keratoconus	['364', '364.4', '364.41']	['369', '369.6', '369.62']	HP_0000563	Keratoconus	keratoconus	True	['SO_369.62']
H18.60	Keratoconus, unspecified	keratoconus	['364', '364.4', '364.41']	['369', '369.6', '369.62']	HP_0000563	Keratoconus	keratoconus	True	['SO_369.62']
H20	Iridocyclitis	iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']	HP_0001094	Iridocyclitis	iridocyclitis	True	['SO_367.52']
H20.05	Hypopyon	hypopyon	['371', '371.1']	['367', '367.8']	HP_0031615	Hypopyon	hypopyon	True	['SO_367.8']
H20.9	Unspecified iridocyclitis	iridocyclitis	['371', '371.1']	['367', '367.5', '367.52']	HP_0001094	Iridocyclitis	iridocyclitis	True	['SO_367.52']
H21.0	Hyphema	hyphema	['379', '379.5']	['377', '377.8']	HP_0011886	Hyphema	hyphema	True	['SO_377.8']
H21.56	Pupillary abnormalities	pupillary abnormalities	['379', '379.5']	['370', '370.4', '370.41']	HP_0000615	Pupillary abnormalities	pupillary abnormalities	False	['SO_370.41']
H25	Age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011141	Age-related cataract	age-related cataract	True	['SO_371']
H25	Age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011142	Age-related nuclear cataract	age-related nuclear cataract	True	['SO_371']
H25	Age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011143	Age-related cortical cataract	age-related cortical cataract	True	['SO_371']
H25.01	Cortical age-related cataract	cortical age-related cataract	['366', '366.2']	['371', '371.1']	HP_0011143	Age-related cortical cataract	age-related cortical cataract	True	['SO_371.1']
H25.1	Age-related nuclear cataract	age-related nuclear cataract	['366', '366.2']	['371', '371.3', '371.31']	HP_0011142	Age-related nuclear cataract	age-related nuclear cataract	True	['SO_371.3']
H25.9	Unspecified age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011141	Age-related cataract	age-related cataract	True	['SO_371']
H25.9	Unspecified age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011142	Age-related nuclear cataract	age-related nuclear cataract	True	['SO_371']
H25.9	Unspecified age-related cataract	age-related cataract	['366', '366.2']	['371']	HP_0011143	Age-related cortical cataract	age-related cortical cataract	True	['SO_371']
H26.9	Unspecified cataract	cataract	['366']	['371']	HP_0000518	Cataract	cataract	True	['SO_371']
H31.1	Choroidal degeneration	choroidal degeneration	['363', '363.4']	['373', '373.2']	HP_0007945	obsolete Choroidal degeneration	obsolete choroidal degeneration	True	['SO_373.2']
H31.10	Unspecified choroidal degeneration	choroidal degeneration	['363', '363.4']	['373', '373.2']	HP_0007945	obsolete Choroidal degeneration	obsolete choroidal degeneration	True	['SO_373.2']
H31.21	Choroideremia	choroideremia	['363', '363.4']	['373', '373.3', '373.31']	HP_0001139	Choroideremia	choroideremia	True	['SO_373.2', 'GE_974.31']
H31.30	Unspecified choroidal hemorrhage	choroidal hemorrhage	['363']	['377', '377.3']	HP_0011887	Choroidal haemorrhage	choroidal hemorrhage	False	['SO_377.3']
H31.30	Unspecified choroidal hemorrhage	choroidal hemorrhage	['363']	['377', '377.3']	HP_0011887	Choroidal hemorrhage	choroidal hemorrhage	False	['SO_377.3']
H33.10	Unspecified retinoschisis	retinoschisis	['361', '361.2']	['374', '374.2', '374.21']	HP_0030502	Retinoschisis	retinoschisis	True	['SO_374.21']
H33.2	Serous retinal detachment	serous retinal detachment	['361', '362', '362.3', '362.31']	['374', '374.1', '374.11']	HP_0012231	Serous retinal detachment	serous retinal detachment	False	['SO_374.11']
H34.1	Central retinal artery occlusion	central retinal artery occlusion	['362', '362.4']	['374', '374.3', '374.37']	HP_0025342	Central retinal artery occlusion	central retinal artery occlusion	True	['SO_374.9']
H34.23	Retinal artery branch occlusion	retinal artery branch occlusion	['362', '362.4']	['374', '374.3', '374.37']	HP_0020161	Branch retinal artery occlusion	branch retinal artery occlusion	True	['SO_374.9']
H34.81	Central retinal vein occlusion	central retinal vein occlusion	['362', '362.4']	['374', '374.3', '374.38']	HP_0020166	Central retinal vein occlusion	central retinal vein occlusion	True	['SO_374.9']
H35.02	Exudative retinopathy	exudative retinopathy	['362', '362.3']	['374', '374.3', '374.31']	HP_0007898	Exudative retinopathy	exudative retinopathy	True	['SO_374.43']
H35.03	Hypertensive retinopathy	hypertensive retinopathy	['362', '362.3']	['374', '374.4', '374.41']	HP_0001095	Hypertensive retinopathy	hypertensive retinopathy	True	['SO_374.41']
H35.05	Retinal neovascularization, unspecified	retinal neovascularization	['362', '362.4']	['374', '374.3', '374.33']	HP_0007778	Posterior retinal neovascularization	posterior retinal neovascularization	True	['SO_374.33']
H35.05	Retinal neovascularization, unspecified	retinal neovascularization	['362', '362.4']	['374', '374.3', '374.33']	HP_0030666	Retinal neovascularization	retinal neovascularization	True	['SO_374.33']
H35.05	Retinal neovascularization, unspecified	retinal neovascularization	['362', '362.4']	['374', '374.3', '374.33']	HP_0030667	Peripheral retinal neovascularization	peripheral retinal neovascularization	True	['SO_374.33']
H35.06	Retinal vasculitis	retinal vasculitis	['362', '362.4']	['374', '374.3', '374.34']	HP_0025188	Retinal vasculitis	retinal vasculitis	True	['SO_374.34']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500049	Retinopathy of prematurity	retinopathy of prematurity	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500050	Retinopathy of prematurity stage 1	retinopathy of prematurity stage 1	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500051	Retinopathy of prematurity stage 2	retinopathy of prematurity stage 2	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500052	Retinopathy of prematurity stage 3	retinopathy of prematurity stage 3	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500053	Retinopathy of prematurity stage 4	retinopathy of prematurity stage 4	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500054	Retinopathy of prematurity stage 4a	retinopathy of prematurity stage 4a	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500055	Retinopathy of prematurity stage 4b	retinopathy of prematurity stage 4b	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500056	Retinopathy of prematurity stage 5	retinopathy of prematurity stage 5	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500057	Retinopathy of prematurity stage 5a	retinopathy of prematurity stage 5a	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500058	Retinopathy of prematurity stage 5b	retinopathy of prematurity stage 5b	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500059	Retinopathy of prematurity zone I	retinopathy of prematurity zone i	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500060	Retinopathy of prematurity zone II	retinopathy of prematurity zone ii	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500061	Retinopathy of prematurity zone III	retinopathy of prematurity zone iii	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500062	Retinopathy of prematurity plus	retinopathy of prematurity plus	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500063	Retinopathy of prematurity pre-plus	retinopathy of prematurity pre-plus	True	['SO_374.4', 'NB_873']
H35.1	Retinopathy of prematurity	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500064	Retinopathy of prematurity threshold	retinopathy of prematurity threshold	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500049	Retinopathy of prematurity	retinopathy of prematurity	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500050	Retinopathy of prematurity stage 1	retinopathy of prematurity stage 1	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500051	Retinopathy of prematurity stage 2	retinopathy of prematurity stage 2	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500052	Retinopathy of prematurity stage 3	retinopathy of prematurity stage 3	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500053	Retinopathy of prematurity stage 4	retinopathy of prematurity stage 4	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500054	Retinopathy of prematurity stage 4a	retinopathy of prematurity stage 4a	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500055	Retinopathy of prematurity stage 4b	retinopathy of prematurity stage 4b	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500056	Retinopathy of prematurity stage 5	retinopathy of prematurity stage 5	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500057	Retinopathy of prematurity stage 5a	retinopathy of prematurity stage 5a	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500058	Retinopathy of prematurity stage 5b	retinopathy of prematurity stage 5b	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500059	Retinopathy of prematurity zone I	retinopathy of prematurity zone i	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500060	Retinopathy of prematurity zone II	retinopathy of prematurity zone ii	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500061	Retinopathy of prematurity zone III	retinopathy of prematurity zone iii	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500062	Retinopathy of prematurity plus	retinopathy of prematurity plus	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500063	Retinopathy of prematurity pre-plus	retinopathy of prematurity pre-plus	True	['SO_374.4', 'NB_873']
H35.10	Retinopathy of prematurity, unspecified	retinopathy of prematurity	['362', '362.1']	['873']	HP_0500064	Retinopathy of prematurity threshold	retinopathy of prematurity threshold	True	['SO_374.4', 'NB_873']
H35.12	Retinopathy of prematurity, stage 1	retinopathy of prematurity stage 1	['362', '362.1']	['873']	HP_0500050	Retinopathy of prematurity stage 1	retinopathy of prematurity stage 1	True	['SO_374.4', 'NB_873.2']
H35.13	Retinopathy of prematurity, stage 2	retinopathy of prematurity stage 2	['362', '362.1']	['873']	HP_0500051	Retinopathy of prematurity stage 2	retinopathy of prematurity stage 2	True	['SO_374.4', 'NB_873.3']
H35.14	Retinopathy of prematurity, stage 3	retinopathy of prematurity stage 3	['362', '362.1']	['873']	HP_0500052	Retinopathy of prematurity stage 3	retinopathy of prematurity stage 3	True	['SO_374.4', 'NB_873.4']
H35.15	Retinopathy of prematurity, stage 4	retinopathy of prematurity stage 4	['362', '362.1']	['873']	HP_0500053	Retinopathy of prematurity stage 4	retinopathy of prematurity stage 4	True	['SO_374.4', 'NB_873.5']
H35.16	Retinopathy of prematurity, stage 5	retinopathy of prematurity stage 5	['362', '362.1']	['873']	HP_0500056	Retinopathy of prematurity stage 5	retinopathy of prematurity stage 5	True	['SO_374.4', 'NB_873.6']
H35.30	Unspecified macular degeneration	macular degeneration	['362', '362.2', '362.29']	['374', '374.5', '374.51']	HP_0000608	Macular degeneration	macular degeneration	True	['SO_374.5']
H35.30	Unspecified macular degeneration	macular degeneration	['362', '362.2', '362.29']	['374', '374.5', '374.51']	HP_0008028	Cystoid macular degeneration	cystoid macular degeneration	True	['SO_374.5']
H35.30	Unspecified macular degeneration	macular degeneration	['362', '362.2', '362.29']	['374', '374.5', '374.51']	HP_0008028	Cystic macular degeneration	cystic macular degeneration	False	['SO_374.5']
H35.35	Cystoid macular degeneration	cystoid macular degeneration	['362', '362.2', '362.23']	['374', '374.5', '374.53']	HP_0008028	Cystoid macular degeneration	cystoid macular degeneration	True	['SO_374.53']
H35.4	Peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007667	Peripheral cystoid retinal degeneration	peripheral cystoid retinal degeneration	True	['SO_374.6']
H35.4	Peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007769	Peripheral retinal degeneration	peripheral retinal degeneration	True	['SO_374.6']
H35.4	Peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007782	obsolete Peripheral retinal cone degeneration	obsolete peripheral retinal cone degeneration	True	['SO_374.6']
H35.40	Unspecified peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007667	Peripheral cystoid retinal degeneration	peripheral cystoid retinal degeneration	True	['SO_374.6']
H35.40	Unspecified peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007769	Peripheral retinal degeneration	peripheral retinal degeneration	True	['SO_374.6']
H35.40	Unspecified peripheral retinal degeneration	peripheral retinal degeneration	['362', '362.6']	['374', '374.6']	HP_0007782	obsolete Peripheral retinal cone degeneration	obsolete peripheral retinal cone degeneration	True	['SO_374.6']
H35.6	Retinal hemorrhage	retinal hemorrhage	['362', '362.8']	['377', '377.4']	HP_0000573	Retinal hemorrhage	retinal hemorrhage	True	['SO_377.4']
H35.6	Retinal hemorrhage	retinal hemorrhage	['362', '362.8']	['377', '377.4']	HP_0000573	Retinal haemorrhage	retinal hemorrhage	False	['SO_377.4']
H35.71	Central serous chorioretinopathy	central serous chorioretinopathy	['362', '362.3', '362.31']	['374', '374.9']	HP_0025567	Central serous chorioretinopathy	central serous chorioretinopathy	True	['SO_374.44']
H40	Glaucoma	glaucoma	['365']	['375']	HP_0000501	Glaucoma	glaucoma	True	['SO_375']
H40.05	Ocular hypertension	ocular hypertension	['365']	['375', '375.6']	HP_0007906	Ocular hypertension	ocular hypertension	True	['SO_375.6']
H40.9	Unspecified glaucoma	glaucoma	['365']	['375', '375.1']	HP_0000501	Glaucoma	glaucoma	True	['SO_375.1']
H43.1	Vitreous hemorrhage	vitreous hemorrhage	['379', '379.2']	['377', '377.5']	HP_0007902	Vitreous hemorrhage	vitreous hemorrhage	True	['SO_377.5']
H43.1	Vitreous hemorrhage	vitreous hemorrhage	['379', '379.2']	['377', '377.5']	HP_0007902	Vitreous haemorrhage	vitreous hemorrhage	False	['SO_377.5']
H43.82	Vitreomacular adhesion	vitreomacular adhesion	['379', '379.2']	['376', '376.4']	HP_0031150	Vitreomacular adhesion	vitreomacular adhesion	True	['SO_376.4']
H44.11	Panuveitis	panuveitis	['371', '371.1']	['367', '367.5', '367.51']	HP_0012121	Panuveitis	panuveitis	True	['SO_367.51']
H46	Optic neuritis	optic neuritis	['377', '377.3']	['380', '380.1', '380.11']	HP_0100653	Optic neuritis	optic neuritis	True	['SO_380.11']
H46.1	Retrobulbar neuritis	retrobulbar neuritis	['377', '377.3']	['380', '380.1', '380.11']	HP_0100654	Retrobulbar optic neuritis	retrobulbar optic neuritis	True	['SO_380.11']
H46.1	Retrobulbar neuritis	retrobulbar neuritis	['377', '377.3']	['380', '380.1', '380.11']	HP_0100654	Retrobulbar neuritis	retrobulbar neuritis	False	['SO_380.11']
H46.9	Unspecified optic neuritis	optic neuritis	['377', '377.3']	['380', '380.1', '380.11']	HP_0100653	Optic neuritis	optic neuritis	True	['SO_380.11']
H47.03	Optic nerve hypoplasia	optic nerve hypoplasia	['377', '377.3']	['380', '380.1', '380.13']	HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	['SO_380.23']
H47.1	Papilledema	papilledema	['377', '377.3']	['380', '380.2', '380.21']	HP_0001085	Papilledema	papilledema	True	['SO_380.21']
H47.10	Unspecified papilledema	papilledema	['377']	['380', '380.2', '380.21']	HP_0001085	Papilledema	papilledema	True	['SO_380.21']
H47.2	Optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0000648	Optic atrophy	optic atrophy	True	['SO_380.3']
H47.2	Optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0000648	Optic nerve atrophy	optic nerve atrophy	False	['SO_380.3']
H47.2	Optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0001112	Leber optic atrophy	leber optic atrophy	True	['SO_380.3']
H47.20	Unspecified optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0000648	Optic atrophy	optic atrophy	True	['SO_380.3']
H47.20	Unspecified optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0000648	Optic nerve atrophy	optic nerve atrophy	False	['SO_380.3']
H47.20	Unspecified optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']	HP_0001112	Leber optic atrophy	leber optic atrophy	True	['SO_380.3']
H47.61	Cortical blindness	cortical blindness	['377']	['380', '380.5', '380.51']	HP_0100704	Cortical blindness	cortical blindness	False	['SO_380.51']
H49	Paralytic strabismus	paralytic strabismus	['378', '378.5']	['381', '381.1']	HP_0031775	Paralytic strabismus	paralytic strabismus	False	['SO_381.1']
H49.3	Total (external) ophthalmoplegia	total external ophthalmoplegia	['378', '378.5']	['381', '381.1', '381.11']	HP_0007824	Total internal and external ophthalmoplegia	total internal and external ophthalmoplegia	False	['SO_381.11']
H49.4	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	['378']	['381', '381.1', '381.11']	HP_0000544	Chronic progressive external ophthalmoplegia	chronic progressive external ophthalmoplegia	False	['SO_381.11']
H49.4	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	['378']	['381', '381.1', '381.11']	HP_0000590	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	True	['SO_381.11']
H49.4	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	['378']	['381', '381.1', '381.11']	HP_0000590	External ophthalmoplegia, progressive	external ophthalmoplegia progressive	False	['SO_381.11']
H49.9	Unspecified paralytic strabismus	paralytic strabismus	['378', '378.5']	['381', '381.1']	HP_0031775	Paralytic strabismus	paralytic strabismus	False	['SO_381.1']
H50.0	Esotropia	esotropia	['378', '378.1']	['381', '381.3']	HP_0000565	Esotropia	esotropia	True	['SO_381.3']
H50.00	Unspecified esotropia	esotropia	['378', '378.1']	['381', '381.3']	HP_0000565	Esotropia	esotropia	True	['SO_381.3']
H50.05	Alternating esotropia	alternating esotropia	['378', '378.1']	['381', '381.3', '381.31']	HP_0001137	Alternating esotropia	alternating esotropia	True	['SO_381.31']
H50.1	Exotropia	exotropia	['378', '378.1']	['381', '381.4']	HP_0000577	Exotropia	exotropia	True	['SO_381.4']
H50.10	Unspecified exotropia	exotropia	['378', '378.1']	['381', '381.4']	HP_0000577	Exotropia	exotropia	True	['SO_381.4']
H50.15	Alternating exotropia	alternating exotropia	['378', '378.1']	['381', '381.4', '381.41']	HP_0031717	Alternating exotropia	alternating exotropia	True	['SO_381.41']
H50.40	Unspecified heterotropia	heterotropia	['378', '378.1']	['381']	HP_0032012	Heterotropia	heterotropia	True	['SO_381']
H50.41	Cyclotropia	cyclotropia	['378', '378.1']	['381', '381.7']	HP_0031776	Cyclotropia	cyclotropia	True	['SO_381.7']
H50.5	Heterophoria	heterophoria	['378', '378.1']	['381', '381.8']	HP_0032011	Heterophoria	heterophoria	True	['SO_381.8']
H50.50	Unspecified heterophoria	heterophoria	['378', '378.1']	['381', '381.8']	HP_0032011	Heterophoria	heterophoria	True	['SO_381.8']
H50.51	Esophoria	esophoria	['378', '378.1']	['381', '381.8', '381.81']	HP_0025312	Esophoria	esophoria	True	['SO_381.81']
H50.52	Exophoria	exophoria	['378', '378.1']	['381', '381.8', '381.82']	HP_0025313	Exophoria	exophoria	True	['SO_381.82']
H50.54	Cyclophoria	cyclophoria	['378', '378.1']	['381', '381.8', '381.83']	HP_0031777	Cyclophoria	cyclophoria	True	['SO_381.83']
H50.9	Unspecified strabismus	strabismus	['378']	['381', '381.6']	HP_0000486	Strabismus	strabismus	True	['SO_381.6']
H51.11	Convergence insufficiency	convergence insufficiency	['378']	['382', '382.1']	HP_0000619	Convergence insufficiency	convergence insufficiency	False	['SO_382.1']
H51.2	Internuclear ophthalmoplegia	internuclear ophthalmoplegia	['378']	['381', '381.1', '381.11']	HP_0030773	Internuclear ophthalmoplegia	internuclear ophthalmoplegia	True	['SO_381.11']
H52.0	Hypermetropia	hypermetropia	['367', '367.8']	['387', '387.1']	HP_0000540	Hypermetropia	hypermetropia	True	['SO_387.1']
H52.0	Hypermetropia	hypermetropia	['367', '367.8']	['387', '387.1']	HP_0008499	High hypermetropia	high hypermetropia	True	['SO_387.1']
H52.0	Hypermetropia	hypermetropia	['367', '367.8']	['387', '387.1']	HP_0031728	Mild hypermetropia	mild hypermetropia	True	['SO_387.1']
H52.1	Myopia	myopia	['367', '367.1']	['387', '387.2']	HP_0000545	Myopia	myopia	True	['SO_387.2']
H52.2	Astigmatism	astigmatism	['367', '367.2']	['387', '387.3']	HP_0000483	Astigmatism	astigmatism	True	['SO_387.3']
H52.20	Unspecified astigmatism	astigmatism	['367', '367.2']	['387', '387.3']	HP_0000483	Astigmatism	astigmatism	True	['SO_387.3']
H52.21	Irregular astigmatism	irregular astigmatism	['367', '367.2']	['387', '387.3', '387.31']	HP_0031792	Irregular astigmatism	irregular astigmatism	True	['SO_387.3']
H52.31	Anisometropia	anisometropia	['368', '368.3']	['387', '387.5']	HP_0012803	Anisometropia	anisometropia	True	['SO_387.5']
H53.00	Unspecified amblyopia	amblyopia	['368', '368.1']	['386', '386.1']	HP_0000646	Amblyopia	amblyopia	True	['SO_386.1']
H53.11	Day blindness	day blindness	['368', '368.9']	['386']	HP_0012047	Day blindness	day blindness	False	['SO_386']
H53.2	Diplopia	diplopia	['368', '368.2']	['386', '386.2']	HP_0000651	Diplopia	diplopia	True	['SO_386.2']
H53.4	Visual field defects	visual field defects	['368', '368.4']	['386', '386.4']	HP_0001123	Visual field defects	visual field defects	False	['SO_386.4']
H53.40	Unspecified visual field defects	visual field defects	['368', '368.4']	['386', '386.4']	HP_0001123	Visual field defects	visual field defects	False	['SO_386.4']
H53.51	Achromatopsia	achromatopsia	['368', '368.5']	['386', '386.5']	HP_0011516	Achromatopsia	achromatopsia	True	['SO_386.5']
H53.53	Deuteranomaly	deuteranomaly	['368', '368.5']	['386', '386.5']	HP_0011520	Deuteranomaly	deuteranomaly	True	['SO_386.5']
H53.54	Protanomaly	protanomaly	['368', '368.5']	['386', '386.5']	HP_0200018	Protanomaly	protanomaly	True	['SO_386.5']
H53.55	Tritanomaly	tritanomaly	['368', '368.5']	['386', '386.5']	HP_0000552	Tritanomaly	tritanomaly	True	['SO_386.5']
H53.6	Night blindness	night blindness	['368']	['386', '386.6']	HP_0000662	Night blindness	night blindness	False	['SO_386.6']
H53.60	Unspecified night blindness	night blindness	['368']	['386', '386.6']	HP_0000662	Night blindness	night blindness	False	['SO_386.6']
H53.63	Congenital night blindness	congenital night blindness	['368']	['386', '386.6']	HP_0007642	Congenital stationary night blindness	congenital stationary night blindness	True	['SO_386.6']
H53.63	Congenital night blindness	congenital night blindness	['368']	['386', '386.6']	HP_0007642	Congenital night blindness	congenital night blindness	False	['SO_386.6']
H54.7	Unspecified visual loss	visual loss	['367', '367.9']	['388']	HP_0000572	Visual loss	visual loss	True	['SO_388']
H54.7	Unspecified visual loss	visual loss	['367', '367.9']	['388']	HP_0032037	Mild visual loss	mild visual loss	False	['SO_388']
H55.0	Nystagmus	nystagmus	['378', '378.2']	['383', '383.1']	HP_0000639	Nystagmus	nystagmus	True	['SO_383.1']
H55.00	Unspecified nystagmus	nystagmus	['378', '378.2']	['383', '383.1']	HP_0000639	Nystagmus	nystagmus	True	['SO_383.1']
H55.01	Congenital nystagmus	congenital nystagmus	['378', '378.2']	['383', '383.1']	HP_0006934	Congenital nystagmus	congenital nystagmus	True	['SO_383.1']
H57.02	Anisocoria	anisocoria	['379', '379.4']	['384', '384.1']	HP_0009916	Anisocoria	anisocoria	True	['SO_384.1']
H57.03	Miosis	miosis	['379', '379.4']	['384', '384.2']	HP_0000616	Miosis	miosis	True	['SO_384.2']
H57.04	Mydriasis	mydriasis	['379', '379.4']	['384', '384.3']	HP_0011499	Mydriasis	mydriasis	True	['SO_384.3']
H57.05	Tonic pupil	tonic pupil	['379', '379.4']	['384', '384.4']	HP_0012074	Tonic pupil	tonic pupil	True	['SO_384.4']
H57.1	Ocular pain	ocular pain	['379', '379.9']	['389', '389.1']	HP_0200026	Ocular pain	ocular pain	True	['SO_389.1']
H57.81	Brow ptosis	brow ptosis		['361', '361.3', '361.36']	HP_0031623	Brow ptosis	brow ptosis	True	['SO_361.36']
H57.819	Brow ptosis, unspecified	brow ptosis		['361', '361.3', '361.36']	HP_0031623	Brow ptosis	brow ptosis	True	['SO_361.36']
H60	Otitis externa	otitis externa	['380', '380.1']	['390', '390.1']	HP_0410017	Otitis externa	otitis externa	True	['SO_390.1']
