hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList
HP_0001370	Rheumatoid arthritis	rheumatoid arthritis	True	M08.0	Unspecified juvenile rheumatoid arthritis	juvenile rheumatoid arthritis	['714', '714.2']	['181', '705', '705.2']
HP_0001371	Contracture	contracture	False	M24.54	Contracture, hand	contracture hand	['739']	['719', '719.9', '719.92']
HP_0001371	Contracture	contracture	False	M24.55	Contracture, hip	contracture hip	['739']	['719', '719.9', '719.92']
HP_0001371	Contracture	contracture	False	M24.56	Contracture, knee	contracture knee	['739']	['719', '719.9', '719.92']
HP_0001371	Joint contracture	joint contracture	False	M24.5	Contracture of joint	contracture of joint	['739']	['719', '719.9', '719.92']
HP_0001373	Joint dislocation	joint dislocation	True	S93.06	Dislocation of unspecified ankle joint	dislocation ofankle joint	['830']	['T830.8']
HP_0001374	Congenital hip dislocation	congenital hip dislocation	True	Q65.2	Congenital dislocation of hip, unspecified	congenital dislocation of hip	['755', '755.6', '755.61']	['783', '783.1', 'T830']
HP_0001374	Congenital hip dislocation	congenital hip dislocation	True	Q65.5	Congenital partial dislocation of hip, unspecified	congenital partial dislocation of hip	['755', '755.6', '755.61']	['783', '783.1', 'T830']
HP_0002827	Dislocation of hip	dislocation of hip	False	S73.004	Unspecified dislocation of right hip	dislocation of right hip	['830']	['T830.6']
HP_0002827	Dislocation of hip	dislocation of hip	False	S73.005	Unspecified dislocation of left hip	dislocation of left hip	['830']	['T830.6']
HP_0001395	Hepatic fibrosis	hepatic fibrosis	True	K74.0	Hepatic fibrosis	hepatic fibrosis	['571', '571.5', '571.51']	['542', '542.1']
HP_0001395	Hepatic fibrosis	hepatic fibrosis	True	K74.00	Hepatic fibrosis, unspecified	hepatic fibrosis		['542', '542.1']
HP_0001399	Hepatic failure	hepatic failure	True	K72.9	Hepatic failure, unspecified	hepatic failure	['571', '571.8']	['542', '542.3']
HP_0006706	Cystic liver disease	cystic liver disease	True	Q44.6	Cystic disease of liver	cystic disease of liver	['750', '750.2', '750.22']	['766', '766.2']
HP_0001409	Portal hypertension	portal hypertension	True	K76.6	Portal hypertension	portal hypertension	['571', '571.8', '571.81']	['542', '542.4']
HP_0006562	Viral hepatitis	viral hepatitis	True	B17.9	Acute viral hepatitis, unspecified	acute viral hepatitis	['070']	['054', '089', '089.2', '540', '540.2', '540.3']
HP_0006562	Viral hepatitis	viral hepatitis	True	B19	Unspecified viral hepatitis	viral hepatitis	['070']	['054', '089', '089.2', '540', '540.3']
HP_0006562	Viral hepatitis	viral hepatitis	True	B19.1	Unspecified viral hepatitis B	viral hepatitis b	['070', '070.2']	['054', '054.2', '089', '089.2', '540', '540.3']
HP_0006562	Viral hepatitis	viral hepatitis	True	B19.2	Unspecified viral hepatitis C	viral hepatitis c	['070', '070.3']	['054', '054.3', '089', '089.2', '540', '540.3']
HP_0001488	Bilateral ptosis	bilateral ptosis	True	H57.813	Brow ptosis, bilateral	brow ptosis bilateral		['361', '361.3', '361.36']
HP_0001508	Failure to thrive	failure to thrive	True	R62.51	Failure to thrive (child)	failure to thrive child	['264', '264.2']	['890', '890.1']
HP_0001508	Failure to thrive	failure to thrive	True	R62.7	Adult failure to thrive	adult failure to thrive	['260', '260.3']	['230', '230.7']
HP_0001513	Obesity	obesity	True	E66.9	Obesity, unspecified	obesity	['278', '278.1']	['236', '236.1']
HP_0001518	Small for gestational age	small for gestational age	True	P05.1	Newborn small for gestational age	newborn small for gestational age	['637']	['850', '850.1']
HP_0001537	Umbilical hernia	umbilical hernia	True	K42	Umbilical hernia	umbilical hernia	['550', '550.4']	['520', '520.1', '520.13']
HP_0003270	Abdominal distension	abdominal distension	False	R14.0	Abdominal distension (gaseous)	abdominal distension gaseous	['561', '561.2']	['529', '529.2']
HP_0001539	Exomphalos	exomphalos	False	Q79.2	Exomphalos	exomphalos	['756', '756.1']	['789', '789.2', '789.21']
HP_0001541	Ascites	ascites	True	R18	Ascites	ascites	['572']	['555']
HP_0001543	Gastroschisis	gastroschisis	True	Q79.3	Gastroschisis	gastroschisis	['756', '756.1']	['789', '789.2', '789.22']
HP_0004397	Ectopic anus	ectopic anus	True	Q43.5	Ectopic anus	ectopic anus	['750', '750.2', '750.21']	['765', '765.6']
HP_0001558	Decreased fetal movements	decreased fetal movements	False	O36.81	Decreased fetal movements	decreased fetal movements	['655']	['932', '932.4']
HP_0001558	Decreased foetal movements	decreased fetal movements	False	O36.81	Decreased fetal movements	decreased fetal movements	['655']	['932', '932.4']
HP_0001561	Polyhydramnios	polyhydramnios	True	O40	Polyhydramnios	polyhydramnios	['653']	['920', '920.1']
HP_0001562	Oligohydramnios	oligohydramnios	True	O41.0	Oligohydramnios	oligohydramnios	['653']	['920', '920.2']
HP_0001571	Impacted teeth	impacted teeth	False	K01.1	Impacted teeth	impacted teeth	['520', '520.2']	['500', '500.4', '500.41']
HP_0011079	Retained tooth	retained tooth	False	Z18.32	Retained tooth	retained tooth	['524', '524.3']	['T892']
HP_0001586	Vesicovaginal fistula	vesicovaginal fistula	True	N82.0	Vesicovaginal fistula	vesicovaginal fistula	['617']	['617']
HP_0001618	Dysphonia	dysphonia	True	R49.0	Dysphonia	dysphonia	['473', '473.4']	['494', '494.1']
HP_0001629	Ventricular septal defect	ventricular septal defect	True	Q21.0	Ventricular septal defect	ventricular septal defect	['747', '747.1', '747.11']	['780', '780.4', '780.41']
HP_0001631	Atrial septal defect	atrial septal defect	True	Q21.1	Atrial septal defect	atrial septal defect	['747', '747.1', '747.11']	['780', '780.4', '780.42']
HP_0001635	Congestive heart failure	congestive heart failure	True	I50.2	Systolic (congestive) heart failure	systolic congestive heart failure	['428', '428.3']	['424', '424.2']
HP_0001635	Congestive heart failure	congestive heart failure	True	I50.20	Unspecified systolic (congestive) heart failure	systolic congestive heart failure	['428', '428.3']	['424', '424.2']
HP_0001635	Congestive heart failure	congestive heart failure	True	I50.3	Diastolic (congestive) heart failure	diastolic congestive heart failure	['428', '428.4']	['424', '424.3']
HP_0001635	Congestive heart failure	congestive heart failure	True	I50.30	Unspecified diastolic (congestive) heart failure	diastolic congestive heart failure	['428', '428.4']	['424', '424.3']
HP_0001635	Chronic heart failure	chronic heart failure	False	I50.812	Chronic right heart failure	chronic right heart failure	['428', '428.2']	['424', '424.5']
HP_0001635	Heart failure	heart failure	False	I50	Heart failure	heart failure	['428', '428.2']	['424']
HP_0001635	Heart failure	heart failure	False	I50.8	Other heart failure	other heart failure	['428', '428.2']	['424']
HP_0001635	Heart failure	heart failure	False	I50.81	Right heart failure	right heart failure	['428', '428.2']	['424', '424.5']
HP_0001635	Heart failure	heart failure	False	I50.810	Right heart failure, unspecified	right heart failure	['428', '428.2']	['424', '424.5']
HP_0001635	Heart failure	heart failure	False	I50.89	Other heart failure	other heart failure	['428', '428.2']	['424']
HP_0001635	Heart failure	heart failure	False	I50.9	Heart failure, unspecified	heart failure	['428', '428.1']	['424']
HP_0001636	Tetralogy of Fallot	tetralogy of fallot	True	Q21.3	Tetralogy of Fallot	tetralogy of fallot	['747', '747.1', '747.11']	['780', '780.4', '780.44']
HP_0001642	Pulmonary valve stenosis	pulmonary valve stenosis	False	Q22.1	Congenital pulmonary valve stenosis	congenital pulmonary valve stenosis	['747', '747.1', '747.12']	['413', '413.4', '413.41', '779', '779.1', '779.12']
HP_0001638	Cardiomyopathy	cardiomyopathy	True	B33.24	Viral cardiomyopathy	viral cardiomyopathy	['079']	['089', '089.2', '414']
HP_0001638	Cardiomyopathy	cardiomyopathy	True	I42	Cardiomyopathy	cardiomyopathy	['425']	['414']
HP_0001638	Cardiomyopathy	cardiomyopathy	True	I42.9	Cardiomyopathy, unspecified	cardiomyopathy	['425', '425.1']	['414']
HP_0001639	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	True	I42.1	Obstructive hypertrophic cardiomyopathy	obstructive hypertrophic cardiomyopathy	['425', '425.1', '425.11']	['414', '414.1', '414.11']
HP_0001639	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	True	I42.2	Other hypertrophic cardiomyopathy	other hypertrophic cardiomyopathy	['425', '425.1', '425.12']	['414', '414.1']
HP_0001639	Cardiomyopathy, hypertrophic	cardiomyopathy hypertrophic	False	I42.1	Obstructive hypertrophic cardiomyopathy	obstructive hypertrophic cardiomyopathy	['425', '425.1', '425.11']	['414', '414.1', '414.11']
HP_0001639	Cardiomyopathy, hypertrophic	cardiomyopathy hypertrophic	False	I42.2	Other hypertrophic cardiomyopathy	other hypertrophic cardiomyopathy	['425', '425.1', '425.12']	['414', '414.1']
HP_0001640	Cardiomegaly	cardiomegaly	True	I51.7	Cardiomegaly	cardiomegaly	['416']	['425']
HP_0001643	Patent ductus arteriosus	patent ductus arteriosus	True	Q25.0	Patent ductus arteriosus	patent ductus arteriosus	['747', '747.1', '747.13']	['778', '778.3']
HP_0001643	Ductus arteriosus	ductus arteriosus	False	Q25.0	Patent ductus arteriosus	patent ductus arteriosus	['747', '747.1', '747.13']	['778', '778.3']
HP_0001644	Dilated cardiomyopathy	dilated cardiomyopathy	True	I42.0	Dilated cardiomyopathy	dilated cardiomyopathy	['425', '425.1']	['414', '414.2']
HP_0001644	Cardiomyopathy, dilated	cardiomyopathy dilated	False	I42.0	Dilated cardiomyopathy	dilated cardiomyopathy	['425', '425.1']	['414', '414.2']
HP_0001695	Cardiac arrest	cardiac arrest	True	I46	Cardiac arrest	cardiac arrest	['427', '427.4', '427.42']	['420']
HP_0001695	Cardiac arrest	cardiac arrest	True	I46.9	Cardiac arrest, cause unspecified	cardiac arrest cause	['427', '427.4', '427.42']	['420']
HP_0001649	Tachycardia	tachycardia	True	R00.0	Tachycardia, unspecified	tachycardia	['427', '427.7']	['417', '417.2']
HP_0004308	Ventricular arrhythmia	ventricular arrhythmia	True	I47.0	Re-entry ventricular arrhythmia	re-entry ventricular arrhythmia	['427', '427.1', '427.12']	['416', '416.1', '416.13']
HP_0011675	Cardiac arrhythmia	cardiac arrhythmia	False	I49.9	Cardiac arrhythmia, unspecified	cardiac arrhythmia	['427', '427.5']	['416']
HP_0011675	Cardiac arrhythmias	cardiac arrhythmias	False	I49	Other cardiac arrhythmias	other cardiac arrhythmias		['416']
HP_0001651	Dextrocardia	dextrocardia	True	Q24.0	Dextrocardia	dextrocardia	['747', '747.1']	['796', '796.1', '796.12']
HP_0001657	Long QT syndrome	long qt syndrome	False	I45.81	Long QT syndrome	long qt syndrome	['426', '426.8']	['416', '416.6']
HP_0001658	Myocardial infarction	myocardial infarction	True	I21	Acute myocardial infarction	acute myocardial infarction	['411', '411.2']	['404', '404.1', '404.11']
HP_0001658	Myocardial infarction	myocardial infarction	True	I21.9	Acute myocardial infarction, unspecified	acute myocardial infarction	['411', '411.2']	['404', '404.1', '404.11']
HP_0001658	Myocardial infarction	myocardial infarction	True	I21.A1	Myocardial infarction type 2	myocardial infarction type 2	['411', '411.2']	['404', '404.1', '404.11']
HP_0001658	Myocardial infarction	myocardial infarction	True	I25.2	Old myocardial infarction	old myocardial infarction	['411', '411.2']	['404', '404.1']
HP_0001660	Common arterial trunk	common arterial trunk	False	Q20.0	Common arterial trunk	common arterial trunk	['747', '747.1', '747.11']	['778', '778.1']
HP_0001662	Bradycardia	bradycardia	True	R00.1	Bradycardia, unspecified	bradycardia	['427', '427.3']	['417', '417.3']
HP_0001663	Ventricular fibrillation	ventricular fibrillation	True	I49.01	Ventricular fibrillation	ventricular fibrillation	['427', '427.4', '427.41']	['416', '416.3', '416.31']
HP_0006695	Atrioventricular septal defect	atrioventricular septal defect	False	Q21.2	Atrioventricular septal defect	atrioventricular septal defect	['747', '747.1', '747.11']	['780', '780.4', '780.43']
HP_0002621	Atherosclerosis	atherosclerosis	True	I70	Atherosclerosis	atherosclerosis	['440']	['436']
HP_0002621	Atherosclerosis	atherosclerosis	True	I70.90	Unspecified atherosclerosis	atherosclerosis	['440']	['436']
HP_0001678	Atrioventricular block	atrioventricular block	True	I44.2	Atrioventricular block, complete	atrioventricular block complete	['426', '426.2', '426.24']	['416', '416.4', '416.41']
HP_0001678	Atrioventricular block	atrioventricular block	True	I44.30	Unspecified atrioventricular block	atrioventricular block	['426', '426.2']	['416', '416.4', '416.41']
HP_0001678	Atrioventricular block	atrioventricular block	True	I44.39	Other atrioventricular block	other atrioventricular block	['426', '426.3']	['416', '416.4', '416.41']
HP_0001680	Coarctation of aorta	coarctation of aorta	True	Q25.1	Coarctation of aorta	coarctation of aorta	['747', '747.1', '747.13']	['778', '778.4', '778.41']
HP_0001681	Angina pectoris	angina pectoris	True	I20	Angina pectoris	angina pectoris	['411', '411.3']	['403']
HP_0001681	Angina pectoris	angina pectoris	True	I20.9	Angina pectoris, unspecified	angina pectoris	['411', '411.3']	['403']
HP_0001686	Aphonia	aphonia	False	R49.1	Aphonia	aphonia	['473', '473.4']	['494', '494.2']
HP_0001706	Endocardial fibroelastosis	endocardial fibroelastosis	True	I42.4	Endocardial fibroelastosis	endocardial fibroelastosis	['425', '425.1']	['414', '414.7']
HP_0004309	Pre-excitation syndrome	pre-excitation syndrome	False	I45.6	Pre-excitation syndrome	pre-excitation syndrome	['426', '426.4']	['416', '416.8']
HP_0001719	Double outlet right ventricle	double outlet right ventricle	True	Q20.1	Double outlet right ventricle	double outlet right ventricle	['747', '747.1', '747.11']	['778', '778.6']
HP_0001723	Restrictive cardiomyopathy	restrictive cardiomyopathy	True	I42.5	Other restrictive cardiomyopathy	other restrictive cardiomyopathy	['425', '425.1']	['414', '414.8']
HP_0001734	Annular pancreas	annular pancreas	True	Q45.1	Annular pancreas	annular pancreas	['750', '750.2', '750.22']	['767', '767.1']
HP_0001735	Acute pancreatitis	acute pancreatitis	True	K85	Acute pancreatitis	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Acute pancreatitis	acute pancreatitis	True	K85.1	Biliary acute pancreatitis	biliary acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Acute pancreatitis	acute pancreatitis	True	K85.8	Other acute pancreatitis	other acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Acute pancreatitis	acute pancreatitis	True	K85.9	Acute pancreatitis, unspecified	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Pancreatitis, acute	pancreatitis acute	False	K85	Acute pancreatitis	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Pancreatitis, acute	pancreatitis acute	False	K85.1	Biliary acute pancreatitis	biliary acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Pancreatitis, acute	pancreatitis acute	False	K85.8	Other acute pancreatitis	other acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001735	Pancreatitis, acute	pancreatitis acute	False	K85.9	Acute pancreatitis, unspecified	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']
HP_0001738	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	True	K86.81	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	['577']	['554', '554.3']
HP_0001741	Phimosis	phimosis	True	N47.1	Phimosis	phimosis	['604', '604.1']	['604', '604.1']
HP_0001742	Nasal congestion	nasal congestion	True	R09.81	Nasal congestion	nasal congestion	['479']	['463', '463.4']
HP_0001788	Premature rupture of membranes	premature rupture of membranes	True	O42	Premature rupture of membranes	premature rupture of membranes	['653']	['905']
HP_0001798	Anonychia	anonychia	True	Q84.3	Anonychia	anonychia	['757']	['683', '793']
HP_0001806	Onycholysis	onycholysis	True	L60.1	Onycholysis	onycholysis	['703']	['683', '683.4']
HP_0008404	Nail dystrophy	nail dystrophy	True	L60.3	Nail dystrophy	nail dystrophy	['703']	['683', '683.2']
HP_0001822	Bunion	bunion	False	M21.61	Bunion	bunion	['735', '735.3']	['709', '709.2', '709.21']
HP_0001839	Split foot	split foot	True	Q72.7	Split foot	split foot	['755', '755.1', '755.6']	['785', '785.2']
HP_0001997	Gout	gout	True	M10	Gout	gout	['274', '274.1']	['703', '703.1', '703.11']
HP_0001997	Gout	gout	True	M10.9	Gout, unspecified	gout	['274', '274.1']	['703', '703.1', '703.11']
HP_0001873	Thrombocytopenia	thrombocytopenia	True	D69.6	Thrombocytopenia, unspecified	thrombocytopenia	['287', '287.3']	['169', '169.1']
HP_0001875	Neutropenia	neutropenia	True	D70	Neutropenia	neutropenia	['288', '288.1', '288.11']	['170', '170.1']
HP_0001875	Neutropenia	neutropenia	True	D70.9	Neutropenia, unspecified	neutropenia	['288', '288.1', '288.11']	['170', '170.1', '170.19']
HP_0001876	Pancytopenia	pancytopenia	True	D61.81	Pancytopenia	pancytopenia	['284', '284.1']	['162', '162.8']
HP_0001877	Abnormality of red blood cells	abnormality of red blood cells	False	R71	Abnormality of red blood cells	abnormality of red blood cells	['289', '289.9']	['821']
HP_0001877	Abnormality of red blood cells	abnormality of red blood cells	False	R71.8	Other abnormality of red blood cells	other abnormality of red blood cells	['289', '289.9']	['821']
HP_0001880	Eosinophilia	eosinophilia	True	D72.1	Eosinophilia	eosinophilia	['288', '288.3']	['171', '171.7']
HP_0001880	Eosinophilia	eosinophilia	True	D72.10	Eosinophilia, unspecified	eosinophilia		['171', '171.7']
HP_0001974	Elevated white blood count	elevated white blood count	False	D72.82	Elevated white blood cell count	elevated white blood cell count	['288', '288.2']	['171', '171.9']
HP_0001974	Elevated white blood count	elevated white blood count	False	D72.828	Other elevated white blood cell count	other elevated white blood cell count	['288', '288.2']	['171', '171.9']
HP_0001974	Elevated white blood count	elevated white blood count	False	D72.829	Elevated white blood cell count, unspecified	elevated white blood cell count	['288', '288.2']	['171', '171.9']
HP_0002754	Osteomyelitis	osteomyelitis	True	M86	Osteomyelitis	osteomyelitis	['710', '710.1', '710.19']	['701', '701.1']
HP_0002754	Osteomyelitis	osteomyelitis	True	M86.8	Other osteomyelitis	other osteomyelitis	['710', '710.1', '710.12']	['701', '701.1']
HP_0002754	Osteomyelitis	osteomyelitis	True	M86.8X	Other osteomyelitis	other osteomyelitis	['710', '710.1', '710.12']	['701', '701.1']
HP_0002754	Osteomyelitis	osteomyelitis	True	M86.9	Osteomyelitis, unspecified	osteomyelitis	['710', '710.1', '710.19']	['701', '701.1']
HP_0002754	Bone infection	bone infection	False	T86.832	Bone graft infection	bone graft infection	['851']	['978', '978.3']
HP_0001888	Lymphocytopenia	lymphocytopenia	False	D72.810	Lymphocytopenia	lymphocytopenia	['288', '288.1']	['170', '170.2']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.0	Drug-induced autoimmune hemolytic anemia	drug-induced autoimmune hemolytic anemia	['283', '283.1']	['161', '161.2', '161.22', '164', '181']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.11	Warm autoimmune hemolytic anemia	warm autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.12	Cold autoimmune hemolytic anemia	cold autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.13	Mixed type autoimmune hemolytic anemia	mixed type autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	D59.19	Other autoimmune hemolytic anemia	other autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.0	Drug-induced autoimmune hemolytic anemia	drug-induced autoimmune hemolytic anemia	['283', '283.1']	['161', '161.2', '161.22', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.11	Warm autoimmune hemolytic anemia	warm autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.12	Cold autoimmune hemolytic anemia	cold autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.13	Mixed type autoimmune hemolytic anemia	mixed type autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	D59.19	Other autoimmune hemolytic anemia	other autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.0	Drug-induced autoimmune hemolytic anemia	drug-induced autoimmune hemolytic anemia	['283', '283.1']	['161', '161.2', '161.22', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.11	Warm autoimmune hemolytic anemia	warm autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.12	Cold autoimmune hemolytic anemia	cold autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.13	Mixed type autoimmune hemolytic anemia	mixed type autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	D59.19	Other autoimmune hemolytic anemia	other autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']
HP_0001891	Iron deficiency anemia	iron deficiency anemia	True	D50	Iron deficiency anemia	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']
HP_0001891	Iron deficiency anemia	iron deficiency anemia	True	D50.9	Iron deficiency anemia, unspecified	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']
HP_0001891	Iron deficiency anaemia	iron deficiency anemia	False	D50	Iron deficiency anemia	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']
HP_0001891	Iron deficiency anaemia	iron deficiency anemia	False	D50.9	Iron deficiency anemia, unspecified	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']
HP_0010972	Anemia, dyserythropoietic	anemia dyserythropoietic	False	D64.4	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	['285']	['162', '162.7', '164']
HP_0010972	Dyserythropoietic anaemia	dyserythropoietic anemia	False	D64.4	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	['285']	['162', '162.7', '164']
HP_0010972	Dyserythropoietic anemia	dyserythropoietic anemia	False	D64.4	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	['285']	['162', '162.7', '164']
HP_0001901	Polycythemia	polycythemia	True	D45	Polycythemia vera	polycythemia vera	['200', '200.1']	['120', '120.1', '120.13', '124', '124.3', '175']
HP_0001909	Leukemia	leukemia	True	C95.9	Leukemia, unspecified	leukemia	['204']	['120', '121']
HP_0001909	Leukaemia	leukemia	False	C95.9	Leukemia, unspecified	leukemia	['204']	['120', '121']
HP_0001915	Aplastic anemia	aplastic anemia	True	D61.9	Aplastic anemia, unspecified	aplastic anemia	['284']	['162', '164']
HP_0001915	Aplastic anaemia	aplastic anemia	False	D61.9	Aplastic anemia, unspecified	aplastic anemia	['284']	['162', '164']
HP_0011034	Amyloidosis	amyloidosis	True	E85	Amyloidosis	amyloidosis	['270', '270.3', '270.33']	['249']
HP_0011034	Amyloidosis	amyloidosis	True	E85.9	Amyloidosis, unspecified	amyloidosis	['270', '270.3', '270.33']	['249']
HP_0001919	Acute kidney failure	acute kidney failure	False	N17	Acute kidney failure	acute kidney failure	['585', '585.1']	['582']
HP_0001919	Acute kidney failure	acute kidney failure	False	N17.8	Other acute kidney failure	other acute kidney failure	['585', '585.1']	['582']
HP_0001919	Acute kidney failure	acute kidney failure	False	N17.9	Acute kidney failure, unspecified	acute kidney failure	['585', '585.1']	['582']
HP_0001941	Acidosis	acidosis	True	E87.2	Acidosis	acidosis	['276', '276.4', '276.41']	['256', '256.3', '256.31']
HP_0001944	Dehydration	dehydration	True	E86.0	Dehydration	dehydration	['276', '276.5']	['256', '256.7', '256.71']
HP_0001945	Fever	fever	True	R50.9	Fever, unspecified	fever	['783']	['805']
HP_0001948	Alkalosis	alkalosis	True	E87.3	Alkalosis	alkalosis	['276', '276.4', '276.42']	['256', '256.3', '256.32']
HP_0001959	Polydipsia	polydipsia	True	R63.1	Polydipsia	polydipsia	['276', '276.8']	['257']
HP_0001962	Palpitations	palpitations	True	R00.2	Palpitations	palpitations	['427', '427.9']	['417', '417.1']
HP_0001971	Hypersplenism	hypersplenism	True	D73.1	Hypersplenism	hypersplenism	['289', '289.5']	['174', '174.2', '174.21']
HP_0001998	Neonatal hypoglycemia	neonatal hypoglycemia	True	P70.4	Other neonatal hypoglycemia	other neonatal hypoglycemia	['656', '656.3']	['861', '861.2']
HP_0002013	Vomiting	vomiting	True	R11.1	Vomiting	vomiting	['789']	['528', '528.2']
HP_0002013	Vomiting	vomiting	True	R11.10	Vomiting, unspecified	vomiting	['789']	['528', '528.2']
HP_0002017	Nausea and vomiting	nausea and vomiting	True	R11	Nausea and vomiting	nausea and vomiting	['789']	['528', '528.1', '528.2']
HP_0002014	Diarrhea	diarrhea	True	R19.7	Diarrhea, unspecified	diarrhea	['561', '561.1']	['529', '529.1']
HP_0002014	Diarrhoea	diarrhea	False	R19.7	Diarrhea, unspecified	diarrhea	['561', '561.1']	['529', '529.1']
HP_0002015	Dysphagia	dysphagia	True	R13.1	Dysphagia	dysphagia	['532']	['512']
HP_0002015	Dysphagia	dysphagia	True	R13.10	Dysphagia, unspecified	dysphagia	['532']	['512']
HP_0002018	Nausea	nausea	True	R11.0	Nausea	nausea	['789']	['528', '528.1']
HP_0002019	Constipation	constipation	True	K59.0	Constipation	constipation	['563']	['529', '529.5']
HP_0002019	Constipation	constipation	True	K59.00	Constipation, unspecified	constipation	['563']	['529', '529.5']
HP_0002020	Gastro-esophageal reflux	gastro-esophageal reflux	False	K21	Gastro-esophageal reflux disease	gastro-esophageal reflux disease	['530', '530.1', '530.11']	['511']
HP_0002020	Heartburn	heartburn	False	R12	Heartburn	heartburn	['530', '530.9']	['515']
HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	K90	Intestinal malabsorption	intestinal malabsorption	['557']	['525']
HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	K90.8	Other intestinal malabsorption	other intestinal malabsorption		['525']
HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	K90.89	Other intestinal malabsorption	other intestinal malabsorption	['557']	['525']
HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	K90.9	Intestinal malabsorption, unspecified	intestinal malabsorption	['557']	['525']
HP_0002027	Abdominal pain	abdominal pain	True	R10.10	Upper abdominal pain, unspecified	upper abdominal pain	['785']	['527']
HP_0002027	Abdominal pain	abdominal pain	True	R10.30	Lower abdominal pain, unspecified	lower abdominal pain	['785']	['527']
