CUI	ICD10_code	ICD10_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList
C0027651	C85.8	Other specified types of non-Hodgkin lymphoma	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.29	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.28	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.27	Mediastinal (thymic) large B-cell lymphoma, spleen	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.26	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.25	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.24	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C92.2	Atypical chronic myeloid leukemia, BCR/ABL-negative	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C85.23	Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.22	Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.21	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.20	Mediastinal (thymic) large B-cell lymphoma, unspecified site	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.17	Unspecified B-cell lymphoma, spleen	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C92.3	Myeloid sarcoma	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121', '121.1', '121.12']
C0027651	C92.20	Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C85.2	Mediastinal (thymic) large B-cell lymphoma	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.19	Unspecified B-cell lymphoma, extranodal and solid organ sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C85.18	Unspecified B-cell lymphoma, lymph nodes of multiple sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
C0027651	C92.12	Chronic myeloid leukemia, BCR/ABL-positive, in relapse	HP_0002664	Neoplasm	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C92.21	Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C85.82	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.84	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.96	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.95	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C91.90	Lymphoid leukemia, unspecified not having achieved remission	HP_0002664	Neoplasm	['204', '204.1']	['120', '120.2', '121']
C0027651	C91.91	Lymphoid leukemia, unspecified, in remission	HP_0002664	Neoplasm	['204', '204.1']	['120', '120.2', '121']
C0027651	C91.92	Lymphoid leukemia, unspecified, in relapse	HP_0002664	Neoplasm	['204', '204.1']	['120', '120.2', '121']
C0027651	C92	Myeloid leukemia	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121']
C0027651	C92.0	Acute myeloblastic leukemia	HP_0002664	Neoplasm	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
C0027651	C85.94	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.93	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.92	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C92.00	Acute myeloblastic leukemia, not having achieved remission	HP_0002664	Neoplasm	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
C0027651	C92.01	Acute myeloblastic leukemia, in remission	HP_0002664	Neoplasm	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
C0027651	C92.02	Acute myeloblastic leukemia, in relapse	HP_0002664	Neoplasm	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
C0027651	C85.91	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.9	Non-Hodgkin lymphoma, unspecified	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C92.1	Chronic myeloid leukemia, BCR/ABL-positive	HP_0002664	Neoplasm	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C85.89	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.88	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C92.10	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission	HP_0002664	Neoplasm	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	D33	Benign neoplasm of brain and other parts of central nervous system	HP_0002664	Neoplasm		['148', '148.3']
C0027651	C85.87	Other specified types of non-Hodgkin lymphoma, spleen	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.86	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C92.11	Chronic myeloid leukemia, BCR/ABL-positive, in remission	HP_0002664	Neoplasm	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
C0027651	C85.85	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C85.83	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes	HP_0002664	Neoplasm	['202', '202.2']	['120', '122', '122.2']
C0027651	C92.22	Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse	HP_0002664	Neoplasm	['204', '204.2']	['120', '120.1', '121', '121.2', '121.22', '124']
C0007095	D3A.00	Benign carcinoid tumor of unspecified site	HP_0100570	Carcinoid tumor	['209']	['114', '114.2', '114.4']
C0007102	C18.9	Malignant neoplasm of colon, unspecified	HP_0003003	Colon cancer	['153', '153.2']	['101', '101.4', '101.41', '130']
C0007102	C18	Malignant neoplasm of colon	HP_0003003	Colon cancer	['153', '153.2']	['101', '101.4', '101.41', '130']
C0007114	C44.9	Other and unspecified malignant neoplasm of skin, unspecified	HP_0008069	Neoplasm of the skin	['172', '172.2']	['103']
C0007124	D05.1	Intraductal carcinoma in situ of breast	HP_0030075	Ductal carcinoma in situ	['174', '174.1']	['105', '130']
C0007129	C4A.9	Merkel cell carcinoma, unspecified	HP_0030447	Merkel cell skin cancer	['172', '172.2']	['114', '114.1', '114.12']
C0007129	C4A	Merkel cell carcinoma	HP_0030447	Merkel cell skin cancer	['172', '172.2']	['114', '114.1', '114.12']
C0007177	I31.4	Cardiac tamponade	HP_0033415	Cardiac tamponade	['420', '420.2']	['411', '411.3']
C0007193	I42.0	Dilated cardiomyopathy	HP_0001644	Dilated cardiomyopathy	['425', '425.1']	['414', '414.2']
C0007196	I42.5	Other restrictive cardiomyopathy	HP_0001723	Restrictive cardiomyopathy	['425', '425.1']	['414', '414.8']
C0007286	G56.0	Carpal tunnel syndrome	HP_0012185	Constrictive median neuropathy	['351']	['336', '336.1']
C0007286	G56.00	Carpal tunnel syndrome, unspecified upper limb	HP_0012185	Constrictive median neuropathy	['351']	['336', '336.1']
C0007570	K90.0	Celiac disease	HP_0002608	Celiac disease	['557', '557.1']	['181', '525', '525.1']
C0007642	L03	Cellulitis and acute lymphangitis	HP_0100658	Cellulitis		['660', '660.6']
C0007642	L03.90	Cellulitis, unspecified	HP_0100658	Cellulitis	['681']	['660', '660.6']
C0007642	L03.9	Cellulitis and acute lymphangitis, unspecified	HP_0100658	Cellulitis	['681']	['660', '660.6']
C0007682	G96.9	Disorder of central nervous system, unspecified	HP_0002011	Morphological central nervous system abnormality	['349']	['347']
C0007688	H34.1	Central retinal artery occlusion	HP_0025342	Central retinal artery occlusion	['362', '362.4']	['374', '374.3', '374.37']
C0007722	P12.0	Cephalhematoma due to birth injury	HP_0012541	Cephalohematoma	['665']	['880']
C0007787	G45.9	Transient cerebral ischemic attack, unspecified	HP_0002326	Transient ischemic attack	['433', '433.3', '433.31']	['431', '431.2']
C0007789	G80.9	Cerebral palsy, unspecified	HP_0100021	Cerebral palsy	['343']	['341', '341.1']
C0007789	G80	Cerebral palsy	HP_0100021	Cerebral palsy	['343']	['341', '341.1']
C0007795	G37.0	Diffuse sclerosis of central nervous system	HP_0006918	Diffuse cerebral sclerosis	['341']	['326', '326.3']
C0007855	N84.1	Polyp of cervix uteri	HP_0030159	Cervical polyp	['622', '622.2']	['144', '144.1', '144.13', '622', '622.2']
C0007859	M54.2	Cervicalgia	HP_0030833	Neck pain	['761']	['718', '718.2']
C0007860	N72	Inflammatory disease of cervix uteri	HP_0030160	Cervicitis	['614', '614.5', '614.51']	['614', '614.5', '614.51']
C0007863	M54.81	Occipital neuralgia	HP_0012318	Occipital neuralgia	['723']	['717', '717.3']
C0007868	N87.9	Dysplasia of cervix uteri, unspecified	HP_0032131	Cervical dysplasia	['180', '180.3']	['620']
C0007868	N87	Dysplasia of cervix uteri	HP_0032131	Cervical dysplasia	['180', '180.3']	['620']
C0007871	N88.3	Incompetence of cervix uteri	HP_0030009	Cervical insufficiency	['619', '619.3']	['619', '619.3', '619.31']
C0007933	H00.1	Chalazion	HP_0010605	Chalazion	['371', '371.3']	['360', '360.2']
C0007971	K13.0	Diseases of lips	HP_0100825	Cheilitis	['528', '528.5']	['508']
C0008031	R07.9	Chest pain, unspecified	HP_0100749	Chest pain	['418']	['800']
C0008033	R07.81	Pleurodynia	HP_0033771	Pleuritic chest pain	['512', '512.2']	['800', '800.1', '800.11']
C0008039	R06.3	Periodic breathing	HP_0012196	Cheyne-Stokes respiration	['513', '513.3', '513.31']	['488', '488.3']
C1313952	R06.3	Periodic breathing	HP_0012196	Cheyne-Stokes respiration	['513', '513.3', '513.31']	['488', '488.3']
C0008058	T69.1	Chilblains	HP_0009710	Chilblains	['1014']	['677']
C0008297	Q30.0	Choanal atresia	HP_0000453	Choanal atresia	['749']	['758', '758.6', '758.61']
C0008311	K83.0	Cholangitis	HP_0030151	Cholangitis	['575', '575.1']	['552', '552.1']
C0008311	K83.09	Other cholangitis	HP_0030151	Cholangitis		['552', '552.1']
C0008312	K74.3	Primary biliary cirrhosis	HP_0002613	Biliary cirrhosis	['571', '571.6']	['544', '544.1']
C0023892	K74.5	Biliary cirrhosis, unspecified	HP_0002613	Biliary cirrhosis	['571', '571.6']	['544']
C0008313	K83.09	Other cholangitis	HP_0030991	Sclerosing cholangitis		['552', '552.1']
C0008325	K81.9	Cholecystitis, unspecified	HP_0001082	Cholecystitis	['574', '574.3']	['550', '550.2']
C0008325	K81	Cholecystitis	HP_0001082	Cholecystitis	['574', '574.3']	['550', '550.2']
C0008340	Q44.4	Choledochal cyst	HP_0100890	Cyst of the ductus choledochus	['750', '750.2', '750.22']	['766']
C0008350	K80	Cholelithiasis	HP_0001081	Cholelithiasis	['574', '574.1']	['550', '550.1']
C0008370	K83.1	Obstruction of bile duct	HP_0001396	Cholestasis	['575', '575.2']	['552', '552.2']
C0008373	H71.9	Unspecified cholesteatoma	HP_0009797	Cholesteatoma	['385', '385.3']	['391', '391.6']
C0008373	H71.90	Unspecified cholesteatoma, unspecified ear	HP_0009797	Cholesteatoma	['385', '385.3']	['391', '391.6']
C0008489	G25.5	Other chorea	HP_0002072	Chorea	['333', '333.3']	['324', '324.9']
C0008497	C58	Malignant neoplasm of placenta	HP_0100768	Choriocarcinoma	['184', '184.1']	['106', '106.6', '130']
C0008512	H31.0	Chorioretinal scars	HP_0007777	Chorioretinal scar	['363', '363.3']	['373', '373.1']
C0008512	H31.00	Unspecified chorioretinal scars	HP_0007777	Chorioretinal scar	['363', '363.3']	['373', '373.1']
C0008513	H30	Chorioretinal inflammation	HP_0012424	Chorioretinitis	['371', '371.1']	['367', '367.9']
C0008513	H30.9	Unspecified chorioretinal inflammation	HP_0012424	Chorioretinitis	['371', '371.1']	['367', '367.9']
C0008521	H31.9	Unspecified disorder of choroid	HP_0000610	Abnormal choroid morphology	['363']	['373']
C0008522	H31.30	Unspecified choroidal hemorrhage	HP_0011887	Choroid hemorrhage	['363']	['377', '377.3']
C0008522	H31.309	Unspecified choroidal hemorrhage, unspecified eye	HP_0011887	Choroid hemorrhage	['363']	['377', '377.3']
C0008525	H31.21	Choroideremia	HP_0001139	Choroideremia	['363', '363.4']	['373', '373.3', '373.31']
C0008526	H30.9	Unspecified chorioretinal inflammation	HP_0012123	Posterior uveitis	['371', '371.1']	['367', '367.9']
C0008677	J42	Unspecified chronic bronchitis	HP_0004469	Chronic bronchitis	['496', '496.2']	['469', '469.2', '474']
C0008711	J31.0	Chronic rhinitis	HP_0002257	Chronic rhinitis	['472']	['463', '463.1']
C0008732	I89.8	Other specified noninfective disorders of lymphatic vessels and lymph nodes	HP_0012281	Chylous ascites	['450']	['177']
C0008909	F40.240	Claustrophobia	HP_0025253	Claustrophobia	['300', '300.1', '300.13']	['288', '288.4']
C0008924	Q36	Cleft lip	HP_0000204	Cleft upper lip	['749', '749.1']	['757', '757.2']
C0008924	Q36.9	Cleft lip, unilateral	HP_0000204	Cleft upper lip	['749', '749.1']	['757', '757.2']
C0009080	R68.3	Clubbing of fingers	HP_0100759	Clubbing of fingers	['781']	['813']
C0009081	Q66.89	Other specified congenital deformities of feet	HP_0001762	Talipes equinovarus	['755', '755.1']	['784']
C0009081	Q66.0	Congenital talipes equinovarus	HP_0001762	Talipes equinovarus	['755', '755.1']	['710', '710.4', '710.42', '784', '784.1', '784.11']
C0009088	G44.00	Cluster headache syndrome, unspecified	HP_0012199	Cluster headache	['340']	['331', '331.4']
C0009088	G44.009	Cluster headache syndrome, unspecified, not intractable	HP_0012199	Cluster headache	['340']	['331', '331.4']
C0009088	G44.02	Chronic cluster headache	HP_0012199	Cluster headache	['340']	['331', '331.4']
C0009088	G44.029	Chronic cluster headache, not intractable	HP_0012199	Cluster headache	['340']	['331', '331.4']
C0009088	G44.0	Cluster headaches and other trigeminal autonomic cephalgias (TAC)	HP_0012199	Cluster headache		['331']
C0009186	B38	Coccidioidomycosis	HP_0032249	Coccidioidomycosis	['117', '117.2']	['071', '089', '089.3']
C0009186	B38.9	Coccidioidomycosis, unspecified	HP_0032249	Coccidioidomycosis	['117', '117.2']	['071', '089', '089.3']
C0009319	K52.9	Noninfective gastroenteritis and colitis, unspecified	HP_0002583	Colitis	['558']	['522']
C0009324	K51	Ulcerative colitis	HP_0100279	Ulcerative colitis	['555', '555.2']	['181', '522', '522.1', '522.12']
C0009324	K51.9	Ulcerative colitis, unspecified	HP_0100279	Ulcerative colitis	['555', '555.2']	['181', '522', '522.1', '522.12']
C0009363	Q13.0	Coloboma of iris	HP_0000589	Coloboma	['753']	['753', '753.4']
C0009398	H53.5	Color vision deficiencies	HP_0000551	Color vision defect	['368', '368.5']	['386', '386.5']
C0242225	H53.50	Unspecified color vision deficiencies	HP_0000551	Color vision defect	['368', '368.5']	['386', '386.5']
C0242225	H53.5	Color vision deficiencies	HP_0000551	Color vision defect	['368', '368.5']	['386', '386.5']
C0009421	R40.2	Coma	HP_0001259	Coma	['348', '348.7']	['355', '355.1']
C0009421	R40.20	Unspecified coma	HP_0001259	Coma	['348', '348.7']	['355', '355.1']
C0009451	G91.0	Communicating hydrocephalus	HP_0001334	Communicating hydrocephalus	['331', '331.1']	['344', '344.1', '344.11']
C0009663	A63.0	Anogenital (venereal) warts	HP_0032301	Genital warts	['078']	['056', '056.2', '088', '089', '089.2']
C0009676	R41.0	Disorientation, unspecified	HP_0001289	Confusion	['292', '292.4']	['329']
C0009681	Q25.79	Other congenital malformations of pulmonary artery	HP_0004414	Abnormality of the pulmonary artery	['747', '747.1', '747.13']	['778', '778.5']
C0009691	Q12.0	Congenital cataract	HP_0000519	Developmental cataract	['753', '753.1']	['371', '753', '753.2', '753.23']
C0009763	H10.9	Unspecified conjunctivitis	HP_0000509	Conjunctivitis	['369', '369.5']	['367', '367.1']
C0009763	H10	Conjunctivitis	HP_0000509	Conjunctivitis	['369', '369.5']	['367', '367.1']
C0009806	K59.00	Constipation, unspecified	HP_0002019	Constipation	['563']	['529', '529.5']
C0009806	K59.0	Constipation	HP_0002019	Constipation	['563']	['529', '529.5']
C0009917	M62.40	Contracture of muscle, unspecified site	HP_0001371	Flexion contracture	['772', '772.2']	['719', '719.9', '719.93']
C0009917	M62.4	Contracture of muscle	HP_0001371	Flexion contracture	['727', '727.7']	['719', '719.9', '719.93']
C0009918	M24.5	Contracture of joint	HP_0001371	Flexion contracture	['739']	['719', '719.9', '719.92']
C0333068	M21.20	Flexion deformity, unspecified site	HP_0001371	Flexion contracture	['736']	['710']
C0333068	M21.2	Flexion deformity	HP_0001371	Flexion contracture	['739']	['710']
C0009952	R56.0	Febrile convulsions	HP_0002373	Febrile seizure (within the age range of 3 months to 6 years)	['345', '345.3']	['330', '330.3', '330.31']
C0009952	R56.00	Simple febrile convulsions	HP_0002373	Febrile seizure (within the age range of 3 months to 6 years)	['345', '345.3']	['330', '330.3', '330.31']
C0009995	Q24.2	Cor triatriatum	HP_0010774	Cor triatriatum	['747', '747.1']	['780', '780.6']
C0010043	H16.0	Corneal ulcer	HP_0012804	Corneal ulceration	['370', '370.1']	['367', '367.2', '367.21']
C0010043	H16.00	Unspecified corneal ulcer	HP_0012804	Corneal ulceration	['370', '370.1']	['367', '367.2', '367.21']
C0010051	I25.41	Coronary artery aneurysm	HP_0030882	Coronary artery aneurysm	['411', '411.4', '411.41']	['438', '438.7']
C0010051	I25.4	Coronary artery aneurysm and dissection	HP_0030882	Coronary artery aneurysm	['411', '411.4', '411.41']	['438', '438.4', '438.43']
C0010054	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris	HP_0001677	Coronary artery atherosclerosis	['411', '411.4']	['403', '404', '404.2', '436']
C0010054	K76.1	Chronic passive congestion of liver	HP_0001677	Coronary artery atherosclerosis	['573', '573.1']	['546', '546.4']
C0010054	I25.1	Atherosclerotic heart disease of native coronary artery	HP_0001677	Coronary artery atherosclerosis	['411', '411.4']	['404', '404.2', '436']
C1956346	I25.1	Atherosclerotic heart disease of native coronary artery	HP_0001677	Coronary artery atherosclerosis	['411', '411.4']	['404', '404.2', '436']
C0010054	K76.1	Chronic passive congestion of liver	HP_0004929	obsolete Coronary atherosclerosis	['573', '573.1']	['546', '546.4']
C0010054	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris	HP_0004929	obsolete Coronary atherosclerosis	['411', '411.4']	['403', '404', '404.2', '436']
C0010054	I25.1	Atherosclerotic heart disease of native coronary artery	HP_0004929	obsolete Coronary atherosclerosis	['411', '411.4']	['404', '404.2', '436']
C0010200	R05	Cough	HP_0012735	Cough	['512', '512.8']	['801']
C0010273	Q75.1	Craniofacial dysostosis	HP_0004439	Craniofacial dysostosis	['749', '749.2']	['758', '758.3']
C0010278	Q75.0	Craniosynostosis	HP_0005458	Premature closure of fontanelles	['749', '749.2']	['758', '758.2', '758.23']
C0010278	Q75.0	Craniosynostosis	HP_0001363	Craniosynostosis	['749', '749.2']	['758', '758.2', '758.23']
C0010308	E03.1	Congenital hypothyroidism without goiter	HP_0000851	Congenital hypothyroidism	['244', '244.5']	['200', '200.1', '200.11']
C0010346	K50.9	Crohn's disease, unspecified	HP_0100280	Crohn's disease	['555', '555.1']	['181', '522', '522.1', '522.11']
C0010346	K50	Crohn's disease [regional enteritis]	HP_0100280	Crohn's disease	['555', '555.1']	['181', '522', '522.1', '522.11']
C0010346	K50.90	Crohn's disease, unspecified, without complications	HP_0100280	Crohn's disease	['555', '555.1']	['181', '522', '522.1', '522.11']
C0010403	D89.1	Cryoglobulinemia	HP_0100778	Cryoglobulinemia	['270', '270.3', '270.32']	['180', '180.4']
C0010417	Q53	Undescended and ectopic testicle	HP_0000028	Cryptorchidism	['751', '751.1', '751.12']	['771', '771.1']
C0010417	Q53.9	Undescended testicle, unspecified	HP_0000028	Cryptorchidism	['751', '751.1', '751.12']	['771', '771.1', '771.11']
C0010481	E24	Cushing's syndrome	HP_0003118	Increased circulating cortisol level	['255', '255.1', '255.11']	['210']
C0010481	E24.9	Cushing's syndrome, unspecified	HP_0003118	Increased circulating cortisol level	['255', '255.1', '255.11']	['210']
C0010495	Q82.8	Other specified congenital malformations of skin	HP_0000973	Cutis laxa	['691']	['790']
C0010520	R23.0	Cyanosis	HP_0000961	Cyanosis	['513', '513.3']	['498', '498.2']
C0010691	E72.01	Cystinuria	HP_0003131	Cystinuria	['270', '270.1']	['240', '240.4', '240.42']
C0010692	N30	Cystitis	HP_0100577	Urinary bladder inflammation	['592', '592.1']	['592']
C0010692	N30.9	Cystitis, unspecified	HP_0100577	Urinary bladder inflammation	['592', '592.1']	['592', '592.1']
C0010930	H04.30	Unspecified dacryocystitis	HP_0000620	Dacryocystitis	['369']	['363', '363.6', '363.61']
C0010964	Q03.1	Atresia of foramina of Magendie and Luschka	HP_0001305	Dandy-Walker malformation	['752', '752.2']	['750', '750.6', '750.62']
C0011053	H91.9	Unspecified hearing loss	HP_0000365	Hearing impairment	['389']	['396']
C1384666	H91.9	Unspecified hearing loss	HP_0000365	Hearing impairment	['389']	['396']
C0011124	R68.82	Decreased libido	HP_0046504	Decreased libido	['302', '302.1']	['294']
C0011127	L89.9	Pressure ulcer of unspecified site	HP_0012399	Pressure ulcer	['707', '707.1']	['686', '686.1']
C0011127	L89	Pressure ulcer	HP_0012399	Pressure ulcer	['707', '707.1']	['686', '686.1']
C0011168	R13.1	Dysphagia	HP_0002015	Dysphagia	['532']	['512']
C0011168	R13.10	Dysphagia, unspecified	HP_0002015	Dysphagia	['532']	['512']
C0011168	R13	Aphagia and dysphagia	HP_0002015	Dysphagia	['532']	['512']
C0011175	E86.0	Dehydration	HP_0001944	Dehydration	['276', '276.5']	['256', '256.7', '256.71']
C0011206	R41.0	Disorientation, unspecified	HP_0031258	Delirium	['292', '292.4']	['329']
C0011320	K00.2	Abnormalities of size and form of teeth	HP_0011088	Dens in dente	['520', '520.1']	['500', '500.2']
C0011334	K02	Dental caries	HP_0000670	Carious teeth	['521', '521.1']	['501']
C0011334	K02.9	Dental caries, unspecified	HP_0000670	Carious teeth	['521', '521.1']	['501']
C0011430	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	HP_0033784	Dentin dysplasia	['520', '520.1']	['500', '500.2']
C0011436	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	HP_0000703	Dentinogenesis imperfecta	['520', '520.1']	['500', '500.2']
C0011581	F34.1	Dysthymic disorder	HP_0000716	Depression	['300', '300.4']	['286', '286.4']
C0011603	L30.9	Dermatitis, unspecified	HP_0011123	Inflammatory abnormality of the skin	['939']	['668']
C0011606	L26	Exfoliative dermatitis	HP_0001019	Erythroderma	['695', '695.8']	['668']
C0011606	L53.9	Erythematous condition, unspecified	HP_0001019	Erythroderma	['695', '695.9']	['667']
C0011615	L20	Atopic dermatitis	HP_0001047	Atopic dermatitis	['939']	['668', '668.1']
C0011615	L20.81	Atopic neurodermatitis	HP_0001047	Atopic dermatitis	['939']	['668', '668.1']
C0011615	L20.9	Atopic dermatitis, unspecified	HP_0001047	Atopic dermatitis	['939']	['668', '668.1']
C0011616	L25.9	Unspecified contact dermatitis, unspecified cause	HP_0032282	Contact dermatitis	['939']	['668', '668.3']
C0011616	L25	Unspecified contact dermatitis	HP_0032282	Contact dermatitis	['939']	['668', '668.3']
C0011620	I87.2	Venous insufficiency (chronic) (peripheral)	HP_0033564	Stasis dermatitis	['456']	['444', '444.5']
C0011649	K09.8	Other cysts of oral region, not elsewhere classified	HP_0025247	Dermoid cyst	['706', '706.2']	['505']
C0011813	Q24.0	Dextrocardia	HP_0001651	Dextrocardia	['747', '747.1']	['796', '796.1', '796.12']
C0011848	E23.2	Diabetes insipidus	HP_0000873	Diabetes insipidus	['253', '253.3']	['209', '209.2', '209.21']
C0011849	E08.3413	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31']
C0011849	E11.3529	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye	HP_0000819	Diabetes mellitus	['250', '250.2', '250.23', '250.7']	['202', '202.2', '374', '374.4', '374.42']
C0011849	E08.39	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31']
C0011849	E11.34	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy	HP_0000819	Diabetes mellitus	['250', '250.2', '250.23', '250.7']	['202', '202.2', '374', '374.4', '374.42']
C0011849	E08.3419	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31']
C0011849	E08.3492	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31', '374', '374.4', '374.42']
C0011849	E08.37X3	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31']
C0011849	E08.37X2	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye	HP_0000819	Diabetes mellitus	['249', '250', '250.7']	['202', '202.3', '202.31']
