hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
HP_0012735	Cough	cough	True	512.8	Cough	cough	respiratory
HP_0012764	Orthopnea	orthopnea	True	513.32	Orthopnea	orthopnea	respiratory
HP_0012803	Anisometropia	anisometropia	True	368.3	Anisometropia	anisometropia	sense organs
HP_0012819	Myocarditis	myocarditis	True	420.1	Myocarditis	myocarditis	circulatory system
HP_0030127	Endometriosis	endometriosis	True	615	Endometriosis	endometriosis	genitourinary
HP_0020071	Viremia	viremia	True	079.9	Viremia, NOS	viremia	infectious diseases
HP_0025004	Hallux rigidus	hallux rigidus	True	735.23	Hallux rigidus	hallux rigidus	musculoskeletal
HP_0025127	Actinic keratosis	actinic keratosis	True	702.1	Actinic keratosis	actinic keratosis	dermatologic
HP_0025232	Bursitis	bursitis	True	726.3	Bursitis	bursitis	musculoskeletal
HP_0025234	Parasomnia	parasomnia	True	327.5	Parasomnia	parasomnia	neurological
HP_0025470	Telogen effluvium	telogen effluvium	True	704.12	Telogen effluvium	telogen effluvium	dermatologic
HP_0025691	Impaired fasting glucose	impaired fasting glucose	True	250.41	Impaired fasting glucose	impaired fasting glucose	endocrine/metabolic
HP_0030016	Dyspareunia	dyspareunia	True	625.1	Dyspareunia	dyspareunia	genitourinary
HP_0046504	Decreased libido	decreased libido	True	302.1	Decreased libido	decreased libido	mental disorders
HP_0030041	Schmorl's nodes	schmorls nodes	False	722.3	Schmorl's nodes	schmorls nodes	musculoskeletal
HP_0030149	Cardiogenic shock	cardiogenic shock	True	797.1	Cardiogenic shock	cardiogenic shock	symptoms
HP_0031273	Shock	shock	True	797	Shock	shock	symptoms
HP_0030151	Cholangitis	cholangitis	True	575.1	Cholangitis	cholangitis	digestive
HP_0030766	Otalgia	otalgia	False	382	Otalgia	otalgia	sense organs
HP_0030788	Impacted cerumen	impacted cerumen	True	380.4	Impacted cerumen	impacted cerumen	sense organs
HP_0030828	Wheezing	wheezing	True	512.1	Wheezing	wheezing	respiratory
HP_0030955	Alcoholism	alcoholism	True	317.1	Alcoholism	alcoholism	mental disorders
HP_0031287	Seborrheic keratosis	seborrheic keratosis	True	702.2	Seborrheic keratosis	seborrheic keratosis	dermatologic
HP_0100785	Insomnia	insomnia	True	327.4	Insomnia	insomnia	neurological
HP_0031456	Ectopic pregnancy	ectopic pregnancy	True	634.3	Ectopic pregnancy	ectopic pregnancy	pregnancy complications
HP_0031589	Suicidal ideation	suicidal ideation	True	297.1	Suicidal ideation	suicidal ideation	mental disorders
HP_0031775	Paralytic strabismus	paralytic strabismus	False	378.5	Paralytic strabismus	paralytic strabismus	sense organs
HP_0031864	Bacteremia	bacteremia	True	038.3	Bacteremia	bacteremia	infectious diseases
HP_0032141	Precordial pain	precordial pain	True	418.1	Precordial pain	precordial pain	circulatory system
HP_0032249	Coccidioidomycosis	coccidioidomycosis	True	117.2	Coccidioidomycosis	coccidioidomycosis	infectious diseases
HP_0032256	Histoplasmosis	histoplasmosis	True	117.1	Histoplasmosis	histoplasmosis	infectious diseases
HP_0032316	Family history	family history	True	1100	Family history	family history	
HP_0032551	Hemorrhoids	hemorrhoids	True	455	Hemorrhoids	hemorrhoids	circulatory system
HP_0032551	Haemorrhoids	hemorrhoids	False	455	Hemorrhoids	hemorrhoids	circulatory system
HP_0033050	Throat pain	throat pain	False	478	Throat pain	throat pain	respiratory
HP_0033117	Duodenitis	duodenitis	True	535.6	Duodenitis	duodenitis	digestive
HP_0033589	Flatulence	flatulence	True	561.2	Flatulence	flatulence	digestive
HP_0033808	Spermatocele	spermatocele	True	603.2	Spermatocele	spermatocele	genitourinary
HP_0033840	Postmenopausal bleeding	postmenopausal bleeding	True	627.1	Postmenopausal bleeding	postmenopausal bleeding	genitourinary
HP_0040165	Periostitis	periostitis	True	710.2	Periostitis	periostitis	musculoskeletal
HP_0100806	Sepsis	sepsis	True	994.2	Sepsis	sepsis	injuries & poisonings
HP_0100537	Fasciitis	fasciitis	True	728.7	Fasciitis	fasciitis	musculoskeletal
HP_0100279	Ulcerative colitis	ulcerative colitis	True	555.2	Ulcerative colitis	ulcerative colitis	digestive
HP_0100309	Subdural hemorrhage	subdural hemorrhage	True	430.3	Subdural hemorrhage	subdural hemorrhage	circulatory system
HP_0100309	Subdural haemorrhage	subdural hemorrhage	False	430.3	Subdural hemorrhage	subdural hemorrhage	circulatory system
HP_0100512	Vitamin D deficiency	vitamin d deficiency	False	261.4	Vitamin D deficiency	vitamin d deficiency	endocrine/metabolic
HP_0100518	Dysuria	dysuria	True	599.3	Dysuria	dysuria	genitourinary
HP_0100541	Femoral hernia	femoral hernia	True	550.3	Femoral hernia	femoral hernia	digestive
HP_0100580	Barrett's esophagus	barretts esophagus	False	530.13	Barrett's esophagus	barretts esophagus	digestive
HP_0100580	Barrett's oesophagus	barretts esophagus	False	530.13	Barrett's esophagus	barretts esophagus	digestive
HP_0100582	Nasal polyps	nasal polyps	False	471	Nasal polyps	nasal polyps	respiratory
HP_0100607	Dysmenorrhea	dysmenorrhea	True	626.2	Dysmenorrhea	dysmenorrhea	genitourinary
HP_0100647	Graves disease	graves disease	True	242.1	Graves' disease	graves disease	endocrine/metabolic
HP_0100651	Type 1 diabetes	type 1 diabetes	False	250.1	Type 1 diabetes	type 1 diabetes	endocrine/metabolic
HP_0100726	Kaposi's sarcoma	kaposis sarcoma	True	230	Kaposi's sarcoma	kaposis sarcoma	neoplasms
HP_0100753	Schizophrenia	schizophrenia	True	295.1	Schizophrenia	schizophrenia	mental disorders
HP_0100758	Gangrene	gangrene	True	791	Gangrene	gangrene	symptoms
HP_0100829	Galactorrhea	galactorrhea	True	612.1	Galactorrhea	galactorrhea	genitourinary
HP_0100845	Anaphylactic shock	anaphylactic shock	True	946	Anaphylactic shock NOS	anaphylactic shock	injuries & poisonings
HP_0200123	Chronic hepatitis	chronic hepatitis	True	070.4	Chronic hepatitis	chronic hepatitis	infectious diseases
HP_0410017	Otitis externa	otitis externa	True	380.1	Otitis externa	otitis externa	sense organs
HP_0410151	Eosinophilic esophagitis	eosinophilic esophagitis	False	530.15	Eosinophilic esophagitis	eosinophilic esophagitis	digestive
HP_0500049	Retinopathy of prematurity	retinopathy of prematurity	True	362.1	Retinopathy of prematurity	retinopathy of prematurity	sense organs
