hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
HP_0001635	Heart failure	heart failure	False	CV_424.1	Left heart failure	left heart failure	Cardiovascular
HP_0001635	Heart failure	heart failure	False	CV_424.5	Right heart failure*	right heart failure	Cardiovascular
HP_0001636	Tetralogy of Fallot	tetralogy of fallot	True	CM_763.4	Tetralogy of Fallot	tetralogy of fallot	Congenital
HP_0001642	Pulmonary valve stenosis	pulmonary valve stenosis	False	CV_413.41	Pulmonary valve stenosis	pulmonary valve stenosis	Cardiovascular
HP_0001642	Pulmonary valve stenosis	pulmonary valve stenosis	False	CM_763.212	Congenital pulmonary valve stenosis	congenital pulmonary valve stenosis	Congenital
HP_0001638	Cardiomyopathy	cardiomyopathy	True	CV_414	Cardiomyopathy	cardiomyopathy	Cardiovascular
HP_0001639	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	True	CV_414.1	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	Cardiovascular
HP_0001640	Cardiomegaly	cardiomegaly	True	CV_425	Cardiomegaly	cardiomegaly	Cardiovascular
HP_0001643	Patent ductus arteriosus	patent ductus arteriosus	True	CM_763.13	Patent ductus arteriosus	patent ductus arteriosus	Congenital
HP_0001643	Ductus arteriosus	ductus arteriosus	False	CM_763.13	Patent ductus arteriosus	patent ductus arteriosus	Congenital
HP_0001644	Dilated cardiomyopathy	dilated cardiomyopathy	True	CV_414.2	Dilated cardiomyopathy*	dilated cardiomyopathy	Cardiovascular
HP_0001695	Cardiac arrest	cardiac arrest	True	CV_420	Cardiac arrest	cardiac arrest	Cardiovascular
HP_0001649	Tachycardia	tachycardia	True	CV_417.2	Tachycardia	tachycardia	Cardiovascular
HP_0001650	Aortic stenosis	aortic stenosis	False	CV_413.21	Aortic stenosis	aortic stenosis	Cardiovascular
HP_0001653	Mitral valve insufficiency	mitral valve insufficiency	False	CV_413.11	Mitral valve insufficiency	mitral valve insufficiency	Cardiovascular
HP_0001655	Patent foramen ovale	patent foramen ovale	True	CM_763.321	Patent foramen ovale*	patent foramen ovale	Congenital
HP_0001657	Long QT syndrome	long qt syndrome	False	CV_416.6	Long QT syndrome	long qt syndrome	Cardiovascular
HP_0001658	Myocardial infarction	myocardial infarction	True	CV_404.11	Acute myocardial infarction	acute myocardial infarction	Cardiovascular
HP_0001659	Aortic insufficiency	aortic insufficiency	False	CV_413.22	Aortic insufficiency	aortic insufficiency	Cardiovascular
HP_0001662	Bradycardia	bradycardia	True	CV_417.3	Bradycardia	bradycardia	Cardiovascular
HP_0001663	Ventricular fibrillation	ventricular fibrillation	True	CV_416.31	Ventricular fibrillation	ventricular fibrillation	Cardiovascular
HP_0001664	Torsades de pointes	torsades de pointes	False	CV_416.121	Torsades de pointes*	torsades de pointes	Cardiovascular
HP_0001669	Transposition of great vessels	transposition of great vessels	False	CM_763.12	Transposition of great vessels [TGA]	transposition of great vessels tga	Congenital
HP_0006695	Atrioventricular septal defect	atrioventricular septal defect	False	CM_763.33	Atrioventricular septal defect	atrioventricular septal defect	Congenital
HP_0002621	Atherosclerosis	atherosclerosis	True	CV_436	Atherosclerosis [ASCVD]	atherosclerosis ascvd	Cardiovascular
HP_0001678	Atrioventricular block	atrioventricular block	True	CV_416.41	Atrioventricular block	atrioventricular block	Cardiovascular
HP_0001678	Atrioventricular block	atrioventricular block	True	CV_416.413	Atrioventricular block, complete	atrioventricular block complete	Cardiovascular
HP_0012722	Heart block	heart block	True	CV_416.4	Heart block	heart block	Cardiovascular
HP_0001680	Coarctation of aorta	coarctation of aorta	True	CM_763.141	Coarctation of aorta	coarctation of aorta	Congenital
HP_0001681	Angina pectoris	angina pectoris	True	CV_403	Angina pectoris	angina pectoris	Cardiovascular
HP_0001686	Aphonia	aphonia	False	RE_494.2	Aphonia	aphonia	Respiratory
HP_0001701	Pericarditis	pericarditis	True	CV_410.1	Pericarditis	pericarditis	Cardiovascular
HP_0001706	Endocardial fibroelastosis	endocardial fibroelastosis	True	CV_414.7	Endocardial fibroelastosis	endocardial fibroelastosis	Cardiovascular
HP_0001718	Mitral valve stenosis	mitral valve stenosis	False	CV_413.13	Mitral valve stenosis	mitral valve stenosis	Cardiovascular
HP_0001719	Double outlet right ventricle	double outlet right ventricle	True	CM_763.16	Double outlet right ventricle	double outlet right ventricle	Congenital
HP_0001723	Restrictive cardiomyopathy	restrictive cardiomyopathy	True	CV_414.8	Restrictive cardiomyopathy*	restrictive cardiomyopathy	Cardiovascular
HP_0001907	Thromboembolism	thromboembolism	True	CV_440.1	Venous thromboembolism	venous thromboembolism	Cardiovascular
HP_0001734	Annular pancreas	annular pancreas	True	CM_758.31	Annular pancreas*	annular pancreas	Congenital
HP_0001735	Acute pancreatitis	acute pancreatitis	True	GI_554.11	Acute pancreatitis	acute pancreatitis	Gastrointestinal
HP_0001738	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	True	GI_554.3	Exocrine pancreatic insufficiency*	exocrine pancreatic insufficiency	Gastrointestinal
HP_0001742	Nasal congestion	nasal congestion	True	RE_463.4	Nasal congestion*	nasal congestion	Respiratory
HP_0001746	Asplenia	asplenia	True	CM_773.1	Asplenia*	asplenia	Congenital
HP_0001762	Club foot	club foot	False	MS_710.42	Club foot	club foot	Muscloskeletal
HP_0001765	Hammer toe	hammer toe	False	MS_709.24	Hammer toe	hammer toe	Muscloskeletal
HP_0001788	Premature rupture of membranes	premature rupture of membranes	True	PP_905	Premature rupture of membranes	premature rupture of membranes	Pregnancy
HP_0001806	Onycholysis	onycholysis	True	DE_683.4	Onycholysis*	onycholysis	Dermatological
HP_0008404	Nail dystrophy	nail dystrophy	True	DE_683.2	Nail dystrophy*	nail dystrophy	Dermatological
HP_0001997	Gout	gout	True	MS_703.1	Gout	gout	Muscloskeletal
HP_0001873	Thrombocytopenia	thrombocytopenia	True	BI_169.1	Thrombocytopenia	thrombocytopenia	Blood/Immune
HP_0001875	Neutropenia	neutropenia	True	BI_170.1	Neutropenia	neutropenia	Blood/Immune
HP_0001876	Pancytopenia	pancytopenia	True	BI_162.8	Pancytopenia	pancytopenia	Blood/Immune
HP_0001877	Abnormality of red blood cells	abnormality of red blood cells	False	SS_821	Abnormality of red blood cells	abnormality of red blood cells	Symptoms
HP_0001880	Eosinophilia	eosinophilia	True	BI_171.7	Eosinophilia	eosinophilia	Blood/Immune
HP_0002754	Osteomyelitis	osteomyelitis	True	MS_701.1	Osteomyelitis	osteomyelitis	Muscloskeletal
HP_0001888	Lymphocytopenia	lymphocytopenia	False	BI_170.2	Lymphocytopenia	lymphocytopenia	Blood/Immune
HP_0001889	Megaloblastic anemia	megaloblastic anemia	True	BI_160.2	Megaloblastic anemia	megaloblastic anemia	Blood/Immune
HP_0001889	Megaloblastic anaemia	megaloblastic anemia	False	BI_160.2	Megaloblastic anemia	megaloblastic anemia	Blood/Immune
HP_0001972	Macrocytic anemia	macrocytic anemia	True	BI_164.2	Macrocytic anemia	macrocytic anemia	Blood/Immune
HP_0001972	Macrocytic anaemia	macrocytic anemia	False	BI_164.2	Macrocytic anemia	macrocytic anemia	Blood/Immune
HP_0001891	Iron deficiency anemia	iron deficiency anemia	True	BI_160.1	Iron deficiency anemia	iron deficiency anemia	Blood/Immune
HP_0001891	Iron deficiency anaemia	iron deficiency anemia	False	BI_160.1	Iron deficiency anemia	iron deficiency anemia	Blood/Immune
HP_0001894	Thrombocytosis	thrombocytosis	True	BI_176.1	Thrombocytosis*	thrombocytosis	Blood/Immune
HP_0010972	Dyserythropoietic anaemia	dyserythropoietic anemia	False	GE_970.7	Congenital dyserythropoietic anemia*	congenital dyserythropoietic anemia	Genetic
HP_0010972	Dyserythropoietic anemia	dyserythropoietic anemia	False	GE_970.7	Congenital dyserythropoietic anemia*	congenital dyserythropoietic anemia	Genetic
HP_0001901	Polycythemia	polycythemia	True	CA_124.3	Polycythemia vera	polycythemia vera	Neoplasms
HP_0001909	Leukemia	leukemia	True	CA_121	Leukemia	leukemia	Neoplasms
HP_0001909	Leukaemia	leukemia	False	CA_121	Leukemia	leukemia	Neoplasms
HP_0001915	Aplastic anemia	aplastic anemia	True	BI_162	Aplastic anemia	aplastic anemia	Blood/Immune
HP_0001915	Aplastic anaemia	aplastic anemia	False	BI_162	Aplastic anemia	aplastic anemia	Blood/Immune
HP_0011034	Amyloidosis	amyloidosis	True	EM_249	Amyloidosis	amyloidosis	Endocrine/Metab
HP_0001919	Acute kidney failure	acute kidney failure	False	GU_582.1	Acute kidney failure	acute kidney failure	Genitourinary
HP_0001924	Sideroblastic anemia	sideroblastic anemia	True	BI_164.8	Sideroblastic anemia	sideroblastic anemia	Blood/Immune
HP_0001924	Sideroblastic anaemia	sideroblastic anemia	False	BI_164.8	Sideroblastic anemia	sideroblastic anemia	Blood/Immune
HP_0001935	Microcytic anemia	microcytic anemia	True	BI_164.1	Microcytic anemia	microcytic anemia	Blood/Immune
HP_0001935	Microcytic anaemia	microcytic anemia	False	BI_164.1	Microcytic anemia	microcytic anemia	Blood/Immune
HP_0001941	Acidosis	acidosis	True	EM_256.31	Acidosis	acidosis	Endocrine/Metab
HP_0001944	Dehydration	dehydration	True	EM_256.71	Dehydration	dehydration	Endocrine/Metab
HP_0001945	Fever	fever	True	SS_805	Fever	fever	Symptoms
HP_0001948	Alkalosis	alkalosis	True	EM_256.32	Alkalosis	alkalosis	Endocrine/Metab
HP_0001959	Polydipsia	polydipsia	True	EM_257	Polydipsia	polydipsia	Endocrine/Metab
HP_0001962	Palpitations	palpitations	True	CV_417.1	Palpitations	palpitations	Cardiovascular
HP_0001971	Hypersplenism	hypersplenism	True	BI_174.21	Hypersplenism	hypersplenism	Blood/Immune
HP_0001998	Neonatal hypoglycemia	neonatal hypoglycemia	True	NB_861.2	Neonatal hypoglycemia	neonatal hypoglycemia	Neonatal
HP_0002013	Vomiting	vomiting	True	GI_528.2	Vomiting	vomiting	Gastrointestinal
HP_0002014	Diarrhea	diarrhea	True	GI_529.1	Diarrhea	diarrhea	Gastrointestinal
HP_0002014	Diarrhoea	diarrhea	False	GI_529.1	Diarrhea	diarrhea	Gastrointestinal
HP_0002018	Nausea	nausea	True	GI_528.1	Nausea	nausea	Gastrointestinal
HP_0002019	Constipation	constipation	True	GI_529.5	Constipation	constipation	Gastrointestinal
HP_0002020	Heartburn	heartburn	False	GI_515	Heartburn	heartburn	Gastrointestinal
HP_0002021	Pyloric stenosis	pyloric stenosis	True	GI_516.1	Pyloric stenosis	pyloric stenosis	Gastrointestinal
HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	GI_525	Intestinal malabsorption	intestinal malabsorption	Gastrointestinal
HP_0002027	Abdominal pain	abdominal pain	True	GI_527	Abdominal pain	abdominal pain	Gastrointestinal
HP_0012531	Pain	pain	True	SS_809	Pain	pain	Symptoms
HP_0002035	Rectal prolapse	rectal prolapse	True	GI_530.3	Rectal prolapse	rectal prolapse	Gastrointestinal
HP_0004386	Gastrointestinal inflammation	gastrointestinal inflammation	True	GI_522	Gastrointestinal inflammation	gastrointestinal inflammation	Gastrointestinal
HP_0002039	Anorexia	anorexia	True	EM_230.3	Anorexia	anorexia	Endocrine/Metab
HP_0002047	Malignant hyperthermia	malignant hyperthermia	True	GE_981.8	Malignant hyperthermia	malignant hyperthermia	Genetic
HP_0002076	Migraine	migraine	True	NS_331.6	Migraine	migraine	Neurological
HP_0002315	Headache	headache	True	NS_331	Headache	headache	Neurological
HP_0002077	Migraine with aura	migraine with aura	True	NS_331.61	Migraine with aura	migraine with aura	Neurological
HP_0030186	Essential tremor	essential tremor	False	NS_324.341	Essential tremor*	essential tremor	Neurological
HP_0002083	Migraine without aura	migraine without aura	True	NS_331.64	Chronic migraine without aura	chronic migraine without aura	Neurological
HP_0002084	Encephalocele	encephalocele	True	CM_750.24	Encephalocele	encephalocele	Congenital
HP_0002090	Pneumonia	pneumonia	True	RE_468	Pneumonia	pneumonia	Respiratory
HP_0011947	Respiratory infection	respiratory infection	False	RE_460	Respiratory infection	respiratory infection	Respiratory
HP_0002094	Shortness of breath	shortness of breath	False	RE_488.1	Dyspnea [Shortness of breath]	dyspnea shortness of breath	Respiratory
HP_0002097	Emphysema	emphysema	True	RE_474.1	Emphysema	emphysema	Respiratory
HP_0002099	Asthma	asthma	True	RE_475	Asthma	asthma	Respiratory
HP_0011951	Aspiration pneumonia	aspiration pneumonia	True	RE_478	Aspiration pneumonia	aspiration pneumonia	Respiratory
HP_0002102	Pleurisy	pleurisy	False	RE_491	Pleurisy	pleurisy	Respiratory
HP_0002104	Apnea	apnea	True	RE_488.7	Apnea	apnea	Respiratory
HP_0002105	Hemoptysis	hemoptysis	True	RE_487.3	Hemoptysis	hemoptysis	Respiratory
HP_0032016	Abnormal sputum	abnormal sputum	True	RE_499.2	Abnormal sputum	abnormal sputum	Respiratory
HP_0002108	Spontaneous pneumothorax	spontaneous pneumothorax	True	RE_484.1	Spontaneous pneumothorax	spontaneous pneumothorax	Respiratory
HP_0002110	Bronchiectasis	bronchiectasis	True	RE_476	Bronchiectasis	bronchiectasis	Respiratory
HP_0002145	Frontotemporal dementia	frontotemporal dementia	True	NS_328.13	Frontotemporal dementia [FTD]	frontotemporal dementia ftd	Neurological
HP_0002150	Hypercalciuria	hypercalciuria	True	SS_832.9	Hypercalciuria*	hypercalciuria	Symptoms
HP_0003077	Hyperlipidemia	hyperlipidemia	True	EM_239	Hyperlipidemia	hyperlipidemia	Endocrine/Metab
HP_0003077	Hyperlipidemia	hyperlipidemia	True	EM_239.3	Mixed hyperlipidemia	mixed hyperlipidemia	Endocrine/Metab
HP_0002156	Homocystinuria	homocystinuria	True	GE_962.41	Homocystinuria*	homocystinuria	Genetic
HP_0002176	Spinal cord compression	spinal cord compression	True	NS_348.4	Spinal cord compression*	spinal cord compression	Neurological
HP_0002181	Cerebral edema	cerebral edema	True	NS_346.6	Cerebral edema	cerebral edema	Neurological
HP_0002901	Hypocalcemia	hypocalcemia	True	EM_247.51	Hypocalcemia	hypocalcemia	Endocrine/Metab
HP_0002202	Pleural effusion	pleural effusion	True	RE_483	Pleural effusion	pleural effusion	Respiratory
HP_0002204	Pulmonary embolism	pulmonary embolism	True	CV_440.3	Pulmonary embolism	pulmonary embolism	Cardiovascular
HP_0002206	Pulmonary fibrosis	pulmonary fibrosis	True	RE_481.4	Pulmonary fibrosis	pulmonary fibrosis	Respiratory
HP_0002232	Alopecia areata	alopecia areata	False	DE_684.11	Alopecia Areata	alopecia areata	Dermatological
HP_0002239	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	True	GI_557	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	Gastrointestinal
HP_0002239	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	True	NB_857.2	Neonatal gastrointestinal hemorrhage	neonatal gastrointestinal hemorrhage	Neonatal
HP_0002239	Gastrointestinal haemorrhage	gastrointestinal hemorrhage	False	GI_557	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	Gastrointestinal
HP_0002239	Gastrointestinal haemorrhage	gastrointestinal hemorrhage	False	NB_857.2	Neonatal gastrointestinal hemorrhage	neonatal gastrointestinal hemorrhage	Neonatal
HP_0002245	Meckel diverticulum	meckel diverticulum	True	CM_758.11	Meckel diverticulum	meckel diverticulum	Congenital
HP_0002248	Hematemesis	hematemesis	True	GI_557.1	Hematemesis	hematemesis	Gastrointestinal
HP_0002257	Chronic rhinitis	chronic rhinitis	True	RE_463.1	Chronic rhinitis	chronic rhinitis	Respiratory
HP_0002277	Horner's syndrome	horners syndrome	False	NS_343.5	Horner's syndrome*	horners syndrome	Neurological
HP_0002321	Vertigo	vertigo	True	SO_394.2	Vertigo	vertigo	Sense organs
HP_0002343	Normal pressure hydrocephalus	normal pressure hydrocephalus	True	NS_344.13	(Idiopathic) normal pressure hydrocephalus	idiopathic normal pressure hydrocephalus	Neurological
HP_0002353	Abnormal electroencephalogram	abnormal electroencephalogram	False	NS_349.12	Abnormal electroencephalogram [EEG]	abnormal electroencephalogram eeg	Neurological
HP_0002354	Memory loss	memory loss	False	NS_329.1	Memory loss	memory loss	Neurological
HP_0002355	Difficulty walking	difficulty walking	True	NS_325.2	Difficulty walking	difficulty walking	Neurological
HP_0002367	Visual hallucinations	visual hallucinations	True	MB_308.31	Visual hallucinations	visual hallucinations	Mental
HP_0100026	Arteriovenous malformation	arteriovenous malformation	True	CV_441	Arteriovenous malformation	arteriovenous malformation	Cardiovascular
HP_0100026	Arteriovenous malformation	arteriovenous malformation	True	CV_441.2	Pulmonary arteriovenous malformation	pulmonary arteriovenous malformation	Cardiovascular
HP_0100026	Arteriovenous malformation	arteriovenous malformation	True	CM_764.5	Congenital arteriovenous malformation*	congenital arteriovenous malformation	Congenital
HP_0002414	Spina bifida	spina bifida	True	CM_750.21	Spina bifida	spina bifida	Congenital
HP_0002445	Quadriplegia	quadriplegia	False	NS_342.2	Quadriplegia	quadriplegia	Neurological
HP_0002457	Abnormal head movements	abnormal head movements	True	NS_324.32	Abnormal head movements*	abnormal head movements	Neurological
HP_0002488	Acute leukemia	acute leukemia	True	CA_121.1	Acute leukemia	acute leukemia	Neoplasms
HP_0002488	Acute leukaemia	acute leukemia	False	CA_121.1	Acute leukemia	acute leukemia	Neoplasms
HP_0002516	Intracranial hypertension	intracranial hypertension	False	NS_344.2	Benign intracranial hypertension	benign intracranial hypertension	Neurological
HP_0002575	Tracheoesophageal fistula	tracheoesophageal fistula	True	RE_492	Tracheoesophageal fistula	tracheoesophageal fistula	Respiratory
HP_0002576	Intussusception	intussusception	True	GI_532.3	Intussusception	intussusception	Gastrointestinal
HP_0002578	Gastroparesis	gastroparesis	True	GI_516.4	Gastroparesis	gastroparesis	Gastrointestinal
HP_0002580	Volvulus	volvulus	True	GI_532.4	Volvulus	volvulus	Gastrointestinal
HP_0002582	Atrophic gastritis	atrophic gastritis	True	GI_522.92	Atrophic gastritis	atrophic gastritis	Gastrointestinal
HP_0005263	Gastritis	gastritis	True	GI_522.9	Gastritis	gastritis	Gastrointestinal
HP_0002585	Abnormality of the peritoneum	abnormality of the peritoneum	True	GI_537	Abnormality of the peritoneum	abnormality of the peritoneum	Gastrointestinal
HP_0002586	Peritonitis	peritonitis	True	GI_537.1	Peritonitis	peritonitis	Gastrointestinal
HP_0002588	Duodenal ulcer	duodenal ulcer	True	GI_513.3	Duodenal ulcer	duodenal ulcer	Gastrointestinal
HP_0002590	Paralytic ileus	paralytic ileus	True	GI_514.31	Paralytic ileus	paralytic ileus	Gastrointestinal
HP_0002595	Ileus	ileus	True	GI_514.3	Ileus	ileus	Gastrointestinal
HP_0002591	Polyphagia	polyphagia	True	MB_293.4	Polyphagia	polyphagia	Mental
HP_0002592	Gastric ulcer	gastric ulcer	True	GI_513.2	Gastric ulcer	gastric ulcer	Gastrointestinal
HP_0004398	Peptic ulcer	peptic ulcer	True	GI_513	Peptic ulcer	peptic ulcer	Gastrointestinal
HP_0005214	Intestinal obstruction	intestinal obstruction	True	GI_514.2	Intestinal obstruction	intestinal obstruction	Gastrointestinal
HP_0002608	Celiac disease	celiac disease	True	GI_525.1	Celiac disease	celiac disease	Gastrointestinal
HP_0002613	Biliary cirrhosis	biliary cirrhosis	True	GI_542.8	Biliary cirrhosis	biliary cirrhosis	Gastrointestinal
HP_0002613	Biliary cirrhosis	biliary cirrhosis	True	GI_542.81	Primary biliary cirrhosis*	primary biliary cirrhosis	Gastrointestinal
HP_0002619	Varicose veins	varicose veins	True	CV_444.1	Varicose veins	varicose veins	Cardiovascular
HP_0002625	Deep vein thrombosis	deep vein thrombosis	False	CV_440.11	Deep vein thrombosis [DVT]	deep vein thrombosis dvt	Cardiovascular
HP_0012020	Right aortic arch	right aortic arch	True	CM_763.147	Right aortic arch*	right aortic arch	Congenital
HP_0002639	Budd-Chiari syndrome	budd-chiari syndrome	True	CV_440.14	Budd-Chiari syndrome	budd-chiari syndrome	Cardiovascular
HP_0004947	Arteriovenous fistula	arteriovenous fistula	True	CV_441.1	Arteriovenous fistula	arteriovenous fistula	Cardiovascular
HP_0002647	Aortic dissection	aortic dissection	True	CV_438.41	Aortic dissection	aortic dissection	Cardiovascular
HP_0002650	Scoliosis	scoliosis	True	MS_714.3	Scoliosis	scoliosis	Muscloskeletal
HP_0002655	Spondyloepiphyseal dysplasia	spondyloepiphyseal dysplasia	True	GE_978.316	Spondyloepiphyseal dysplasia*	spondyloepiphyseal dysplasia	Genetic
HP_0002665	Lymphoma	lymphoma	True	CA_122	Lymphoma	lymphoma	Neoplasms
HP_0002668	Paraganglioma	paraganglioma	True	CA_114.5	Paraganglioma	paraganglioma	Neoplasms
HP_0002671	Basal cell carcinoma	basal cell carcinoma	True	CA_103.21	Basal cell carcinoma	basal cell carcinoma	Neoplasms
HP_0002673	Coxa valga	coxa valga	True	MS_710.21	Coxa valga	coxa valga	Muscloskeletal
HP_0002733	Abnormality of the lymph nodes	abnormality of the lymph nodes	True	BI_177	Abnormality of the lymph nodes	abnormality of the lymph nodes	Blood/Immune
HP_0004313	Hypogammaglobulinemia	hypogammaglobulinemia	False	BI_179.1	Hypogammaglobulinemia NOS	hypogammaglobulinemia	Blood/Immune
HP_0002721	Immunodeficiency	immunodeficiency	True	BI_179.9	Immunodeficiency NOS	immunodeficiency	Blood/Immune
HP_0002725	Systemic lupus erythematosus	systemic lupus erythematosus	True	MS_700.11	Systemic lupus erythematosus [SLE]	systemic lupus erythematosus sle	Muscloskeletal
HP_0002745	Oral leukoplakia	oral leukoplakia	True	GI_507.3	Oral leukoplakia	oral leukoplakia	Gastrointestinal
HP_0002749	Osteomalacia	osteomalacia	True	MS_726.5	Osteomalacia	osteomalacia	Muscloskeletal
HP_0002808	Kyphosis	kyphosis	True	MS_714.1	Kyphosis	kyphosis	Muscloskeletal
HP_0002758	Osteoarthritis	osteoarthritis	True	MS_708	Osteoarthritis	osteoarthritis	Muscloskeletal
HP_0002789	Tachypnea	tachypnea	True	RE_488.4	Tachypnea	tachypnea	Respiratory
HP_0002804	Arthrogryposis multiplex congenita	arthrogryposis multiplex congenita	True	CM_770.4	Arthrogryposis multiplex congenita*	arthrogryposis multiplex congenita	Congenital
HP_0002804	Arthrogryposis multiplex	arthrogryposis multiplex	False	CM_770.4	Arthrogryposis multiplex congenita*	arthrogryposis multiplex congenita	Congenital
HP_0002812	Coxa vara	coxa vara	True	MS_710.22	Coxa vara	coxa vara	Muscloskeletal
HP_0002836	Bladder exstrophy	bladder exstrophy	True	CM_761.31	Bladder exstrophy	bladder exstrophy	Congenital
HP_0012387	Bronchitis	bronchitis	True	RE_469	Bronchitis	bronchitis	Respiratory
HP_0002840	Lymphadenitis	lymphadenitis	True	BI_177.1	Lymphadenitis	lymphadenitis	Blood/Immune
HP_0002840	Lymphadenitis	lymphadenitis	True	BI_177.13	Acute lymphadenitis	acute lymphadenitis	Blood/Immune
HP_0002863	Myelodysplastic syndrome	myelodysplastic syndrome	False	CA_124.6	Myelodysplastic syndrome	myelodysplastic syndrome	Neoplasms
HP_0002870	Obstructive sleep apnea	obstructive sleep apnea	True	NS_333.11	Obstructive sleep apnea	obstructive sleep apnea	Neurological
HP_0010535	Sleep apnea	sleep apnea	True	NS_333.1	Sleep apnea	sleep apnea	Neurological
HP_0002878	Respiratory failure	respiratory failure	True	RE_479.3	Respiratory failure	respiratory failure	Respiratory
HP_0002878	Respiratory failure	respiratory failure	True	RE_479.31	Acute respiratory failure	acute respiratory failure	Respiratory
HP_0002878	Respiratory failure	respiratory failure	True	RE_479.32	Chronic respiratory failure	chronic respiratory failure	Respiratory
HP_0002883	Hyperventilation	hyperventilation	True	RE_488.2	Hyperventilation	hyperventilation	Respiratory
HP_0002894	Neoplasm of the pancreas	neoplasm of the pancreas	True	CA_101.8	Malignant neoplasm of the pancreas	malignant neoplasm of the pancreas	Neoplasms
HP_0002894	Neoplasm of the pancreas	neoplasm of the pancreas	True	CA_136.8	Benign neoplasm of the pancreas	benign neoplasm of the pancreas	Neoplasms
HP_0100733	Neoplasm of the parathyroid gland	neoplasm of the parathyroid gland	True	CA_110.3	Malignant neoplasm of the parathyroid gland	malignant neoplasm of the parathyroid gland	Neoplasms
HP_0100733	Neoplasm of the parathyroid gland	neoplasm of the parathyroid gland	True	CA_149.3	Benign neoplasm of the parathyroid gland	benign neoplasm of the parathyroid gland	Neoplasms
HP_0002907	Microscopic hematuria	microscopic hematuria	True	GU_593.2	Microscopic hematuria	microscopic hematuria	Genitourinary
HP_0002912	Methylmalonic acidemia	methylmalonic acidemia	True	GE_962.24	Methylmalonic acidemia*	methylmalonic acidemia	Genetic
HP_0002913	Myoglobinuria	myoglobinuria	True	SS_832.2	Myoglobinuria	myoglobinuria	Symptoms
HP_0002917	Hypomagnesemia	hypomagnesemia	True	EM_247.42	Hypomagnesemia*	hypomagnesemia	Endocrine/Metab
HP_0002918	Hypermagnesemia	hypermagnesemia	True	EM_247.41	Hypermagnesemia*	hypermagnesemia	Endocrine/Metab
HP_0002933	Ventral hernia	ventral hernia	True	GI_520.14	Ventral hernia	ventral hernia	Gastrointestinal
HP_0003307	Lordosis	lordosis	False	MS_714.2	Lordosis	lordosis	Muscloskeletal
HP_0006487	Bowing of the long bones	bowing of the long bones	True	CM_767.6	Bowing of the long bones	bowing of the long bones	Congenital
HP_0100013	Neoplasm of the breast	neoplasm of the breast	True	CA_105	Malignant neoplasm of the breast	malignant neoplasm of the breast	Neoplasms
HP_0100013	Neoplasm of the breast	neoplasm of the breast	True	CA_140	Benign neoplasm of the breast	benign neoplasm of the breast	Neoplasms
HP_0100273	Neoplasm of the colon	neoplasm of the colon	True	CA_136.41	Benign neoplasm of the colon	benign neoplasm of the colon	Neoplasms
HP_0003072	Hypercalcemia	hypercalcemia	True	EM_247.52	Hypercalcemia	hypercalcemia	Endocrine/Metab
HP_0003074	Hyperglycemia	hyperglycemia	True	EM_204.4	Hyperglycemia	hyperglycemia	Endocrine/Metab
HP_0003076	Glycosuria	glycosuria	True	SS_831	Glycosuria	glycosuria	Symptoms
HP_0003115	Abnormal electrocardiogram	abnormal electrocardiogram	False	CV_418.1	Abnormal electrocardiogram [ECG] [EKG]	abnormal electrocardiogram ecg ekg	Cardiovascular
HP_0003124	Hypercholesterolemia	hypercholesterolemia	True	EM_239.1	Hypercholesterolemia	hypercholesterolemia	Endocrine/Metab
HP_0003124	Hypercholesterolemia	hypercholesterolemia	True	EM_239.11	Pure hypercholesterolemia	pure hypercholesterolemia	Endocrine/Metab
HP_0003124	Hypercholesterolemia	hypercholesterolemia	True	GE_965.4	Familial hypercholesterolemia*	familial hypercholesterolemia	Genetic
HP_0003131	Cystinuria	cystinuria	True	GE_962.42	Cystinuria*	cystinuria	Genetic
HP_0003150	Glutaric aciduria	glutaric aciduria	True	GE_962.34	Glutaric aciduria type II*	glutaric aciduria type ii	Genetic
HP_0003159	Hyperoxaluria	hyperoxaluria	True	SS_832.8	Hyperoxaluria*	hyperoxaluria	Symptoms
HP_0003179	Protrusio acetabuli	protrusio acetabuli	True	MS_710.23	Protrusio acetabuli	protrusio acetabuli	Muscloskeletal
HP_0003187	Breast hypoplasia	breast hypoplasia	True	GU_612.23	Breast hypoplasia	breast hypoplasia	Genitourinary
HP_0003193	Allergic rhinitis	allergic rhinitis	True	RE_463.2	Allergic rhinitis	allergic rhinitis	Respiratory
HP_0012393	Allergy	allergy	True	SS_840	Allergy	allergy	Symptoms
HP_0003201	Rhabdomyolysis	rhabdomyolysis	True	MS_719.8	Rhabdomyolysis	rhabdomyolysis	Muscloskeletal
HP_0003202	Muscular atrophy	muscular atrophy	False	GE_972.41	Spinal muscular atrophy	spinal muscular atrophy	Genetic
