phecode1.2_code	phecode1.2_label	phecode1.2_category	CUI	hpo_code	hpo_label	PheMap_score
313.1	Attention deficit hyperactivity disorder	mental disorders	C1263846	HP_0007018	Attention deficit hyperactivity disorder	94.13891640758727
313.2	Tics and stuttering	mental disorders	C0038506	HP_0025268	Stuttering	31.89697550177732
313.3	Autism	mental disorders	C0004352	HP_0000717	Autism	51.02423049951053
313.3	Autism	mental disorders	C1510586	HP_0000729	Autistic behavior	40.72516961265277
315	Develomental delays and disorders	mental disorders	C0040953	HP_0012167	Hair-pulling	50.318553705912
315	Develomental delays and disorders	mental disorders	C0085271	HP_0100716	Self-injurious behavior	24.908887310950146
315.1	Learning disorder	mental disorders	C3714756	HP_0001249	Intellectual disability	15.9223569157867
315.1	Learning disorder	mental disorders	C0476254	HP_0010522	Dyslexia	25.07479842688619
315.2	Speech and language disorder	mental disorders	C0038506	HP_0025268	Stuttering	28.921555840305423
315.2	Speech and language disorder	mental disorders	C0476254	HP_0010522	Dyslexia	15.202241857533858
315.3	Mental retardation	mental disorders	C3714756	HP_0001249	Intellectual disability	27.974313535413252
317	Alcohol-related disorders	mental disorders	C0001973	HP_0030955	Alcoholism	32.928346406357285
317.1	Alcoholism	mental disorders	C0001973	HP_0030955	Alcoholism	20.712449322610322
317.11	Alcoholic liver damage	mental disorders	C0023890	HP_0001394	Cirrhosis	16.201039525572973
320	Meningitis	neurological	C0025289	HP_0001287	Meningitis	29.66140465159091
325	Phlebitis and thrombophlebitis of intracranial venous sinuses	neurological	C0005745	HP_0000508	Ptosis	20.46658413768368
327	Sleep disorders	neurological	C0037672	HP_0025236	Somnambulism	39.05388734391673
327	Sleep disorders	neurological	C0917801	HP_0100785	Insomnia	25.935546183406228
327.1	Hypersomnia	neurological	C0917799	HP_0100786	Hypersomnia	19.802262325428234
327.1	Hypersomnia	neurological	C0917801	HP_0100785	Insomnia	42.236613205613054
327.3	Sleep apnea	neurological	C0037315	HP_0010535	Sleep apnea	17.30150266384054
327.3	Sleep apnea	neurological	C0520679	HP_0002870	Obstructive sleep apnea	51.51287000036727
327.31	Central/nonobstroctive sleep apnea	neurological	C0520680	HP_0010536	Central sleep apnea	127.715501159841
327.32	Obstructive sleep apnea	neurological	C0037315	HP_0010535	Sleep apnea	19.18604357986432
327.32	Obstructive sleep apnea	neurological	C0520679	HP_0002870	Obstructive sleep apnea	54.104067076350134
327.4	Insomnia	neurological	C0037672	HP_0025236	Somnambulism	41.047833916700505
327.4	Insomnia	neurological	C0917801	HP_0100785	Insomnia	27.503719778737196
327.41	Organic or persistent insomnia	neurological	C0917801	HP_0100785	Insomnia	59.56689158588542
327.5	Parasomnia	neurological	C0037320	HP_0030765	Sleep terror	39.369498350901225
327.5	Parasomnia	neurological	C0456511	HP_0025233	Sleep paralysis	19.261914154605964
327.5	Parasomnia	neurological	C0037672	HP_0025236	Somnambulism	50.218747923378494
327.6	Circadian rhythm sleep disorder	neurological	C0917801	HP_0100785	Insomnia	48.21379004509797
327.7	Sleep related movement disorders	neurological	C0035258	HP_0012452	Restless legs	25.146236437698587
327.7	Sleep related movement disorders	neurological	C0037672	HP_0025236	Somnambulism	16.3039430102159
327.7	Sleep related movement disorders	neurological	C0030508	HP_0025234	Parasomnia	37.26727819716263
327.7	Sleep related movement disorders	neurological	C0752295	HP_0025237	Confusional arousal	14.808078350677269
327.71	Restless legs syndrome	neurological	C0035258	HP_0012452	Restless legs	179.88442867118897
331.1	Hydrocephalus	neurological	C0020255	HP_0000238	Hydrocephalus	81.57269717098545
331.1	Hydrocephalus	neurological	C0020258	HP_0002343	Normal pressure hydrocephalus	33.15917101014965
331.9	Cerebral degeneration, unspecified	neurological	C0002395	HP_0002511	Alzheimer disease	22.4243191518518
331.9	Cerebral degeneration, unspecified	neurological	C0338451	HP_0002145	Frontotemporal dementia	20.2717354657013
332	Parkinson's disease	neurological	C0242422	HP_0001300	Parkinsonism	14.860915984539455
333	Extrapyramidal disease and abnormal movement disorders	neurological	C0013421	HP_0001332	Dystonia	32.25281441128594
333	Extrapyramidal disease and abnormal movement disorders	neurological	C0035258	HP_0012452	Restless legs	58.88681055612852
333.1	Essential tremor	neurological	C0270736	HP_0030186	Kinetic tremor	67.17684123127836
333.1	Essential tremor	neurological	C0040822	HP_0001337	Tremor	86.99885228597391
333.2	Myoclonus	neurological	C0231530	HP_0010546	Muscle fibrillation	16.12077367830857
333.2	Myoclonus	neurological	C0005747	HP_0000643	Blepharospasm	44.12337909814521
333.2	Myoclonus	neurological	C0027066	HP_0001336	Myoclonus	63.74826293139528
333.4	Torsion dystonia	neurological	C0013421	HP_0001332	Dystonia	48.06422308211451
333.4	Torsion dystonia	neurological	C0686347	HP_0040141	Tardive dyskinesia	25.616065038728355
333.4	Torsion dystonia	neurological	C0005747	HP_0000643	Blepharospasm	18.092255671421167
333.4	Torsion dystonia	neurological	C0027066	HP_0001336	Myoclonus	13.973786655927933
334	Degenerative disease of the spinal cord	neurological	C0039144	HP_0003396	Syringomyelia	92.90970194991849
334.1	Spinocerebellar disease	neurological	C0004134	HP_0010867	Dyssynergia	19.462691381693894
334.1	Spinocerebellar disease	neurological	C0007758	HP_0001251	Ataxia	25.431958388905226
334.2	Anterior horn cell disease	neurological	C0026847	HP_0007269	Spinal muscular atrophy	75.19487417647224
334.2	Anterior horn cell disease	neurological	C0002736	HP_0007354	Amyotrophic lateral sclerosis	14.098236008038974
334.21	Amyotrophic Lateral Sclerosis	neurological	C0002736	HP_0007354	Amyotrophic lateral sclerosis	113.41599201097132
337	Disorders of the autonomic nervous system	neurological	C0019937	HP_0002277	Horner syndrome	78.80791589858823
337	Disorders of the autonomic nervous system	neurological	C0005745	HP_0000508	Ptosis	14.935390702070851
337.1	Peripheral autonomic neuropathy	neurological	C0005745	HP_0000508	Ptosis	19.89485235199935
337.1	Peripheral autonomic neuropathy	neurological	C0019937	HP_0002277	Horner syndrome	104.97695589267734
338.2	Chronic pain	neurological	C0150055	HP_0012532	Chronic pain	16.617783082662424
339	Other headache syndromes	neurological	C0018681	HP_0002315	Headache	67.43591642782786
339	Other headache syndromes	neurological	C0033893	HP_0012228	Tension-type headache	38.420964204257025
340	Migraine	neurological	C0018681	HP_0002315	Headache	56.6061870503384
340	Migraine	neurological	C0338480	HP_0002083	Migraine without aura	14.255955217798874
340	Migraine	neurological	C0009088	HP_0012199	Cluster headache	36.41554601582678
340	Migraine	neurological	C0149931	HP_0002076	Migraine	56.509279097632856
340.1	Migrain with aura	neurological	C0149931	HP_0002076	Migraine	74.09202062130281
340.1	Migrain with aura	neurological	C0018681	HP_0002315	Headache	29.927048901838496
340.1	Migrain with aura	neurological	C0338480	HP_0002083	Migraine without aura	82.57888571258135
341	Other demyelinating diseases of central nervous system	neurological	C0007384	HP_0002524	Cataplexy	25.809335095989013
341	Other demyelinating diseases of central nervous system	neurological	C0027404	HP_0030050	Narcolepsy	66.06233981910997
343	Infantile cerebral palsy	neurological	C0007789	HP_0100021	Cerebral palsy	68.6286315655525
345	Epilepsy, recurrent seizures, convulsions	neurological	C0014544	HP_0001250	Seizure	49.741852872190215
345	Epilepsy, recurrent seizures, convulsions	neurological	C0036572	HP_0001250	Seizure	39.06144989894995
345.1	Epilepsy	neurological	C0036572	HP_0001250	Seizure	21.33730143572971
345.1	Epilepsy	neurological	C0014544	HP_0001250	Seizure	34.1750385585282
345.11	Generalized convulsive epilepsy	neurological	C0036572	HP_0001250	Seizure	29.118732021962188
345.11	Generalized convulsive epilepsy	neurological	C0014544	HP_0001250	Seizure	15.486429241981552
345.11	Generalized convulsive epilepsy	neurological	C0494475	HP_0002069	Bilateral tonic-clonic seizure	31.48823632363073
345.11	Generalized convulsive epilepsy	neurological	C0494475	HP_0032677	Generalized-onset motor seizure	31.48823632363073
345.12	Partial epilepsy	neurological	C0234974	HP_0002349	Focal aware seizure	15.661203565449044
345.12	Partial epilepsy	neurological	C0014544	HP_0001250	Seizure	56.440007121758136
345.12	Partial epilepsy	neurological	C0266491	HP_0002281	obsolete Gray matter heterotopias	30.3089265162133
345.12	Partial epilepsy	neurological	C0431380	HP_0002539	Cortical dysplasia	60.6178530324266
345.12	Partial epilepsy	neurological	C1504404	HP_0033715	Hippocampal sclerosis	31.32240713089809
345.12	Partial epilepsy	neurological	C0266491	HP_0002282	Gray matter heterotopia	30.3089265162133
345.12	Partial epilepsy	neurological	C4021085	HP_0012443	Abnormality of brain morphology	19.233498116329805
345.3	Convulsions	neurological	C0036572	HP_0001250	Seizure	34.45088259385496
345.3	Convulsions	neurological	C0014544	HP_0001250	Seizure	34.27403988488259
345.3	Convulsions	neurological	C0009952	HP_0002373	Febrile seizure (within the age range of 3 months to 6 years)	23.38053044349638
347	Cataplexy and narcolepsy	neurological	C0027404	HP_0030050	Narcolepsy	91.231124254585
347	Cataplexy and narcolepsy	neurological	C0007384	HP_0002524	Cataplexy	35.64231396462394
348	Other conditions of brain	neurological	C0085584	HP_0001298	Encephalopathy	32.968686731512136
348	Other conditions of brain	neurological	C0007786	HP_0002637	Cerebral ischemia	18.37213713892894
348.2	Cerebral edema and compression of brain	neurological	C0151740	HP_0002516	Increased intracranial pressure	20.72214289704453
348.2	Cerebral edema and compression of brain	neurological	C0006114	HP_0002181	Cerebral edema	15.03970490794457
348.4	Cerebral cysts	neurological	C0078981	HP_0100702	Arachnoid cyst	207.3892185683824
348.7	Coma	neurological	C0009421	HP_0001259	Coma	59.64750597991197
348.8	Encephalopathy, not elsewhere classified	neurological	C0085584	HP_0001298	Encephalopathy	50.01536242668164
348.8	Encephalopathy, not elsewhere classified	neurological	C0002940	HP_0002617	Vascular dilatation	20.62892953188865
348.9	Other conditions of brain, NOS	neurological	C0037769	HP_0011097	Epileptic spasm	14.38747460104849
350.1	Abnormal involuntary movements	neurological	C0020626	HP_0000829	Hypoparathyroidism	40.05246349475773
350.1	Abnormal involuntary movements	neurological	C0040822	HP_0001337	Tremor	29.20794485799151
350.3	Lack of coordination	neurological	C0013421	HP_0001332	Dystonia	65.66920482282582
350.3	Lack of coordination	neurological	C0004134	HP_0010867	Dyssynergia	22.60622481198626
350.3	Lack of coordination	neurological	C0003635	HP_0002186	Apraxia	21.64822270938928
350.6	Disturbances of sensation of smell and taste	neurological	C0013378	HP_0031249	Parageusia	52.99236297584116
351	Other peripheral nerve disorders	neurological	C0007286	HP_0012185	Constrictive median neuropathy	40.82232866330278
352	Disorders of other cranial nerves	neurological	C0027796	HP_0033345	Neuralgia	21.564584809401435
352.1	Trigeminal nerve disorders [CN5]	neurological	C0040997	HP_0100661	Trigeminal neuralgia	102.75234168091295
352.2	Facial nerve disorders [CN7]	neurological	C0278152	HP_0010828	Hemifacial spasm	20.88585007779305
352.2	Facial nerve disorders [CN7]	neurological	C0015469	HP_0007209	Facial paralysis	69.51878543527093
353.1	Nerve plexus lesions	neurological	C0345397	HP_0005815	Supernumerary ribs	17.063445579384727
355	Complex regional/central pain syndrome	neurological	C0151295	HP_0032018	Multiple mononeuropathy	51.26958603104281
355.1	Chronic pain syndrome	neurological	C0150055	HP_0012532	Chronic pain	30.24988746547067
356	Hereditary and idiopathic peripheral neuropathy	neurological	C0427065	HP_0002460	Distal muscle weakness	18.40618630079897
358	Myoneural disorders	neurological	C0149925	HP_0030357	Small cell lung carcinoma	35.0476982308532
359.1	Muscular dystrophies	neurological	C0238357	HP_0007215	Periodic hyperkalemic paralysis	13.994141336936213
359.1	Muscular dystrophies	neurological	C0026850	HP_0003560	Muscular dystrophy	41.33164037242084
359.2	Myopathy	neurological	C0026848	HP_0003198	Myopathy	18.583458570116502
360.3	Hypotony of eye	sense organs	C0028841	HP_0032547	Low intraocular pressure	27.433981118414373
360.3	Hypotony of eye	sense organs	C0041327	HP_0032262	Pulmonary tuberculosis	20.209200208339592
361	Retinal detachments and defects	sense organs	C0035305	HP_0000541	Retinal detachment	44.45550534452681
361	Retinal detachments and defects	sense organs	C0035321	HP_0011958	Retinal perforation	14.886361540005769
361.1	Retinal detachment with retinal defect	sense organs	C0035305	HP_0000541	Retinal detachment	73.74299917672765
361.1	Retinal detachment with retinal defect	sense organs	C0035321	HP_0011958	Retinal perforation	26.47203625089486
361.2	Retinoschisis and retinal cysts	sense organs	C0152439	HP_0030502	Retinoschisis	187.6681916416853
361.2	Retinoschisis and retinal cysts	sense organs	C0035305	HP_0000541	Retinal detachment	27.43663943343295
362	Other retinal disorders	sense organs	C0035333	HP_0032118	Retinitis	27.68823385380543
362	Other retinal disorders	sense organs	C0339543	HP_0100014	Epiretinal membrane	23.99112631333352
362.1	Retinopathy of prematurity	sense organs	C0035344	HP_0500049	Retinopathy of prematurity	102.50862610811213
362.1	Retinopathy of prematurity	sense organs	C0151526	HP_0001622	Premature birth	14.843064887182354
362.23	Cystoid macular degeneration of retina	sense organs	C0024441	HP_0011508	Macular hole	180.8058726336869
362.23	Cystoid macular degeneration of retina	sense organs	C2733564	HP_0031152	Full-thickness macular hole	36.033192667301215
362.26	Macular puckering of retina	sense organs	C0339543	HP_0100014	Epiretinal membrane	128.96116608395283
362.26	Macular puckering of retina	sense organs	C0035321	HP_0011958	Retinal perforation	22.212989018687214
362.26	Macular puckering of retina	sense organs	C0423361	HP_0001489	Posterior vitreous detachment	66.63896705606166
362.29	Macular degeneration (senile) of retina NOS	sense organs	C1536085	HP_0031609	Geographic atrophy	26.253717725884147
362.29	Macular degeneration (senile) of retina NOS	sense organs	C1260959	HP_0011510	Drusen	23.26871236818192
362.29	Macular degeneration (senile) of retina NOS	sense organs	C0242383	HP_0007868	obsolete Age-related macular degeneration	120.60805854792028
362.31	Separation of retinal layers	sense organs	C0035305	HP_0000541	Retinal detachment	58.76371206559233
362.31	Separation of retinal layers	sense organs	C0035321	HP_0011958	Retinal perforation	19.640002582087646
362.31	Separation of retinal layers	sense organs	C0730328	HP_0025567	Central serous chorioretinopathy	18.89872184758794
362.4	Retinal vascular changes and abnomalities	sense organs	C0149793	HP_0100576	Amaurosis fugax	13.770261684621696
362.4	Retinal vascular changes and abnomalities	sense organs	C0339505	HP_0020165	Branch retinal vein occlusion	15.410426817330501
362.6	Peripheral retinal degenerations	sense organs	C0035321	HP_0011958	Retinal perforation	29.564747209905814
362.6	Peripheral retinal degenerations	sense organs	C0035305	HP_0000541	Retinal detachment	88.13254771496817
362.6	Peripheral retinal degenerations	sense organs	C0154856	HP_0007992	Lattice retinal degeneration	230.46551091262558
362.6	Peripheral retinal degenerations	sense organs	C0027092	HP_0000545	Myopia	21.78262418821045
362.6	Peripheral retinal degenerations	sense organs	C3549703	HP_0030329	Retinal thinning	24.259527464486904
362.7	Hereditary retinal dystrophies	sense organs	C0035334	HP_0000547	obsolete Tapetoretinal degeneration	81.52689118443962
362.7	Hereditary retinal dystrophies	sense organs	C0035334	HP_0000510	Rod-cone dystrophy	81.52689118443962
362.7	Hereditary retinal dystrophies	sense organs	C0339510	HP_0007677	Vitelliform-like macular lesions	21.23828279931607
364	Corneal opacity and other disorders of cornea	sense organs	C0022578	HP_0000563	Keratoconus	69.73527286353796
364.1	Corneal opacity	sense organs	C0155119	HP_0000495	Recurrent corneal erosions	30.77534402973578
364.1	Corneal opacity	sense organs	C0010038	HP_0007957	Corneal opacity	33.988230385130045
364.4	Corneal degenerations	sense organs	C0155119	HP_0000495	Recurrent corneal erosions	26.24202519859661
364.4	Corneal degenerations	sense organs	C0155120	HP_0007709	Band-shaped corneal dystrophy	16.278801625341902
364.4	Corneal degenerations	sense organs	C0155120	HP_0000585	Band keratopathy	16.278801625341902
364.4	Corneal degenerations	sense organs	C0010038	HP_0007957	Corneal opacity	28.981641841615094
364.41	Keratoconus	sense organs	C0022578	HP_0000563	Keratoconus	95.84318557644501
364.5	Corneal dystrophy	sense organs	C0018179	HP_0007802	Granular corneal dystrophy	22.93245369605197
364.5	Corneal dystrophy	sense organs	C0521723	HP_0007690	Map-dot-fingerprint corneal dystrophy	20.444702095121606
364.5	Corneal dystrophy	sense organs	C0010036	HP_0001131	Corneal dystrophy	49.783761080563075
364.5	Corneal dystrophy	sense organs	C0155119	HP_0000495	Recurrent corneal erosions	19.978460301558076
364.5	Corneal dystrophy	sense organs	C0155127	HP_0001149	Lattice corneal dystrophy	19.166908214176505
364.51	Fuchs' dystrophy	sense organs	C0271288	HP_0012038	Corneal guttata	15.753488140291289
365	Glaucoma	sense organs	C0017601	HP_0000501	Glaucoma	69.748425011656
365.1	Open-angle glaucoma	sense organs	C0017601	HP_0000501	Glaucoma	23.452557197196803
365.1	Open-angle glaucoma	sense organs	C0017612	HP_0012108	Open angle glaucoma	53.11437209471895
365.11	Primary open angle glaucoma	sense organs	C0339573	HP_0012108	Open angle glaucoma	51.88832445948724
365.11	Primary open angle glaucoma	sense organs	C3887875	HP_0001123	Visual field defect	13.804832889600176
365.11	Primary open angle glaucoma	sense organs	C0017601	HP_0000501	Glaucoma	80.16337580464682
365.11	Primary open angle glaucoma	sense organs	C0234708	HP_0007906	Ocular hypertension	30.736111118720178
365.2	Primary angle-closure glaucoma	sense organs	C0017601	HP_0000501	Glaucoma	18.775093151165738
365.5	Pseudoexfoliation glaucoma	sense organs	C0017601	HP_0000501	Glaucoma	33.43153631444134
365.5	Pseudoexfoliation glaucoma	sense organs	C4022815	HP_0012627	Pseudoexfoliation	26.550863140530158
366	Cataract	sense organs	C0086543	HP_0000518	Cataract	45.675533128197316
366.2	Senile cataract	sense organs	C0036646	HP_0011141	Age-related cataract	53.1619445111076
366.2	Senile cataract	sense organs	C0017601	HP_0000501	Glaucoma	21.596014866505627
366.2	Senile cataract	sense organs	C4022815	HP_0012627	Pseudoexfoliation	17.15125591921297
367	Disorders of refraction and accommodation; blindness and low vision	sense organs	C0042798	HP_0000505	Visual impairment	18.93838906695216
367	Disorders of refraction and accommodation; blindness and low vision	sense organs	C0456909	HP_0000618	Blindness	36.82190237455377
367.1	Myopia	sense organs	C0027092	HP_0000545	Myopia	156.58848324889806
367.2	Astigmatism	sense organs	C0004106	HP_0000483	Astigmatism	112.99241966525372
367.4	Presbyopia	sense organs	C0027092	HP_0000545	Myopia	16.022228332959713
367.8	Hypermetropia	sense organs	C4703503	HP_0031728	Mild hypermetropia	16.021485523600234
367.8	Hypermetropia	sense organs	C0027092	HP_0000545	Myopia	13.786981327886279
367.8	Hypermetropia	sense organs	C0020490	HP_0000540	Hypermetropia	167.66473370880868
367.9	Blindness and low vision	sense organs	C0456909	HP_0000618	Blindness	44.430829973600204
367.9	Blindness and low vision	sense organs	C0042798	HP_0000505	Visual impairment	18.80792498927402
368	Visual disturbances	sense organs	C0038379	HP_0000486	Strabismus	24.859402830100212
368	Visual disturbances	sense organs	C0038379	HP_0032012	Heterotropia	24.859402830100212
368	Visual disturbances	sense organs	C0002418	HP_0000646	Amblyopia	124.95282582668267
368.1	Amblyopia	sense organs	C0038379	HP_0000486	Strabismus	25.830519439875587
368.1	Amblyopia	sense organs	C0002418	HP_0000646	Amblyopia	129.35931465629702
368.1	Amblyopia	sense organs	C0038379	HP_0032012	Heterotropia	25.830519439875587
368.2	Diplopia and disorders of binocular vision	sense organs	C0038379	HP_0000486	Strabismus	19.093159593409666
368.2	Diplopia and disorders of binocular vision	sense organs	C0038379	HP_0032012	Heterotropia	19.093159593409666
368.2	Diplopia and disorders of binocular vision	sense organs	C0012569	HP_0000651	Diplopia	102.37587454573877
368.5	Color vision deficiencies	sense organs	C0302129	HP_0011516	Achromatopsia	15.313472882435372
368.5	Color vision deficiencies	sense organs	C0858618	HP_0007641	Dyschromatopsia	85.56169605691257
368.5	Color vision deficiencies	sense organs	C0155017	HP_0000552	Tritanomaly	17.809621578562684
368.5	Color vision deficiencies	sense organs	C3887938	HP_0011520	Deuteranomaly	18.74580301125709
368.5	Color vision deficiencies	sense organs	C0009398	HP_0000551	Color vision defect	20.31441234074605
368.9	Subjective visual disturbances	sense organs	C0085636	HP_0000613	Photophobia	23.32620373811435
368.9	Subjective visual disturbances	sense organs	C0004095	HP_0031590	Asthenopia	78.08537369082373
369.2	Eye infection, viral	sense organs	C0009763	HP_0000509	Conjunctivitis	41.69805012000467
369.2	Eye infection, viral	sense organs	C0009766	HP_0007879	Allergic conjunctivitis	18.43733815860055
369.2	Eye infection, viral	sense organs	C1313983	HP_0000509	Conjunctivitis	23.58064826585782
369.5	Conjunctivitis, infectious	sense organs	C1313983	HP_0000509	Conjunctivitis	22.365890761295148
369.5	Conjunctivitis, infectious	sense organs	C0009766	HP_0007879	Allergic conjunctivitis	21.051160119696632
369.5	Conjunctivitis, infectious	sense organs	C0009763	HP_0000509	Conjunctivitis	46.27209812115311
370	Keratitis	sense organs	C0022568	HP_0000491	Keratitis	55.654988754897865
370.1	Corneal ulcer	sense organs	C0010043	HP_0012804	Corneal ulceration	86.09807304480692
370.3	Keratoconjunctivitis	sense organs	C0022568	HP_0000491	Keratitis	78.31453803685623
370.3	Keratoconjunctivitis	sense organs	C0035854	HP_0001041	Facial erythema	32.672289399556306
370.31	Keratoconjunctivitis sicca	sense organs	C0013238	HP_0001097	Keratoconjunctivitis sicca	59.73862935664264
371	Inflammation of the eye	sense organs	C0271298	HP_0012375	Chemosis	15.508312800762782
371	Inflammation of the eye	sense organs	C0152255	HP_0031830	Pinguecula	225.89223721921846
371.1	Uveitis, noninfectious or NOS	sense organs	C0042164	HP_0000554	Uveitis	67.99754727473555
371.1	Uveitis, noninfectious or NOS	sense organs	C0042166	HP_0012124	Intermediate uveitis	32.24739479102844
371.1	Uveitis, noninfectious or NOS	sense organs	C0035333	HP_0032118	Retinitis	26.797566472829565
371.1	Uveitis, noninfectious or NOS	sense organs	C0042167	HP_0012123	Posterior uveitis	19.558207125135752
371.21	Allergic conjunctivitis	sense organs	C0015399	HP_0000508	Ptosis	14.095362979106117
371.21	Allergic conjunctivitis	sense organs	C0009766	HP_0007879	Allergic conjunctivitis	41.906066222838724
371.3	Inflammation of eyelids	sense organs	C0019917	HP_0010606	Hordeolum	78.99410862152136
371.3	Inflammation of eyelids	sense organs	C0007933	HP_0010605	Chalazion	89.04535208475686
371.3	Inflammation of eyelids	sense organs	C0005741	HP_0000498	Blepharitis	52.39672076086721
371.9	Chronic inflammatory disorders of orbit	sense organs	C0040136	HP_0100031	Neoplasm of the thyroid gland	30.39471020093514
371.9	Chronic inflammatory disorders of orbit	sense organs	C0015414	HP_0100012	Neoplasm of the eye	40.14778855508523
371.9	Chronic inflammatory disorders of orbit	sense organs	C0235267	HP_0025337	Red eye	14.121137627856484
371.9	Chronic inflammatory disorders of orbit	sense organs	C0012569	HP_0000651	Diplopia	26.38107320852799
371.9	Chronic inflammatory disorders of orbit	sense organs	C0015300	HP_0000520	Proptosis	14.863743417938414
371.9	Chronic inflammatory disorders of orbit	sense organs	C1856661	HP_0007759	Opacification of the corneal stroma	21.845570833488203
372	Disorders of conjunctiva	sense organs	C0033999	HP_0001059	Pterygium	154.41877166530685
372	Disorders of conjunctiva	sense organs	C0152255	HP_0031830	Pinguecula	117.434100271116
372	Disorders of conjunctiva	sense organs	C0038534	HP_0011896	Subconjunctival hemorrhage	28.73401476388844
374	Other disorders of eyelids	sense organs	C0043325	HP_0000991	Xanthomatosis	24.344028840273005
374	Other disorders of eyelids	sense organs	C0019917	HP_0010606	Hordeolum	40.125017234732354
374	Other disorders of eyelids	sense organs	C0266521	HP_0025186	Marcus Gunn jaw winking synkinesis	24.069517238711807
374	Other disorders of eyelids	sense organs	C0302314	HP_0001114	Xanthelasma	25.903210076230717
374	Other disorders of eyelids	sense organs	C0155218	HP_0010604	Cyst of the eyelid	28.255520236748637
374	Other disorders of eyelids	sense organs	C0155210	HP_0001114	Xanthelasma	18.170625608412095
374.1	Ectropion or entropion	sense organs	C0521736	HP_0007651	Ectropion of lower eyelids	18.097682699173006
374.1	Ectropion or entropion	sense organs	C0014390	HP_0000621	Entropion	67.4562453290245
374.1	Ectropion or entropion	sense organs	C0013592	HP_0000656	Ectropion	63.10358274033707
374.3	Ptosis of eyelid	sense organs	C0266573	HP_0007970	Congenital ptosis	38.58670447219864
374.3	Ptosis of eyelid	sense organs	C0002418	HP_0000646	Amblyopia	23.657944175353627
374.3	Ptosis of eyelid	sense organs	C0005745	HP_0000508	Ptosis	98.08856336326643
374.6	Dermatochalasis	sense organs	C0010495	HP_0000973	Cutis laxa	171.35166337013547
375	Disorders of lacrimal system	sense organs	C0152227	HP_0009926	Epiphora	28.915998622923464
375.1	Dry eyes	sense organs	C0013238	HP_0001097	Keratoconjunctivitis sicca	103.34150567101824
375.2	Epiphora	sense organs	C0013238	HP_0001097	Keratoconjunctivitis sicca	13.941645093393912
375.2	Epiphora	sense organs	C0014390	HP_0000621	Entropion	23.614514039634386
375.2	Epiphora	sense organs	C0152227	HP_0009926	Epiphora	100.27775166449348
375.2	Epiphora	sense organs	C0151827	HP_0200026	Ocular pain	18.387467441735183
376	Disorders of the orbit	sense organs	C0015300	HP_0000520	Proptosis	66.42909834047452
376	Disorders of the orbit	sense organs	C0014306	HP_0000490	Deeply set eye	36.68505266856294
377	Disorders of optic nerve and visual pathways	sense organs	C0030353	HP_0001085	Papilledema	43.826881076591924
377	Disorders of optic nerve and visual pathways	sense organs	C0029128	HP_0012426	Optic disc drusen	30.29325236505372
377	Disorders of optic nerve and visual pathways	sense organs	C0155300	HP_0000538	Pseudopapilledema	18.51254311197727
377.1	Optic atrophy	sense organs	C0029124	HP_0000648	Optic atrophy	90.61105353272288
377.3	Optic neuritis/neuropathy	sense organs	C0030353	HP_0001085	Papilledema	17.484310226726787
377.3	Optic neuritis/neuropathy	sense organs	C0338502	HP_0000609	Optic nerve hypoplasia	24.756502408454164
377.3	Optic neuritis/neuropathy	sense organs	C0029134	HP_0100653	Optic neuritis	75.09030291291663
378	Strabismus and other disorders of binocular eye movements	sense organs	C0038379	HP_0032012	Heterotropia	64.80881063324784
378	Strabismus and other disorders of binocular eye movements	sense organs	C0013261	HP_0009921	Duane anomaly	32.445047492690136
378	Strabismus and other disorders of binocular eye movements	sense organs	C0002418	HP_0000646	Amblyopia	24.74437568545651
378	Strabismus and other disorders of binocular eye movements	sense organs	C0038379	HP_0000486	Strabismus	64.80881063324784
378	Strabismus and other disorders of binocular eye movements	sense organs	C0162674	HP_0000544	External ophthalmoplegia	16.363636291292995
378	Strabismus and other disorders of binocular eye movements	sense organs	C0162674	HP_0000590	Progressive external ophthalmoplegia	16.363636291292995
378	Strabismus and other disorders of binocular eye movements	sense organs	C0271379	HP_0000619	Impaired convergence	26.119592661815396
378.1	Strabismus (not specified as paralytic)	sense organs	C0014877	HP_0000565	Esotropia	26.563100430738782
378.1	Strabismus (not specified as paralytic)	sense organs	C0038379	HP_0000486	Strabismus	83.98899986868064
378.1	Strabismus (not specified as paralytic)	sense organs	C0155339	HP_0031622	Brown anomaly	34.52489756913544
378.1	Strabismus (not specified as paralytic)	sense organs	C0002418	HP_0000646	Amblyopia	32.14992420658216
378.1	Strabismus (not specified as paralytic)	sense organs	C0038379	HP_0032012	Heterotropia	83.98899986868064
378.2	Nystagmus and other irregular eye movements	sense organs	C0028738	HP_0000639	Nystagmus	84.19025828164244
378.5	Paralytic strabismus	sense organs	C0028866	HP_0012246	Oculomotor nerve palsy	26.37394676164108
378.5	Paralytic strabismus	sense organs	C0271375	HP_0025592	Superior oblique muscle weakness	68.81229924071036
378.5	Paralytic strabismus	sense organs	C0271375	HP_0007011	Fourth cranial nerve palsy	68.81229924071036
379	Other disorders of eye	sense organs	C0002418	HP_0000646	Amblyopia	21.161383870876726
379.1	Scleritis and episcleritis	sense organs	C0014583	HP_0100534	Episcleritis	66.71293789149962
379.1	Scleritis and episcleritis	sense organs	C0036416	HP_0100532	Scleritis	159.36424951507
